dates,satname,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051
1999-08-26 22:06:44+00:00,L7,240.34,254.56,305.07,331.24,314.96,,,312.05,314.67,312.99,317.57,314.41,319.57,322.56,318.00,325.88,326.84,328.37,329.51,330.68,339.46,341.43,347.89,349.69,339.87,335.45,332.48,326.59,321.50,313.66,309.00,318.55,310.32,300.86,297.11,299.59,295.16,298.73,296.54,296.21,295.66,289.02,289.38,288.69,283.49,288.66,302.44,304.18,356.90,361.94,330.99,320.19
1999-09-04 22:00:33+00:00,L7,252.33,258.57,291.17,299.31,282.05,,,,,,,,,,,,,,,,,,323.89,336.54,330.46,325.13,323.27,318.82,314.43,302.60,307.73,311.69,303.72,294.46,292.57,287.98,284.69,278.17,282.75,277.14,273.07,280.50,272.63,276.00,278.59,284.79,290.33,295.36,342.83,348.03,321.35,312.15
1999-09-27 22:06:48+00:00,L7,295.96,291.93,301.80,322.79,312.37,315.11,304.76,307.99,312.84,316.97,315.54,316.08,319.78,320.34,319.78,328.89,328.93,333.97,336.95,334.03,340.36,346.04,348.33,343.75,340.39,336.67,327.67,326.83,321.82,320.50,316.69,314.87,311.38,304.11,295.04,293.86,290.59,288.28,288.60,285.49,284.29,281.86,282.27,282.26,278.72,288.46,296.55,296.65,349.59,352.42,329.80,317.93
1999-10-22 22:00:28+00:00,L7,343.85,325.32,319.94,348.35,338.69,341.63,338.83,337.02,332.26,336.69,335.16,333.23,331.56,329.00,334.18,338.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.15,311.06,361.95,371.41,342.36,333.22
1999-11-30 22:06:35+00:00,L7,275.33,267.28,261.52,279.83,273.69,279.05,278.46,280.04,280.80,280.44,280.61,289.23,286.99,289.92,287.71,285.35,289.41,288.37,301.20,305.07,309.53,313.21,306.44,310.31,312.61,305.24,300.81,293.37,295.01,294.63,289.75,285.10,285.15,273.76,269.42,265.86,265.74,266.58,267.21,262.04,256.27,258.23,253.84,261.70,260.93,269.83,271.51,288.33,329.25,325.35,310.41,307.57
1999-12-09 22:00:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,346.46,345.82,340.33,334.26,326.65,324.66,323.66,325.56,323.39,317.43,,,,,,,,,,,,,,,,,,,327.98,320.50
1999-12-16 22:06:45+00:00,L7,287.52,279.93,,,,,,,,,,,,,,,,,,,,,313.43,317.55,319.47,315.19,312.94,304.39,304.78,298.00,295.24,296.56,289.76,282.55,281.55,275.42,271.60,270.42,272.95,271.42,269.50,269.41,,,,,,,,,,
1999-12-25 22:00:28+00:00,L7,285.43,279.87,275.30,292.38,285.65,296.53,296.49,295.02,293.48,293.24,293.05,301.29,301.79,304.49,301.22,302.75,304.74,308.46,313.62,317.55,326.59,329.19,324.12,325.57,321.74,317.20,313.81,305.89,306.12,304.62,303.21,301.79,296.82,288.85,281.76,281.24,277.79,279.54,276.53,273.30,270.63,267.83,267.15,269.15,266.00,272.69,280.52,290.05,339.79,346.79,321.14,312.72
2000-01-26 22:00:26+00:00,L7,277.28,267.13,226.15,217.80,,,275.66,271.59,260.49,277.16,284.04,286.88,290.43,292.40,288.87,292.21,291.13,295.02,302.10,305.79,310.60,308.70,307.70,307.92,309.42,309.55,301.75,297.47,292.74,294.14,291.80,288.80,282.38,274.57,267.52,264.61,265.33,263.00,261.85,259.14,258.58,255.46,254.79,255.50,254.43,260.88,267.78,285.31,316.13,325.24,306.42,301.51
2000-02-27 22:00:16+00:00,L7,281.65,278.68,278.06,296.85,291.18,302.65,304.04,299.39,299.63,299.59,302.52,306.14,308.42,310.06,308.78,308.79,308.30,310.26,316.89,320.29,324.35,327.74,323.16,324.96,322.59,322.02,314.12,312.35,309.72,310.13,306.34,304.48,297.73,289.55,285.27,285.89,282.47,277.81,273.89,273.49,271.25,275.47,269.54,271.65,275.04,279.85,281.29,289.23,325.75,344.07,315.52,313.49
2000-03-14 22:00:11+00:00,L7,267.51,268.28,287.44,292.51,286.73,302.30,299.86,298.81,298.13,295.61,300.16,303.92,305.97,309.12,309.08,308.25,309.64,313.30,319.14,322.63,327.33,329.75,321.22,328.40,328.79,325.75,321.38,317.82,314.08,312.89,311.49,308.69,304.37,296.72,291.51,285.18,286.08,281.61,280.14,278.79,276.42,278.44,274.02,276.63,277.15,281.41,286.21,296.37,340.05,337.51,318.03,311.60
2000-03-30 22:00:09+00:00,L7,291.02,288.41,296.93,312.01,302.62,315.66,313.09,311.20,314.56,314.53,317.61,316.45,320.21,319.82,319.45,322.37,322.06,329.17,330.21,331.35,334.83,335.94,338.67,340.79,336.98,327.85,325.55,326.47,323.13,325.32,319.34,319.12,309.37,307.41,301.28,292.69,289.76,288.03,284.04,285.68,281.18,279.95,278.77,281.79,281.48,286.64,293.64,299.23,343.96,353.66,324.69,322.49
2000-05-01 21:59:54+00:00,L7,249.03,329.61,337.70,346.67,,,,345.53,344.47,338.86,338.65,333.86,336.52,333.31,335.21,342.24,346.14,348.08,349.18,346.03,346.76,352.68,359.20,354.11,349.32,343.18,340.43,342.44,338.72,334.79,333.89,327.75,322.62,314.76,306.08,303.02,301.06,295.80,294.55,295.28,292.77,293.55,292.10,289.73,291.82,298.11,307.58,314.56,363.51,366.90,,334.66
2000-05-08 22:05:56+00:00,L7,242.48,250.71,242.75,282.51,280.86,245.21,226.98,277.63,281.16,275.26,265.83,,282.93,282.88,,287.89,274.60,,306.27,309.07,309.44,314.90,307.89,306.93,304.73,302.71,301.86,296.28,296.38,,300.03,297.92,287.46,281.52,275.71,277.84,267.67,260.73,262.63,262.44,264.39,262.45,263.67,264.70,263.55,268.52,276.56,287.24,334.03,314.32,290.83,300.55
2000-05-24 22:05:46+00:00,L7,240.33,201.10,200.97,291.00,284.46,250.76,221.19,217.54,298.19,301.63,,,306.19,311.03,305.08,310.66,305.81,311.71,317.79,318.15,326.82,327.23,328.65,326.99,322.36,319.44,316.73,313.18,312.42,312.15,311.18,305.74,301.27,294.68,290.40,284.60,279.54,272.85,275.87,270.62,272.83,273.30,272.39,276.58,273.17,279.11,279.22,286.21,337.19,316.21,276.31,309.25
2000-06-18 21:59:27+00:00,L7,245.47,174.17,,,285.28,246.70,224.47,213.64,210.37,,,,,,,312.82,315.34,,326.30,323.69,328.04,334.39,334.67,335.97,334.52,326.86,323.73,322.30,314.18,,321.01,315.50,307.69,292.03,289.97,286.73,279.06,285.06,284.01,,,287.72,284.83,283.48,275.60,289.48,297.39,305.00,357.67,335.58,265.48,304.88
2000-07-11 22:05:17+00:00,L7,238.75,221.53,178.98,291.47,286.05,248.31,226.95,197.43,295.60,300.87,306.26,306.67,308.59,310.88,307.66,307.12,313.57,314.78,322.35,327.12,330.58,332.12,331.48,332.96,329.74,328.47,326.18,322.10,325.28,319.34,317.66,318.66,305.42,298.94,291.38,294.08,291.90,286.90,282.68,279.80,276.49,280.55,280.03,282.25,281.17,284.63,295.71,307.52,355.13,343.07,280.64,319.21
2000-08-05 21:58:44+00:00,L7,238.13,201.86,186.54,283.50,282.32,245.43,222.61,217.70,265.75,258.95,,233.52,273.65,,,288.81,288.23,284.23,299.10,301.41,301.14,301.86,297.33,304.64,292.76,300.22,298.70,296.49,297.94,,289.35,284.91,277.97,274.26,265.14,266.84,264.29,258.82,256.77,257.59,254.44,255.92,253.33,262.98,262.73,271.93,274.40,287.78,324.52,298.02,275.99,296.68
2000-08-12 22:04:53+00:00,L7,250.88,253.51,307.31,338.75,321.41,,,313.53,314.75,318.23,313.35,312.58,316.84,316.00,317.64,326.84,330.96,331.41,331.80,333.71,336.14,344.68,346.89,340.97,339.33,336.80,331.00,332.87,329.35,324.41,322.97,316.64,312.30,306.89,299.38,297.42,297.48,290.46,290.10,292.04,290.76,288.38,285.96,288.30,292.28,294.52,300.15,306.30,352.45,361.53,,322.31
2000-09-06 21:58:22+00:00,L7,259.02,261.75,288.06,300.32,284.59,,296.94,297.64,297.61,300.00,305.23,308.27,308.57,304.96,306.73,313.46,308.62,312.07,314.31,319.52,321.28,323.97,315.18,325.50,328.03,322.44,321.42,317.63,317.19,308.99,306.21,305.91,304.18,289.23,291.39,285.90,290.45,280.66,284.61,285.25,279.33,277.77,278.81,279.94,278.29,285.02,289.81,297.19,341.07,347.14,324.19,318.46
