dates,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051,satname
1999-08-26 22:06:44+00:00,223.94,238.16,281.64,303.91,298.56,,,293.83,291.24,289.56,297.07,293.91,301.35,304.34,297.50,305.38,303.41,304.94,311.29,314.28,323.06,323.21,331.49,331.47,323.47,319.05,317.57,310.19,305.10,297.26,292.60,302.15,293.92,284.46,280.71,284.68,278.76,282.33,281.63,281.30,279.26,274.11,272.98,275.02,269.82,274.99,288.77,289.27,338.68,343.72,317.32,305.28,L7
1999-09-04 22:00:33+00:00,242.03,252.26,291.98,308.11,294.21,,,293.83,291.24,289.56,297.07,293.91,301.35,304.34,297.50,305.38,303.41,304.94,311.29,314.28,323.06,323.21,331.59,338.34,330.87,325.99,323.97,318.40,313.67,303.83,304.06,310.82,302.72,293.36,290.54,289.88,285.62,284.15,285.74,282.76,280.06,280.85,276.71,278.76,277.45,283.14,292.80,295.86,345.09,350.21,322.59,312.26,L7
1999-09-27 22:06:48+00:00,257.81,263.29,292.11,309.34,298.06,306.86,297.43,297.25,297.33,298.55,302.18,300.87,306.90,308.67,304.51,313.01,311.46,314.74,320.46,320.86,328.41,330.96,334.97,337.70,331.84,327.35,323.20,319.01,314.18,307.19,306.07,309.97,303.41,294.74,289.84,289.20,285.08,283.33,284.69,281.67,279.27,279.19,276.36,278.09,276.04,283.08,292.22,294.12,344.15,348.50,323.16,312.15,L7
1999-10-22 22:00:28+00:00,275.92,275.39,294.21,313.42,304.82,315.75,310.58,305.47,302.49,304.79,307.51,305.99,310.08,310.41,308.74,315.97,311.46,314.74,320.46,320.86,328.41,330.96,334.97,337.70,331.84,327.35,323.20,319.01,314.18,307.19,306.07,309.97,303.41,294.74,289.84,289.20,285.08,283.33,284.69,281.67,279.27,279.19,276.36,278.09,276.04,283.08,291.87,295.27,344.82,350.45,325.12,314.33,L7
1999-11-30 22:06:35+00:00,279.00,276.97,292.24,312.04,301.79,310.18,305.80,303.56,302.79,304.42,305.78,306.80,308.75,309.74,308.48,313.31,311.73,313.57,319.96,320.93,327.45,330.97,331.84,335.30,331.03,325.82,321.24,316.60,313.39,308.05,305.99,307.75,302.84,293.50,288.74,287.00,284.25,283.14,283.96,280.40,277.52,277.58,274.73,277.33,275.60,283.10,290.46,296.79,345.26,348.99,324.85,315.89,L7
1999-12-09 22:00:33+00:00,279.00,276.97,292.24,312.04,301.79,310.18,305.80,303.56,302.79,304.42,305.78,306.80,308.75,309.74,308.48,313.31,311.73,313.57,319.96,320.93,327.45,330.97,334.04,336.60,332.17,326.79,321.67,317.49,314.72,310.83,308.75,308.97,302.84,293.50,288.74,287.00,284.25,283.14,283.96,280.40,277.52,277.58,274.73,277.33,275.60,283.10,290.46,296.79,345.26,348.99,324.87,316.11,L7
1999-12-16 22:06:45+00:00,282.75,279.80,292.24,312.04,301.79,310.18,305.80,303.56,302.79,304.42,305.78,306.80,308.75,309.74,308.48,313.31,311.73,313.57,319.96,320.93,327.45,330.97,332.94,336.02,332.39,327.19,322.33,317.64,315.40,311.02,308.83,309.23,303.03,294.11,290.10,287.23,284.52,283.40,284.30,281.15,278.72,278.50,274.73,277.33,275.60,283.10,290.46,296.79,345.26,348.99,324.87,316.11,L7
1999-12-25 22:00:28+00:00,284.17,280.84,291.13,310.76,300.30,309.02,305.47,303.45,302.98,304.24,305.04,307.50,308.96,310.29,308.83,313.00,312.55,314.87,320.38,321.88,329.03,332.52,332.71,335.67,331.90,326.79,322.05,316.99,315.10,311.14,309.06,309.20,303.19,294.43,289.91,287.33,284.60,283.95,284.10,280.94,278.57,277.81,274.65,276.89,274.88,282.22,289.81,296.76,345.68,349.95,325.19,316.56,L7
2000-01-26 22:00:26+00:00,285.65,281.47,285.69,310.76,300.30,309.02,303.69,301.62,300.38,304.20,305.45,307.98,309.36,310.79,309.42,313.45,313.64,316.27,320.90,322.42,329.11,331.94,331.93,334.81,331.44,326.99,321.65,316.90,314.66,311.36,309.25,309.00,302.90,294.28,289.40,286.52,284.53,283.65,283.36,280.26,278.40,277.06,274.48,275.94,274.08,281.27,288.90,297.56,344.45,349.41,324.81,316.82,L7
2000-02-27 22:00:16+00:00,293.97,287.64,286.97,312.03,300.54,309.94,305.38,304.18,303.87,307.97,308.19,311.85,312.16,313.37,313.13,315.86,317.13,319.85,323.98,325.39,331.13,334.80,331.99,335.22,332.43,328.46,322.22,318.27,316.34,314.07,312.07,310.39,304.71,296.26,291.30,287.84,286.32,284.26,283.40,280.29,278.51,278.40,275.37,276.60,276.17,283.31,288.88,298.70,344.00,350.86,325.50,318.84,L7
2000-03-14 22:00:11+00:00,295.64,288.63,286.07,310.40,301.02,309.92,305.54,304.36,304.27,307.43,308.12,311.79,312.23,313.72,313.62,315.84,317.31,320.18,324.28,325.93,331.49,335.07,331.43,333.95,331.99,328.31,321.78,317.92,316.07,315.13,312.31,309.79,304.54,296.33,290.90,287.20,286.26,284.49,282.79,280.29,278.73,277.87,275.30,276.45,275.68,282.49,288.07,298.61,343.31,349.07,324.89,318.57,L7
2000-03-30 22:00:09+00:00,295.42,288.59,286.03,309.49,299.93,310.68,307.24,305.33,305.17,307.73,308.99,312.41,312.80,314.15,314.15,315.48,316.93,320.14,323.75,326.01,331.11,333.98,330.62,334.03,331.97,327.61,321.88,318.28,316.63,316.14,313.05,310.72,304.71,297.26,292.24,287.45,286.60,284.91,282.56,280.73,278.75,278.01,275.25,276.82,276.59,282.63,288.04,299.40,343.02,349.75,324.59,319.50,L7
2000-05-01 21:59:54+00:00,283.42,288.97,288.32,308.88,294.89,307.89,304.49,306.35,306.67,307.80,309.27,312.29,313.32,314.57,314.08,315.74,318.08,321.12,325.03,326.76,331.23,334.30,332.16,334.43,332.25,327.69,322.44,319.32,317.44,316.56,313.72,310.97,305.10,297.60,292.12,287.72,286.55,284.42,282.37,280.87,278.65,278.27,275.54,276.90,277.00,283.08,288.67,299.74,343.05,348.92,323.67,319.55,L7
2000-05-08 22:05:56+00:00,280.41,288.97,288.32,308.39,294.86,300.32,295.61,304.68,305.95,306.19,306.00,312.29,311.44,312.53,314.08,314.42,315.11,321.12,324.61,326.27,330.23,333.79,331.11,333.22,330.88,326.57,321.64,318.39,316.71,316.56,313.73,311.04,304.67,297.34,291.83,288.01,285.99,283.32,281.57,280.22,278.60,277.91,275.78,276.81,276.76,282.70,288.59,299.75,343.84,346.51,321.00,318.83,L7
