dates,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051,satname
1999-08-26 22:06:44+00:00,229.40666666666667,248.70285714285714,277.7366666666667,303.9066666666667,294.46,,,284.7166666666667,287.3366666666667,285.6566666666667,294.14142857142855,290.9814285714286,299.07,299.13142857142856,294.57142857142856,302.45142857142855,299.50666666666666,301.0366666666667,306.08142857142855,307.25142857142856,318.96,318.00142857142856,320.5566666666667,326.26142857142855,319.37,312.02142857142854,311.98,306.09,301.0,293.16,288.5,298.05,289.82,277.43142857142857,276.61,279.09,274.66,278.23,276.04,275.71,275.16,268.52,268.88,268.19,265.2677777777778,270.4377777777778,284.21777777777777,287.78000000000003,333.47142857142853,338.51142857142855,317.3233333333333,301.96777777777777,L7
1999-09-04 22:00:33+00:00,257.53000000000003,261.35571428571427,304.17,312.31,291.8,,,,,,,,,,,,,,,,,,336.89,347.6828571428572,340.21,336.27285714285716,333.02,328.57,324.18,312.35,317.48,321.44,313.47,305.60285714285715,302.32,297.73,294.44,287.92,292.5,286.89,282.82,290.25,282.38,285.75,287.25666666666666,293.4566666666667,298.99666666666667,303.16,353.97285714285715,359.17285714285714,327.85,320.81666666666666,L7
1999-09-27 22:06:48+00:00,291.56,289.5728571428572,290.8,311.79,304.12,306.86,296.51,296.99,301.84,305.97,306.1114285714286,306.65142857142854,311.53,310.91142857142853,310.3514285714285,319.46142857142854,317.93,322.97,327.52142857142854,324.6014285714285,332.11,336.6114285714286,337.33,334.32142857142856,332.14,327.24142857142857,319.42,318.58,313.57,312.25,308.44,306.62,303.13,294.68142857142857,286.79,285.61,282.34,280.03,280.35,277.24,276.04,273.61,274.02,274.01,271.3866666666667,281.12666666666667,289.2166666666667,290.04999999999995,340.16142857142853,342.99142857142857,324.3,310.5966666666667,L7
1999-10-22 22:00:28+00:00,,320.46285714285716,297.2733333333333,325.68333333333334,321.69,324.63,321.83,314.3533333333333,309.5933333333333,314.0233333333333,315.7314285714286,313.8014285714286,314.56,309.57142857142856,314.75142857142856,319.46142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0388888888889,297.46,342.52142857142854,351.9814285714286,331.0266666666667,318.10888888888894,L7
1999-11-30 22:06:35+00:00,285.99666666666667,272.9942857142857,288.18666666666667,306.49666666666667,293.69,299.05,298.46,306.7066666666667,307.4666666666667,307.1066666666667,303.46714285714285,312.08714285714285,306.99,312.77714285714285,310.5671428571428,308.20714285714286,316.0766666666667,315.0366666666667,324.0571428571428,327.9271428571428,329.53,336.0671428571428,333.1066666666667,333.16714285714284,332.61,328.09714285714284,320.81,313.37,315.01,314.63,309.75,305.1,305.15,296.6171428571428,289.42,285.86,285.74,286.58,287.21,282.04,276.27,278.23,273.84000000000003,281.7,278.7077777777778,287.60777777777776,289.28777777777776,304.33,352.10714285714283,348.20714285714286,323.74333333333334,325.34777777777776,L7
1999-12-09 22:00:33+00:00,,,,,,,,,,,,,,,,,,,,,,,340.46,340.6771428571428,335.83,329.1171428571428,322.15,320.16,319.16,321.06,318.89,312.93,,,,,,,,,,,,,,,,,,,324.98,316.5,L7
1999-12-16 22:06:45+00:00,296.8533333333333,284.93,,,,,,,,,,,,,,,,,,,,,336.7633333333333,337.55,336.97,335.19,330.44,321.89,322.28,315.5,312.74,314.06,307.26,302.55,299.05,292.92,289.1,287.92,290.45,288.92,287.0,286.91,,,,,,,,,,,L7
1999-12-25 22:00:28+00:00,290.23,282.44142857142856,287.3,304.38,294.65,305.53,305.49,307.02,305.48,305.24,303.3357142857143,311.5757142857143,310.79,314.7757142857143,311.5057142857143,313.0357142857143,316.74,320.46,323.9057142857143,327.8357142857143,335.59,339.4757142857143,336.12,335.85571428571427,330.74,327.48571428571427,322.81,314.89,315.12,313.62,312.21,310.79,305.82,299.1357142857143,290.76,290.24,286.79,288.54,285.53,282.3,279.63,276.83,276.15,278.15,274.0,280.69,288.52,297.25,350.0757142857143,357.0757142857143,327.14,320.72,L7
2000-01-26 22:00:26+00:00,289.81333333333333,273.8442857142857,257.48333333333335,,,,299.16,302.9233333333333,291.8233333333333,308.49333333333334,310.89714285714285,313.7371428571428,313.93,319.2571428571428,315.72714285714284,319.0671428571428,322.4633333333333,326.3533333333333,328.95714285714286,332.64714285714285,334.1,335.5571428571428,339.0333333333333,334.77714285714285,332.92,336.40714285714284,325.25,320.97,316.24,317.64,315.3,312.3,305.88,301.4271428571428,291.02,288.11,288.83,286.5,285.35,282.64,282.08,278.96,278.28999999999996,279.0,275.3188888888889,281.7688888888889,288.6688888888889,304.11,342.9871428571428,352.09714285714284,322.0866666666667,322.3988888888889,L7
2000-02-27 22:00:16+00:00,287.51666666666665,281.8228571428572,292.7266666666667,311.5166666666667,302.18,313.65,315.04,314.0566666666667,314.2966666666667,314.25666666666666,315.09142857142854,318.71142857142854,319.42,322.63142857142856,321.3514285714285,321.3614285714286,322.9666666666667,324.9266666666667,329.46142857142854,332.8614285714286,335.35,340.31142857142856,337.8266666666667,337.53142857142853,333.59,334.59142857142854,325.12,323.35,320.72,321.13,317.34,315.48,308.73,302.12142857142857,296.27,296.89,293.47,288.81,284.89,284.49,282.25,286.47,280.54,282.65,284.8177777777778,289.6277777777778,291.0677777777778,298.03000000000003,338.32142857142856,356.64142857142855,322.8533333333333,323.2677777777778,L7
2000-03-14 22:00:11+00:00,271.51,270.42285714285714,297.44,302.51,294.23,309.8,307.36,308.81,308.13,305.61,308.7314285714286,312.49142857142857,313.47,317.69142857142856,317.65142857142854,316.82142857142856,319.64,323.3,327.71142857142854,331.20142857142855,334.83,338.32142857142856,331.22,336.97142857142853,336.29,334.32142857142856,328.88,325.32,321.58,320.39,318.99,316.19,311.87,305.2914285714286,299.01,292.68,293.58,289.11,287.64,286.29,283.92,285.94,281.52,284.13,283.81666666666666,288.0766666666667,292.87666666666667,302.37,348.62142857142857,346.08142857142855,323.03,318.2666666666667,L7
