,dates,chi0206-0000,chi0206-0001,chi0206-0002,chi0206-0003,chi0206-0004,chi0206-0005,chi0206-0006,chi0206-0007,chi0206-0008,chi0206-0009,chi0206-0010,chi0206-0011,chi0206-0012,chi0206-0013,chi0206-0014,chi0206-0015,chi0206-0016,chi0206-0017,chi0206-0018
0,1985-07-27 14:08:05+00:00,,202.00041439169746,212.2454603750017,221.57369598130006,235.83336403079394,229.79185672321282,234.8464755462459,231.2776205777791,214.65800909806123,203.2575412162625,187.1706141813909,187.49380256917013,185.03936048743535,175.69241043935543,172.38635835728087,165.16895960826633,166.02828527524434,168.17876634316565,168.37634421142758
1,1986-02-04 14:05:11+00:00,226.42814615566755,233.30022743423632,225.9253721726583,231.90532360500453,237.76034969199702,219.48827023931477,219.15301266704557,206.73505043275273,198.49261157083913,195.92970824040785,193.08576253708617,198.33568538078023,192.29741644769166,191.7342083469586,182.68830633683191,188.42063763786254,199.6518470479887,203.5661590703143,192.36801724487918
2,1986-07-30 14:00:28+00:00,210.04541465981518,223.66019698439203,230.8512267770963,250.9852505280271,260.77466762322877,247.39980335846806,247.09742825239746,235.33980867356723,214.92119031040346,201.95231144672186,188.7006100632007,194.96866430281565,189.27892123429888,180.6092931664646,174.68572607534048,166.49763826731765,165.54452160249053,166.52409623526813,165.53778067594143
3,1986-08-15 13:59:53+00:00,198.83116974113062,220.0493935252392,224.66058408407827,251.51112517560128,260.6912655418992,250.14241967527119,255.85839368515775,243.14105194722458,218.0936903107494,208.2582636318184,192.84140502281085,193.33302424648576,188.16401661660544,176.60538696658992,170.6483788738399,162.87826928125384,172.40615491942307,174.53924775703018,169.55261453979708
4,1986-08-31 13:59:17+00:00,199.4420146887588,218.79162657501868,222.84421231397192,232.82740574238468,245.91823737564235,236.81283624552745,234.84726081832153,222.65072629969927,206.20439006812578,196.6505847367739,183.44204461026646,189.22955881843683,191.0909927609057,180.9586125518444,163.11517743040378,162.14327574743479,165.3860243570178,161.13885547644827,165.22913956711247
5,1986-09-16 13:58:46+00:00,205.0826885999895,220.95869415607774,227.75693724629312,245.47126672246745,262.911789380323,254.5555728024608,252.54363740931205,241.92198971878344,225.7547745777718,215.11497695187538,194.68910399008192,202.3642475207616,194.23867928145796,180.14413139141578,171.5540234266527,173.21836524236681,174.08745447129488,176.23415579003014,172.57642187301613
6,1986-12-21 13:57:14+00:00,231.8927305932019,242.8472426660458,234.92465115588024,241.95724988187936,238.9808333367049,220.4867110094453,210.89474768588082,204.3055269310598,192.04591006677705,198.97009461470995,196.7162942444687,201.13860730167545,192.95725353203903,185.13922290928238,180.79899911484367,173.42567767057471,181.20138011338457,187.1562523590463,176.76269868504966
7,1987-11-06 14:06:08+00:00,191.6870331798821,209.9163062223959,213.43665022796307,225.25176526369614,251.07323272707387,238.51183993938696,234.74083531192454,231.28021935001084,220.00629877302921,201.93247723431068,190.83419028814382,186.28960946748145,184.27256512448693,163.9347027376617,160.53925204979865,158.7466175991237,161.94152038594044,163.76790009738437,163.135220092973
8,1988-06-17 14:08:51+00:00,199.06468740400575,207.16665030536862,211.20484616784245,222.99265691019323,238.30084816758674,225.5818434697688,218.26292863332606,221.06586139295257,213.47504404805633,192.53112396295026,186.9158034081482,191.4476160736874,190.8332519377907,176.09540636625346,170.24646284093052,166.64028298575187,173.40291949016776,180.3171576416894,180.9726576827242
9,1988-09-05 14:09:03+00:00,188.94393632082256,198.92470445098456,203.72313765726676,225.0543701331469,241.00389470018413,234.65731229775585,238.9992228485914,240.096930757153,231.96186342886412,217.61361704913745,207.0892905245119,202.82585817105988,187.70770118055626,178.2660141612986,170.3675538360733,164.19250422022603,171.06247197197385,180.35102831666325,161.69429889263205
