dates,nzd0464-0000,nzd0464-0001,nzd0464-0002,nzd0464-0003,nzd0464-0004,nzd0464-0005,nzd0464-0006,nzd0464-0007,nzd0464-0008,nzd0464-0009,nzd0464-0010,nzd0464-0011,nzd0464-0012,nzd0464-0013,nzd0464-0014,nzd0464-0015,nzd0464-0016,nzd0464-0017,nzd0464-0018,nzd0464-0019,nzd0464-0020,nzd0464-0021,nzd0464-0022,nzd0464-0023,nzd0464-0024,nzd0464-0025,nzd0464-0026,nzd0464-0027,nzd0464-0028,nzd0464-0029,nzd0464-0030,nzd0464-0031,nzd0464-0032,nzd0464-0033,nzd0464-0034,nzd0464-0035,nzd0464-0036,nzd0464-0037,nzd0464-0038,nzd0464-0039,nzd0464-0040,nzd0464-0041,nzd0464-0042,nzd0464-0043,nzd0464-0044,nzd0464-0045,nzd0464-0046,nzd0464-0047,nzd0464-0048,nzd0464-0049,nzd0464-0050,nzd0464-0051,nzd0464-0052,nzd0464-0053,nzd0464-0054,nzd0464-0055,nzd0464-0056,nzd0464-0057,nzd0464-0058,nzd0464-0059,nzd0464-0060,nzd0464-0061,nzd0464-0062,nzd0464-0063,nzd0464-0064,nzd0464-0065,nzd0464-0066,nzd0464-0067,nzd0464-0068,nzd0464-0069,nzd0464-0070,nzd0464-0071,nzd0464-0072,nzd0464-0073,nzd0464-0074,nzd0464-0075,nzd0464-0076,nzd0464-0077,nzd0464-0078,nzd0464-0079,nzd0464-0080,nzd0464-0081,nzd0464-0082,nzd0464-0083,nzd0464-0084,nzd0464-0085,nzd0464-0086,nzd0464-0087,nzd0464-0088,nzd0464-0089,nzd0464-0090,nzd0464-0091,nzd0464-0092,nzd0464-0093,nzd0464-0094,nzd0464-0095,nzd0464-0096,nzd0464-0097,nzd0464-0098,nzd0464-0099,nzd0464-0100,nzd0464-0101,nzd0464-0102,nzd0464-0103,nzd0464-0104,nzd0464-0105,nzd0464-0106,nzd0464-0107,nzd0464-0108,nzd0464-0109,nzd0464-0110,nzd0464-0111,nzd0464-0112,nzd0464-0113,nzd0464-0114,nzd0464-0115,nzd0464-0116,nzd0464-0117,nzd0464-0118,nzd0464-0119,nzd0464-0120,nzd0464-0121,nzd0464-0122,nzd0464-0123,nzd0464-0124,nzd0464-0125,nzd0464-0126,nzd0464-0127,nzd0464-0128,nzd0464-0129,nzd0464-0130,nzd0464-0131,nzd0464-0132,nzd0464-0133,satname
1999-08-26 22:07:08+00:00,327.40,325.57,325.50,318.77,321.24,324.89,321.00,325.11,320.42,320.12,320.75,319.14,319.11,318.07,320.51,322.21,324.14,324.34,320.17,315.24,315.67,321.07,328.06,323.65,320.99,321.09,319.36,316.35,311.47,310.70,313.74,318.26,320.04,325.27,326.59,322.95,322.33,323.48,326.33,328.84,327.41,324.63,322.56,325.94,327.64,329.30,329.48,333.72,325.89,326.76,325.27,318.30,311.31,318.34,306.76,308.59,309.78,311.66,292.48,295.31,310.89,313.72,322.85,318.92,319.78,319.35,321.24,314.12,310.21,308.43,308.42,306.69,306.43,308.81,305.91,308.68,308.68,306.36,298.69,306.03,314.54,323.40,331.85,334.36,331.66,328.33,326.16,327.35,325.33,320.37,312.59,320.88,313.92,309.18,315.76,316.94,322.22,326.20,328.75,320.97,320.25,320.50,319.99,313.15,320.27,319.05,319.87,322.44,322.46,330.66,321.39,325.76,323.15,329.89,322.87,319.89,320.09,321.55,316.64,315.27,319.13,327.94,325.55,324.26,320.49,319.55,312.54,317.63,322.53,314.72,321.60,313.65,311.26,314.40,L7
1999-09-27 22:07:12+00:00,330.99,327.51,331.71,330.68,333.63,331.70,333.36,339.15,334.60,335.95,334.92,336.29,332.69,327.74,327.33,326.05,331.35,332.76,334.21,337.24,337.02,343.45,,,,,,,,,,,,,,,,,,,,,,,344.50,343.46,351.81,348.58,342.66,338.96,339.22,336.04,333.14,332.28,324.60,315.84,319.97,323.52,317.42,319.50,320.29,330.62,330.68,332.77,331.74,333.19,332.11,331.78,330.14,323.89,326.46,322.96,322.12,319.29,320.37,319.67,323.93,328.03,327.06,330.88,332.15,330.58,339.05,334.05,337.11,343.33,336.21,336.48,337.55,340.27,338.26,335.01,331.84,331.66,331.69,336.05,338.93,334.54,339.78,333.25,343.02,342.42,345.22,345.51,353.69,353.82,352.17,349.20,344.94,340.91,334.35,331.52,330.94,338.35,336.56,342.98,343.27,347.12,349.93,344.56,349.15,348.78,350.79,349.46,341.86,338.39,336.71,329.26,330.74,325.60,324.58,317.71,327.56,331.60,L7
1999-10-13 22:07:12+00:00,339.48,342.08,339.33,339.65,341.31,340.19,342.48,342.70,341.84,337.31,334.09,333.94,336.29,339.99,334.12,339.50,339.03,334.24,338.83,337.40,334.67,337.73,339.86,340.65,342.08,337.34,336.44,338.40,335.97,336.18,334.48,336.70,338.43,341.76,340.78,338.41,339.93,341.33,344.05,342.11,339.02,343.80,346.43,343.61,345.26,345.86,345.17,347.11,340.28,338.51,336.79,332.30,330.04,333.23,326.63,329.85,329.76,320.55,321.73,329.09,332.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.87,337.90,347.33,347.87,348.11,347.45,350.67,351.86,351.49,342.32,340.29,342.01,333.67,334.03,333.80,337.53,335.08,339.37,338.77,343.94,343.64,346.76,343.69,335.30,335.90,337.52,334.61,331.31,333.62,332.17,338.34,333.35,338.49,336.26,334.36,328.88,331.92,326.76,331.17,332.54,L7
1999-12-16 22:07:09+00:00,,,,,,,,343.49,337.96,334.93,336.18,334.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-21 22:06:49+00:00,337.99,335.22,336.56,332.29,336.74,341.69,336.12,336.31,330.80,331.20,330.23,332.97,328.75,327.44,330.65,329.40,330.90,,,,,339.02,337.97,335.36,330.11,328.68,329.08,333.72,328.08,331.42,330.79,333.40,333.76,334.60,335.19,334.91,333.84,333.29,339.95,337.96,335.68,341.97,338.03,340.39,336.26,339.79,339.07,345.41,339.38,332.18,321.75,,322.73,331.53,322.35,322.64,329.02,327.77,320.09,320.47,329.72,335.10,336.02,332.90,331.30,329.48,334.57,327.68,321.78,322.30,323.50,325.55,318.00,318.18,316.78,315.34,320.40,323.15,326.67,332.00,332.42,340.81,344.21,350.70,352.08,346.34,341.20,340.83,340.15,336.56,334.48,333.03,328.19,332.75,333.54,340.18,,,,335.54,338.57,345.24,342.70,341.35,339.93,339.55,335.13,340.87,338.25,338.77,337.17,338.67,330.15,338.49,335.54,341.08,336.59,340.75,336.15,342.36,344.69,344.88,343.97,335.14,338.04,339.48,335.77,329.56,331.71,325.18,327.24,320.54,328.37,332.47,L7
2000-05-08 22:06:20+00:00,338.52,335.94,331.61,332.54,336.65,335.33,334.59,341.11,337.30,335.91,338.29,332.30,334.82,336.50,341.02,338.89,341.26,333.06,333.26,338.37,339.28,342.41,340.41,336.77,334.57,335.76,336.69,338.55,333.00,335.49,335.96,333.36,337.86,336.44,339.14,339.64,340.55,344.78,342.02,344.61,340.33,342.01,343.79,343.68,347.96,343.08,343.59,345.46,341.78,338.09,336.83,332.56,339.55,336.81,335.30,333.18,337.69,334.57,331.10,324.96,332.91,334.94,334.66,333.39,335.78,332.46,332.29,327.79,329.74,329.94,329.58,328.56,329.29,325.10,321.23,321.30,323.92,326.48,329.06,334.00,336.62,339.26,349.47,348.94,350.75,347.54,346.34,342.11,342.13,342.75,339.56,339.32,337.33,340.56,338.40,339.29,341.76,345.68,343.17,346.52,347.06,346.39,350.07,352.99,348.17,347.02,343.64,349.41,349.79,341.95,339.04,340.13,341.26,342.08,342.08,347.82,348.94,345.49,346.77,348.22,349.99,349.99,351.92,345.35,347.27,339.03,340.39,338.05,334.58,328.52,333.14,332.27,332.68,332.35,L7
2000-07-11 22:05:41+00:00,332.35,335.79,334.79,339.58,332.34,331.05,336.46,335.07,328.56,332.35,325.94,328.46,327.91,329.28,331.32,332.77,336.16,334.93,338.18,338.93,333.69,335.03,334.94,333.78,334.00,328.53,328.22,326.35,331.54,337.36,340.09,335.82,334.63,328.45,333.69,336.92,340.96,340.46,337.70,339.49,338.60,337.74,335.45,339.54,345.43,340.85,345.46,343.25,337.12,337.20,335.84,331.82,327.70,328.33,327.65,319.08,323.08,322.38,324.41,316.62,324.18,325.37,324.66,329.72,331.35,331.01,328.32,324.79,321.20,320.63,321.57,318.00,321.03,320.46,323.97,319.48,325.31,321.22,324.92,335.79,329.65,341.32,339.90,343.36,343.71,344.62,343.10,337.86,336.17,332.01,336.94,326.87,328.44,329.91,333.16,333.27,340.58,336.11,338.88,338.61,343.72,337.49,339.18,344.22,342.55,339.14,341.97,341.99,344.27,333.83,337.87,332.00,334.14,342.16,340.17,337.80,342.93,343.60,341.64,341.40,336.01,340.66,334.61,334.84,333.45,331.18,333.13,331.13,322.15,323.99,319.44,314.87,329.01,324.55,L7
2000-07-27 22:05:24+00:00,342.33,338.67,340.20,341.89,341.11,342.04,342.50,344.95,342.03,342.17,338.95,334.45,338.30,333.88,335.53,340.69,342.38,343.01,342.95,347.48,347.37,349.47,347.12,342.14,339.21,336.73,336.43,341.48,339.36,343.36,345.30,344.49,342.80,340.71,346.15,345.67,348.74,344.42,341.07,346.11,346.81,346.85,349.03,346.03,349.76,350.69,347.09,348.27,345.91,346.11,342.54,338.64,339.60,332.53,334.69,331.30,332.73,320.67,333.24,327.58,331.55,337.80,334.01,339.35,338.53,334.96,333.99,331.85,328.14,329.18,329.52,330.68,332.17,332.32,330.05,336.16,335.37,343.06,339.77,343.97,347.88,352.35,354.64,354.50,354.96,350.95,351.62,352.17,350.39,348.87,348.81,349.50,346.06,349.40,345.47,345.46,350.11,350.01,347.41,351.07,353.45,353.13,358.88,355.54,361.61,356.28,359.77,355.36,352.74,352.87,350.55,351.59,351.30,354.44,352.82,357.95,360.37,357.08,352.56,354.29,353.80,349.82,349.61,346.55,348.72,343.67,341.65,338.65,337.05,337.07,337.99,336.95,339.21,341.54,L7
2000-08-12 22:05:17+00:00,338.35,339.98,336.19,333.41,338.26,337.78,338.95,341.57,335.68,336.68,335.31,331.01,335.24,335.44,336.60,333.83,337.45,334.23,338.52,340.25,341.23,344.95,344.80,340.61,336.03,337.09,336.69,342.56,339.62,339.50,338.45,338.82,339.63,340.90,338.19,342.42,343.97,340.53,340.71,343.29,344.97,345.98,344.50,349.35,345.33,344.14,344.49,347.83,344.44,340.71,342.75,338.62,339.26,336.97,334.02,326.34,330.69,328.00,326.49,326.71,333.49,338.61,336.88,335.07,333.57,333.84,332.24,333.09,331.83,329.11,332.21,328.18,328.97,324.90,326.24,324.72,324.16,331.35,333.14,335.79,337.64,348.70,352.38,356.51,353.10,349.95,346.70,345.32,342.85,341.64,339.40,337.72,339.93,338.52,337.60,343.04,344.42,347.76,347.10,346.25,349.84,351.01,349.42,349.71,350.69,345.31,349.23,345.73,346.56,346.20,349.19,348.02,346.31,346.75,352.87,349.17,352.69,352.33,349.94,349.08,354.38,344.72,347.24,345.98,344.26,345.43,340.65,335.88,337.69,335.04,332.82,336.02,332.72,336.35,L7
2000-12-18 22:04:37+00:00,336.29,331.23,331.02,334.19,330.63,329.37,334.09,330.88,330.00,328.89,328.21,323.92,326.27,327.30,328.33,328.68,331.17,331.10,330.92,329.69,333.48,332.95,331.60,331.65,329.86,328.02,329.81,329.57,325.74,327.32,330.21,327.36,323.96,329.99,331.66,327.95,328.95,329.70,329.55,331.37,333.37,335.99,336.05,332.24,331.29,339.32,336.68,340.03,333.42,331.15,329.57,327.98,316.56,312.14,315.30,322.13,319.43,307.92,305.99,302.49,324.81,326.17,324.67,323.29,326.01,320.21,318.95,321.16,319.20,319.54,315.85,314.78,313.66,314.50,312.42,313.32,314.38,316.70,317.76,320.02,321.30,325.91,330.76,335.48,322.40,323.29,324.05,323.71,326.23,324.36,322.33,321.83,318.61,326.73,318.69,319.73,321.40,334.10,326.07,332.84,327.47,323.85,329.21,334.12,334.19,329.01,329.39,324.96,325.95,323.52,322.51,318.30,321.64,320.14,322.14,326.50,336.99,326.87,328.79,323.26,328.32,321.22,321.05,323.18,317.05,313.99,311.73,309.71,312.09,317.02,312.66,316.69,312.11,314.32,L7
