dates,nzd0280-0000,nzd0280-0001,nzd0280-0002,nzd0280-0003,nzd0280-0004,nzd0280-0005,nzd0280-0006,nzd0280-0007,nzd0280-0008,nzd0280-0009,nzd0280-0010,nzd0280-0011,nzd0280-0012,nzd0280-0013,nzd0280-0014,nzd0280-0015,nzd0280-0016,nzd0280-0017,nzd0280-0018,nzd0280-0019,nzd0280-0020,nzd0280-0021,nzd0280-0022,nzd0280-0023,nzd0280-0024,nzd0280-0025,nzd0280-0026,nzd0280-0027,nzd0280-0028,nzd0280-0029,nzd0280-0030,nzd0280-0031,nzd0280-0032,nzd0280-0033,nzd0280-0034,nzd0280-0035,nzd0280-0036,nzd0280-0037,nzd0280-0038,nzd0280-0039,nzd0280-0040,nzd0280-0041,nzd0280-0042,nzd0280-0043,nzd0280-0044,nzd0280-0045,nzd0280-0046,nzd0280-0047,nzd0280-0048,nzd0280-0049,nzd0280-0050,nzd0280-0051,nzd0280-0052,nzd0280-0053,nzd0280-0054,nzd0280-0055,nzd0280-0056,nzd0280-0057,nzd0280-0058,nzd0280-0059,nzd0280-0060,nzd0280-0061,nzd0280-0062,nzd0280-0063,nzd0280-0064,nzd0280-0065,nzd0280-0066,nzd0280-0067,nzd0280-0068,nzd0280-0069,nzd0280-0070,nzd0280-0071,nzd0280-0072,nzd0280-0073,nzd0280-0074,nzd0280-0075,nzd0280-0076,nzd0280-0077,nzd0280-0078,nzd0280-0079,nzd0280-0080,nzd0280-0081,nzd0280-0082,nzd0280-0083,nzd0280-0084,nzd0280-0085,nzd0280-0086,nzd0280-0087,nzd0280-0088,nzd0280-0089,nzd0280-0090,nzd0280-0091,nzd0280-0092,nzd0280-0093,nzd0280-0094,nzd0280-0095,nzd0280-0096,nzd0280-0097,nzd0280-0098,nzd0280-0099,nzd0280-0100,nzd0280-0101,nzd0280-0102,nzd0280-0103,nzd0280-0104,nzd0280-0105,nzd0280-0106,nzd0280-0107,nzd0280-0108,nzd0280-0109,nzd0280-0110,nzd0280-0111,nzd0280-0112,nzd0280-0113,nzd0280-0114,nzd0280-0115,nzd0280-0116,nzd0280-0117,nzd0280-0118,nzd0280-0119,nzd0280-0120,nzd0280-0121,nzd0280-0122,nzd0280-0123,nzd0280-0124,nzd0280-0125,nzd0280-0126,nzd0280-0127,nzd0280-0128,nzd0280-0129,nzd0280-0130,nzd0280-0131,nzd0280-0132,nzd0280-0133,nzd0280-0134,nzd0280-0135,nzd0280-0136,nzd0280-0137,nzd0280-0138,nzd0280-0139,nzd0280-0140,nzd0280-0141,nzd0280-0142,nzd0280-0143,nzd0280-0144,nzd0280-0145,nzd0280-0146,nzd0280-0147,nzd0280-0148,nzd0280-0149,nzd0280-0150,nzd0280-0151,nzd0280-0152,nzd0280-0153,nzd0280-0154,nzd0280-0155,nzd0280-0156,nzd0280-0157,nzd0280-0158,nzd0280-0159,nzd0280-0160,nzd0280-0161,nzd0280-0162,nzd0280-0163,nzd0280-0164,nzd0280-0165,nzd0280-0166,nzd0280-0167,nzd0280-0168,satname
1999-08-21 21:46:56+00:00,341.17,360.69,356.82,358.01,354.73,359.73,357.60,356.64,360.41,361.88,358.64,366.94,361.87,365.35,354.42,360.13,355.06,357.55,352.77,361.13,355.87,353.81,356.57,357.37,351.62,351.64,347.93,346.63,342.01,346.12,349.92,346.80,351.24,342.92,343.13,335.89,338.73,338.58,341.25,345.07,344.94,342.32,339.05,335.33,332.98,339.73,344.68,346.34,339.88,342.97,345.62,358.59,359.54,361.55,355.23,345.50,354.83,356.68,356.43,353.39,359.62,355.37,353.81,351.01,346.67,342.76,337.10,337.89,334.61,326.94,335.51,339.05,337.36,342.43,344.11,341.11,344.73,351.69,350.19,352.84,353.02,353.65,356.20,364.20,361.88,364.04,357.87,357.57,355.05,356.13,357.11,357.58,364.99,357.49,357.56,345.97,360.20,366.74,359.60,358.03,355.13,347.85,350.41,336.82,343.68,350.85,347.95,335.62,341.07,331.01,337.91,343.91,339.73,341.44,341.54,344.10,345.83,347.61,354.22,339.95,341.40,343.08,334.94,335.48,328.87,330.34,332.12,324.06,321.61,321.50,326.35,327.18,327.39,332.60,330.57,337.43,339.37,338.76,336.95,346.99,336.26,336.88,334.89,334.70,334.90,352.10,346.97,343.29,336.93,351.83,351.49,351.75,346.98,349.02,350.88,345.37,341.59,337.13,340.61,338.45,336.62,340.44,338.15,340.22,344.92,339.73,346.95,347.93,341.96,L7
1999-09-22 21:47:00+00:00,345.57,368.49,370.96,368.36,365.20,370.90,364.20,369.51,370.72,372.38,372.64,371.62,358.15,366.38,368.15,361.72,363.11,362.03,369.70,369.03,367.05,366.70,364.72,361.20,358.13,357.69,357.20,348.72,357.04,347.70,353.96,359.10,354.30,347.85,353.22,346.04,350.05,346.29,347.43,350.37,361.26,352.74,357.14,340.66,340.44,344.96,345.72,343.53,344.86,353.64,362.86,363.26,365.78,359.51,359.65,356.01,352.70,358.27,362.41,365.66,360.87,362.70,353.22,351.86,344.90,351.24,348.82,340.32,333.21,330.82,329.26,340.97,343.83,341.59,341.57,353.60,346.53,348.63,347.38,348.45,349.55,346.86,363.53,370.53,370.39,363.57,360.63,359.48,361.24,360.74,367.13,364.68,368.69,358.67,373.20,371.63,369.93,367.63,365.10,357.77,352.51,344.96,347.53,340.42,354.50,366.52,356.97,346.81,342.74,342.86,337.81,336.49,337.05,341.19,350.88,354.00,359.24,360.13,359.79,339.17,335.97,337.24,331.74,334.45,340.95,344.32,339.67,330.86,332.44,334.00,327.08,327.38,324.08,334.61,332.19,341.22,348.00,355.06,354.46,348.53,346.45,344.50,331.59,346.83,355.60,359.96,356.26,352.38,344.91,348.00,349.61,364.39,363.38,354.07,346.65,339.40,339.85,345.11,351.62,353.80,354.93,349.62,341.65,333.91,340.91,348.13,348.01,347.02,346.81,L7
1999-10-24 21:46:56+00:00,349.04,361.87,361.30,368.69,365.56,359.20,368.03,362.01,369.38,373.47,369.02,368.29,366.65,362.34,369.12,373.68,366.19,372.07,363.58,369.64,368.26,368.65,364.33,361.90,356.62,358.19,354.10,356.46,351.71,350.46,346.46,348.89,341.15,345.56,340.68,349.63,355.35,360.79,365.51,363.59,363.02,361.03,352.55,351.60,341.55,351.34,347.30,352.94,365.26,365.18,367.26,363.26,365.15,365.91,364.36,358.21,366.06,375.02,372.41,366.91,366.20,365.07,357.56,361.19,357.83,354.71,353.40,344.79,345.85,333.44,343.92,336.86,337.48,334.57,343.05,337.71,349.17,342.67,348.01,348.30,352.90,368.82,367.35,370.84,368.32,366.87,363.69,362.42,359.87,368.33,367.24,374.82,374.09,378.85,372.47,373.42,368.19,363.61,365.77,359.58,355.75,356.73,359.81,356.42,364.02,363.89,357.05,354.78,346.75,349.00,347.13,344.04,347.48,355.06,363.61,365.74,367.62,361.85,356.97,353.28,353.32,343.13,351.86,354.04,355.39,346.99,341.39,345.93,342.89,350.39,346.37,338.90,333.70,338.13,337.49,342.85,344.05,350.01,347.29,343.20,344.94,344.24,347.08,359.58,359.95,362.76,361.23,357.54,359.44,360.87,357.11,366.84,360.21,356.08,356.90,345.65,351.14,358.29,353.99,353.34,351.41,348.17,346.62,346.11,351.85,353.97,349.15,346.55,345.28,L7
2000-02-13 21:46:48+00:00,347.00,362.64,368.32,368.75,368.05,368.72,368.44,364.81,364.98,363.45,367.66,366.99,360.11,372.50,375.98,368.38,363.30,365.20,367.80,364.11,361.66,360.99,354.49,352.77,351.43,349.03,347.42,348.20,348.14,348.83,346.79,348.93,344.09,338.26,344.27,347.25,348.77,348.37,340.86,346.57,348.33,345.87,348.46,343.52,339.78,338.50,345.92,356.47,359.10,359.75,360.43,361.47,361.06,358.63,356.03,359.76,366.32,368.73,376.80,374.91,362.91,359.91,359.81,356.29,345.73,345.50,349.95,343.86,340.10,338.64,337.69,335.25,340.36,340.98,339.68,346.37,347.18,352.30,346.12,354.56,360.32,366.10,360.60,358.75,362.60,366.31,350.97,353.07,350.74,341.78,358.77,358.71,360.02,365.60,361.24,360.16,352.90,347.95,341.09,337.57,339.98,338.05,349.55,359.16,361.52,360.96,361.12,357.81,353.04,345.76,336.32,338.30,340.29,342.12,357.51,356.47,352.26,347.36,339.70,333.32,328.37,331.67,333.35,339.71,345.90,349.80,345.17,342.21,327.54,328.00,321.31,315.93,315.75,317.68,329.75,333.51,341.95,339.25,341.25,336.92,329.85,334.16,334.70,337.44,346.78,350.71,353.68,349.46,348.82,348.55,354.61,353.20,354.90,349.95,343.00,339.76,338.61,340.59,349.27,344.21,348.37,341.33,340.71,340.76,342.39,346.08,348.49,347.61,350.39,L7
2000-05-19 21:46:07+00:00,349.05,359.06,358.66,363.23,365.35,366.33,362.32,364.16,364.84,368.15,367.91,367.21,369.75,372.48,363.92,365.54,363.96,361.39,354.52,360.52,366.11,358.00,360.36,349.86,357.07,347.93,352.55,352.14,349.04,350.80,346.45,349.45,348.40,346.97,349.27,347.04,349.79,351.39,346.99,334.04,336.02,323.76,324.22,323.72,323.29,302.24,,,,,,,,,,,,,348.69,360.26,364.68,360.39,353.84,350.22,347.27,348.90,345.63,341.85,343.50,339.17,338.77,341.55,339.94,341.42,342.28,339.70,339.67,345.86,349.64,359.84,365.88,359.49,358.49,355.29,357.50,343.19,345.55,353.34,359.98,356.99,355.18,356.54,355.62,355.81,358.53,359.52,358.64,352.86,357.13,363.45,364.60,358.14,355.42,355.99,358.02,355.59,355.27,353.01,353.36,346.20,344.93,345.08,349.62,350.51,347.09,348.73,346.99,345.87,345.25,339.34,336.27,341.89,342.05,345.23,341.95,,,,333.60,335.88,333.95,335.92,333.81,338.45,337.31,344.64,337.72,342.19,335.18,334.62,333.08,338.51,337.72,343.35,338.50,342.36,337.96,343.15,340.80,345.38,348.95,355.56,357.75,353.10,355.76,348.04,347.53,346.75,348.52,346.79,342.73,341.43,340.36,341.83,352.33,351.42,352.62,354.25,347.80,L7
2000-08-07 21:45:08+00:00,341.67,353.76,355.01,350.40,351.20,355.46,354.67,354.37,360.05,363.93,364.34,363.17,360.42,360.21,351.68,355.16,348.49,348.04,346.08,351.86,347.60,350.34,346.91,342.92,347.00,345.71,342.65,344.67,342.23,345.78,338.86,334.10,331.83,333.07,337.85,344.49,337.20,340.17,337.28,335.80,334.01,330.72,332.11,330.77,342.98,345.70,347.90,346.36,347.76,349.09,349.37,334.79,332.60,341.63,349.55,363.28,370.01,365.35,364.14,354.00,355.66,349.10,348.02,341.07,339.77,337.20,338.31,339.62,335.88,330.96,330.61,328.57,328.71,331.65,330.04,325.27,326.92,340.82,350.86,359.15,357.95,355.58,352.56,350.66,348.20,347.79,344.62,352.88,357.41,355.29,354.17,355.96,357.04,350.61,347.36,351.36,348.98,348.83,353.75,347.36,351.30,351.34,351.25,342.24,344.70,341.87,342.61,345.72,342.26,337.17,328.48,340.68,344.98,346.27,346.17,344.08,347.44,340.29,332.34,325.54,332.54,335.39,343.37,338.27,335.62,336.43,,,332.16,325.97,323.55,320.62,325.39,330.41,333.01,329.01,332.33,341.43,334.05,332.72,332.86,342.15,346.43,340.35,342.09,340.08,343.05,342.64,346.58,349.16,348.51,341.12,346.61,343.19,345.73,347.57,342.26,341.46,341.31,345.52,335.03,337.20,333.91,334.64,338.08,336.36,344.00,342.22,343.14,L7
2000-10-26 21:44:22+00:00,323.01,359.48,357.47,358.49,357.99,361.06,364.20,369.50,364.04,367.88,367.12,366.91,367.86,367.29,365.82,368.09,362.88,357.73,356.94,356.99,353.91,355.76,350.72,357.37,357.64,355.74,354.79,351.28,348.53,344.81,342.47,337.51,336.86,332.88,335.37,330.08,344.11,345.50,346.96,338.78,335.95,341.14,342.85,335.95,355.84,361.54,352.32,350.80,347.18,345.43,340.53,345.13,345.55,361.66,364.65,372.57,375.19,367.69,363.82,363.87,358.79,353.45,343.43,343.33,338.90,336.71,333.00,337.07,340.47,339.81,339.75,339.38,338.39,331.90,326.60,333.33,339.81,343.88,353.14,350.71,351.80,355.27,353.47,353.28,351.45,343.63,351.41,356.62,357.46,357.20,355.19,352.11,351.58,353.44,355.42,343.48,349.14,345.42,350.90,351.59,351.95,342.12,347.07,347.19,349.87,344.70,347.41,341.91,339.90,323.91,339.00,339.96,338.66,346.89,350.39,343.80,343.13,342.27,337.22,340.05,341.98,344.78,337.48,335.08,332.32,335.95,327.98,327.99,323.59,324.88,324.07,330.67,330.70,332.64,335.14,331.28,328.26,339.80,329.14,338.90,,,,,,,,,,,,,,,,,,,,,,,,,,298.18,310.24,314.18,324.39,L7
2000-11-27 21:44:26+00:00,366.87,366.24,367.63,360.50,352.30,358.65,353.52,367.98,367.15,369.41,374.76,370.05,373.40,370.57,363.46,364.77,365.62,365.21,363.08,363.08,360.37,360.06,364.31,361.95,360.21,356.60,359.93,361.43,360.62,353.07,347.02,345.11,343.09,,345.91,347.12,350.88,354.94,359.52,346.81,343.45,341.73,344.68,362.82,364.38,368.94,367.43,367.55,374.20,372.33,356.24,355.78,362.68,367.71,370.26,374.41,376.44,381.01,376.45,374.50,373.92,362.30,353.74,349.19,349.15,342.71,343.78,349.32,356.25,357.07,362.36,359.55,354.17,344.31,340.22,339.58,344.03,347.02,357.26,370.04,369.74,365.99,361.01,358.65,357.58,366.02,371.46,371.82,379.30,382.02,366.72,358.39,358.07,358.24,354.17,362.01,351.55,365.25,367.35,367.23,361.89,361.51,355.00,369.05,366.72,363.27,358.20,356.41,349.61,346.44,340.72,343.57,351.63,367.04,363.75,344.60,330.85,346.23,347.67,346.08,347.33,347.63,342.78,345.64,340.83,346.32,344.91,345.35,337.57,328.14,330.24,,,,346.95,342.24,339.24,345.81,355.85,348.48,344.42,346.45,348.65,349.73,349.49,348.07,356.50,364.19,365.83,362.43,364.28,357.50,357.74,365.51,361.88,349.00,347.48,348.04,357.55,357.98,353.47,353.00,355.27,355.53,354.06,352.24,351.19,354.19,354.30,L7
2000-12-13 21:44:28+00:00,368.47,384.89,384.39,385.69,387.70,386.13,388.20,389.83,390.40,388.30,392.90,388.95,391.59,389.50,385.03,381.31,380.91,381.76,375.62,378.41,373.54,377.56,374.01,371.67,378.16,374.81,373.82,373.86,370.38,367.78,362.86,357.12,354.28,356.24,355.89,359.03,364.18,365.11,364.29,358.90,358.02,353.72,358.82,374.28,377.44,376.38,376.25,372.97,377.23,373.43,372.15,368.74,369.52,373.26,379.59,385.04,389.84,391.09,390.68,384.62,380.05,373.19,372.48,360.07,361.87,357.64,361.34,362.42,369.86,368.34,365.44,360.93,354.81,346.98,348.21,352.93,364.20,373.64,379.12,384.57,380.51,376.94,373.63,369.10,372.94,373.66,379.12,386.58,386.37,390.76,382.40,382.69,378.02,378.47,373.01,378.07,374.86,378.08,379.94,376.80,371.85,373.81,375.51,379.25,375.70,373.66,370.62,364.20,363.27,361.16,358.90,360.93,375.24,377.58,376.08,376.98,368.48,367.64,368.06,361.94,361.10,362.18,366.10,358.21,364.55,371.09,,,,,,,,359.43,363.82,361.21,358.66,365.94,366.35,366.27,364.17,368.01,368.75,366.58,367.30,370.24,368.66,370.29,371.06,373.26,376.27,371.49,371.18,362.29,370.31,371.81,367.06,366.51,363.18,362.44,363.80,362.91,363.59,361.03,366.17,364.34,361.93,362.41,367.03,L7
2001-01-14 21:44:33+00:00,344.09,345.65,344.16,347.30,346.84,354.31,351.18,360.61,351.85,356.12,346.30,352.35,342.83,353.82,346.90,343.89,353.41,353.38,351.72,347.88,344.39,342.04,338.61,346.07,341.02,343.80,339.04,336.21,335.69,330.59,325.77,323.73,323.02,320.38,322.70,318.70,323.90,324.05,323.14,325.23,322.29,315.47,318.92,347.96,347.03,341.08,346.50,338.67,333.73,331.04,342.91,335.79,332.89,340.01,347.26,354.52,351.19,352.26,358.83,355.89,353.06,345.94,336.82,329.09,321.94,321.15,327.33,331.75,338.62,331.37,321.97,328.64,331.40,323.49,317.02,319.24,323.22,339.44,345.36,356.50,345.76,339.19,333.78,335.32,334.76,341.27,350.89,353.51,362.81,359.23,353.33,347.02,340.53,327.87,326.18,336.69,338.35,329.42,336.96,339.61,335.26,341.90,338.53,342.66,345.89,344.27,335.86,332.74,328.55,324.84,322.45,327.94,339.04,341.66,345.34,339.69,335.26,328.89,331.39,328.76,332.99,330.20,328.81,324.90,329.81,331.99,340.67,338.49,325.66,323.21,325.47,324.81,323.99,328.05,332.00,328.52,336.42,335.61,334.70,328.04,328.69,333.85,338.35,334.35,336.85,338.04,338.44,337.04,340.22,348.01,341.52,341.60,339.74,342.29,341.21,339.10,334.74,333.68,331.36,329.79,332.71,331.43,330.08,330.27,330.22,332.23,333.23,339.72,346.16,L7
