dates,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0003,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0010,nzd0243-0011,nzd0243-0012,nzd0243-0013,nzd0243-0014,nzd0243-0015,nzd0243-0016,nzd0243-0017,nzd0243-0018,nzd0243-0019,nzd0243-0020,nzd0243-0021,nzd0243-0022,nzd0243-0023,nzd0243-0024,nzd0243-0025,nzd0243-0026,nzd0243-0027,nzd0243-0028,nzd0243-0029,nzd0243-0030,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034,satname
1999-08-21 21:46:33+00:00,322.30,320.15,323.40,332.78,334.97,340.14,346.79,350.99,342.14,344.83,349.01,357.69,353.23,363.77,366.92,355.13,357.14,356.01,358.93,363.00,372.30,373.88,364.15,363.99,364.01,362.37,372.94,368.99,366.31,356.81,356.06,359.56,360.27,376.54,376.06,L7
1999-09-06 21:46:35+00:00,321.29,317.75,319.97,331.86,337.59,340.25,351.99,348.39,346.96,339.59,344.97,357.15,352.00,355.27,353.59,351.00,361.13,356.73,362.46,361.03,369.48,376.24,368.57,,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,325.25,322.89,332.31,335.13,343.23,344.65,354.96,350.69,349.64,349.31,354.29,360.22,354.49,359.76,355.19,355.83,360.72,357.35,362.74,363.82,369.68,377.96,373.45,365.84,371.36,367.37,369.10,370.31,364.72,357.85,354.53,355.15,361.33,378.83,379.74,L7
2000-04-01 21:46:10+00:00,328.36,321.59,318.77,327.27,329.15,335.08,347.11,345.56,343.82,346.73,343.75,344.36,350.94,357.07,361.08,360.73,356.54,355.30,362.63,360.15,364.95,376.89,364.78,365.55,365.03,358.05,363.84,367.34,366.97,357.88,357.69,360.38,370.38,379.17,377.73,L7
2000-05-19 21:45:43+00:00,340.08,336.74,333.16,331.34,341.44,343.77,352.53,350.29,349.01,350.66,351.60,353.24,359.38,370.32,366.32,361.82,359.28,368.79,362.71,364.23,370.00,379.53,371.08,368.85,361.02,361.62,367.51,367.86,365.25,362.25,359.49,368.29,363.53,380.10,377.96,L7
2000-06-04 21:45:32+00:00,328.48,314.29,328.26,305.51,328.96,329.41,340.71,345.99,346.05,349.45,352.61,355.05,359.87,365.43,367.04,362.43,361.63,358.55,353.81,355.11,368.96,377.02,369.82,363.17,363.24,359.81,367.86,367.81,370.44,360.04,356.35,362.09,363.26,377.80,379.38,L7
2000-08-07 21:44:45+00:00,336.33,320.36,320.69,330.20,328.77,327.82,341.87,340.49,338.16,340.67,348.20,352.97,357.60,362.66,362.90,355.04,356.69,353.50,351.72,360.49,366.02,372.25,366.16,362.10,358.88,359.58,364.85,367.54,366.89,358.83,356.91,362.24,363.77,379.29,376.16,L7
2001-04-04 21:43:43+00:00,328.89,322.88,327.59,331.62,330.50,336.02,347.79,346.65,346.50,344.83,347.06,344.97,356.02,356.36,359.75,358.67,367.21,357.19,355.14,360.19,363.52,375.34,366.21,364.52,360.75,363.95,367.23,364.18,363.31,357.13,352.34,357.69,356.86,374.98,372.18,L7
2001-04-20 21:43:46+00:00,338.00,328.92,337.15,337.45,339.61,336.69,351.55,354.46,351.15,347.49,351.78,349.08,361.09,363.52,362.43,366.53,373.08,359.21,360.97,366.27,366.31,374.88,368.44,368.27,368.60,365.90,366.39,367.33,368.43,359.46,354.71,357.07,359.66,376.49,374.19,L7
2001-05-22 21:43:30+00:00,333.65,322.42,325.87,329.13,333.25,341.31,346.86,340.82,342.05,344.32,348.80,353.13,360.05,367.94,370.94,369.26,360.30,365.66,363.08,366.90,368.58,379.76,371.85,367.87,370.92,367.23,366.78,367.80,369.82,359.01,355.04,359.92,368.79,377.41,377.08,L7
2001-06-07 21:43:18+00:00,,,,,,,,,,,,381.12,361.84,353.72,359.74,373.19,,380.57,,,395.70,394.32,392.60,383.85,378.22,383.05,388.50,,387.47,,370.70,386.71,389.29,371.36,382.93,L7
2001-07-25 21:42:54+00:00,336.26,331.79,329.85,319.14,340.41,340.45,346.76,352.77,352.01,353.89,357.87,359.70,367.06,372.46,372.39,365.80,367.46,368.33,364.35,371.67,374.87,383.15,373.66,374.48,368.25,372.45,374.57,373.58,373.71,371.14,358.13,361.32,360.95,372.62,377.14,L7
2001-08-10 21:42:36+00:00,336.18,331.36,328.21,320.78,334.68,332.75,343.73,344.56,341.97,347.19,349.11,350.82,356.99,364.98,367.69,363.77,361.89,356.60,353.05,361.90,368.17,367.46,362.91,363.28,360.12,359.63,363.36,360.04,362.00,352.34,338.65,352.95,352.30,362.93,366.14,L7
2001-08-26 21:42:25+00:00,332.20,327.70,324.91,321.98,329.82,335.80,347.32,343.01,341.81,342.66,342.31,343.31,354.59,358.47,359.45,359.23,355.78,356.74,356.51,363.07,365.17,371.01,366.68,366.85,357.88,362.19,363.06,361.16,362.68,356.30,346.59,355.78,358.31,371.20,370.53,L7
2001-09-11 21:42:14+00:00,338.53,333.76,328.76,327.37,333.28,336.97,356.90,355.60,343.87,348.49,346.19,,,,,,,,363.76,366.50,371.63,371.73,366.10,366.89,360.91,367.68,369.49,369.02,367.12,363.97,354.01,362.31,359.88,376.62,375.12,L7
2001-09-27 21:42:05+00:00,350.69,350.39,347.34,344.56,345.72,346.27,356.66,370.64,359.73,355.97,358.71,359.63,365.54,377.22,370.81,375.73,377.23,376.82,371.16,375.20,383.97,378.35,375.36,371.62,373.62,374.94,374.09,370.49,369.26,358.75,353.36,354.23,359.09,376.65,374.81,L7
2001-10-13 21:41:51+00:00,339.64,334.61,335.37,332.56,332.37,335.90,354.27,364.78,356.73,355.99,346.87,346.17,361.03,373.17,361.02,359.15,364.37,364.08,367.82,368.17,378.44,380.93,376.96,368.44,373.49,367.49,368.60,368.94,367.04,360.78,355.11,356.65,364.06,376.33,370.41,L7
2001-10-29 21:41:57+00:00,342.06,335.85,339.50,347.34,333.70,340.18,367.03,369.65,356.35,356.67,351.75,351.23,360.61,363.63,369.30,365.34,368.75,370.23,371.17,369.13,382.91,380.68,379.34,370.58,373.33,373.00,369.06,371.60,365.25,356.83,350.38,354.61,358.01,373.03,369.85,L7
