dates,satname,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0003,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0010,nzd0243-0011,nzd0243-0012,nzd0243-0013,nzd0243-0014,nzd0243-0015,nzd0243-0016,nzd0243-0017,nzd0243-0018,nzd0243-0019,nzd0243-0020,nzd0243-0021,nzd0243-0022,nzd0243-0023,nzd0243-0024,nzd0243-0025,nzd0243-0026,nzd0243-0027,nzd0243-0028,nzd0243-0029,nzd0243-0030,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034
1999-08-21 21:46:33+00:00,L7,327.97,325.38,328.63,340.34,341.15,344.39,350.37,356.66,347.81,350.06,353.87,362.92,358.46,368.63,371.45,359.99,362.00,360.87,363.46,367.53,376.55,378.41,367.73,367.08,367.59,366.37,376.34,371.51,368.65,359.00,357.76,361.26,361.97,378.24,377.76
1999-09-06 21:46:35+00:00,L7,332.79,328.37,330.59,347.19,350.14,348.87,359.25,359.89,358.46,350.21,354.83,367.77,362.62,365.13,362.79,360.86,370.99,366.59,371.66,370.23,378.10,385.44,375.83,,,,,,,,,,,,
1999-09-22 21:46:36+00:00,L7,334.42,331.35,340.77,347.35,353.23,351.53,360.75,359.86,358.81,357.77,362.15,368.68,362.95,367.62,362.52,363.69,368.58,365.21,370.07,371.15,376.55,385.29,379.24,370.84,377.15,373.84,374.60,374.38,368.51,361.40,357.28,357.90,364.08,381.58,382.49
2000-04-01 21:46:10+00:00,L7,337.19,329.74,326.92,339.05,338.79,341.71,352.69,354.39,352.65,354.88,351.32,352.51,359.09,364.64,368.15,368.30,364.11,362.87,369.70,367.22,371.58,383.96,370.36,370.37,370.61,364.29,369.14,371.27,370.63,361.30,360.34,363.03,373.03,381.82,380.38
2000-05-19 21:45:43+00:00,L7,337.25,334.12,330.54,327.56,338.35,341.65,350.74,347.46,346.18,348.04,349.17,350.62,356.76,367.89,364.05,359.39,356.85,366.36,360.44,361.96,367.87,377.26,369.29,367.30,359.23,359.62,365.81,366.60,364.08,361.15,358.64,367.44,362.68,379.25,377.11
2000-06-04 21:45:32+00:00,L7,320.48,306.91,320.88,294.84,320.23,323.41,335.66,337.99,338.05,342.07,345.75,347.67,352.49,358.57,360.64,355.57,354.77,351.69,347.41,348.71,362.96,370.62,364.77,358.81,358.19,354.16,363.06,364.25,367.13,356.94,353.95,359.69,360.86,375.40,376.98
2000-08-07 21:44:45+00:00,L7,336.66,320.67,321.00,330.64,329.13,328.07,342.08,340.82,338.49,340.98,348.49,353.28,357.91,362.95,363.17,355.33,356.98,353.79,351.99,360.76,366.27,372.52,366.37,362.28,359.09,359.82,365.05,367.69,367.03,358.96,357.01,362.34,363.87,379.39,376.26
2001-04-04 21:43:43+00:00,L7,340.72,333.80,338.51,347.40,343.41,344.90,355.26,358.48,358.33,355.75,357.20,355.89,366.94,366.50,369.22,368.81,377.35,367.33,364.61,369.66,372.40,384.81,373.68,370.97,368.22,372.30,374.33,369.44,368.21,361.71,355.89,361.24,360.41,378.53,375.73
2001-04-20 21:43:46+00:00,L7,346.50,336.77,345.00,348.78,348.88,343.06,356.92,362.96,359.65,355.34,359.07,356.93,368.94,370.81,369.23,373.82,380.37,366.50,367.77,373.07,372.68,381.68,373.81,372.91,373.97,371.90,371.49,371.11,371.95,362.75,357.26,359.62,362.21,379.04,376.74
2001-05-22 21:43:30+00:00,L7,338.32,326.73,330.18,335.35,338.34,344.81,349.81,345.49,346.72,348.63,352.80,357.44,364.36,371.94,374.67,373.26,364.30,369.66,366.81,370.63,372.08,383.49,374.80,370.42,373.87,370.52,369.58,369.87,371.75,360.82,356.44,361.32,370.19,378.81,378.48
2001-06-07 21:43:18+00:00,L7,,,,,,,,,,,,377.27,357.99,350.15,356.41,369.62,,377.00,,,392.58,390.99,389.97,381.58,375.59,380.11,386.00,,385.75,,369.45,385.46,388.04,370.11,381.68
2001-07-25 21:42:54+00:00,L7,324.59,321.02,319.08,303.58,327.68,331.70,339.39,341.10,340.34,343.12,347.87,348.93,356.29,362.46,363.06,355.80,357.46,358.33,355.02,362.34,366.12,373.82,366.29,368.12,360.88,364.21,367.57,368.39,368.88,366.62,354.63,357.82,357.45,369.12,373.64
2001-08-10 21:42:36+00:00,L7,329.68,325.36,322.21,312.11,327.59,327.88,339.62,338.06,335.47,341.19,343.54,344.82,350.99,359.41,362.49,358.20,356.32,351.03,347.85,356.70,363.29,362.26,358.80,359.73,356.01,355.04,359.46,357.15,359.31,349.82,336.70,351.00,350.35,360.98,364.19
2001-08-26 21:42:25+00:00,L7,332.53,328.01,325.22,322.42,330.18,336.05,347.53,343.34,342.14,342.97,342.60,343.62,354.90,358.76,359.72,359.52,356.07,357.03,356.78,363.34,365.42,371.28,366.89,367.03,358.09,362.43,363.26,361.31,362.82,356.43,346.69,355.88,358.41,371.30,370.63
2001-09-11 21:42:14+00:00,L7,337.86,333.14,328.14,326.48,332.55,336.47,356.48,354.93,343.20,347.87,345.62,,,,,,,,363.23,365.97,371.13,371.20,365.68,366.53,360.49,367.21,369.09,368.72,366.84,363.71,353.81,362.11,359.68,376.42,374.92
2001-09-27 21:42:05+00:00,L7,358.02,357.16,354.11,354.34,353.72,351.77,361.29,377.97,367.06,362.74,365.00,366.40,372.31,383.51,376.68,382.02,383.52,383.11,377.03,381.07,389.47,384.22,379.99,375.62,378.25,380.12,378.49,373.75,372.29,361.59,355.56,356.43,361.29,378.85,377.01
2001-10-13 21:41:51+00:00,L7,350.81,344.92,345.68,347.45,344.55,344.28,361.32,375.95,367.90,366.30,356.44,356.48,371.34,382.74,369.95,368.72,373.94,373.65,376.75,377.10,386.81,389.86,384.01,374.53,380.54,375.37,375.30,373.90,371.66,365.10,358.46,360.00,367.41,379.68,373.76
2001-10-29 21:41:57+00:00,L7,349.39,342.62,346.27,357.12,341.70,345.68,371.66,376.98,363.68,363.44,358.04,358.00,367.38,369.92,375.17,371.63,375.04,376.52,377.04,375.00,388.41,386.55,383.97,374.58,377.96,378.18,373.46,374.86,368.28,359.67,352.58,356.81,360.21,375.23,372.05
2002-02-18 21:42:30+00:00,L7,321.66,313.34,315.93,318.16,323.91,328.33,341.44,340.17,337.81,339.06,340.76,342.98,349.21,353.42,358.84,361.45,353.69,351.69,360.25,364.53,364.50,376.31,365.21,361.06,356.58,357.00,362.77,360.02,357.91,356.12,343.65,355.22,356.24,367.62,365.90
2002-04-07 21:42:28+00:00,L7,,,,347.31,342.54,349.26,358.60,364.82,362.68,361.28,355.19,359.11,364.19,368.94,373.21,376.07,375.54,369.95,370.92,373.60,386.75,388.58,381.80,375.02,377.03,373.15,376.90,374.81,374.03,364.98,357.19,359.42,364.98,378.53,375.56
2002-08-29 21:41:39+00:00,L7,309.42,306.71,314.96,326.68,318.82,320.83,331.79,334.86,333.52,337.19,344.02,346.78,348.06,350.24,357.38,353.39,351.62,351.08,345.44,346.47,360.33,364.97,362.98,356.30,359.30,359.72,366.86,363.00,362.52,355.65,346.69,354.53,357.20,364.82,370.56
2002-09-14 21:41:31+00:00,L7,332.79,325.93,327.86,344.06,339.05,338.83,344.45,353.88,348.08,350.84,354.06,357.16,357.85,361.19,364.54,364.02,360.86,359.09,358.98,357.19,365.58,370.99,363.76,364.10,366.39,364.85,368.46,365.59,365.59,358.00,350.58,356.86,361.26,372.27,375.13
2002-11-01 21:41:30+00:00,L7,339.19,335.17,339.33,354.04,357.81,361.98,364.01,366.73,365.41,365.73,367.16,372.60,374.20,374.14,370.25,373.85,364.87,367.34,357.68,358.81,366.57,376.59,367.61,367.11,365.77,367.90,369.70,367.39,366.91,358.31,349.92,357.34,360.76,378.79,378.31
2003-01-20 21:42:09+00:00,L7,330.42,326.19,321.78,336.98,334.49,342.56,343.71,339.56,339.49,342.36,342.99,348.88,356.36,360.98,359.81,358.01,355.38,355.03,349.39,354.21,360.02,364.90,361.94,355.43,351.33,354.45,360.48,360.95,361.86,352.56,346.68,353.91,353.23,364.41,366.07
2003-02-05 21:42:17+00:00,L7,328.80,323.00,325.63,335.46,335.53,339.24,334.23,336.28,340.85,343.17,342.54,336.30,351.09,356.27,356.78,352.30,354.22,350.61,347.88,351.82,358.11,360.36,360.32,352.17,352.79,354.62,359.94,358.93,359.37,348.16,342.55,353.09,350.61,359.82,356.40
2003-02-21 21:42:20+00:00,L7,344.89,332.50,342.02,346.39,347.99,350.41,355.48,345.34,346.10,347.70,351.99,354.88,360.16,366.81,365.44,357.96,357.16,365.74,369.05,366.63,368.23,378.27,369.01,367.65,363.85,359.53,365.66,369.54,367.58,361.00,354.98,360.97,364.00,381.51,378.49
2003-05-28 21:42:22+00:00,L7,343.68,333.70,343.54,344.61,343.02,346.88,361.66,364.68,350.97,356.62,359.40,362.22,371.05,368.46,366.13,369.15,363.60,370.03,367.11,367.25,372.74,379.15,367.53,369.75,365.18,370.55,371.91,377.39,379.14,367.83,361.05,377.63,375.64,383.71,389.32
2003-07-15 21:42:14+00:00,L7,324.09,324.98,325.81,329.73,338.72,342.44,348.58,346.58,348.97,351.10,,356.92,360.09,368.37,364.09,360.40,357.78,360.19,355.01,358.38,366.26,376.13,367.83,,366.29,366.71,368.94,370.22,372.78,359.46,355.17,359.29,359.49,378.79,378.31
2003-08-16 21:42:04+00:00,L7,309.59,292.16,306.59,,296.51,313.82,330.50,326.27,322.75,319.01,330.43,,,344.25,350.87,347.10,345.04,346.13,337.20,334.31,349.28,357.25,353.36,346.76,,,354.98,358.20,354.69,347.04,336.90,349.04,337.96,355.57,355.82
