dates,nzd0243-0000,nzd0243-0001,nzd0243-0002,nzd0243-0003,nzd0243-0004,nzd0243-0005,nzd0243-0006,nzd0243-0007,nzd0243-0008,nzd0243-0009,nzd0243-0010,nzd0243-0011,nzd0243-0012,nzd0243-0013,nzd0243-0014,nzd0243-0015,nzd0243-0016,nzd0243-0017,nzd0243-0018,nzd0243-0019,nzd0243-0020,nzd0243-0021,nzd0243-0022,nzd0243-0023,nzd0243-0024,nzd0243-0025,nzd0243-0026,nzd0243-0027,nzd0243-0028,nzd0243-0029,nzd0243-0030,nzd0243-0031,nzd0243-0032,nzd0243-0033,nzd0243-0034,satname
1999-08-21 21:46:33+00:00,322.30,320.15,323.40,332.78,334.97,340.14,346.79,350.99,342.14,344.83,349.01,357.69,353.23,363.77,366.92,355.13,357.14,356.01,358.93,363.00,372.30,373.88,364.15,363.99,364.01,362.37,372.94,368.99,366.31,356.81,356.06,359.56,360.27,376.54,376.06,L7
1999-09-06 21:46:35+00:00,321.80,318.95,321.69,332.32,336.28,340.19,349.39,349.69,344.55,342.21,346.99,357.42,352.62,359.52,360.25,353.06,359.13,356.37,360.69,362.01,370.89,375.06,366.36,363.99,364.01,362.37,372.94,368.99,366.31,356.81,356.06,359.56,360.27,376.54,376.06,L7
1999-09-22 21:46:36+00:00,322.95,320.26,325.23,333.26,338.60,341.68,351.25,350.02,346.25,344.58,349.42,358.35,353.24,359.60,358.57,353.99,359.66,356.70,361.38,362.62,370.49,376.03,368.72,364.91,367.69,364.87,371.02,369.65,365.51,357.33,355.29,357.36,360.80,377.69,377.90,L7
2000-04-01 21:46:10+00:00,328.36,321.59,318.77,327.27,329.15,335.08,347.11,345.56,343.82,346.73,343.75,344.36,350.94,357.07,361.08,360.73,356.54,355.30,362.63,360.15,364.95,376.89,364.78,365.55,365.03,358.05,363.84,367.34,366.97,357.88,357.69,360.38,370.38,379.17,377.73,L7
2000-05-19 21:45:43+00:00,334.22,329.16,325.97,329.30,335.29,339.42,349.82,347.93,346.41,348.70,347.68,348.80,355.16,363.69,363.70,361.27,357.91,362.05,362.67,362.19,367.48,378.21,367.93,367.20,363.02,359.84,365.67,367.60,366.11,360.06,358.59,364.34,366.95,379.63,377.85,L7
2000-06-04 21:45:32+00:00,332.31,324.21,326.73,321.37,333.18,336.09,346.78,347.28,346.29,348.95,349.32,350.88,356.73,364.27,364.81,361.66,359.15,360.88,359.72,359.83,367.97,377.81,368.56,365.86,363.10,359.83,366.40,367.67,367.55,360.06,357.84,363.59,365.72,379.02,378.36,L7
2000-08-07 21:44:45+00:00,333.31,323.25,325.22,323.58,332.08,334.02,345.56,345.58,344.26,346.88,349.04,351.41,356.95,363.87,364.33,360.00,358.53,359.04,357.72,360.00,367.48,376.42,367.96,364.92,362.04,359.76,366.01,367.64,367.39,359.75,357.61,363.25,365.24,379.09,377.81,L7
2001-04-04 21:43:43+00:00,328.89,322.88,327.59,331.62,330.50,336.02,347.79,346.65,346.50,344.83,347.06,344.97,356.02,356.36,359.75,358.67,367.21,357.19,355.14,360.19,363.52,375.34,366.21,364.52,360.75,363.95,367.23,364.18,363.31,357.13,352.34,357.69,356.86,374.98,372.18,L7
2001-04-20 21:43:46+00:00,333.44,325.90,332.37,334.53,335.06,336.36,349.67,350.55,348.82,346.16,349.42,347.02,358.55,359.94,361.09,362.60,370.14,358.20,358.06,363.23,364.91,375.11,367.32,366.39,364.68,364.92,366.81,365.75,365.87,358.29,353.52,357.38,358.26,375.74,373.19,L7
2001-05-22 21:43:30+00:00,333.51,324.74,330.20,332.73,334.45,338.01,348.73,347.31,346.57,345.55,349.21,349.06,359.05,362.61,364.37,364.82,366.86,360.69,359.73,364.45,366.14,376.66,368.83,366.89,366.76,365.69,366.80,366.44,367.19,358.53,354.03,358.23,361.77,376.29,374.48,L7
2001-06-07 21:43:18+00:00,333.51,324.74,330.20,332.73,334.45,338.01,348.73,347.31,346.57,345.55,349.21,357.07,359.75,360.38,363.22,366.91,366.86,365.66,359.73,364.45,373.53,381.07,374.77,371.13,369.62,370.03,372.23,366.44,372.26,358.53,358.20,365.35,368.65,375.06,376.60,L7
2001-07-25 21:42:54+00:00,334.20,326.50,330.12,329.33,335.94,338.62,348.24,348.67,347.93,347.63,351.38,357.60,361.21,362.80,365.05,366.69,367.01,366.19,360.88,366.26,373.80,381.49,374.55,371.80,369.35,370.52,372.69,368.22,372.55,361.69,358.18,364.54,367.11,374.57,376.70,L7
2001-08-10 21:42:36+00:00,334.60,327.47,329.73,327.62,335.69,337.44,347.34,347.85,346.74,347.54,350.92,356.47,360.51,363.16,365.49,366.20,365.99,364.59,359.32,365.39,372.86,379.15,372.61,370.38,367.81,368.70,371.14,366.59,370.79,359.82,354.93,362.61,364.64,372.63,374.94,L7
2001-08-26 21:42:25+00:00,334.20,327.51,328.93,326.68,334.71,337.17,347.34,347.05,345.91,346.73,349.49,354.59,359.66,362.49,364.63,365.21,364.29,363.47,358.85,365.00,371.76,377.99,371.76,369.87,366.39,367.77,369.98,365.68,369.63,359.23,353.74,361.63,363.74,372.43,374.31,L7
2001-09-11 21:42:14+00:00,334.82,328.40,328.91,326.78,334.51,337.14,348.70,348.27,345.62,346.98,349.02,354.59,359.66,362.49,364.63,365.21,364.29,363.47,359.55,365.21,371.74,377.21,371.06,369.50,365.71,367.76,369.92,366.16,369.32,359.91,353.77,361.72,363.25,372.95,374.41,L7
2001-09-27 21:42:05+00:00,336.80,331.15,331.21,329.00,335.91,338.28,349.70,351.06,347.39,348.11,350.23,355.22,360.40,364.33,365.40,366.52,366.14,365.14,361.00,366.46,373.10,377.33,371.53,369.74,366.59,368.56,370.39,366.70,369.31,359.76,353.73,360.89,362.79,373.36,374.46,L7
2001-10-13 21:41:51+00:00,338.14,332.62,332.18,329.12,336.14,338.27,350.51,353.33,348.67,349.50,350.20,355.37,361.02,366.44,365.56,366.58,365.73,366.00,362.59,367.46,374.76,377.95,372.73,370.17,368.00,368.95,370.54,367.30,369.73,360.22,354.03,360.77,363.59,373.51,374.26,L7
2001-10-29 21:41:57+00:00,338.65,333.49,332.48,330.36,335.40,338.70,352.44,355.23,349.31,350.65,350.20,355.64,360.96,366.45,366.42,366.43,365.11,367.38,363.86,367.82,376.60,378.60,373.94,370.43,368.53,369.74,370.83,367.83,369.37,359.89,353.55,360.50,363.41,373.13,373.78,L7
2002-02-18 21:42:30+00:00,338.77,333.81,333.17,333.74,334.56,338.22,354.76,358.61,350.69,351.01,348.88,350.11,359.64,366.52,365.14,365.52,365.31,365.25,366.16,368.81,375.42,377.55,372.43,368.29,366.79,367.97,368.63,367.45,365.42,359.30,350.91,356.86,359.66,373.97,371.50,L7
2002-04-07 21:42:28+00:00,337.06,330.34,332.68,336.23,333.04,338.35,355.28,359.77,353.31,353.17,348.57,349.80,358.68,364.72,365.53,365.43,365.52,363.92,367.48,368.79,378.09,381.56,375.77,368.73,370.06,367.60,369.28,368.80,366.02,359.64,351.56,356.45,360.80,373.85,370.41,L7
