,dates,usa_HI_0028-0000,usa_HI_0028-0001,usa_HI_0028-0002,usa_HI_0028-0003,usa_HI_0028-0004
0,1990-09-11 20:20:05+00:00,203.27510615959355,167.3653536982739,177.05213909351912,169.09679143518352,184.32380243435617
1,1991-10-09 20:18:07+00:00,,171.44728311854286,168.8931020689364,172.5839469732405,175.16794418590058
2,1991-11-10 20:18:16+00:00,,175.78697501356922,173.68865760333642,183.56386718121846,190.3807680139469
3,1991-12-12 20:18:31+00:00,192.00046185306232,167.59574185923313,153.8776074881629,156.47011900075125,164.01968049830333
4,1999-07-03 20:46:48+00:00,215.2140259040109,176.33034190532848,179.10159212732015,175.54776130937205,192.10053020288083
5,1999-07-10 20:53:01+00:00,202.52324875434263,169.50465311286015,174.09407319609377,174.98801680838764,186.45059809697713
6,1999-07-26 20:53:05+00:00,201.85658032193192,172.04504208197352,168.48578376147066,175.10131296390878,189.75276143122463
7,1999-08-11 20:53:07+00:00,197.31148671405148,182.34728698255708,177.66930953804885,172.40496528366796,185.479474612539
8,1999-08-20 20:46:55+00:00,213.28374834143247,193.90006717843633,186.98726602724997,185.8966792646992,195.87426293057212
9,1999-09-21 20:46:59+00:00,194.82124614606795,,,,184.02493741535739
10,1999-10-14 20:53:13+00:00,206.14871977917767,174.31929393864127,172.70938501312364,174.65188047330338,188.21648406150388
11,1999-11-15 20:53:07+00:00,199.4893686596987,172.80794796797534,168.29127620434932,171.25653560734452,176.83413788089595
12,1999-11-24 20:46:49+00:00,197.42979335710913,174.0562913165427,173.1297405111047,176.43549619353254,183.59844713154848
13,1999-12-01 20:53:02+00:00,183.54674687923873,169.32628957337852,157.520974374093,160.70388527252823,180.31204226307128
14,2000-01-02 20:53:03+00:00,,166.43331965361972,,,183.2666053379096
15,2000-01-27 20:46:52+00:00,199.6179667846236,171.804231212374,164.79119622469872,158.75403926904235,178.2321678715002
16,2000-02-03 20:53:01+00:00,205.98597454432561,191.84561510782194,181.9710484612353,183.6673088791474,196.1676925993762
17,2000-02-12 20:46:47+00:00,,170.75062947065322,169.79210980170504,178.4377114140426,188.3490433282698
18,2000-02-19 20:52:54+00:00,190.75177142691982,168.63764564064823,170.96291284560445,173.68851780831235,183.04241475405055
19,2000-02-28 20:46:42+00:00,,159.77048484408976,158.2013445931856,176.17090414683082,182.50846054877604
20,2000-03-06 20:52:49+00:00,,173.7403699521757,174.45448390625228,178.55736911316333,186.29399773706712
21,2000-03-15 20:46:37+00:00,,165.4067049784608,151.6134053718839,173.14935576868223,175.44786222987463
22,2000-03-22 20:52:50+00:00,,174.79833187916913,172.1112110467341,168.54231548625071,178.9763996174133
23,2000-05-09 20:52:21+00:00,,,,,
24,2000-05-18 20:46:08+00:00,199.76144735260075,186.9962692278575,180.527854843764,175.04670770050282,186.64955558329353
25,2000-06-03 20:45:56+00:00,211.5682017497114,180.12020615052373,181.35951899719697,178.64277883774346,193.40466660883132
26,2000-06-10 20:52:06+00:00,192.69676440195212,167.73657731833066,173.0916189892116,166.82229758121343,183.4536438589358
27,2000-06-19 20:45:53+00:00,208.86668002268775,173.51452264992733,171.86629233157004,172.50522964348525,189.04068013012545
28,2000-07-28 20:51:26+00:00,200.55245966424815,169.86392885975738,177.9609120401539,167.88671203464938,184.98562496615128
29,2000-08-06 20:45:09+00:00,207.67085083086968,180.72751842373438,184.77264591051375,180.0842623836935,192.59048961747817
