dates,satname,nzd0567-0000,nzd0567-0001
1999-07-02 21:59:57+00:00,L7,268.00,
1999-08-26 22:06:20+00:00,L7,275.16,217.23
1999-09-20 22:00:08+00:00,L7,276.50,225.43
1999-09-27 22:06:00+00:00,L7,263.45,217.10
1999-11-07 22:00:08+00:00,L7,258.59,209.74
1999-11-30 22:05:47+00:00,L7,256.22,216.89
1999-12-09 22:00:09+00:00,L7,258.81,220.59
1999-12-25 22:00:04+00:00,L7,272.47,218.94
2000-01-17 22:06:11+00:00,L7,257.11,215.37
2000-01-26 22:00:02+00:00,L7,274.60,231.98
2000-02-11 21:59:57+00:00,L7,265.73,225.13
2000-02-18 22:05:41+00:00,L7,271.81,216.44
2000-02-27 21:59:52+00:00,L7,274.89,223.17
2000-03-05 22:05:36+00:00,L7,258.82,213.27
2000-03-21 22:05:37+00:00,L7,272.40,214.29
2000-03-30 21:59:45+00:00,L7,275.20,224.71
2000-04-15 21:59:31+00:00,L7,351.98,
2000-05-01 21:59:30+00:00,L7,275.63,221.24
2000-05-08 22:05:33+00:00,L7,270.14,227.28
2000-05-24 22:04:58+00:00,L7,291.75,234.66
2000-06-18 21:59:03+00:00,L7,292.13,
2000-07-04 21:58:50+00:00,L7,277.01,223.92
2000-07-27 22:04:36+00:00,L7,275.77,229.73
2000-08-05 21:58:20+00:00,L7,282.66,243.06
2000-08-12 22:04:05+00:00,L7,274.33,222.74
2000-09-13 22:03:38+00:00,L7,273.28,220.59
2000-09-22 21:57:41+00:00,L7,351.39,
2000-11-09 21:57:33+00:00,L7,257.48,216.89
2000-11-16 22:03:20+00:00,L7,254.59,220.94
2000-12-11 21:57:36+00:00,L7,256.69,202.95
2001-01-03 22:03:48+00:00,L7,255.95,220.90
2001-01-12 21:57:42+00:00,L7,266.38,219.36
2001-01-19 22:03:31+00:00,L7,256.47,217.39
2001-01-28 21:57:44+00:00,L7,260.86,220.44
2001-02-20 22:03:24+00:00,L7,264.43,218.63
2001-04-02 21:57:18+00:00,L7,275.87,234.57
2001-05-20 21:57:04+00:00,L7,278.19,217.24
2001-05-27 22:03:12+00:00,L7,278.72,233.87
2001-06-28 22:02:21+00:00,L7,292.55,
