,dates,usa_CA_0083-0000,usa_CA_0083-0001,usa_CA_0083-0002,usa_CA_0083-0003,usa_CA_0083-0004,usa_CA_0083-0005,usa_CA_0083-0006,usa_CA_0083-0007
0,1984-05-04 18:01:45+00:00,222.41895028088592,207.55924016879806,198.86571752733317,188.18318805539946,202.7802841742875,194.53877642427773,191.83571390197903,184.3386469043298
1,1984-05-20 18:02:16+00:00,215.52723399923082,194.60962648855224,187.8738367662965,182.63472357555176,197.20601690772517,192.52717141866935,197.89369240057084,193.83984444674763
2,1984-06-21 18:02:54+00:00,217.03716045387284,194.1965171594816,196.01181224697063,193.7977457155842,202.43227159379882,200.72736103793102,201.34733463260108,203.6966848149657
3,1984-10-27 18:04:31+00:00,238.28181278236553,221.44584244913804,218.67404569417107,215.9741185496581,220.52965394259428,213.8205479692582,211.659695984098,209.3473208213396
4,1984-11-28 18:04:24+00:00,218.80643171165954,190.32758323622963,178.69312929583504,174.2883738271101,190.20877731952925,184.8030713754161,184.47142714170198,179.1954829792646
5,1984-12-14 18:04:35+00:00,225.82675982250112,197.58891221394524,189.4139592012814,187.61050219145858,200.8720173124813,194.01996141045993,190.12158477287898,186.21466832625853
6,1984-12-30 18:04:44+00:00,231.84637930433826,210.1994387644716,201.87293900975618,197.41181805015898,207.50497503885816,206.95519875778857,203.1864001245286,198.74976043473413
7,1985-01-15 18:04:51+00:00,219.22464932577586,192.7287355664125,186.85495005627214,186.72745782870916,210.60585384855446,205.53604666480487,200.1059746642451,191.4321862190217
8,1985-01-31 18:04:55+00:00,229.09195987480075,194.35673609997752,183.96290834851732,184.09976104374826,206.8625880442134,198.626758054701,196.04042847759553,190.1510642071788
9,1985-03-20 18:04:55+00:00,216.4627187914971,191.36606824559547,178.99214917305343,180.63413984631632,199.90073538453618,199.12129127036212,201.15624346187647,196.40435036092745
10,1985-06-08 18:04:37+00:00,233.69886283844193,212.5146985439014,199.19792389356374,197.04248970243296,207.8047383953346,202.5618983351039,205.47013040477003,208.10265032624304
11,1985-09-12 18:03:49+00:00,267.7407785144121,240.0747243441451,222.08277386712038,217.33980380706586,218.43980685025377,203.83782691267993,189.64965509192325,192.12154296493824
12,1985-10-14 18:03:28+00:00,268.54749910364114,240.3633114669689,217.49543854316974,195.31638238821668,202.56508007229218,191.66332529418347,184.18983906924413,187.9935185905278
13,1985-11-15 18:03:01+00:00,258.82924152063475,245.36438873394974,222.42179082390123,208.46200545561496,217.58612574361183,207.69299995089438,206.64216050461985,219.74729598478226
14,1986-01-18 18:01:49+00:00,238.4038258117158,197.1774536148185,185.19799228258245,188.9467975774902,195.30924080979244,194.6039568466084,193.04536771517053,184.61763980159733
15,1986-02-03 18:01:28+00:00,213.74242374829092,176.607990337506,158.41311649978283,156.85430296894216,175.45791243358232,172.4847666932243,172.0256262998915,164.3069162171899
16,1986-02-19 18:01:05+00:00,192.26787892404985,163.22040151032814,139.99527029852698,152.83250384590764,170.28821959677123,166.9059546295557,151.58683759671473,143.643787643146
17,1986-03-23 18:00:25+00:00,210.40167697926864,185.2441529535726,167.62474451954765,160.48400291667784,185.5751289053937,169.2377518789708,168.9921692989015,158.82439495946954
18,1986-04-08 18:00:05+00:00,216.29342838442926,202.0125354628407,191.48691880340039,185.30250032479248,202.21751623365049,184.32219009960147,181.650521243585,178.76966888225948
19,1986-05-10 17:59:18+00:00,209.2780424484834,188.77249529997283,184.77015146794778,179.53305785546948,191.68654032347288,182.864408568018,183.82628363536028,187.46612772924675
20,1986-07-29 17:56:45+00:00,238.24310481136183,213.54914081064183,203.75619835550484,195.57638051864947,204.63024609054455,183.66830432139272,176.12707332491897,178.47168518700377
21,1986-08-14 17:56:10+00:00,242.4341172219598,215.0924540384908,203.78040883023885,196.4177253818443,200.3239697738103,190.80764476235413,177.69692552446475,176.33425572856683
22,1986-09-15 17:55:02+00:00,248.3243754386988,224.33316716265946,208.94051593629507,195.00943739150432,207.75254641554355,199.75782937359574,195.78344718451663,189.42354454450103
23,1986-10-17 17:54:01+00:00,248.66596712298477,223.00492863106635,208.5234941563095,191.99797881189977,201.0429972770256,196.3627019671929,194.6182687862012,195.6165757304261
24,1986-11-02 17:53:27+00:00,231.32009421337182,224.44602450600493,191.4082180918272,192.27251031838782,206.14597201857657,198.8462811415763,194.63594497546924,188.1736019501111
25,1986-12-20 17:53:28+00:00,221.96393910567792,192.3848353493501,183.23408435539014,182.388977812814,196.24175848905543,195.6714047641388,192.36706343678202,188.92772298792408
26,1987-01-05 17:53:57+00:00,212.36983758813236,180.79219766825355,165.16944584463275,174.40408906226145,188.27127101900615,190.5756410197146,186.85813133922952,174.41069681663518
27,1987-01-21 17:54:24+00:00,229.71536253732407,197.4245235520128,181.35996416850182,187.85401030900485,205.06640837024244,201.88448760903333,201.2268582217885,195.1622405422958
28,1987-02-06 17:54:58+00:00,222.0250139004947,192.9280762945529,179.39677661378278,183.48821866522653,198.94244549878118,196.8466740235102,195.2008773814521,182.23157885814567
29,1987-03-26 17:56:47+00:00,225.36127384312007,195.46418147692262,180.14686990809213,181.07936434039613,196.09714107948204,193.22046280284283,198.818377141358,186.59477943945151
30,1987-04-11 17:57:20+00:00,227.32065383596927,197.37552660072762,180.56286741379924,178.41338777643855,190.6821512270358,192.85359570524489,193.82883890870147,183.89049580061305
31,1987-08-01 18:00:08+00:00,246.30262878071122,225.9538968760301,209.8958124276282,200.2821704463458,206.9507400257156,198.39154709786808,196.86640011614452,195.08284332340764
32,1987-09-02 18:01:03+00:00,263.7549551921768,230.68351230790913,212.0692569766446,206.61057002398908,203.8531090586735,188.3451210724133,174.14368478500566,174.3136904869685
33,1987-10-20 18:02:03+00:00,263.5805533587076,235.2992153822412,223.9581967326249,214.7090249081288,219.07431987876802,206.43191099089947,203.37019729995808,201.9522153567156
34,1988-03-28 18:04:33+00:00,228.26287826861207,210.22330051663155,202.59689325847737,194.9630647886885,206.89129062682662,202.5132333791915,205.38198771177974,200.04712081903588
35,1988-04-29 18:04:42+00:00,220.82292599673,196.14288917485385,186.26244431097217,182.78193773265627,195.72598023780324,197.93559453739695,201.37835605778506,195.0900054138045
36,1988-08-03 18:05:14+00:00,265.93704625597684,211.3422647206851,200.85223268308712,181.26458250335588,201.25188236738632,191.128605617246,182.86179631295622,175.10832087489368
37,1988-09-04 18:05:18+00:00,259.665961111453,230.5620573746197,221.1054800738143,208.4698000856807,216.43539480227685,204.28223042349416,201.50636120013473,202.69832535216742
38,1988-09-20 18:05:13+00:00,260.489705608514,230.62092710924594,210.46659418079506,204.31212562277804,212.0449829042528,196.3635755583884,189.8103293940813,187.06479824588445
39,1988-12-09 18:04:56+00:00,238.44120648337773,206.44583712815924,191.2833719267802,189.16657470577454,208.43693325089856,208.6749088724522,206.75513880464396,203.74173634453183
40,1989-01-26 18:04:28+00:00,232.23980566658983,208.71560415590974,202.65528830210965,198.5838845837378,215.14337696700676,217.66728200250878,223.00341160575837,223.56349359479788
41,1989-02-27 18:04:19+00:00,240.7405382412226,213.27861916593517,204.31673391521613,198.31731156793663,218.84294026092226,218.3752031078733,224.12904460026792,208.99910915109743
42,1989-03-15 18:03:46+00:00,244.32351419427772,220.7150244734903,208.9357146118196,202.9717223195035,208.55460011290666,208.49917793052518,213.01701761164946,213.36004712205505
43,1989-05-02 18:03:17+00:00,247.02588566742517,213.36990460009568,202.0244294407413,196.58982346952808,202.24896810521358,198.97184207699428,198.9061174668278,199.11880504141462
44,1989-05-18 18:02:55+00:00,248.95465722951164,214.4207782709835,202.02532526833798,191.71483648992057,207.2095600292042,196.4475846523565,189.3732289007845,188.51183869358744
45,1989-06-19 18:02:19+00:00,243.19087650381724,214.30827047947142,205.7877621276413,195.88582979997736,204.49378383761848,199.33399912996026,197.0268061298949,200.0876896243869
46,1989-07-05 18:02:04+00:00,263.3292693693071,249.66747108073508,235.8374778552767,215.17477841773325,207.6100107923804,190.48585209177776,190.97933478471188,187.85846534251465
47,1989-07-21 18:01:45+00:00,263.55162451707116,244.74097436662987,220.46075827744733,202.16230172153888,202.77262101330538,183.62035595734145,184.42984063646463,182.71786769743952
48,1989-08-06 18:01:25+00:00,262.1341319994775,245.21777116866383,231.72307220432066,212.13641738837669,217.8078640597751,199.35308517353945,195.4959879688748,193.12422779149568
49,1989-09-07 18:00:41+00:00,265.91978912683254,238.92740650840258,217.49719117838302,205.8253406770902,205.43207173527196,191.6493408092513,183.49405985420728,185.21778467850953
50,1989-09-23 18:00:14+00:00,259.7921800620846,227.29483633468513,212.40958785272855,195.30158575144233,201.21812367481678,187.30592291134414,181.90252171022323,190.39086301560397
51,1989-10-25 17:59:15+00:00,274.10429736256833,245.5175600805067,221.52215081968868,207.76693325237713,212.69050621460832,203.3738301814568,201.33816208174952,194.98379938819053
52,1989-11-10 17:58:56+00:00,256.3175942781684,231.17917088557888,211.73992257275788,201.04353837079796,212.32423628343523,205.0634072221505,202.53402997117524,205.37569775493378
53,1989-11-26 17:58:28+00:00,259.17516403550985,237.69373913196566,218.994874682197,203.19147241777608,205.70371010382914,201.42597511040523,202.1303943807887,195.51399498738982
54,1989-12-12 17:58:03+00:00,239.0401936513,220.2584833905112,206.84701178886104,194.35265294614484,208.64150469998634,209.77426772392647,211.34335579522508,205.6991854122583
55,1990-01-29 17:56:32+00:00,225.07205962760725,207.36464766145698,194.71400510380118,195.83508675918077,209.77050974305135,210.62034073227434,213.27326008795745,196.8296372645422
56,1990-02-14 17:56:01+00:00,224.95448128234236,203.20055313436862,196.27978298830087,191.41790146227433,204.3887720224778,208.71893587751944,212.91587969587658,205.29165964630855
57,1990-03-18 17:54:57+00:00,232.75621205674446,202.38868329048717,195.70962312671546,196.91910988095086,209.11423610822106,206.16568352924176,209.35681638917004,204.3592878699007
58,1990-05-05 17:54:39+00:00,241.76503456024236,226.8752931700562,221.72331882453975,204.45729219682687,222.95215772955441,219.35964127171977,221.6523463005195,224.9267203611866
59,1990-06-06 17:54:41+00:00,224.2641425251024,205.84681342964092,200.80917097175177,185.57445346166506,201.8012423132802,202.75890113761065,206.08123986219405,207.40651132678065
60,1990-08-25 17:54:24+00:00,,,,,221.38087819024133,212.3336953486371,201.5905201190574,194.13900915769298
61,1990-09-10 17:54:21+00:00,,227.62448977897674,213.6847881861657,207.40932925816728,216.58631788216798,203.32272265634452,195.76843449768535,186.10862184078005
