dates,satname,nzd0559-0000,nzd0559-0001,nzd0559-0002,nzd0559-0003,nzd0559-0004,nzd0559-0005,nzd0559-0006,nzd0559-0007,nzd0559-0008,nzd0559-0009,nzd0559-0010,nzd0559-0011,nzd0559-0012,nzd0559-0013,nzd0559-0014,nzd0559-0015,nzd0559-0016,nzd0559-0017,nzd0559-0018,nzd0559-0019,nzd0559-0020,nzd0559-0021,nzd0559-0022,nzd0559-0023,nzd0559-0024,nzd0559-0025,nzd0559-0026,nzd0559-0027,nzd0559-0028,nzd0559-0029,nzd0559-0030,nzd0559-0031,nzd0559-0032,nzd0559-0033,nzd0559-0034,nzd0559-0035,nzd0559-0036,nzd0559-0037,nzd0559-0038,nzd0559-0039,nzd0559-0040,nzd0559-0041,nzd0559-0042,nzd0559-0043,nzd0559-0044,nzd0559-0045,nzd0559-0046,nzd0559-0047,nzd0559-0048,nzd0559-0049,nzd0559-0050,nzd0559-0051,nzd0559-0052,nzd0559-0053,nzd0559-0054,nzd0559-0055,nzd0559-0056,nzd0559-0057,nzd0559-0058,nzd0559-0059,nzd0559-0060,nzd0559-0061,nzd0559-0062,nzd0559-0063,nzd0559-0064,nzd0559-0065,nzd0559-0066,nzd0559-0067,nzd0559-0068,nzd0559-0069,nzd0559-0070,nzd0559-0071,nzd0559-0072,nzd0559-0073,nzd0559-0074,nzd0559-0075,nzd0559-0076,nzd0559-0077,nzd0559-0078,nzd0559-0079,nzd0559-0080,nzd0559-0081,nzd0559-0082,nzd0559-0083,nzd0559-0084,nzd0559-0085,nzd0559-0086,nzd0559-0087,nzd0559-0088,nzd0559-0089,nzd0559-0090,nzd0559-0091,nzd0559-0092,nzd0559-0093,nzd0559-0094,nzd0559-0095,nzd0559-0096,nzd0559-0097,nzd0559-0098,nzd0559-0099,nzd0559-0100,nzd0559-0101,nzd0559-0102,nzd0559-0103,nzd0559-0104,nzd0559-0105,nzd0559-0106
1999-07-16 22:13:35+00:00,L7,,,270.01,262.88,,263.04,271.53,273.70,285.45,291.70,300.68,294.34,314.72,336.86,,353.10,344.13,340.60,352.25,345.29,341.54,358.61,364.79,,,,348.75,354.20,350.22,325.18,336.67,330.57,341.40,331.45,,,337.01,343.40,326.57,312.41,332.47,340.91,350.04,340.01,318.99,314.40,319.13,339.58,312.41,302.54,314.80,321.94,324.17,322.35,322.90,322.50,340.67,358.62,356.18,340.84,345.34,364.97,373.05,344.52,346.07,339.87,345.06,350.29,,,,341.77,350.12,354.10,337.67,341.26,333.44,320.44,328.89,334.25,335.70,335.51,328.24,334.51,326.25,,312.11,286.31,298.85,300.72,588.47,,,,568.31,370.72,352.46,530.62,523.76,526.61,518.04,509.98,498.73,,445.45,486.27,482.57
1999-09-18 22:13:39+00:00,L7,276.14,,293.37,300.28,293.39,282.01,269.11,269.12,283.59,296.19,304.58,319.95,316.38,318.80,328.98,341.35,345.96,337.92,342.91,342.63,338.56,332.58,339.01,,,341.42,336.01,336.92,329.88,317.03,326.69,319.17,315.05,315.85,317.19,318.89,323.76,329.60,331.88,329.50,330.08,317.53,314.21,310.47,314.18,324.23,316.97,304.39,292.49,292.58,297.23,294.16,295.50,306.10,321.50,311.03,325.78,333.47,331.71,327.56,329.60,344.30,343.65,338.63,330.07,338.02,337.57,347.36,359.06,345.64,335.04,333.12,327.98,333.40,318.72,310.13,307.84,312.56,312.20,315.96,319.10,325.58,315.69,295.90,285.46,282.49,284.28,285.77,281.43,274.44,268.43,267.66,264.67,265.60,273.05,295.01,310.75,326.90,336.56,332.98,337.09,350.02,345.92,316.38,312.87,322.65,329.20
1999-10-04 22:13:49+00:00,L7,230.69,212.85,181.27,,236.18,232.01,226.91,237.67,244.03,249.50,257.09,262.65,284.77,297.29,300.96,306.91,314.78,310.04,310.24,300.29,307.88,313.05,318.90,325.32,323.78,310.71,317.01,308.76,309.00,293.52,288.10,288.21,285.24,284.18,286.29,298.18,303.01,302.51,309.42,310.73,316.32,310.62,291.13,275.78,286.87,289.52,293.72,289.28,271.75,263.63,260.88,275.71,277.22,280.44,290.48,279.61,249.35,319.40,329.78,326.72,322.46,320.20,327.09,321.34,331.82,315.69,307.50,317.17,321.80,330.73,328.28,309.42,298.23,293.91,300.53,292.63,292.18,279.58,280.36,293.88,283.00,283.44,283.09,279.49,278.14,271.42,256.64,263.11,257.34,259.03,255.07,253.12,259.21,265.97,269.11,289.93,305.16,324.42,327.42,330.46,327.87,325.29,305.16,293.23,286.83,292.35,302.55
1999-11-05 22:13:40+00:00,L7,275.23,268.58,288.77,302.44,301.50,292.81,272.95,267.25,262.25,265.27,278.55,308.25,314.47,321.47,327.88,339.30,340.34,341.94,339.98,342.06,346.05,344.23,344.56,345.67,347.15,340.14,349.09,349.80,336.90,332.11,318.24,323.38,331.18,338.43,345.58,333.92,322.22,315.47,314.42,325.14,338.36,345.70,329.29,308.21,295.98,302.91,315.33,330.13,340.54,325.49,296.72,290.46,289.68,288.13,294.18,324.57,348.59,359.11,363.92,364.95,361.49,347.32,323.32,318.64,329.61,344.13,345.84,332.60,325.70,331.00,343.70,332.91,321.50,312.72,326.17,330.96,320.58,314.34,325.73,326.11,306.92,297.81,301.26,299.57,294.12,291.63,289.65,280.43,269.56,255.81,261.75,271.63,281.12,287.10,300.78,312.84,332.01,340.11,341.83,337.63,331.42,326.95,332.96,308.34,306.94,309.20,332.97
2000-05-15 22:12:54+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.09,301.61,300.18,290.77,292.13,308.66,324.61,335.77,327.13,325.75,,297.38,289.78,298.94,297.92,314.35,327.46,312.14,,,,,,,,293.85,309.49,317.87,324.43,330.96,325.60,327.48,,,334.18,,305.40,,,,,,,,311.08,321.61,313.89,289.99,,278.44,300.03,307.78,286.02,280.71,271.45,254.00,248.86,245.28,239.89,246.93,255.32,248.77,260.91,266.98,277.40,290.41,310.77,328.95,350.35,346.21,338.47,323.28,313.61,303.75,271.84,278.00,296.32,317.40
2000-05-31 22:13:06+00:00,L7,212.36,190.72,170.57,,271.82,273.15,298.00,301.18,293.27,280.56,271.59,270.58,271.52,287.97,317.14,329.76,328.86,317.16,325.18,326.11,341.26,349.64,349.50,,,,323.83,330.06,329.78,307.02,265.77,265.01,,313.52,331.18,346.55,352.46,354.02,336.66,,261.50,258.20,281.27,304.20,327.03,331.54,,258.94,,,321.00,329.77,309.60,293.40,293.04,289.95,315.16,327.22,336.40,341.43,336.86,,340.23,306.53,305.76,303.26,316.57,,,,,,304.01,320.03,,,275.32,,311.60,297.88,255.82,257.10,254.62,266.10,244.59,,,,,,,,,,,,,,,,,,,,,,
2000-09-04 22:11:34+00:00,L7,263.26,265.15,263.43,273.72,273.91,278.80,279.93,288.31,294.83,299.00,300.86,308.55,311.94,312.71,320.34,326.95,328.74,334.10,338.47,338.89,343.53,346.28,345.07,341.08,346.14,346.94,346.50,342.88,325.10,317.75,311.66,310.06,316.67,322.26,328.30,327.03,325.82,335.40,327.29,316.48,312.30,318.76,324.39,311.31,306.58,317.05,324.53,324.51,314.82,286.49,278.92,288.23,301.00,318.22,330.71,336.00,322.86,309.73,326.00,336.99,336.40,331.18,336.33,338.77,327.91,319.57,320.70,333.24,357.18,364.16,,295.51,295.98,302.04,312.44,324.88,314.51,305.64,304.96,304.23,304.85,303.61,310.30,310.61,288.84,271.27,260.41,265.19,263.16,265.71,259.17,264.16,264.47,275.49,297.95,316.02,333.02,339.23,334.86,325.85,317.90,319.32,318.08,299.18,300.71,313.88,333.03
2000-09-20 22:11:14+00:00,L7,259.92,237.10,227.89,257.27,256.22,252.12,252.76,257.78,266.48,268.25,282.48,282.87,290.32,306.69,314.31,313.31,303.10,303.52,313.51,316.60,321.78,329.35,330.26,332.63,329.66,340.85,343.96,350.62,345.12,318.57,295.32,285.23,292.87,302.00,315.68,334.70,330.47,335.44,329.22,317.88,304.25,306.37,315.41,315.09,316.52,309.52,308.35,309.51,307.86,308.42,305.47,296.57,291.90,290.45,298.99,323.21,319.11,332.50,334.90,337.72,333.49,325.02,333.23,345.34,349.37,350.29,330.40,319.27,318.64,331.09,333.84,332.93,317.24,303.92,291.20,300.11,323.14,330.00,321.10,301.34,297.41,295.17,291.09,289.37,289.93,285.18,277.02,273.33,266.58,266.30,262.06,263.73,266.54,273.87,285.23,310.73,329.06,340.61,340.35,327.14,318.78,317.78,307.09,290.67,294.20,303.67,318.70
2000-10-06 22:11:11+00:00,L7,234.53,211.85,182.75,239.29,247.18,239.92,239.43,251.37,260.23,282.06,275.25,277.67,301.38,311.97,321.68,313.74,303.39,302.83,307.06,322.41,321.48,318.12,,,,,327.84,330.02,324.22,316.59,290.21,281.24,273.08,282.20,,,313.38,313.03,310.11,293.29,288.77,283.79,275.98,278.91,284.85,284.84,289.02,287.11,287.97,287.06,290.89,289.20,276.19,265.40,274.70,279.09,267.83,312.76,318.90,317.40,317.36,,,,330.08,,,,,,,,,,282.51,290.00,307.32,309.19,299.89,293.22,283.77,286.45,285.29,285.34,276.35,272.11,255.80,258.15,259.46,258.64,256.89,259.77,261.49,264.32,275.98,294.89,312.73,326.62,325.84,315.60,307.21,301.39,288.67,277.93,275.53,277.96,294.79
2001-02-11 22:11:12+00:00,L7,275.67,254.86,282.78,276.48,277.52,285.38,289.65,303.41,323.76,331.73,337.70,339.14,347.82,344.95,355.26,358.11,362.52,349.63,351.57,341.64,341.53,344.39,344.90,351.01,354.65,359.12,358.54,356.46,334.92,328.77,319.40,323.30,330.34,328.80,352.68,355.06,345.90,342.89,349.71,350.80,351.22,349.40,342.72,332.04,329.53,343.63,361.52,333.66,312.53,305.69,306.22,310.94,315.38,327.18,330.71,331.18,350.61,354.86,346.75,353.79,354.87,364.19,361.64,362.94,356.70,352.05,350.90,345.39,354.79,350.79,353.00,341.08,337.28,325.80,314.03,315.23,312.38,320.83,328.81,329.04,326.94,316.96,303.84,297.46,284.70,288.15,288.77,283.31,292.90,288.29,296.15,318.60,321.32,319.63,317.94,322.34,328.09,337.20,351.10,353.86,354.11,356.13,377.88,311.60,301.92,306.56,376.88
