dates,nzd0559-0000,nzd0559-0001,nzd0559-0002,nzd0559-0003,nzd0559-0004,nzd0559-0005,nzd0559-0006,nzd0559-0007,nzd0559-0008,nzd0559-0009,nzd0559-0010,nzd0559-0011,nzd0559-0012,nzd0559-0013,nzd0559-0014,nzd0559-0015,nzd0559-0016,nzd0559-0017,nzd0559-0018,nzd0559-0019,nzd0559-0020,nzd0559-0021,nzd0559-0022,nzd0559-0023,nzd0559-0024,nzd0559-0025,nzd0559-0026,nzd0559-0027,nzd0559-0028,nzd0559-0029,nzd0559-0030,nzd0559-0031,nzd0559-0032,nzd0559-0033,nzd0559-0034,nzd0559-0035,nzd0559-0036,nzd0559-0037,nzd0559-0038,nzd0559-0039,nzd0559-0040,nzd0559-0041,nzd0559-0042,nzd0559-0043,nzd0559-0044,nzd0559-0045,nzd0559-0046,nzd0559-0047,nzd0559-0048,nzd0559-0049,nzd0559-0050,nzd0559-0051,nzd0559-0052,nzd0559-0053,nzd0559-0054,nzd0559-0055,nzd0559-0056,nzd0559-0057,nzd0559-0058,nzd0559-0059,nzd0559-0060,nzd0559-0061,nzd0559-0062,nzd0559-0063,nzd0559-0064,nzd0559-0065,nzd0559-0066,nzd0559-0067,nzd0559-0068,nzd0559-0069,nzd0559-0070,nzd0559-0071,nzd0559-0072,nzd0559-0073,nzd0559-0074,nzd0559-0075,nzd0559-0076,nzd0559-0077,nzd0559-0078,nzd0559-0079,nzd0559-0080,nzd0559-0081,nzd0559-0082,nzd0559-0083,nzd0559-0084,nzd0559-0085,nzd0559-0086,nzd0559-0087,nzd0559-0088,nzd0559-0089,nzd0559-0090,nzd0559-0091,nzd0559-0092,nzd0559-0093,nzd0559-0094,nzd0559-0095,nzd0559-0096,nzd0559-0097,nzd0559-0098,nzd0559-0099,nzd0559-0100,nzd0559-0101,nzd0559-0102,nzd0559-0103,nzd0559-0104,nzd0559-0105,nzd0559-0106,satname
1999-07-16 22:13:35+00:00,,,,,,,261.18,261.13,269.45,277.03,283.08,,300.05,322.19,,342.10,330.59,328.03,340.52,331.75,329.81,343.94,350.12,,,,326.75,334.64,332.62,309.18,317.11,318.00,319.40,311.89,,,321.01,328.73,307.01,,318.93,327.37,334.04,320.45,305.45,300.86,304.46,324.91,300.68,289.00,302.23,305.94,304.61,307.68,303.34,306.50,318.67,336.62,340.18,323.24,334.99,350.30,357.05,328.52,326.51,322.27,327.46,335.62,,,,324.17,335.45,341.53,320.07,325.26,315.84,302.84,309.33,314.69,318.10,320.84,312.24,319.84,310.25,,300.38,275.31,286.28,287.18,,,,,,,337.79,,,,,,,,,,,L7
1999-09-18 22:13:39+00:00,297.14,,,308.68,,,268.85,269.62,282.25,291.86,300.13,,313.47,325.75,339.48,345.67,343.12,337.48,345.91,342.03,338.38,343.51,349.81,,,357.17,339.25,342.78,337.55,318.83,328.90,323.09,325.10,320.87,327.69,332.89,328.11,334.42,326.44,340.00,329.35,327.30,329.85,322.46,314.66,317.39,315.97,319.90,300.78,295.63,304.23,305.77,307.06,312.14,319.42,314.49,330.10,342.92,341.67,331.70,336.00,352.55,356.08,339.30,335.29,336.44,338.81,346.74,371.66,359.64,350.79,334.95,336.97,341.96,325.69,323.42,318.14,314.00,317.76,322.32,324.90,328.46,319.69,313.12,303.58,291.49,296.53,284.48,288.36,285.65,284.18,275.54,273.67,274.00,277.90,306.46,329.52,332.90,344.96,340.39,341.76,359.02,359.92,325.38,319.50,332.34,350.20,L7
1999-10-04 22:13:49+00:00,280.75,253.25,,308.68,,,258.83,263.78,275.63,283.35,292.52,279.48,309.51,321.87,328.63,336.96,338.85,333.14,338.51,333.30,332.71,338.97,345.12,343.68,346.22,346.56,340.26,338.92,334.77,316.51,322.78,316.27,320.23,316.12,315.40,326.75,325.86,329.39,328.25,333.78,330.19,326.92,323.06,314.38,310.58,313.28,314.16,315.30,295.60,290.15,294.59,301.87,304.59,307.18,317.25,308.98,330.10,343.50,343.83,336.77,335.45,347.38,352.53,339.43,341.61,336.26,335.11,342.49,356.83,356.40,352.16,333.17,329.66,330.76,324.04,319.28,316.22,309.26,312.78,320.32,317.67,319.06,313.61,307.52,301.22,288.67,287.72,281.56,282.83,281.96,282.25,270.64,273.65,276.72,277.39,307.38,327.01,333.47,342.92,341.37,338.56,349.37,343.76,316.52,308.48,320.12,343.21,L7
1999-11-05 22:13:40+00:00,281.35,265.31,,307.02,305.17,295.95,263.01,265.44,273.28,279.75,290.12,295.70,311.67,322.69,329.61,338.23,340.07,336.12,339.61,336.33,336.77,341.20,345.90,346.68,349.13,346.26,343.84,342.86,336.40,321.41,322.87,318.83,324.34,322.92,326.69,330.77,325.95,326.83,326.01,332.12,333.07,332.46,325.62,314.06,307.77,311.53,315.37,319.93,307.56,299.83,295.91,300.02,302.09,303.34,312.71,313.88,338.10,348.77,349.85,344.92,342.61,348.28,346.23,335.24,339.83,339.33,338.89,340.94,347.92,349.57,351.17,334.21,328.54,327.03,325.67,323.20,318.41,311.63,317.24,322.99,316.08,314.67,311.52,306.45,300.44,290.70,288.94,281.97,280.29,276.27,277.25,271.89,277.19,281.16,285.75,310.53,329.18,336.38,343.54,340.98,336.72,342.94,341.79,314.84,308.74,317.60,342.24,L7
2000-05-15 22:12:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.18,305.39,302.61,295.02,295.91,311.49,328.39,338.86,329.96,329.53,,,,302.03,301.70,316.97,330.08,314.97,,,,,,,,297.63,312.58,322.12,328.68,334.05,329.00,329.48,,,337.27,,308.80,,,,,,,,313.51,325.01,316.98,293.39,,282.22,303.81,311.18,288.85,283.80,274.28,,251.29,247.55,242.01,249.36,257.94,253.02,263.04,269.41,279.67,291.72,313.86,331.78,351.97,348.48,340.47,324.54,316.04,307.53,274.27,279.79,298.94,323.07,L7
2000-05-31 22:13:06+00:00,,,,,275.32,276.15,300.47,304.18,297.09,284.06,275.79,274.08,,291.47,320.64,332.38,332.09,320.16,327.98,329.34,344.06,353.14,353.00,,,,329.08,334.73,333.98,312.01,287.91,285.31,295.02,307.05,323.09,339.81,347.57,343.74,335.43,,,,293.56,305.28,323.62,332.42,314.97,,,,324.00,333.59,314.27,296.90,297.67,303.17,321.26,330.58,337.13,337.31,334.40,,344.05,323.81,310.43,308.13,320.77,,,,,,307.51,318.27,325.01,316.98,286.45,,299.25,303.18,311.18,274.73,271.12,271.94,,251.29,247.55,242.01,249.36,257.94,253.02,263.04,269.41,279.67,291.72,313.86,331.78,351.97,348.48,340.47,324.54,316.04,307.53,274.27,279.79,298.94,323.07,L7
2000-09-04 22:11:34+00:00,269.93,273.15,269.14,276.39,276.28,278.90,291.38,297.68,297.78,293.19,290.33,292.98,315.27,303.75,322.15,330.91,331.95,328.56,334.56,335.65,345.13,351.38,350.70,344.72,350.58,351.94,340.29,341.02,331.54,315.14,297.31,294.51,308.35,313.60,325.93,337.03,341.53,342.07,334.20,319.81,315.38,321.84,305.05,308.77,318.96,328.33,321.42,327.84,317.49,289.57,302.89,312.73,309.86,309.23,310.16,315.33,323.46,325.29,334.64,338.54,335.85,334.51,342.01,330.01,321.39,313.28,322.74,336.57,361.18,368.60,,299.51,303.41,313.81,320.73,322.75,297.14,309.64,302.63,305.01,310.01,285.46,285.39,285.94,292.48,262.71,255.31,254.85,257.69,263.37,258.60,264.85,268.37,278.92,295.61,316.76,334.06,346.55,343.00,334.34,321.96,319.11,315.02,288.15,291.31,307.95,331.38,L7
2000-09-20 22:11:14+00:00,270.76,262.12,253.51,269.16,271.54,271.64,279.88,286.04,289.47,286.82,290.04,291.55,305.71,306.68,321.48,326.51,324.13,321.88,329.10,331.10,338.90,345.98,345.83,341.86,344.01,350.77,344.43,346.82,338.40,317.58,298.76,293.44,306.10,312.64,324.83,338.39,340.36,341.87,334.90,321.76,312.50,316.79,309.23,312.30,319.70,324.97,319.00,321.59,315.01,301.69,305.42,309.46,306.46,304.91,309.31,318.89,324.56,329.28,336.29,340.09,336.29,332.68,341.20,335.43,333.31,324.28,327.62,330.84,343.41,353.74,342.59,319.72,309.96,312.59,313.22,317.32,305.39,323.32,309.19,306.04,308.15,289.35,288.41,288.25,294.38,271.87,264.11,262.47,262.32,266.14,262.67,265.94,269.43,278.79,293.04,316.87,334.34,345.68,343.68,333.31,321.76,320.33,314.97,290.66,293.50,308.32,331.05,L7
2000-10-06 22:11:11+00:00,266.68,254.97,236.78,262.41,268.45,266.29,271.88,279.95,285.43,288.63,289.94,291.08,308.27,311.00,324.53,325.56,321.72,319.69,325.99,331.69,336.95,342.01,345.83,341.86,344.01,350.77,344.78,346.62,338.46,320.00,300.25,293.06,302.35,309.76,324.83,338.39,337.58,338.50,333.14,316.27,308.29,309.49,305.20,308.82,314.94,319.16,314.51,314.10,309.20,300.50,304.36,307.67,302.89,298.03,305.59,313.55,324.56,329.58,335.43,338.43,334.20,332.68,341.20,335.43,336.50,324.28,327.62,330.84,343.41,353.74,342.59,319.72,309.96,312.59,309.14,313.76,308.66,323.41,310.53,306.67,305.65,291.17,290.40,290.07,292.74,274.50,264.43,263.64,264.18,267.03,265.72,266.64,270.01,277.57,290.16,314.65,331.94,342.63,341.62,331.00,319.46,318.17,312.40,290.05,290.90,303.50,327.98,L7
2001-02-11 22:11:12+00:00,260.68,245.04,241.21,262.62,264.87,265.06,266.26,276.22,287.60,296.43,300.47,303.22,314.03,320.25,329.06,328.90,325.52,323.52,328.59,330.96,333.01,335.70,337.63,338.91,340.22,345.30,345.96,346.55,333.74,321.69,305.70,300.96,304.99,310.37,329.77,335.67,330.16,332.85,330.64,320.78,315.21,315.66,315.90,310.89,310.45,314.84,322.02,314.86,306.73,297.99,296.38,297.51,297.67,301.48,310.33,318.64,327.19,329.21,332.91,337.88,336.35,337.68,341.07,346.35,342.57,337.70,331.07,330.19,340.60,345.42,335.42,320.24,314.39,308.49,301.44,308.83,315.74,317.81,315.25,308.51,304.64,301.71,298.90,296.86,286.23,280.18,271.44,270.87,271.53,270.81,270.32,277.44,279.46,284.26,294.81,312.27,326.89,336.58,338.97,331.44,325.02,324.66,314.02,295.85,293.83,301.59,333.19,L7
