,dates,mex0393-0000,mex0393-0001,mex0393-0002,mex0393-0003,mex0393-0004,mex0393-0005,mex0393-0006,mex0393-0007,mex0393-0008,mex0393-0009,mex0393-0010,mex0393-0011
0,1985-01-16 17:12:25+00:00,176.3619825304849,172.448285363446,178.72584236703148,178.41745098538013,169.95465237248243,175.10752083629455,169.2143509665024,203.58427392091698,204.16414893260938,206.8424005243992,209.00623978408407,208.3647002929252
1,1986-03-15 17:14:19+00:00,179.51637066478554,182.24950537848406,179.2330951381664,183.180510444347,184.3138741190767,181.72405770693555,174.63009617026609,199.71377002191804,204.78341272781572,208.94200994710937,210.99804768557536,212.82309921152137
2,1986-04-09 17:07:37+00:00,171.84896431588263,174.7846627374352,169.70676953851134,175.0947024458133,175.76640860959006,186.1191104734646,183.5011919601364,200.21448285950362,209.64098036325348,213.9848548035429,202.23224806140587,201.3902542180919
3,1990-04-11 17:08:26+00:00,168.49111541221066,167.0618860108334,161.93096904780182,165.7666815715069,173.63938563613056,174.00981038796908,178.63253796309976,178.645361592383,195.02025249238966,198.43732279852566,190.7863363089492,188.44369956301193
4,1990-04-27 17:08:25+00:00,169.1650368138574,176.27817974261467,174.30654341498314,162.3613519731106,164.05505955133367,176.30562149025886,172.38665762080407,191.44256122297804,202.22448791617006,201.0409202818458,191.08698828674977,202.7146070936523
5,1990-05-13 17:08:31+00:00,182.21182172846798,178.0334547029878,174.6770145892226,171.83426784588863,178.69112604327265,187.97877612465473,182.5615713867641,189.68068526294746,204.19535310193024,198.31275609464168,196.04949494538542,198.59794843485344
6,1992-08-31 17:04:23+00:00,174.4108996694927,171.22478888011963,175.3640100909125,178.36355381462593,181.55137239915928,176.5060472267439,170.201762856907,187.425357969093,199.83823162120166,204.73977580865645,207.01282486844565,209.3693904239274
7,1992-09-07 17:10:28+00:00,171.00268964612013,167.69609793042864,157.61969240467596,158.09410424487712,161.99642219735702,160.9921905228661,151.93180054633075,177.82042645395163,191.49792113460586,189.37434435568323,193.41991595499616,201.34780133340672
8,1993-01-13 17:09:51+00:00,186.94792304698254,184.14984305052505,178.63346704223815,184.52263251522015,185.49651101154618,188.62306777402515,176.9148664153286,197.16110679946965,200.48596643246427,200.68618958155878,204.2263238994485,212.17677195685923
9,1993-01-22 17:03:47+00:00,184.7380372045463,181.97993206124983,181.34217566953998,185.8786251302963,188.74989692264845,190.30039115631166,180.03208358334575,207.58366794496172,200.5610652696936,207.32102479737998,209.26179956785975,212.73505846061238
10,1993-01-29 17:10:02+00:00,179.36748582114654,178.17941634047384,178.6868646652249,179.1444426856267,181.80265113859744,182.68916637345095,180.54360077058467,193.57498224648074,202.57764009377107,203.95014101063893,198.1796580241849,207.23648145085357
11,1993-02-07 17:03:58+00:00,179.74312515223048,181.22454872804025,177.4027944622048,182.0797680783656,184.64497835274008,189.13497722783353,185.86246663145175,203.7388269822131,204.47385744332226,209.12259241813797,211.277729841812,207.9369071643401
12,1993-03-02 17:10:19+00:00,166.0666088641778,164.2606106615347,168.0750992050649,169.55187739245974,166.72945721624063,174.77270892842094,173.24153074092388,182.61330097345027,190.51771958119915,204.786670045224,201.80731392568023,209.73643547772684
13,1993-03-11 17:04:14+00:00,179.64482916688584,180.43176285438187,176.15832788844654,173.67053808286317,181.16134201393282,183.29360259630934,179.00030409213338,188.79684112963184,194.97207003285448,196.26865999003985,206.4204111025035,210.03471301563306
14,1993-03-18 17:10:26+00:00,174.2539606754503,176.24000083274746,185.16723218230442,173.3115678839675,169.8644252701876,183.77505928098367,170.54517227471342,182.55660082502774,187.84137903342653,195.40791621826315,195.74529461697347,204.49200352581485
