dates,nzd0216-0000,nzd0216-0001,nzd0216-0002,nzd0216-0003,nzd0216-0004,nzd0216-0005,nzd0216-0006,nzd0216-0007,nzd0216-0008,nzd0216-0009,nzd0216-0010,nzd0216-0011,nzd0216-0012,nzd0216-0013,nzd0216-0014,nzd0216-0015,nzd0216-0016,nzd0216-0017,nzd0216-0018,nzd0216-0019,nzd0216-0020,satname
1999-10-06 21:59:04+00:00,,,,,311.31,319.58,312.16,308.34,298.61,311.53,321.95,302.22,296.06,290.34,322.47,328.04,326.51,340.66,337.41,333.99,320.42,L7
1999-12-25 21:58:52+00:00,333.64,344.62,347.47,337.36,330.83,323.79,320.38,311.72,303.89,300.79,307.77,315.22,308.80,313.09,322.05,328.57,330.47,345.33,338.59,340.60,333.22,L7
2000-01-10 21:58:52+00:00,,,,,338.05,330.45,320.47,314.71,311.34,304.02,306.25,302.90,304.97,298.09,314.81,324.25,333.00,359.84,358.24,351.47,343.37,L7
2000-03-14 21:58:35+00:00,346.13,361.32,347.64,336.94,,,,,,,,,,,,,,,,,,L7
2000-03-30 21:58:33+00:00,326.68,337.22,330.35,315.57,324.71,,326.99,326.32,318.95,,314.90,321.01,286.12,293.90,338.08,339.63,346.17,346.67,353.55,361.00,355.74,L7
2000-07-04 21:57:38+00:00,,,,,,,,,,,,,309.55,264.58,,,329.93,354.62,326.83,,,L7
2000-08-05 21:57:08+00:00,346.98,336.41,,,,,,,,,329.09,330.19,304.34,277.42,,317.99,324.68,327.50,342.89,345.45,339.30,L7
2000-11-25 21:56:23+00:00,316.55,328.98,353.49,342.62,334.78,320.72,320.00,312.96,302.82,301.93,308.69,307.42,307.05,302.49,314.65,331.60,328.46,,,,,L7
2001-03-17 21:56:16+00:00,349.48,354.27,340.25,339.28,344.74,349.59,345.57,339.90,335.75,332.46,339.26,,,339.51,354.15,358.94,364.21,363.06,372.72,377.48,365.23,L7
2001-05-20 21:55:53+00:00,,,,,,,,,,,,261.85,,,,,,,,,,L7
2001-06-21 21:55:29+00:00,283.88,,,,,,,,,,271.12,297.52,312.63,,,,334.62,346.65,333.34,,,L7
2001-08-24 21:54:48+00:00,312.83,,301.08,,,,,,,,310.62,318.67,,,,,,,307.99,,,L7
2001-09-25 21:54:28+00:00,349.86,364.64,359.91,366.50,361.95,339.53,331.75,336.93,341.49,347.78,345.49,342.06,339.77,321.44,334.75,349.22,366.75,370.15,,381.76,365.63,L7
2002-02-16 21:54:54+00:00,367.77,374.24,371.51,362.17,351.17,344.91,351.12,355.14,344.88,332.46,342.57,345.20,350.71,346.58,340.73,345.26,354.19,367.71,,373.30,357.90,L7
2002-03-20 21:54:48+00:00,345.16,344.40,332.54,331.19,318.61,321.52,335.48,328.84,318.60,,324.19,330.48,324.01,317.54,318.03,326.20,334.99,336.13,340.48,349.27,346.30,L7
2002-08-11 21:54:12+00:00,296.26,,,,,,281.73,,,272.41,,277.94,280.30,,290.60,307.86,307.94,322.15,324.50,323.13,308.04,L7
2002-08-27 21:54:00+00:00,329.03,,313.52,306.91,,,286.15,,,270.34,,274.56,278.85,,296.18,315.34,326.82,325.43,331.21,345.75,306.27,L7
2002-10-14 21:53:43+00:00,350.01,362.60,341.50,333.31,336.96,343.32,291.71,299.93,265.72,291.47,311.49,308.57,290.30,312.41,329.12,335.41,345.74,368.10,375.12,366.19,349.59,L7
2002-12-01 21:54:16+00:00,334.12,345.53,348.32,328.11,325.34,318.60,318.99,312.44,302.54,308.33,305.10,303.91,303.72,300.37,313.53,323.17,323.30,332.65,338.09,344.30,334.07,L7
2003-01-18 21:54:30+00:00,332.93,335.93,362.32,352.02,336.97,324.40,325.49,317.12,306.15,305.10,307.87,309.92,320.09,296.59,318.68,328.45,332.42,350.14,343.33,346.53,343.75,L7
2003-03-23 21:54:40+00:00,368.39,,372.02,358.84,357.81,,,,,339.03,344.33,349.10,356.40,,371.34,367.39,367.25,359.94,375.96,387.66,384.50,L7
2003-04-08 21:54:47+00:00,348.88,352.77,342.20,326.32,,,,187.42,193.72,,,315.38,318.53,333.61,346.76,335.43,332.50,332.29,346.28,367.59,360.64,L7
2003-04-24 21:54:46+00:00,,,328.83,334.16,331.41,,323.71,211.45,216.50,,,312.10,308.38,287.30,322.65,328.19,325.12,324.22,335.87,344.53,341.93,L7
2003-07-21 21:42:33+00:00,323.79,,,,,,,182.05,204.07,,,316.15,300.59,317.72,328.39,,339.03,357.35,376.32,380.58,,L5
2003-08-06 21:42:51+00:00,298.08,,,,,,,178.01,202.28,,,,,,,,,,,,,L5
2003-10-25 21:44:04+00:00,353.58,358.11,376.05,360.83,341.80,327.94,327.82,324.04,310.59,298.90,308.10,314.19,319.60,305.28,323.01,337.58,345.20,370.86,353.93,345.70,340.85,L5
2003-12-04 21:54:43+00:00,,,,318.51,313.88,,,300.39,302.46,302.91,310.61,313.77,302.42,296.88,306.32,319.64,339.04,355.01,356.88,,,L7
2004-01-05 21:54:57+00:00,348.38,350.46,355.24,342.42,328.59,,,,306.45,308.67,309.98,306.13,310.01,301.36,310.60,325.22,341.03,351.61,346.16,346.47,,L7
2004-03-09 21:55:15+00:00,,,360.02,344.07,326.58,320.74,318.41,304.72,291.34,306.07,293.84,302.83,309.29,,,,335.30,350.06,342.95,342.56,339.55,L7
2004-03-17 21:45:08+00:00,327.99,,338.99,327.01,309.33,301.55,299.02,266.70,,269.99,267.03,292.73,308.95,288.06,309.74,320.04,321.97,331.76,332.77,335.20,323.66,L5
2004-03-25 21:55:18+00:00,346.28,342.49,343.04,329.28,328.79,328.23,328.17,,300.50,256.59,,,,320.08,328.72,327.80,316.99,318.81,325.23,349.18,351.75,L7
2004-04-18 21:45:49+00:00,333.81,329.43,347.48,,,268.64,322.19,267.64,259.18,284.00,282.47,304.53,316.16,289.71,311.05,329.77,332.44,348.68,336.19,330.34,328.14,L5
2004-05-04 21:46:16+00:00,312.54,316.39,,,,262.61,274.53,259.14,266.03,276.01,273.66,296.90,305.55,271.08,304.87,323.67,331.32,349.73,332.59,324.72,,L5
2004-05-12 21:55:13+00:00,,,357.96,333.68,,,218.39,,201.72,234.24,230.08,233.94,,245.75,,,319.71,321.98,329.52,,,L7
2004-07-07 21:48:09+00:00,,,,,,,219.00,,206.11,239.53,218.55,236.04,,222.72,,273.80,281.86,,290.08,,,L5
2004-07-23 21:48:33+00:00,,,,,,,213.59,,208.36,238.56,222.10,243.43,,253.77,,282.79,288.92,286.55,303.10,,,L5
2004-07-31 21:54:51+00:00,322.26,304.46,,,,254.98,,258.71,,,,,300.25,280.01,305.08,318.18,333.29,,333.56,326.34,,L7
2004-08-08 21:48:50+00:00,,,,,,,190.17,,182.29,224.98,228.78,243.57,231.06,,,308.93,294.57,275.90,289.31,304.44,292.04,L5
2004-08-24 21:49:18+00:00,330.18,327.75,317.30,320.76,,,259.93,,201.85,241.96,227.90,249.50,236.21,245.88,,290.42,283.88,296.19,320.31,342.07,337.38,L5
2004-09-09 21:49:43+00:00,,,,,353.43,,337.51,242.10,253.71,272.27,254.74,320.56,269.01,313.68,332.57,326.14,331.91,309.51,335.59,344.30,350.49,L5
2004-09-25 21:50:07+00:00,322.33,307.79,330.84,328.67,295.54,301.20,304.29,283.61,279.73,279.12,274.81,288.45,292.13,276.94,305.29,315.23,323.19,332.29,335.69,329.77,319.27,L5
2004-10-11 21:50:27+00:00,307.37,303.75,324.44,326.66,316.21,311.89,305.01,285.29,282.17,289.73,282.63,284.36,281.68,289.25,303.64,313.28,318.36,334.40,340.77,336.19,326.00,L5
2004-10-19 21:54:43+00:00,306.24,289.96,,,,,,,,,,,,,348.10,343.65,343.78,367.75,378.32,359.83,352.34,L7
2004-10-27 21:50:47+00:00,,,,,333.42,320.13,322.41,318.83,301.85,291.09,291.55,297.47,305.14,296.05,309.86,314.32,329.43,350.96,342.25,332.87,328.17,L5
2005-02-08 21:55:35+00:00,323.52,324.53,355.51,349.55,331.60,310.66,,,,294.29,297.86,301.33,306.97,297.46,318.40,329.28,333.38,358.38,346.42,340.69,338.41,L7
2005-02-16 21:52:37+00:00,354.40,358.51,342.51,351.43,335.04,333.17,323.12,334.50,,333.48,317.16,326.98,302.84,327.19,339.40,347.15,361.14,368.06,372.47,376.75,357.77,L5
2005-02-24 21:55:41+00:00,323.16,325.05,354.84,346.67,328.78,,,303.97,303.37,295.45,293.06,298.00,306.70,294.19,317.52,330.50,332.49,354.67,347.18,,,L7
2005-03-04 21:52:52+00:00,319.71,321.66,311.93,316.02,310.98,299.01,297.62,304.42,315.14,319.44,315.04,306.38,292.33,294.57,297.83,320.85,332.00,323.17,342.21,354.81,341.75,L5
2005-04-13 21:55:36+00:00,318.69,285.77,310.06,308.08,260.75,236.68,282.59,230.25,219.18,,,,,279.87,293.24,313.55,314.23,309.84,321.86,337.61,335.90,L7
2005-04-21 21:53:10+00:00,291.31,284.60,313.47,,229.28,247.17,279.53,254.88,248.05,272.22,266.43,283.02,283.20,257.44,292.61,310.33,309.93,323.46,317.49,328.99,313.58,L5
2005-05-31 21:55:35+00:00,,,,,,,,,,,215.98,,,,,269.84,280.48,,294.31,,,L7
2005-06-08 21:53:33+00:00,279.17,,,,216.90,251.35,260.50,244.83,250.85,260.65,251.83,278.76,290.33,245.50,274.34,,324.17,329.22,316.88,,,L5
