dates,nzd0216-0000,nzd0216-0001,nzd0216-0002,nzd0216-0003,nzd0216-0004,nzd0216-0005,nzd0216-0006,nzd0216-0007,nzd0216-0008,nzd0216-0009,nzd0216-0010,nzd0216-0011,nzd0216-0012,nzd0216-0013,nzd0216-0014,nzd0216-0015,nzd0216-0016,nzd0216-0017,nzd0216-0018,nzd0216-0019,nzd0216-0020,satname
1999-10-06 21:59:04+00:00,,,,,311.31,319.58,312.16,308.34,298.61,311.53,321.95,302.22,296.06,290.34,322.47,328.04,326.51,340.66,337.41,333.99,320.42,L7
1999-12-25 21:58:52+00:00,333.64,344.62,347.47,337.36,321.07,321.69,316.27,310.03,301.25,306.16,314.86,308.72,302.43,301.71,322.26,328.31,328.49,343.00,338.00,337.30,326.82,L7
2000-01-10 21:58:52+00:00,333.64,344.62,347.47,337.36,326.73,324.61,317.67,311.59,304.61,305.45,311.99,306.78,303.28,300.51,319.78,326.95,329.99,348.61,344.75,342.02,332.34,L7
2000-03-14 21:58:35+00:00,339.88,352.97,347.56,337.15,326.73,324.61,317.67,311.59,304.61,305.45,311.99,306.78,303.28,300.51,319.78,326.95,329.99,348.61,344.75,342.02,332.34,L7
2000-03-30 21:58:33+00:00,335.48,347.72,341.82,329.96,326.23,324.61,320.00,315.27,308.20,305.45,312.72,310.34,298.99,298.85,324.35,330.12,334.04,348.12,346.95,346.76,338.19,L7
2000-07-04 21:57:38+00:00,336.41,349.27,339.00,326.25,331.38,330.45,323.73,320.51,315.14,304.02,310.57,311.95,300.21,285.52,326.45,331.94,336.37,353.71,346.21,356.23,349.55,L7
2000-08-05 21:57:08+00:00,339.93,344.98,339.00,326.25,324.71,,326.99,326.32,318.95,,322.00,325.60,300.00,278.63,338.08,328.81,333.59,342.93,341.09,353.23,347.52,L7
2000-11-25 21:56:23+00:00,331.76,332.70,353.49,342.62,334.78,320.72,320.00,312.96,302.82,301.93,318.89,318.81,306.98,281.50,314.65,324.80,327.69,341.06,334.86,345.45,339.30,L7
2001-03-17 21:56:16+00:00,333.01,341.62,346.87,340.95,339.76,335.15,332.78,326.43,319.28,317.19,323.98,307.42,307.05,321.00,334.40,345.27,346.33,363.06,372.72,377.48,365.23,L7
2001-05-20 21:55:53+00:00,333.01,341.62,346.87,340.95,339.76,335.15,332.78,326.43,319.28,317.19,323.98,284.63,307.05,321.00,334.40,345.27,346.33,363.06,372.72,377.48,365.23,L7
2001-06-21 21:55:29+00:00,316.68,354.27,340.25,339.28,344.74,349.59,345.57,339.90,335.75,332.46,305.19,279.69,312.63,339.51,354.15,358.94,349.41,354.86,353.03,377.48,365.23,L7
2001-08-24 21:54:48+00:00,315.40,354.27,320.66,339.28,344.74,349.59,345.57,339.90,335.75,332.46,307.00,292.68,312.63,339.51,354.15,358.94,349.41,354.86,338.02,377.48,365.23,L7
2001-09-25 21:54:28+00:00,315.52,364.64,330.50,366.50,361.95,339.53,331.75,336.93,341.49,347.78,309.08,305.02,326.20,321.44,334.75,349.22,350.69,358.40,320.66,381.76,365.63,L7
2002-02-16 21:54:54+00:00,343.49,369.44,344.17,364.34,356.56,342.22,341.44,346.03,343.19,340.12,332.89,335.31,345.24,334.01,337.74,347.24,360.47,368.93,307.99,377.53,361.76,L7
2002-03-20 21:54:48+00:00,354.26,361.09,354.65,353.29,343.91,335.32,339.45,340.30,334.99,340.12,337.42,339.25,338.16,328.52,331.17,340.23,351.98,358.00,340.48,368.11,356.61,L7
2002-08-11 21:54:12+00:00,336.40,359.32,352.02,346.68,334.89,333.22,322.78,341.99,331.74,302.44,333.38,317.87,318.34,332.06,316.45,326.44,332.37,342.00,332.49,348.57,337.41,L7
2002-08-27 21:54:00+00:00,323.48,344.40,323.03,319.05,318.61,321.52,301.12,328.84,318.60,271.38,324.19,294.33,294.39,317.54,301.60,316.47,323.25,327.90,332.06,339.38,320.20,L7
2002-10-14 21:53:43+00:00,325.10,362.60,327.51,320.11,336.96,343.32,286.53,299.93,265.72,278.07,311.49,287.02,283.15,312.41,305.30,319.54,326.83,338.56,343.61,345.02,321.30,L7
2002-12-01 21:54:16+00:00,327.36,354.06,334.45,322.78,331.15,330.96,294.64,306.19,284.13,285.64,308.30,291.25,288.29,306.39,307.36,320.45,325.95,337.08,342.23,344.84,324.49,L7
2003-01-18 21:54:30+00:00,328.47,348.02,341.41,330.09,333.09,328.77,300.81,309.83,291.47,289.53,308.15,294.98,294.65,303.12,309.62,322.05,327.24,339.69,342.45,345.18,328.34,L7
2003-03-23 21:54:40+00:00,346.36,348.02,356.04,343.07,339.27,328.77,312.06,309.83,291.47,310.98,317.20,317.88,317.63,303.12,333.17,338.61,342.18,352.71,358.12,361.17,352.98,L7
2003-04-08 21:54:47+00:00,346.87,349.21,353.27,339.72,339.27,328.77,312.06,279.23,267.03,310.98,317.20,317.38,317.81,310.75,335.89,337.97,340.24,348.62,355.76,362.45,354.51,L7
