dates,satname,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035
1999-12-25 21:59:16+00:00,L7,348.63,344.13,332.63,329.49,329.38,328.76,324.02,319.66,334.73,338.65,353.61,349.11,348.77,359.55,363.54,370.33,372.11,364.15,361.03,365.28,360.76,353.31,355.67,362.53,360.59,351.75,342.67,348.92,356.39,361.20,350.00,341.75,330.07,325.34,329.29,318.63
2000-01-10 21:59:16+00:00,L7,357.73,349.42,342.86,342.32,351.07,346.39,344.57,334.48,339.56,338.92,351.56,353.60,368.57,372.52,372.99,380.09,375.09,374.93,375.41,365.68,368.09,367.39,377.33,374.82,375.08,373.14,366.53,362.20,367.22,366.37,357.98,354.37,342.56,333.93,330.14,323.27
2000-03-14 21:58:59+00:00,L7,365.71,360.46,364.32,351.75,350.30,348.32,349.67,347.80,355.13,361.81,366.65,375.14,375.31,376.05,386.13,384.06,388.16,393.53,389.27,398.71,390.17,391.28,387.26,395.40,398.50,395.77,395.89,393.31,392.35,387.70,379.01,370.65,367.92,357.16,345.73,322.32
2000-03-30 21:58:57+00:00,L7,342.30,333.61,343.36,341.41,342.23,342.25,355.03,350.94,347.69,358.33,355.05,358.66,371.16,373.76,373.65,379.13,384.56,391.05,384.53,386.43,387.00,388.49,390.51,393.29,389.46,395.03,402.45,399.69,397.07,392.89,380.68,364.50,361.44,347.94,341.14,337.24
2000-07-04 21:58:02+00:00,L7,318.32,294.78,332.50,337.54,333.22,,318.90,340.14,340.79,341.55,356.98,351.16,288.34,272.63,359.99,356.67,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:32+00:00,L7,329.13,293.18,302.31,346.67,335.95,316.33,323.25,342.06,349.20,361.33,361.58,386.40,392.54,385.84,358.02,364.35,360.50,375.67,364.36,361.87,364.48,,,,,,,,,,,,,,,
2000-08-21 21:57:26+00:00,L7,348.82,346.62,351.12,328.24,327.25,315.87,337.63,348.62,364.21,364.10,382.08,382.65,382.86,366.28,374.03,366.52,362.89,364.03,367.68,373.07,362.75,370.12,386.73,364.04,366.39,363.83,377.10,384.08,398.04,378.42,366.02,370.95,351.22,345.58,349.45,339.43
2000-11-09 21:56:45+00:00,L7,359.38,351.74,348.94,341.18,352.61,341.87,328.25,350.68,365.04,354.82,351.40,371.81,370.88,368.51,372.88,375.33,358.01,364.18,360.69,357.64,362.19,364.53,373.25,371.84,373.83,376.81,376.49,372.09,380.28,360.40,348.51,334.27,334.14,326.61,331.03,328.20
2000-11-25 21:56:47+00:00,L7,,,317.67,310.47,311.32,293.83,288.39,306.05,331.65,329.85,334.00,334.75,308.82,330.72,328.65,338.38,332.53,329.84,328.60,323.98,329.50,333.37,339.08,338.89,337.67,347.75,353.02,356.16,352.17,341.79,318.32,301.13,295.54,316.33,309.34,295.55
2001-03-17 21:56:40+00:00,L7,345.01,353.84,352.67,349.89,348.95,352.23,346.63,342.58,349.37,356.61,365.87,380.65,388.74,395.58,393.75,361.91,368.83,373.04,377.03,372.89,368.78,376.77,378.54,395.30,389.59,399.46,405.02,400.79,408.09,400.76,384.80,362.87,351.85,351.09,343.40,338.09
2001-07-07 21:55:48+00:00,L7,338.01,321.81,310.73,330.52,333.90,334.28,329.75,318.29,311.44,330.31,324.94,326.94,285.11,296.58,352.68,352.10,344.22,338.29,343.78,349.56,362.32,360.70,360.12,366.07,368.55,379.41,377.75,374.92,379.31,372.33,360.70,358.03,324.49,260.63,275.19,286.03
2001-08-24 21:55:12+00:00,L7,374.46,,354.25,375.37,345.84,303.14,273.83,245.77,223.69,259.45,298.60,259.03,307.55,289.62,278.59,305.61,204.08,210.66,234.09,194.22,188.51,68.21,204.57,184.57,211.32,182.12,174.28,,,,,,,,,183.09
2001-09-25 21:54:52+00:00,L7,376.79,374.40,373.47,384.99,385.18,372.01,364.61,371.27,369.84,374.65,393.46,400.73,382.62,382.99,384.39,383.10,386.06,393.42,387.83,395.04,399.03,411.68,399.02,399.16,405.70,401.34,405.72,397.04,402.56,401.20,389.63,378.78,369.79,358.43,345.48,337.92
2001-10-11 21:54:33+00:00,L7,361.00,359.31,362.17,371.85,376.76,363.04,356.40,350.62,355.21,369.07,387.48,396.61,398.76,393.36,383.95,381.34,378.43,369.01,379.70,378.59,394.37,396.94,,,,,,,,,,,,,352.88,337.99
