dates,nzd0443-0000,nzd0443-0001,nzd0443-0002,nzd0443-0003,nzd0443-0004,nzd0443-0005,nzd0443-0006,nzd0443-0007,nzd0443-0008,nzd0443-0009,nzd0443-0010,nzd0443-0011,nzd0443-0012,nzd0443-0013,nzd0443-0014,nzd0443-0015,nzd0443-0016,nzd0443-0017,nzd0443-0018,nzd0443-0019,nzd0443-0020,nzd0443-0021,nzd0443-0022,nzd0443-0023,nzd0443-0024,nzd0443-0025,nzd0443-0026,nzd0443-0027,nzd0443-0028,satname
1999-10-27 22:19:03+00:00,,,376.34,366.76,359.97,356.66,353.42,349.19,347.08,350.12,353.11,357.21,364.68,367.98,363.00,355.33,352.86,349.96,353.50,347.85,344.60,329.43,324.20,321.29,335.66,335.03,329.20,326.57,319.06,L7
1999-11-21 22:12:47+00:00,,,376.34,370.18,368.13,362.13,360.65,357.34,357.78,359.27,362.16,365.23,371.13,373.58,368.06,358.36,359.18,357.47,357.51,348.91,340.76,334.12,324.57,319.10,327.17,335.23,327.87,324.23,327.36,L7
1999-11-28 22:18:56+00:00,,316.78,368.29,363.92,358.21,357.88,355.31,352.86,352.78,357.06,359.04,361.93,366.99,368.82,364.80,355.72,353.83,351.35,349.44,340.78,337.75,331.87,324.10,318.85,323.66,332.08,326.12,322.91,324.60,L7
1999-12-07 22:12:53+00:00,,316.78,368.29,360.96,361.18,358.85,357.09,355.57,354.22,358.50,360.35,363.00,366.09,368.85,363.75,355.41,352.72,349.04,347.93,339.88,336.50,331.31,323.62,317.45,322.12,330.19,325.89,324.94,327.55,L7
1999-12-14 22:19:07+00:00,,321.92,369.01,359.39,356.95,354.71,353.87,353.72,353.63,357.29,359.08,361.81,365.29,367.73,362.84,354.84,351.97,348.91,347.94,340.04,338.37,332.78,325.10,319.99,324.47,332.96,326.54,325.19,326.57,L7
2000-01-24 22:12:47+00:00,,324.34,370.56,363.86,357.79,355.87,353.02,353.77,355.15,358.73,359.25,362.19,366.14,367.36,361.35,353.89,351.23,348.68,348.13,341.43,338.37,332.78,325.10,319.99,324.47,332.96,326.54,325.19,326.57,L7
2000-02-09 22:12:43+00:00,,324.34,370.56,363.86,357.79,355.87,353.02,352.35,353.93,357.26,358.44,360.89,364.68,366.50,360.51,352.55,349.88,347.85,347.05,341.12,338.76,332.77,325.74,319.43,323.43,333.09,326.63,326.62,326.33,L7
2000-04-13 22:12:18+00:00,576.29,369.82,375.02,365.79,361.83,357.40,353.51,353.37,354.06,357.08,358.34,361.17,365.27,367.51,360.84,352.89,349.59,348.24,347.35,341.81,339.89,334.55,327.89,321.60,325.10,334.29,327.56,329.01,328.02,L7
2000-04-20 22:18:27+00:00,576.29,369.82,375.02,365.79,361.83,357.40,353.51,353.37,354.06,357.08,358.34,359.57,364.29,367.32,359.53,351.90,349.56,348.38,347.65,342.62,340.42,334.98,328.15,322.21,325.24,334.86,328.17,329.39,326.62,L7
2000-05-15 22:12:06+00:00,564.06,369.82,374.69,367.07,364.33,358.73,353.49,353.97,355.05,356.46,357.53,358.65,362.59,366.38,357.08,349.82,347.86,346.90,346.63,341.17,337.97,335.45,329.20,322.79,324.07,335.60,328.43,329.65,327.61,L7
2000-08-03 22:11:07+00:00,564.06,506.28,392.87,376.54,381.78,366.27,354.87,352.17,350.79,349.80,352.63,356.14,361.26,367.74,354.66,346.38,342.57,344.45,344.80,340.73,337.80,335.49,332.71,324.07,323.66,336.42,328.54,331.56,326.78,L7
2000-08-19 22:11:01+00:00,564.06,506.28,392.87,376.54,381.78,366.27,360.45,360.56,359.36,352.32,353.96,357.61,363.89,369.62,356.60,348.68,345.15,346.51,348.70,343.71,340.57,338.84,334.41,327.11,326.22,337.00,329.18,330.91,323.92,L7
2000-09-04 22:10:46+00:00,564.06,506.28,392.87,376.54,381.78,366.27,360.45,360.56,356.77,351.65,352.73,357.02,362.62,367.74,355.43,347.55,341.97,343.14,344.62,339.60,336.31,335.82,332.24,324.67,324.29,333.79,326.21,326.44,315.56,L7
2000-09-20 22:10:27+00:00,556.49,506.20,416.19,397.83,383.99,364.96,358.68,357.41,354.74,350.32,352.35,356.66,361.37,366.11,354.29,346.11,340.04,340.13,342.09,338.84,337.34,335.06,332.16,323.53,322.31,332.61,325.56,324.80,313.29,L7
2000-09-27 22:16:36+00:00,557.90,512.19,415.71,400.82,390.76,370.55,361.02,360.78,355.90,352.30,353.95,357.85,362.65,367.05,355.61,347.64,341.62,341.66,343.16,339.63,338.05,337.52,333.54,323.88,321.76,331.79,326.21,326.89,313.29,L7
2000-10-06 22:10:23+00:00,550.17,507.96,423.20,400.14,388.49,370.36,358.85,356.59,351.95,350.84,351.49,355.88,360.75,365.26,354.40,347.04,341.42,341.41,342.88,338.87,337.88,336.98,333.22,322.28,320.13,330.24,324.91,325.38,311.85,L7
2000-11-07 22:10:17+00:00,537.43,501.59,434.62,406.86,398.17,380.49,365.10,358.84,352.76,351.15,351.56,356.54,361.18,364.52,355.50,346.82,341.33,340.84,342.79,336.54,335.55,335.44,332.10,320.18,318.52,328.23,322.24,321.17,307.58,L7
2000-11-14 22:16:30+00:00,526.34,494.25,432.36,412.64,406.68,389.11,371.03,359.62,352.60,351.90,350.77,355.87,361.60,364.13,356.29,347.73,341.40,340.70,341.77,335.78,336.21,334.90,331.28,318.73,317.49,326.35,319.79,318.53,304.77,L7
2000-12-16 22:16:35+00:00,522.11,489.91,432.36,412.64,414.21,394.09,370.82,358.71,352.29,351.47,349.92,355.70,361.10,363.85,356.08,347.49,340.97,341.01,341.53,336.12,337.30,335.44,331.60,319.77,319.59,326.80,320.96,320.47,306.92,L7
2001-01-01 22:16:33+00:00,519.07,488.26,432.36,412.64,418.91,393.30,370.67,358.47,352.14,350.97,350.20,355.83,361.48,364.61,355.63,347.00,340.86,341.02,341.39,335.98,337.34,335.53,331.48,320.10,320.57,327.41,321.43,321.43,308.81,L7
2001-01-26 22:10:30+00:00,515.68,485.27,430.32,416.21,419.44,392.73,370.92,359.01,352.64,350.81,349.26,354.89,360.72,363.95,354.91,346.44,340.47,340.39,340.75,335.33,336.10,334.55,330.03,318.60,319.60,327.00,321.27,321.72,309.77,L7
2001-02-27 22:10:18+00:00,513.40,483.75,427.85,417.20,418.61,393.24,372.04,359.57,352.60,350.99,349.31,353.45,359.48,363.18,354.06,346.18,341.18,340.46,340.75,335.41,336.79,335.64,330.83,319.45,320.90,327.82,322.63,323.87,312.77,L7
2001-03-15 22:10:15+00:00,512.34,483.67,427.85,417.20,424.15,392.62,371.70,360.25,353.83,351.49,349.75,354.18,360.69,364.26,354.73,346.79,342.73,342.14,343.09,338.14,340.09,337.82,332.39,321.27,322.55,330.25,325.06,326.59,317.34,L7
2001-03-31 22:10:07+00:00,503.71,480.97,428.14,421.80,431.38,396.83,374.14,361.14,355.41,353.47,351.10,355.14,362.30,366.14,356.83,348.43,344.84,345.75,346.43,340.19,342.19,339.64,333.95,324.10,327.21,333.38,326.83,327.79,321.49,L7
2001-04-07 22:16:13+00:00,501.77,479.19,423.75,426.67,437.88,400.20,377.00,364.20,358.26,355.70,353.87,357.47,364.40,368.14,358.48,349.39,345.42,346.53,347.66,341.66,342.69,340.63,334.03,324.77,328.61,334.44,327.68,329.49,323.50,L7
2001-06-03 22:09:40+00:00,500.87,481.30,416.57,439.26,441.43,399.73,377.44,366.11,359.85,357.53,356.30,360.56,366.58,371.07,360.79,352.23,348.01,349.42,351.50,346.93,346.65,344.55,338.03,328.28,330.38,336.61,332.74,335.90,329.36,L7
2001-06-10 22:15:47+00:00,500.87,481.30,416.57,439.26,441.43,399.73,377.44,366.11,359.85,357.53,357.33,361.43,367.78,372.22,361.75,353.96,349.91,351.85,353.97,349.36,349.20,346.50,340.21,330.60,332.49,338.04,334.32,337.33,331.36,L7
2001-07-12 22:15:31+00:00,500.86,485.30,416.57,439.26,437.39,398.37,380.05,369.81,362.96,360.81,362.07,365.39,371.73,376.11,366.77,359.21,356.07,357.40,360.04,355.35,354.42,351.41,345.00,334.59,334.09,341.53,337.66,339.04,334.72,L7
2001-08-13 22:15:01+00:00,503.83,492.28,412.99,441.87,442.15,400.31,381.48,371.10,364.11,363.10,365.10,367.85,373.67,378.21,369.09,362.19,359.21,360.74,363.61,358.76,357.91,354.61,347.58,338.29,335.20,343.32,339.57,340.32,336.27,L7
2001-08-29 22:14:52+00:00,508.14,502.63,423.15,435.20,441.04,399.71,383.41,373.59,365.80,364.93,366.18,369.10,374.14,378.38,369.52,362.42,359.31,361.84,364.29,359.14,356.00,353.31,345.54,337.55,335.92,343.09,339.73,340.37,335.82,L7
2001-09-07 22:08:34+00:00,508.14,502.63,427.99,430.57,433.89,400.08,384.71,375.62,367.21,365.96,365.75,368.99,374.53,378.67,369.32,361.47,358.94,362.06,364.20,358.83,355.53,352.30,345.14,336.79,335.43,342.84,339.16,338.24,335.82,L7
2001-09-23 22:08:26+00:00,513.49,522.36,426.40,425.10,415.02,400.68,387.22,377.19,367.52,367.87,366.81,369.56,374.34,378.33,369.43,361.91,359.66,363.35,365.20,359.89,356.81,353.30,346.72,337.49,335.66,342.73,339.10,338.84,336.34,L7
2001-12-12 22:08:38+00:00,,,426.40,413.26,398.81,388.81,382.45,375.54,367.88,365.33,365.82,368.62,371.93,375.63,366.22,358.90,357.59,360.65,360.67,353.92,356.35,351.74,344.48,337.17,329.22,338.50,332.98,332.31,330.20,L7
2002-01-20 22:15:01+00:00,518.35,512.94,426.40,413.26,406.06,387.06,380.14,374.01,368.73,367.07,366.31,369.86,372.92,374.46,365.13,358.25,355.76,359.16,359.61,351.11,354.71,349.27,342.16,334.42,329.71,337.54,332.21,332.02,327.45,L7
2002-01-29 22:08:45+00:00,518.35,512.94,426.40,411.67,406.46,385.48,377.07,372.79,367.35,367.14,366.56,370.28,374.16,376.27,366.33,359.96,357.15,360.52,360.90,352.22,352.85,347.25,341.17,333.30,330.45,337.82,331.87,332.74,327.71,L7
2002-02-05 22:15:01+00:00,503.20,501.62,426.40,417.12,405.44,383.14,375.48,370.92,366.34,365.85,366.35,370.31,374.15,376.22,366.93,360.09,357.45,360.12,359.27,351.62,351.57,345.75,340.11,331.50,329.66,337.14,331.43,331.95,325.58,L7
2002-03-09 22:15:05+00:00,506.55,496.32,424.11,418.84,406.38,378.66,371.17,367.96,365.76,366.47,366.80,371.30,374.59,375.86,366.98,360.75,357.44,358.34,357.37,350.84,354.55,345.18,342.38,331.27,329.44,335.76,328.87,331.39,324.58,L7
2002-03-25 22:14:59+00:00,510.32,495.03,448.01,423.39,410.12,379.14,370.36,368.74,368.05,367.91,368.62,373.08,377.28,379.80,370.29,363.63,360.36,360.61,359.73,352.01,353.70,345.29,340.75,330.06,328.97,336.32,329.24,332.50,328.19,L7
2002-04-03 22:08:45+00:00,510.34,493.10,455.56,422.32,409.18,380.84,371.01,370.14,368.76,369.07,369.81,374.65,378.96,380.55,371.06,364.74,361.14,361.99,361.05,354.00,355.23,346.49,341.67,331.95,330.56,337.71,330.62,334.48,329.77,L7
2002-05-28 22:14:46+00:00,508.68,490.86,456.92,425.76,408.70,384.21,375.77,372.42,368.75,368.66,370.00,374.81,379.03,380.45,371.13,365.64,361.82,363.16,362.24,355.37,356.81,348.64,342.94,333.25,331.81,339.25,332.17,335.50,331.87,L7
2002-06-06 22:08:34+00:00,506.73,488.37,455.00,425.76,407.09,386.01,377.28,372.72,367.95,367.66,368.31,372.19,377.02,378.58,369.50,364.12,360.67,362.31,362.01,355.23,355.52,348.18,343.26,333.51,331.59,339.63,332.14,335.02,329.87,L7
2002-06-29 22:14:36+00:00,506.73,488.37,455.00,425.76,411.02,388.22,379.00,374.01,368.97,368.97,369.24,373.67,379.41,380.56,371.70,361.40,362.73,364.75,364.48,358.83,355.52,348.18,343.26,332.65,335.16,342.64,335.88,338.38,331.19,L7
2002-08-09 22:08:09+00:00,508.15,483.07,455.00,427.18,409.07,395.80,387.62,378.62,369.44,367.28,365.00,369.08,376.54,379.32,370.22,358.19,362.19,364.76,366.27,361.81,357.73,351.01,345.01,334.45,334.65,344.35,337.03,336.33,328.51,L7
2002-08-25 22:08:00+00:00,508.15,483.07,455.00,427.18,409.07,395.80,387.62,378.62,369.44,367.28,364.14,368.60,375.65,379.13,370.75,358.79,362.09,364.75,364.75,361.34,357.91,350.70,345.22,335.00,333.75,344.25,336.83,336.81,327.55,L7
2002-10-12 22:07:38+00:00,474.51,455.81,454.18,409.94,391.32,401.61,397.41,377.96,362.08,358.00,359.43,364.32,372.29,375.80,369.44,356.22,362.50,365.01,365.59,361.55,359.88,352.61,347.61,336.10,336.73,346.36,338.54,333.48,320.27,L7
2002-10-19 22:13:56+00:00,462.38,441.31,454.18,386.75,389.56,399.38,395.33,376.79,360.07,356.81,357.79,362.65,371.36,375.52,368.95,356.90,361.53,363.99,365.10,357.93,356.59,351.18,342.90,333.38,334.71,343.01,335.73,333.81,322.61,L7
2002-10-28 22:07:46+00:00,458.59,436.09,434.51,384.62,385.49,396.91,395.22,377.19,360.76,356.67,358.06,363.24,371.75,376.13,368.93,357.75,361.08,363.14,364.33,357.42,356.18,349.70,341.93,333.04,334.87,342.61,335.66,334.13,323.03,L7
2003-01-07 22:14:28+00:00,432.75,409.51,395.39,369.70,369.81,386.95,392.16,376.76,360.97,355.12,360.35,364.01,372.90,379.77,373.56,367.71,363.97,365.13,365.87,357.92,357.98,350.23,342.59,333.31,337.35,341.95,337.00,335.46,323.64,L7
2003-01-23 22:14:39+00:00,429.03,407.25,391.27,367.91,364.47,381.47,388.84,374.29,360.57,354.68,358.23,362.87,371.46,377.41,370.46,365.26,362.83,363.96,365.32,359.13,359.54,350.46,342.38,333.28,336.01,340.08,335.47,333.66,322.94,L7
2003-02-01 22:08:33+00:00,429.95,405.53,391.27,367.91,359.21,377.65,386.07,372.62,359.16,353.78,357.61,361.45,370.28,376.51,369.44,365.28,363.30,363.75,365.17,358.72,357.24,348.56,340.04,330.61,334.99,338.92,333.64,334.12,323.94,L7
2003-02-17 22:08:40+00:00,429.46,404.44,391.27,367.91,353.17,374.30,385.24,372.40,359.41,352.85,357.18,361.25,370.75,378.14,370.25,365.61,367.23,363.75,365.17,358.72,357.24,348.56,338.49,330.61,334.99,338.92,333.64,336.85,329.21,L7
2003-02-24 22:14:49+00:00,430.74,406.04,393.49,367.91,351.82,373.96,385.04,374.30,361.41,355.12,358.13,361.88,372.06,378.82,371.99,368.05,370.16,367.20,369.61,362.63,361.42,352.52,340.88,334.21,339.50,340.86,336.09,338.39,333.91,L7
2003-03-05 22:08:43+00:00,431.14,407.55,395.56,367.91,352.58,374.58,385.83,376.33,362.80,356.23,359.76,363.24,373.05,379.80,373.06,369.56,371.35,368.68,371.50,364.68,362.58,353.97,342.52,335.43,340.65,341.88,336.80,339.83,334.80,L7
2003-04-13 22:14:55+00:00,432.76,408.69,393.48,365.66,352.15,374.94,387.68,380.06,366.11,359.67,360.93,364.09,373.60,380.73,373.74,370.65,373.02,370.68,373.10,366.26,362.78,355.84,343.65,337.07,341.02,342.62,337.66,341.52,338.38,L7
2003-05-24 22:08:40+00:00,432.20,409.31,393.14,372.01,345.11,370.68,386.78,381.53,368.77,364.37,365.66,367.83,375.72,383.27,375.93,373.08,377.25,375.01,376.70,372.29,368.42,360.79,348.88,342.87,346.24,347.07,342.25,344.61,341.26,L7
2003-08-03 22:14:34+00:00,435.81,414.83,395.69,,347.10,376.30,394.44,393.50,377.61,370.61,368.94,373.30,380.76,388.83,382.28,377.80,383.25,382.69,383.97,380.13,375.65,369.32,353.24,354.08,354.59,355.16,350.33,350.40,349.26,L7
2003-08-11 22:03:03+00:00,438.35,416.27,394.62,379.77,351.45,370.50,392.00,393.34,379.16,373.13,371.94,374.92,381.68,389.86,382.67,379.25,384.38,384.35,386.55,381.23,374.90,367.61,351.91,350.88,350.51,353.24,349.06,349.62,351.71,L5
2003-08-12 22:08:23+00:00,438.35,416.27,394.62,379.77,351.45,370.50,392.00,393.34,379.16,373.13,373.22,375.99,383.41,390.98,383.91,379.81,384.95,385.56,388.52,381.23,374.90,367.61,351.91,350.88,350.43,353.96,349.77,351.84,354.44,L7
2003-08-27 22:03:21+00:00,439.79,419.32,392.49,374.92,365.98,362.16,386.38,391.73,378.94,376.63,376.74,378.70,383.28,390.51,382.51,378.11,380.63,384.01,386.71,376.60,368.08,362.36,351.59,344.99,345.31,350.92,346.34,349.18,354.40,L5
2003-08-28 22:08:21+00:00,439.10,417.24,393.04,375.82,368.05,356.28,381.25,388.60,378.75,376.57,375.58,378.53,384.19,390.61,382.94,378.11,380.63,384.01,386.71,376.60,368.08,362.53,352.05,344.37,344.81,350.97,345.63,349.20,354.08,L7
2003-09-20 22:14:22+00:00,435.52,410.99,383.59,370.98,366.87,337.70,366.98,388.12,380.31,378.85,376.04,379.27,384.65,391.03,383.13,375.50,378.75,381.84,384.69,373.21,364.89,360.16,349.44,342.44,342.64,349.29,344.36,349.10,356.26,L7
2003-10-14 22:04:03+00:00,431.37,405.81,383.45,370.42,362.30,315.83,354.82,384.62,382.67,380.39,379.05,381.76,386.81,391.39,383.01,374.37,377.28,380.79,382.87,369.83,362.47,357.89,348.76,341.64,342.41,349.34,344.13,348.46,353.91,L5
2003-11-16 22:08:35+00:00,426.20,401.27,380.58,368.43,357.38,317.50,354.82,384.62,382.67,380.39,379.05,381.76,386.81,391.39,381.07,372.59,374.56,377.02,378.81,367.20,361.62,356.22,347.91,340.70,341.01,347.61,342.95,348.46,353.91,L7
2003-11-23 22:14:50+00:00,424.95,401.36,381.03,363.30,357.38,312.53,344.41,384.62,382.67,379.01,377.64,380.73,387.25,391.09,381.28,372.68,374.18,377.34,380.16,367.25,360.20,355.47,346.94,339.03,339.57,346.64,341.56,349.51,356.37,L7
2003-11-24 21:58:27+00:00,425.93,402.60,382.95,363.30,357.38,308.68,336.96,384.62,383.05,380.76,377.30,381.19,388.21,393.72,383.81,375.37,376.14,378.07,379.94,367.92,360.49,356.15,348.17,339.99,340.80,348.07,342.57,350.90,355.41,L5
2003-12-02 22:08:38+00:00,423.44,400.38,381.66,362.59,354.89,306.40,336.96,376.17,381.29,378.36,374.67,378.40,386.05,391.89,383.84,375.37,376.14,378.07,379.94,367.92,358.07,354.25,346.23,338.18,338.57,345.95,340.97,348.36,351.68,L7
2003-12-09 22:14:54+00:00,421.94,399.52,380.82,362.59,354.89,303.71,330.48,368.49,380.14,378.07,373.47,378.40,386.05,391.89,383.84,375.37,376.14,378.07,379.82,368.12,359.14,355.61,347.10,339.06,338.94,346.25,341.43,348.93,352.82,L7
2004-01-18 22:04:57+00:00,420.03,399.52,380.82,362.59,354.89,300.11,330.48,364.71,377.16,374.90,372.20,373.50,382.07,387.87,380.54,372.34,373.30,374.78,376.01,364.04,359.14,352.81,344.86,337.23,337.56,344.45,339.78,347.50,350.16,L5
2004-01-19 22:08:59+00:00,419.40,395.17,380.82,362.59,354.89,296.69,330.48,364.52,374.96,373.26,370.72,371.64,381.08,387.23,380.34,372.82,373.30,374.78,376.01,364.04,359.14,351.64,344.12,336.69,337.33,343.65,338.72,346.32,347.54,L7
2004-01-27 21:58:50+00:00,418.96,394.76,380.82,362.59,356.24,296.69,330.48,369.32,375.51,373.50,370.58,372.30,381.69,387.92,381.10,373.72,373.98,373.24,376.01,364.04,359.14,351.64,344.12,336.69,339.07,344.59,339.99,347.33,347.31,L5
