,dates,chi0342-0000,chi0342-0001,chi0342-0002,chi0342-0003,chi0342-0004,chi0342-0005,chi0342-0006,chi0342-0007,chi0342-0008,chi0342-0009,chi0342-0010,chi0342-0011,chi0342-0012,chi0342-0013,chi0342-0014,chi0342-0015,chi0342-0016,chi0342-0017,chi0342-0018,chi0342-0019,chi0342-0020,chi0342-0021
0,1985-01-25 14:04:27+00:00,199.04374966606062,189.1618573638083,193.9599636399134,197.77781113208886,201.13319954399233,198.55063934301248,196.68897220940997,,203.62974380395502,205.00752342357924,217.50960876555934,213.85619213509185,211.77014068261565,220.67888814385378,227.71615677536948,234.62946749181327,233.81172020970286,230.2105613558296,218.18856951499038,218.5147225788246,221.0132358301079,213.48890374551607
1,1986-01-28 14:01:10+00:00,199.75248979594872,193.92718199183,206.20321390817787,200.86509194669495,198.051077960059,202.89954444246422,221.77436632240986,232.16974757737077,232.89915167527514,231.3924318396106,231.91035080427562,232.74867682039533,225.47980913094457,237.6856478286915,244.18738702330583,245.1470582390688,244.14257715998377,241.96406166468404,235.11052984260655,225.51024848015885,224.0239362495025,223.1281760265982
2,1986-03-01 14:00:01+00:00,218.33914650651624,228.1777203381743,220.4107498727679,213.60556678976639,212.20968478402526,214.57633896942465,214.47697155660978,199.31790094551525,194.319826707812,211.97071186118745,222.70603777282628,226.49222403053963,218.56103218375344,243.29145601866074,249.49130970628434,252.41233351398725,247.24639461697328,245.9181351538367,237.11986326011285,236.12096547475167,231.50240688784137,212.63998922895138
3,1986-03-17 14:00:06+00:00,229.9211664170914,232.5473312492232,226.71884281453467,229.09865171727546,229.5102313614574,222.86656521909265,238.92626820817205,215.68542357617213,208.70097868122207,218.78169122246467,198.5105906347282,266.4525955302567,,,,,,,,,,
4,1986-05-04 13:58:38+00:00,228.39853718614148,212.27224532516,218.21881024425517,222.55712740344725,221.5928228450952,227.36360883745613,216.83852924765466,200.5541309281797,206.52641116552905,214.83083461734003,227.84986868346658,232.15951566438926,210.0989914790451,221.15713859154548,233.45931072181654,235.63269550020945,237.56504309528052,243.3131800279511,234.54402535484397,233.1663762266666,228.8338847963334,226.45466834864942
5,1986-05-20 13:58:12+00:00,,177.29587814851578,181.05561481947842,,191.9065944775897,189.60259530182495,174.55385630553366,164.2148962819935,,,,,,189.51311010448117,209.38875476850563,213.89453718228756,219.8519001822928,221.55671163798021,217.74126454146293,212.3712920166959,210.48828336602895,200.9647150562147
6,1986-06-05 13:57:43+00:00,228.44737757857683,233.97923163929025,,229.81445174781885,206.22832638532375,203.4062838253631,199.3877997490211,183.19556910360086,191.2673045727998,206.37263063410694,223.8504555194842,219.79865625089786,200.2033656203228,217.0920711862111,235.3980100429177,227.7538495356082,230.5803240989041,232.57889679112924,228.19655681890345,224.12386078096125,218.5140566313273,210.45047886744712
7,1986-08-15 14:01:29+00:00,224.44653119168456,226.9219233875103,,236.69310759440302,231.57966210929266,220.42728170725073,225.0076182993206,192.61607867659123,201.3698029479986,204.97850596487717,222.75975176707223,217.40082102330942,204.43982027773077,211.49392406285764,230.86866274928695,232.22437356572763,235.86905451635866,237.732065911859,229.50401528403924,224.2072094347498,221.58658482795957,217.98379776989628
8,1986-08-31 14:00:53+00:00,188.9813448250178,193.9609138013202,202.1991674014184,,,189.83576633105343,171.8171994796389,163.7965426371649,175.72937545216934,189.9594742769951,211.20659436852026,202.98427089256515,192.67972127544832,202.15947217354005,214.89636291926905,227.05548682418947,228.40705694630762,227.08678416820987,218.1563710912699,215.59298060619795,210.0737064283917,203.24350455615803
9,1986-09-16 14:00:22+00:00,218.96765447236584,221.1437916320198,224.00082215257993,215.08635928576695,219.51729096351153,218.77599290824543,207.14506351263822,185.11179281741207,191.78455806673404,208.1784869628829,222.0087660888011,216.38751572330233,205.7115505281918,210.41853568372653,236.64534154516127,234.9536236506193,239.47063623102167,233.5975050360356,227.09163816943476,228.58030951288634,219.54830513430727,218.39009424383724
