,dates,chi0342-0000,chi0342-0001,chi0342-0002,chi0342-0003,chi0342-0004,chi0342-0005,chi0342-0006,chi0342-0007,chi0342-0008,chi0342-0009,chi0342-0010,chi0342-0011,chi0342-0012,chi0342-0013,chi0342-0014,chi0342-0015,chi0342-0016,chi0342-0017,chi0342-0018,chi0342-0019,chi0342-0020,chi0342-0021
0,1985-01-25 14:04:27+00:00,202.27848401695053,192.66615291060572,197.19469799080332,200.5812475695268,203.46939657519061,201.17886100311054,199.6926541066649,,206.63342570120994,208.01120532083416,221.01390431235674,217.09092648598175,214.57357712005359,223.30710980395185,230.51959321280742,237.25768915191134,236.6151566471408,232.83878301592767,220.99200595242831,220.98834296479924,223.11581315818634,215.70214303823022
1,1986-01-28 14:01:10+00:00,199.54930246845757,193.70706238704793,206.00002658068672,200.6889962628693,197.90433155687094,202.73445473887767,221.5856923754538,231.9810736304147,232.71047772831906,231.20375789265452,231.69023119949355,232.54548949290418,225.30371344711892,237.52055812510494,244.01129133948018,244.98196853548225,243.96648147615812,241.7989719610975,234.9344341587809,225.3548699356068,223.89186448663327,222.9891531183148
2,1986-03-01 14:00:01+00:00,220.72768280596569,230.76530132924455,222.79928617221734,215.67563158262257,213.93473877807207,216.51702471272733,216.69489812038427,201.53582750928973,196.5377532715865,214.18863842496194,225.29361876389652,228.88076032998907,220.63109697660963,245.23214176196342,251.56137449914053,254.35301925728993,249.31645940982946,247.85882089713937,239.18992805296904,237.9474932331542,233.0549554824835,214.27425090752206
3,1986-03-17 14:00:06+00:00,231.69711009545398,234.471270234116,228.49478649289725,230.6378029051897,230.79285735138592,224.30951945776224,240.5753587666516,217.33451413465167,210.3500692397016,220.43078178094422,200.434529619621,268.2285392086193,,,,,,,,,,
4,1986-05-04 13:58:38+00:00,225.7629599833876,209.41703668884327,215.58323304150127,220.27296049439389,219.68935042088407,225.22220236021857,214.3912075593832,198.10680923990822,204.07908947725758,212.38351292906856,224.99466004714986,229.52393846163537,207.81482456999174,219.01573211430792,231.17514381276317,233.4912890229719,235.28087618622715,241.17177355071354,232.2598584457906,231.1509348363254,227.12075961454335,224.65137868360728
5,1986-05-20 13:58:12+00:00,,174.26557296129133,178.25841003127124,,189.88639101944005,187.3298664114066,171.95645185934126,161.6174918358011,,,,,,187.24038121406284,206.96451061872608,211.62180829186923,217.42765603251326,219.28398274756188,215.31702039168337,210.23225306100804,208.67010025369427,199.0508380958624
6,1986-06-05 13:57:43+00:00,219.4637786485356,224.2469994650789,,222.02866600844976,199.74017160251617,196.10710969470458,191.04588645683992,174.85365581141969,182.9253912806186,198.03071734192577,214.11822334527284,210.81505732085662,192.41757988095372,209.79289705555257,227.6122243035486,220.45467540494968,222.794538359535,225.27972266047072,220.41077107953436,217.25404983445912,212.67471732680048,204.30380591531363
7,1986-08-15 14:01:29+00:00,224.12219104156523,226.57055489154772,,236.41201279763294,231.3454164453176,220.16375533527878,224.70644530278122,192.31490568005185,201.06862995145923,204.6773329683378,222.40838327110964,217.0764808731901,204.1587254809607,211.2303976908857,230.58756795251688,231.96084719375568,235.58795971958858,237.46853953988705,229.22292048726916,223.95918461407032,221.375763730382,217.7618808250778
8,1986-08-31 14:00:53+00:00,183.75143242072497,188.2951753633363,196.96925499712557,,,185.5864625025655,166.96085224708128,158.94019540460727,170.8730282196117,185.10312704443749,205.54085593053637,197.75435848827232,188.1471305250612,197.9101683450521,210.36377216888192,222.80618299570153,223.8744661959205,222.83748033972194,213.62378034088277,211.5936358264446,206.67426336560135,199.66514343743137
9,1986-09-16 14:00:22+00:00,208.2648609636286,209.54909866422113,213.29802864384268,205.810604911528,211.78749565164574,210.07997318239643,197.20675525452506,175.1734845592989,181.84624980862088,198.24017870476973,210.41407312100245,205.68472221456508,196.43579615395285,201.72251595787753,227.36958717092233,226.2576039247703,230.19488185678273,224.90148531018662,217.81588379519582,220.39582035914611,212.59148935362808,211.06713026417492
10,1986-10-11 13:53:23+00:00,229.87912093070318,224.48115036526616,241.11912174009706,247.9043036340422,259.847564095067,248.82952682263155,234.27044792513513,203.239462750818,202.08468175706713,216.97426613282315,229.87553360648133,220.7603491932109,206.5486580463625,216.21205700925964,239.7717293644095,239.33956729160082,244.74897716486586,237.7654842443035,232.4869936243146,225.15594845871425,227.74922321854086,227.08554138111668
11,1986-11-03 13:58:46+00:00,236.7305226930513,238.84186543904684,230.12586613329216,231.80436962734578,233.21423974245923,230.43446412367723,224.2639552291518,216.52065562802278,212.94715624416045,213.02471625498183,225.73348259688817,222.38211202310873,209.9782315578938,217.98854731224384,237.6142610429875,238.41439814860632,243.02696792293264,243.05650004836602,234.31833474498134,223.8114586411168,220.50571354467672,221.40293127285224
