,dates,jap0008-0000,jap0008-0001,jap0008-0002,jap0008-0003,jap0008-0004,jap0008-0005,jap0008-0006,jap0008-0007,jap0008-0008,jap0008-0009,jap0008-0010,jap0008-0011,jap0008-0012,jap0008-0013,jap0008-0014,jap0008-0015,jap0008-0016,jap0008-0017,jap0008-0018,jap0008-0019,jap0008-0020,jap0008-0021,jap0008-0022,jap0008-0023,jap0008-0024,jap0008-0025,jap0008-0026,jap0008-0027,jap0008-0028,jap0008-0029,jap0008-0030
0,1984-05-23 00:22:43+00:00,166.08347459432093,164.90293429254243,169.03005857608372,173.6160048693527,179.7259728906691,170.15636330439264,,,,140.33090363281525,,,,,,91.89929361379075,100.85451441142236,114.38077668863954,104.81514439315393,98.19445093266734,103.51594176097203,115.22389751767341,126.75729235450876,,,111.8860366845955,,,,,131.9847284693457
1,1984-09-28 00:25:00+00:00,180.22952658616376,175.89381294697787,179.53327690863233,183.8784856098359,199.75800390753184,200.82862385049367,195.22668131051708,198.01678368187615,194.06505840837826,174.33062851391801,164.09870798514183,171.0785242872743,164.13421016941277,160.3735833471498,155.11598652405695,126.43407942874332,126.27707191722065,132.71763599820557,121.82826587587029,134.4951361947092,137.679178366795,123.35488572024009,133.96784281261083,148.64078460900265,120.63832545762719,146.80624099233944,164.1465524040391,,120.3043338282783,159.64953591637422,160.12364933221474
2,1986-05-13 00:19:38+00:00,178.5839365005291,178.94640050523128,185.15658976169806,,,,180.00483044894148,189.58777685963298,190.26954791965755,198.40231668622815,198.09102668503957,179.97136423526473,154.28404521629113,153.23441982015322,139.75805668241728,120.57995336721301,136.5845203722333,156.2781466999695,150.77545049994723,123.67060741605736,111.31088226341134,105.83779213066693,114.39427909216933,108.27425550300673,85.12687682660258,112.75699004403793,136.9620073861987,111.13417606665772,,151.53927072828603,129.01439896058525
3,1986-06-23 00:12:13+00:00,162.63458486074867,168.8670132789094,157.46177615791373,171.19178841863092,176.28279786150324,194.13143579443573,186.58362219599246,184.30312435126245,,183.85704303202309,152.0264793864395,,149.21990379729306,124.24965209183432,121.52769596664069,127.49356241203782,151.5632118842127,157.51646722628476,96.29877840661875,98.37883897647303,96.5149510200666,78.15123569660156,91.21214507419353,88.81620930760371,75.44743975598917,111.91925490075133,117.2426697929161,94.4468909204615,127.79343821752951,141.6059356789238,119.67613883628536
4,1986-08-01 00:17:04+00:00,173.7345891647891,166.95853956237247,176.3052576545647,186.773117923316,191.90855035703024,190.45000848641837,187.46081100075781,168.39396582434833,182.28909968438506,188.41163323923374,143.24953836224364,,142.16876073172517,135.63594265021544,124.07422282204976,113.82688908560326,114.14756257717707,146.10621165293878,130.88696915862764,103.32073225728391,124.54565008894443,113.92377110698233,96.6319654137955,103.9342621389135,71.91894316873585,100.49676424020001,116.10709305365533,94.69231919442277,118.862723432639,134.00543556980242,152.91175815915648
5,1986-10-04 00:14:51+00:00,176.77765134361096,169.62239173848846,165.47150352157064,170.59843802399644,181.8829152575188,185.0282712205443,182.41631330866255,174.59247323881175,177.86904855602336,170.93358115669065,144.32841423576753,141.00115258364696,145.3525000910249,135.82077587439332,,,129.50786380458106,127.9527136506607,128.8045826662713,100.79146813427911,99.31618458300836,88.54477056538802,97.5278667955713,88.46152351302364,74.83864139069377,111.46695990953312,117.29375259788334,94.57097387844176,134.16521745373007,140.71150098797196,134.85467868590425
6,1986-10-20 00:14:19+00:00,181.17688484054892,168.299215741968,164.68268544904623,176.30236683305012,190.2989222558783,192.47527026982502,184.5866243993062,196.22227837508225,,184.13533015733896,185.89329466016798,,160.4326179528583,158.3477553885634,169.57251982515368,149.30312921982275,141.790380372091,155.14350799030169,154.02818226393092,152.97781602257655,122.05520748212344,113.1819290822475,120.46507553511557,115.34839027666656,90.26450887403732,,130.4060663308685,92.07906101958639,,147.67758990668622,143.4541958381962
7,1987-10-16 00:16:11+00:00,216.6562641859409,218.879777917469,214.53946389530486,218.0598538735943,221.61252153299642,212.85410997853984,206.63283920072865,212.07170304928707,205.44065837586942,194.80378702582954,193.234733041653,185.28406566318176,177.74887416222563,170.4350361421143,157.17966530611113,149.92578472074914,148.07891133204535,147.02447461836803,151.43259537686913,150.83407519584455,145.53721713742434,142.14790657612951,142.03970462988923,134.23572027358398,,143.56352916342175,138.53224598310524,150.93149566337144,156.29659705767938,155.06835244816403,156.9198431140498
8,1987-12-10 00:23:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1988-09-07 00:25:41+00:00,215.4831414818969,217.003883163855,231.32133284874448,244.83014003557963,248.31339329938157,247.75399234742974,246.09663090643357,241.1813817136832,212.87536209934615,200.06240955699565,197.35227214548382,199.9241012898667,192.4163645733858,193.25095484768985,182.4523124442363,169.3879449804747,144.93773177421238,149.96774884694585,146.23959430202157,156.93084598012416,147.12548481929701,130.31858827690328,119.32908204437885,134.004384812453,,150.02579350207628,132.7511965432319,130.81423530312776,147.81143877387285,158.5311485719702,171.7986743033556
