,dates,chi0473-0000,chi0473-0001,chi0473-0002,chi0473-0003,chi0473-0004,chi0473-0005,chi0473-0006,chi0473-0007,chi0473-0008,chi0473-0009,chi0473-0010,chi0473-0011,chi0473-0012,chi0473-0013,chi0473-0014,chi0473-0015,chi0473-0016,chi0473-0017,chi0473-0018,chi0473-0019,chi0473-0020,chi0473-0021,chi0473-0022,chi0473-0023,chi0473-0024,chi0473-0025,chi0473-0026,chi0473-0027,chi0473-0028,chi0473-0029,chi0473-0030,chi0473-0031,chi0473-0032,chi0473-0033
0,1984-07-08 14:10:01+00:00,181.28467512861744,169.10149072039098,168.15198807583164,,,,,,,,,,,,,,,,,,,168.72689563883674,,,,,,,,,,177.89934040324331,183.52133713202187,183.07845924114827
1,1986-08-15 14:03:05+00:00,191.81756156916185,189.6208739309385,191.7933859126144,174.3871620540058,168.26729263372516,182.61223022849924,199.9740792244632,202.76961119333714,196.2631761090882,177.63890185968205,174.09515107158205,160.00399922456273,169.5228226474341,176.2904540604223,215.10691476467633,,220.70514246796915,192.59987513294428,201.7552476490912,209.6814041070404,214.19243294993126,201.46974993183434,197.55089816862673,189.4619869111343,190.22343218324184,190.29395816206045,195.203957458709,211.34421349160803,209.30043797158817,193.30075312849698,185.65616199471262,186.12142598326162,191.7790629760276,196.52408656368036
2,1986-08-24 13:56:34+00:00,179.0840427789921,163.42137184448998,178.47537945796273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-09-25 13:55:30+00:00,191.89577598030633,184.84382640688727,181.1821407044126,150.34498580090928,139.73433203873793,168.7051613220379,173.03219844233683,179.12860830860456,168.4049727808126,,,,,,,177.59250881531287,198.54821848483192,173.148233796274,,,,174.62281857490453,180.28214414465884,166.9032421217889,160.6410312247659,173.54503338883794,170.49594490789912,198.22438276511733,205.6702015445175,187.67107639766147,177.2144907128501,180.3650544333048,187.90020090897906,196.3154289951819
4,1986-10-11 13:54:59+00:00,192.50963084454077,188.97764684106116,188.5764920695852,181.99743606970398,,199.98097816784016,211.946358130789,201.42140657928078,186.0110594498213,183.35713305271122,157.06919057739043,150.85640092407988,161.17756035916702,177.84104826575734,194.9841538531578,205.59569199060658,202.99131905938356,189.80394465450365,178.96415941866334,173.4356942626793,190.69723175028017,176.6235634797992,186.15248033322044,176.35716953503882,174.9772078765996,172.09256862150306,174.94205309628808,203.15584709135453,206.0047288067518,188.22119343198278,175.03113077826964,180.2570388803357,184.7469421583841,183.73469106279111
5,1986-10-18 14:00:56+00:00,175.31818354457064,169.633784509319,167.11147650038242,142.44465840396634,126.92393373654541,143.7446932940161,160.99295646003827,157.28185140769884,151.73131659479984,,,,,,,,,,,,,,,,,,146.6226943367102,187.1746218543795,190.381909431167,165.5905849493954,151.99289719154288,164.07443138039366,167.93301059076865,180.58443992949077
6,1986-10-27 13:54:26+00:00,193.4372165123118,185.59887641725578,179.41416747269326,162.8839649252206,173.12879452432583,182.48876628477683,185.90062083310647,183.0944943199715,182.08672585570406,173.01721750514335,170.07438094316598,168.42766846457496,188.8593868786055,200.91519785294042,201.55592589457717,204.11908740846843,197.37706071435136,187.04586342329776,183.78074366948425,185.06627700691112,206.608757537221,201.28819520513298,195.91243199459626,199.4889241600378,178.67857923641017,184.4107472595923,193.8177971699875,215.1647120368101,208.04959040218458,188.1916142211545,180.5688388164285,188.69694319292648,191.84253591039192,197.3050939248985
7,1986-11-03 14:00:21+00:00,190.1151332406319,182.34508248564393,179.97381130963197,170.4840963250145,179.4766596867417,190.71544210316637,187.52644900797821,184.285961731735,178.2917814893832,173.9729091790255,174.27218585043767,166.66482542638323,186.2156253670518,201.1274571930737,214.26718613064523,222.2560587743235,211.14569712435753,187.65629084056835,187.05756086422303,185.96895695374963,208.03569337464734,207.2127989074501,200.94843751521253,197.12404353930364,185.27951553350186,198.4815689460292,194.59982502376323,208.41038018935024,215.7871935283791,193.30836773070308,178.48287598828205,186.26418502102487,197.7716139848821,201.730464935444
8,1986-11-12 13:53:50+00:00,191.70050793579532,181.5242828203771,176.93042881792627,164.4212571025282,165.87791031496428,170.15474580679182,175.0114557889018,175.4421236288182,169.3487879996259,179.08770276973178,168.8119324592276,175.73555952885476,166.9249191749201,180.0919374092114,195.76697671639747,206.25378525192951,203.4860964744965,184.93530649222353,182.73312205403357,174.76192376897288,191.2504222714885,199.56654263199368,200.51463379780643,194.15178651352096,184.69688537125535,191.36810085197314,187.8024767190234,204.71843245819656,198.3128418959491,189.2076609332424,177.70822968522359,172.2354972030887,187.16892170125368,199.82721567580853
9,1986-12-21 14:00:25+00:00,195.95812726627616,187.6082404119531,187.09718104806254,157.58369982817106,143.67225650703315,161.681459649318,178.1198893137672,178.64927900666098,172.14531626912708,152.0201954403793,,,,191.4948065642722,206.57270239090445,192.3849237002333,187.56105693094747,179.5642732553262,169.73589741509556,167.6415369910261,194.96142174967358,196.71687422828234,192.78862955788085,,181.17989602722756,164.38531772503637,160.6553141298902,194.74081593103529,199.19340010954153,187.30434612620655,181.3161887368031,184.13341949559026,182.01494645141946,200.03735340753343
