,dates,jap0319-0000,jap0319-0001,jap0319-0002,jap0319-0003
0,1984-05-24 01:09:12+00:00,177.86112486248518,179.91105568510991,186.2596385021479,179.129657892762
1,1984-10-31 01:11:19+00:00,207.2861389315589,206.57524582279174,208.79185863019512,204.4936986665105
2,1985-04-25 01:11:34+00:00,170.23354848701007,177.28817632123304,181.5503608721827,173.75628399142965
3,1985-10-02 01:10:27+00:00,188.33104252537595,180.5751061510269,186.6547285145535,183.3737291782249
4,1985-11-19 01:09:48+00:00,221.201668689529,222.62843391155658,225.7045015410669,217.70493778848206
5,1985-12-05 01:09:30+00:00,202.22082909258887,199.36172690904215,,
6,1986-01-22 01:08:35+00:00,,212.2065326960804,,
7,1986-02-07 01:08:13+00:00,221.9581330573632,221.51604884680143,224.6216846924374,218.50777090919718
8,1986-04-12 01:06:50+00:00,193.93584553433027,200.095145949096,205.56581605293098,194.78600525635167
9,1986-07-01 01:04:35+00:00,190.35117112019122,189.80561090497184,191.07660847729926,179.4120030200748
10,1986-08-02 01:03:28+00:00,185.43480272676086,188.21529094334147,185.27564386149356,175.5688136229756
11,1986-08-18 01:02:53+00:00,177.0998531883932,166.50399427596616,170.0982029998346,162.26356516195872
12,1986-09-03 01:02:16+00:00,173.69223308492414,167.683828100193,165.59348466932812,161.83769032867278
13,1986-11-06 01:00:09+00:00,206.7732250975884,193.53387898819898,204.83029780096658,196.33027470942412
14,1986-11-22 00:59:28+00:00,204.93483182367066,200.01133433614194,205.57415728001436,204.81395960387064
15,1986-12-08 00:59:53+00:00,202.14022288032072,194.7064461767812,,
16,1986-12-24 01:00:24+00:00,,213.02695218343226,,
17,1987-02-10 01:01:56+00:00,218.29322115110608,215.63229767780084,,
18,1987-06-18 01:05:58+00:00,196.92217206646055,194.02036158022747,185.03621858778237,
19,1987-11-09 01:09:17+00:00,200.0241391991059,189.58841507403966,189.17298633728524,182.0251011951993
20,1987-11-25 01:09:36+00:00,210.80754183712182,208.95782409841698,209.29015044173215,194.93064933139715
21,1988-01-28 01:10:38+00:00,213.16448065190357,210.72322874553902,209.30826764794918,204.43089531215014
22,1988-09-08 01:12:07+00:00,186.58134205105813,191.1762572533785,189.509167412278,178.85036718651472
23,1988-10-26 01:11:54+00:00,190.68526593756232,193.8792435472338,193.22788180349582,178.1693449740615
24,1988-12-13 01:11:44+00:00,216.47871000089896,206.66432125010238,207.79942721966168,194.12021294483634
25,1989-01-30 01:11:21+00:00,,193.52738095908344,,
26,1989-02-15 01:11:20+00:00,,197.29418996439864,,
27,1989-10-13 01:06:36+00:00,196.064369723044,189.1756316750176,189.59206193828115,176.13452113545097
28,1989-11-30 01:05:14+00:00,207.21443267891152,207.84565388032328,205.07876456137137,191.72785871609554
29,1989-12-16 01:04:47+00:00,,223.60444062998033,,
30,1990-01-17 01:03:46+00:00,209.1712196275662,195.83441862058285,,
31,1990-02-02 01:03:15+00:00,200.88902314873133,192.29072136493266,187.38348639262875,186.34212156223887
32,1990-02-18 01:02:46+00:00,194.39970898379735,194.84264429313586,208.2131647633084,193.5465842090465
33,1990-03-06 01:02:12+00:00,203.86641179986816,201.29300035425277,196.99144250825174,190.02487004459937
34,1990-05-09 01:01:33+00:00,182.7231622954264,183.00260584841297,175.38311427268582,169.2623810390419
35,1990-10-16 01:00:55+00:00,194.4550481619059,191.49764560686006,188.287594748241,179.694981343132
36,1990-11-01 01:00:45+00:00,184.7103947266091,180.1384751155808,,
37,1990-12-03 01:00:31+00:00,206.49975985497233,201.11154415513164,,
38,1990-12-19 01:00:51+00:00,211.02192726564874,213.59512604004377,,
39,1991-01-04 01:01:16+00:00,211.70422567035982,207.01276130127755,,
40,1991-02-05 01:01:51+00:00,208.76518049952756,207.13199869194375,,
41,1991-02-21 01:02:15+00:00,202.2959972638151,197.74789147450377,198.44971451521403,187.67962981711923
42,1991-09-01 01:05:04+00:00,195.11619337411366,186.29538555587055,188.25144611858337,177.7984737504339
43,1991-11-04 01:05:29+00:00,192.4822024224489,183.16468905134994,183.00188527547044,187.33133333654402
44,1991-11-20 01:05:32+00:00,203.533467416158,205.02749335859772,210.60785566901194,201.56443450084436
45,1992-03-11 01:05:31+00:00,191.10822912430476,194.33133462492174,191.5910183987385,186.21474500019497
46,1992-10-21 01:02:47+00:00,198.5312058889984,202.25244773836906,198.4295224793473,188.84518814341013
47,1992-11-22 01:02:20+00:00,200.78418864383582,,,
48,1992-12-08 01:02:35+00:00,200.0642136992567,192.18898599252927,,
49,1993-02-10 01:03:15+00:00,213.22210247247816,212.83622083110367,,
50,1993-10-24 01:03:28+00:00,197.30573718503354,183.7566466462678,189.2473787849074,185.17924726518336
51,1993-11-25 01:03:15+00:00,207.74154941597706,211.3569831927426,208.54569045006008,211.908738933802
52,1993-12-27 01:03:01+00:00,,,,
53,1994-02-13 01:02:24+00:00,219.71249510947055,215.86634061986592,204.1849932136425,203.0447223548376
54,1994-03-01 01:02:10+00:00,200.41090090708974,197.08230605971036,197.39829318285157,189.81983623006408
55,1994-05-20 01:00:46+00:00,182.70841413414573,181.09575027246174,185.3214356868448,181.57148694530474
56,1994-06-21 01:00:08+00:00,185.65170039372606,193.5510352444287,190.8333655313314,177.74506455598794
57,1994-07-23 00:59:17+00:00,147.76576494431185,,142.0780242196801,136.85090616577446
58,1994-08-24 00:58:27+00:00,192.2147287249841,189.479322463557,184.30353558483236,176.012511383197
59,1994-09-09 00:58:03+00:00,179.09179961358606,191.72373585923685,186.88881677173362,172.33734088559814
