dates,nzd0584-0000,nzd0584-0001,nzd0584-0002,nzd0584-0003,nzd0584-0004,nzd0584-0005,nzd0584-0006,nzd0584-0007,nzd0584-0008,nzd0584-0009,nzd0584-0010,nzd0584-0011,nzd0584-0012,nzd0584-0013,nzd0584-0014,nzd0584-0015,nzd0584-0016,nzd0584-0017,nzd0584-0018,nzd0584-0019,nzd0584-0020,nzd0584-0021,nzd0584-0022,nzd0584-0023,nzd0584-0024,nzd0584-0025,nzd0584-0026,nzd0584-0027,nzd0584-0028,nzd0584-0029,nzd0584-0030,nzd0584-0031,nzd0584-0032,nzd0584-0033,nzd0584-0034,nzd0584-0035,satname
1999-08-08 22:19:52+00:00,198.81,203.09,199.21,193.20,192.41,200.06,204.13,200.19,194.98,,,358.80,347.51,331.72,,413.95,440.72,438.52,451.33,,,,206.68,,,251.19,,,,,,,,,,,L7
1999-08-17 22:13:37+00:00,198.81,203.09,199.21,193.20,192.41,200.06,204.13,200.19,194.98,,,366.76,349.51,327.35,323.88,407.69,429.28,426.03,437.08,,,,198.81,,,251.19,,,,,,,,,239.38,246.17,L7
1999-10-04 22:13:49+00:00,198.17,198.78,193.81,188.44,186.27,191.72,196.49,194.81,193.32,267.16,319.80,362.06,347.65,329.55,339.68,407.27,429.11,427.06,431.70,,448.18,393.22,204.35,232.52,275.43,250.91,,337.73,295.32,314.03,296.33,266.44,267.21,256.33,247.98,244.15,L7
1999-11-05 22:13:40+00:00,202.40,201.92,198.10,191.94,191.68,195.72,202.76,200.61,196.63,272.06,333.43,358.57,347.10,330.88,344.40,406.96,428.34,426.68,429.34,489.13,444.96,387.50,207.42,232.18,274.58,251.94,311.81,339.74,303.04,322.06,300.45,275.74,274.94,267.69,262.80,256.18,L7
1999-12-07 22:13:41+00:00,203.12,202.30,198.48,192.71,192.23,195.38,202.68,201.22,198.44,272.06,330.90,352.32,344.89,326.38,339.38,404.47,424.82,425.05,426.28,488.26,430.66,375.45,210.25,232.18,274.58,251.94,330.85,347.55,303.04,335.98,300.45,275.74,274.94,267.69,262.80,256.18,L7
1999-12-30 22:19:45+00:00,203.01,201.74,198.95,192.73,192.51,195.15,203.12,201.91,199.42,272.06,331.99,349.30,344.30,324.54,336.40,402.95,423.56,424.48,424.21,488.78,428.05,371.15,210.94,224.08,262.55,248.01,325.99,347.55,297.58,335.98,291.62,265.33,265.48,267.69,262.80,256.18,L7
2000-01-24 22:13:35+00:00,204.38,202.41,198.51,193.07,192.32,194.34,203.12,201.91,199.42,272.06,326.56,344.50,339.24,320.56,332.73,400.58,420.36,421.83,421.23,488.78,428.05,371.15,210.94,224.08,262.55,248.01,323.78,347.55,297.58,352.78,291.62,265.33,265.48,267.69,262.80,256.18,L7
2000-04-13 22:13:06+00:00,205.97,203.62,200.23,195.54,195.31,195.92,205.48,205.08,200.46,270.72,332.78,333.90,335.92,318.01,329.05,397.09,416.45,419.44,415.33,490.06,421.34,363.79,217.52,219.87,256.12,245.11,323.78,346.67,297.82,365.70,292.67,265.10,270.66,271.39,276.64,261.90,L7
2000-04-20 22:19:15+00:00,206.22,204.25,200.62,196.76,196.64,195.75,203.98,204.32,201.09,270.72,329.99,332.26,333.90,316.34,330.13,396.24,415.16,418.48,415.39,490.06,421.34,353.40,217.52,219.87,256.12,245.11,326.34,346.15,297.82,364.48,292.67,265.10,270.66,271.39,276.64,261.90,L7
2000-04-29 22:13:05+00:00,205.56,204.12,200.46,196.86,196.36,196.39,203.74,204.61,201.62,273.08,331.75,331.99,335.28,316.70,329.53,396.51,416.84,419.03,416.05,490.46,425.48,353.40,216.89,221.13,259.49,248.08,323.18,344.66,299.64,356.03,294.18,267.34,271.45,271.97,275.22,260.04,L7
2000-05-22 22:18:57+00:00,201.67,203.46,199.43,196.51,195.34,191.88,197.69,200.49,199.67,271.14,325.88,328.31,330.64,312.40,324.53,393.98,413.92,415.67,412.77,490.79,420.05,338.04,216.97,215.79,252.38,245.11,326.07,342.04,303.02,357.88,290.71,266.94,267.71,268.43,266.62,249.94,L7
2000-05-31 22:12:42+00:00,201.43,202.93,199.18,194.95,194.88,193.08,199.13,200.45,199.53,275.69,325.88,330.47,332.93,313.38,326.29,394.66,415.41,416.25,413.81,490.97,426.64,338.04,214.95,218.76,260.74,247.83,326.07,343.03,304.13,349.04,296.87,265.92,268.24,267.21,260.37,242.85,L7
2000-06-07 22:18:48+00:00,200.88,202.86,199.11,194.93,195.05,192.90,198.58,200.01,198.80,275.69,325.89,330.91,332.48,313.04,325.01,394.05,415.19,415.05,413.32,491.87,434.84,329.33,212.74,218.76,260.74,254.35,320.11,339.00,307.47,341.60,296.87,265.92,268.24,267.21,260.37,242.85,L7
2000-08-19 22:11:49+00:00,198.47,202.95,199.37,195.50,196.32,193.16,197.32,199.08,197.90,275.69,328.80,333.30,335.44,310.98,326.87,395.11,417.18,415.47,414.90,492.55,442.15,319.70,211.93,224.19,261.81,260.39,321.81,339.00,311.64,329.28,304.51,271.27,275.47,257.29,260.37,242.85,L7
2000-09-20 22:11:14+00:00,197.50,201.16,197.57,193.58,194.18,192.01,197.16,198.83,198.08,275.69,328.20,332.41,334.78,311.04,329.89,395.10,416.62,416.09,414.99,492.55,421.19,323.65,213.34,224.19,261.81,264.21,323.04,336.67,313.11,328.31,307.49,272.25,278.82,257.29,250.08,240.94,L7
2000-09-27 22:17:24+00:00,198.53,201.38,198.59,194.95,195.04,193.55,198.79,200.02,199.57,271.09,328.73,332.67,335.68,311.79,331.21,395.96,417.40,417.31,416.09,491.70,418.65,331.99,213.34,224.19,261.81,271.81,328.44,336.67,319.78,328.31,307.49,272.25,278.82,257.29,250.08,240.94,L7
