dates,satname,nzd0584-0000,nzd0584-0001,nzd0584-0002,nzd0584-0003,nzd0584-0004,nzd0584-0005,nzd0584-0006,nzd0584-0007,nzd0584-0008,nzd0584-0009,nzd0584-0010,nzd0584-0011,nzd0584-0012,nzd0584-0013,nzd0584-0014,nzd0584-0015,nzd0584-0016,nzd0584-0017,nzd0584-0018,nzd0584-0019,nzd0584-0020,nzd0584-0021,nzd0584-0022,nzd0584-0023,nzd0584-0024,nzd0584-0025,nzd0584-0026,nzd0584-0027,nzd0584-0028,nzd0584-0029,nzd0584-0030,nzd0584-0031,nzd0584-0032,nzd0584-0033,nzd0584-0034,nzd0584-0035
1999-08-08 22:19:52+00:00,L7,175.61,179.89,176.01,172.11,169.21,174.28,178.35,180.86,175.65,177.40,344.17,353.00,341.71,325.92,372.45,408.15,434.92,432.72,445.53,159.63,434.62,384.47,200.88,194.19,212.42,212.52,236.18,275.89,260.12,250.72,,,,,,
1999-08-17 22:13:37+00:00,L7,,,,,,,,,,167.52,436.69,377.37,354.16,325.63,326.53,404.09,420.49,416.19,425.49,446.88,400.98,369.37,193.60,163.98,193.01,,231.33,275.80,261.00,262.77,239.85,212.40,238.29,226.45,274.71,267.37
1999-10-04 22:13:49+00:00,L7,179.52,176.47,170.42,167.33,162.14,163.38,168.84,174.43,176.67,177.16,315.30,348.17,339.44,329.45,350.98,401.91,424.28,424.61,416.44,169.28,418.18,357.22,210.93,196.52,215.43,220.63,234.96,277.73,250.32,254.03,236.33,206.44,207.21,196.33,196.59,206.13
1999-11-05 22:13:40+00:00,L7,193.86,191.20,189.67,183.48,185.48,184.84,196.43,198.03,189.08,191.95,342.80,343.84,341.17,330.63,349.60,401.79,421.77,421.28,418.00,479.69,413.41,347.77,212.38,197.83,217.06,225.68,277.81,285.08,268.27,273.42,247.91,228.37,226.01,222.39,235.76,246.25
1999-12-07 22:13:41+00:00,L7,202.29,200.44,196.61,192.29,190.88,191.03,199.10,200.57,201.37,203.84,325.09,326.58,335.34,307.63,323.57,393.74,410.00,417.80,413.27,485.72,397.05,345.37,220.81,440.15,445.20,290.17,343.89,353.18,348.43,353.81,430.84,447.12,493.99,486.23,484.65,370.72
1999-12-30 22:19:45+00:00,L7,197.79,194.70,196.05,188.43,188.85,188.90,199.57,200.67,199.32,198.96,334.08,332.99,340.15,314.12,323.28,394.16,416.02,420.44,412.71,487.15,412.22,348.63,213.17,198.30,222.50,228.22,306.68,293.03,274.64,281.78,257.96,228.51,230.55,217.34,229.94,228.92
2000-01-24 22:13:35+00:00,L7,234.64,229.16,219.73,216.07,214.75,216.29,,,,445.66,310.70,321.54,314.69,302.51,320.24,392.25,407.05,411.79,409.16,407.99,365.24,338.84,,356.99,391.82,,363.95,483.43,480.70,481.20,473.25,,,480.29,230.87,230.21
2000-04-13 22:13:06+00:00,L7,183.68,185.02,181.47,181.42,178.98,178.99,181.28,186.89,177.89,183.48,346.85,340.13,343.83,330.78,324.18,399.12,423.02,421.50,419.10,484.91,445.08,464.92,23.43,15.70,,,222.03,281.08,255.55,259.52,245.48,211.75,228.75,209.72,206.85,211.16
2000-04-20 22:19:15+00:00,L7,218.45,218.39,213.56,212.87,214.28,207.11,210.21,210.42,212.79,219.69,318.75,326.83,326.59,310.72,338.26,394.73,411.45,416.45,418.43,421.37,376.32,344.25,,359.59,398.49,,358.57,381.28,380.14,397.48,483.37,,,450.91,496.46,379.72
2000-04-29 22:13:05+00:00,L7,186.59,188.35,184.54,183.81,179.70,183.59,185.83,193.58,191.74,202.80,338.56,326.65,339.77,315.11,322.21,394.40,423.19,418.57,416.28,483.73,412.89,348.72,211.23,193.67,216.25,229.00,277.36,288.69,267.62,272.25,248.68,224.06,223.84,223.14,222.39,226.31
2000-05-22 22:18:57+00:00,L7,198.67,218.53,,,,188.78,195.68,200.01,204.07,222.58,309.74,326.04,316.73,308.55,322.58,392.06,409.34,405.76,403.03,412.15,367.48,350.29,,351.45,390.16,,359.16,378.62,361.76,389.31,479.27,333.44,390.07,489.99,235.00,231.00
2000-05-31 22:12:42+00:00,L7,179.35,178.86,177.29,166.99,171.73,178.88,185.13,183.19,181.67,182.78,342.91,340.46,343.87,315.09,333.50,394.35,420.71,415.15,416.04,480.34,412.42,357.08,203.77,183.91,209.48,219.26,239.06,280.01,257.56,236.86,247.37,193.83,201.83,196.76,179.86,187.89
2000-06-07 22:18:48+00:00,L7,,,,,,,,,,,,,,309.91,318.36,393.84,413.22,413.24,414.35,415.56,372.58,350.55,,405.72,416.60,302.25,348.16,364.07,366.69,375.86,425.08,437.60,491.72,492.27,430.93,478.95
2000-08-19 22:11:49+00:00,L7,,,,,,,,,,,468.31,454.18,397.53,289.10,268.04,152.10,41.46,254.42,288.52,314.47,199.25,216.32,,217.70,302.38,,483.07,-3.38,,201.11,,,,288.21,405.21,483.86
2000-09-20 22:11:14+00:00,L7,200.05,199.63,197.81,192.64,193.00,194.50,204.58,203.74,205.18,222.56,327.65,329.77,333.32,313.33,349.85,396.88,415.10,421.68,417.40,446.15,391.58,350.31,218.02,447.11,449.00,288.00,342.74,349.66,339.00,348.12,341.09,300.82,313.54,324.69,243.89,250.00
2000-09-27 22:17:24+00:00,L7,196.31,194.31,195.26,194.16,190.94,193.41,199.24,200.17,201.46,215.29,329.29,332.14,339.01,315.63,338.36,399.88,420.79,423.73,421.66,484.48,397.03,348.54,,436.60,437.90,288.22,338.63,350.73,338.81,353.89,424.09,437.29,500.86,484.47,491.57,349.98
