dates,nzd0584-0000,nzd0584-0001,nzd0584-0002,nzd0584-0003,nzd0584-0004,nzd0584-0005,nzd0584-0006,nzd0584-0007,nzd0584-0008,nzd0584-0009,nzd0584-0010,nzd0584-0011,nzd0584-0012,nzd0584-0013,nzd0584-0014,nzd0584-0015,nzd0584-0016,nzd0584-0017,nzd0584-0018,nzd0584-0019,nzd0584-0020,nzd0584-0021,nzd0584-0022,nzd0584-0023,nzd0584-0024,nzd0584-0025,nzd0584-0026,nzd0584-0027,nzd0584-0028,nzd0584-0029,nzd0584-0030,nzd0584-0031,nzd0584-0032,nzd0584-0033,nzd0584-0034,nzd0584-0035,satname
1999-08-08 22:19:52+00:00,198.81,203.09,199.21,193.20,192.41,200.06,204.13,200.19,194.98,,,358.80,347.51,331.72,,413.95,440.72,438.52,451.33,,,,206.68,,,251.19,,,,,,,,,,,L7
1999-08-17 22:13:37+00:00,,,,,,,,,,,,374.72,351.51,322.98,323.88,401.44,417.84,413.54,422.84,,,,190.95,,,,,,,,,,,,239.38,246.17,L7
1999-10-04 22:13:49+00:00,197.52,194.47,188.42,183.69,180.14,183.38,188.84,189.43,191.67,267.16,319.80,352.67,343.94,333.95,355.48,406.41,428.78,429.11,420.94,,448.18,393.22,215.43,232.52,275.43,250.63,,337.73,295.32,314.03,296.33,266.44,267.21,256.33,256.59,242.13,L7
1999-11-05 22:13:40+00:00,210.86,208.20,206.67,198.93,202.48,203.73,215.32,212.20,203.25,276.95,347.05,348.09,345.42,334.88,353.85,406.04,426.02,425.53,422.25,489.13,441.74,381.77,216.63,231.83,273.73,254.01,311.81,341.75,310.77,330.09,304.58,285.04,282.68,279.06,292.43,280.25,L7
1999-12-07 22:13:41+00:00,205.29,203.44,199.61,195.02,193.88,194.36,202.43,203.07,203.87,,325.84,327.33,336.09,308.38,324.32,394.49,410.75,418.55,414.02,487.39,402.05,351.37,221.56,,,,349.89,363.18,,363.81,,,,,,,L7
1999-12-30 22:19:45+00:00,202.59,199.50,200.85,192.79,193.65,194.23,204.90,204.67,203.32,,335.28,334.19,341.35,315.32,324.48,395.36,417.22,421.64,413.91,489.82,420.22,358.23,214.37,207.90,238.50,236.22,316.28,,286.64,,273.96,244.51,246.55,,,,L7
2000-01-24 22:13:35+00:00,211.24,205.76,196.33,194.80,191.35,190.29,,,,,304.85,315.69,308.84,296.66,314.39,386.40,401.20,405.94,403.31,,,,,,,,317.15,,,403.20,,,,,,,L7
2000-04-13 22:13:06+00:00,199.88,201.22,197.67,196.15,195.18,196.99,199.28,200.39,191.39,264.48,350.90,344.18,347.88,334.83,328.23,403.17,427.07,425.55,423.15,493.91,,,,,,,,335.08,296.05,,299.48,265.75,282.75,263.72,260.85,243.56,L7
2000-04-20 22:19:15+00:00,207.45,207.39,202.56,202.87,203.28,194.89,197.99,201.25,203.62,,316.00,324.08,323.84,307.97,335.51,391.98,408.70,413.70,415.68,,,322.25,,,,,336.57,344.61,,360.81,,,,,,,L7
2000-04-29 22:13:05+00:00,201.59,203.35,199.54,197.45,194.70,200.26,202.50,206.08,204.24,277.80,342.31,330.40,343.52,318.86,325.96,398.15,426.94,422.32,420.03,492.06,437.89,,214.98,223.67,266.25,254.00,307.36,338.69,305.12,322.25,298.68,274.06,273.84,273.14,272.39,256.31,L7
