,dates,jap0367-0000,jap0367-0001,jap0367-0002,jap0367-0003,jap0367-0004,jap0367-0005,jap0367-0006,jap0367-0007,jap0367-0008,jap0367-0009,jap0367-0010,jap0367-0011,jap0367-0012,jap0367-0013,jap0367-0014,jap0367-0015,jap0367-0016,jap0367-0017,jap0367-0018,jap0367-0019,jap0367-0020,jap0367-0021,jap0367-0022,jap0367-0023,jap0367-0024,jap0367-0025,jap0367-0026,jap0367-0027,jap0367-0028,jap0367-0029,jap0367-0030,jap0367-0031
0,1984-07-02 01:16:26+00:00,162.10825480134497,179.1024219847634,180.6519842050073,184.46505882441502,186.85174780265908,183.15103490302783,176.5071483727758,184.85727154519097,183.86757801523953,184.29830791895463,183.52468592319687,181.7511722102488,179.82810570073252,183.61508429181904,172.58399520831978,185.69250526515728,182.1598777318786,180.82941607566252,177.5525811175173,179.98650441540602,177.67518999253033,177.90502043430945,168.25836516397973,175.1306078451676,176.45564991899417,174.83661683422596,176.1262611275549,175.60538556264495,179.84691770947978,184.40236141850363,180.9796635577798,180.43257074399
1,1984-07-09 01:22:40+00:00,131.51444677615962,168.78290810889604,167.13684299847523,170.78240307068518,177.34234729302693,187.78148472365928,170.55960925007906,189.98522152655946,164.50282749941087,183.03982436450661,187.61096171947207,181.67504052191362,175.0028482333032,185.957396128085,186.32793476092868,188.17781564911763,194.353541859279,184.65543182833002,182.58406514326384,181.1901215688232,173.47830680481502,178.01160156395824,174.68233604774002,172.24740255808754,178.21114317392056,186.12127733679597,184.47164023372665,182.8794066525371,181.81032939286712,181.04396433652374,176.56579326283287,176.41100728548042
2,1984-10-22 01:17:58+00:00,184.6148107509295,185.05380056391948,189.28515074933864,188.9614233624223,194.80600393488064,195.28697873219426,195.28515902380295,198.32934078695928,203.8303280137711,195.07780432867276,195.06355354470435,192.81426845313163,191.25867342607535,192.78610910609586,196.40697536734024,193.05785103129207,195.08868485828745,196.63781291787717,187.28792934198523,187.20473872681606,188.2099084900709,184.06809679204545,184.74949181515154,184.1168727393589,189.77381225544832,199.01913660857275,198.68667004346315,196.93304994744076,197.55699145624402,200.79759799206934,199.5166803052599,188.63536672771744
3,1985-01-17 01:24:26+00:00,192.3142471977595,200.17658445285434,200.9155481025721,201.0743568380226,204.13886000748133,201.22885724738865,199.7156481722562,203.31570367078507,206.0610831316198,201.21502995810772,198.82833933976175,195.49204196031184,197.279043195129,201.95915461752878,206.79562479365964,206.05629461640834,203.83308143178618,198.62334961139098,190.20188111595093,194.38957345620045,190.74469407287174,202.21317072608855,200.86984730367175,203.3871999436352,202.07861898070487,203.77144518589765,202.42896351169563,200.55305971204055,203.7553420827559,200.6599245509012,192.87476930107587,190.9190090886345
4,1985-05-02 01:18:05+00:00,149.96026670493313,171.00139291624967,175.44623040808617,174.06140525264198,176.54015242469634,173.7046052196636,,,,179.95561617235722,182.71078542975397,185.42929475669408,179.26362514190976,186.68895065989906,187.52656913350017,186.0190844683397,196.17482944181765,183.54616777627712,171.90844959302157,179.0878950211194,173.4048906344628,176.8031195214526,173.02724291937852,176.07540028080615,178.22679881511982,179.5707957979868,178.39834865775455,174.3214862080504,175.72952840590042,179.5681439991272,167.78129365091405,172.51678900028506
5,1985-08-29 01:23:36+00:00,,,,,,,,,,,,,,,,,,,,184.90319348548755,176.13336881764744,187.56606850207575,188.72037406190225,187.15007679211973,188.3907239534099,186.93990465075345,189.7084406610803,187.87826991441747,190.57590656135247,190.93497760168253,184.4219923716254,183.58863603417248
6,1985-12-03 01:22:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-01-29 01:15:00+00:00,,168.2745246392239,178.01622153832847,180.9099498232024,176.84561377877912,175.48001503074607,184.5953187711006,188.70185200596083,180.69605285939286,193.5538329278957,191.21583099639423,182.65055239280372,176.28720923159398,193.06041804383221,192.69472778733336,194.10640411709815,194.2514564018787,197.10467753400638,189.26576548522303,187.9898688530279,189.20931169035518,183.50332361193074,184.1579924912876,191.480272228233,182.44919081091075,188.42067226142757,183.2223735094965,175.8566932845587,180.9304117444484,180.97080589474226,177.98723091595627,
8,1986-02-05 01:21:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,194.11254734739552,191.00148461659649,185.48443838074326,184.46510183959208,185.67841509434422,181.358475958562,182.80292957057793
9,1986-08-25 01:09:12+00:00,167.0394299142921,186.68149623427777,196.19514438695808,192.62651503111252,194.03979378062175,193.0588068269525,191.44445296817082,191.37114519785223,183.50040707427186,193.32525861912825,188.6183853726723,186.57445746527637,179.00343755725382,191.78627002589792,191.8198852918576,187.90361909735674,184.71758151329374,182.17562513047883,187.92684882280946,189.20963608004774,177.41400824994827,182.6209115832654,187.11102715404417,182.11870953278336,182.7954481724475,184.12955107537437,178.41129613496798,178.72121870493493,177.70053256310604,166.96479339951304,169.33888804046953,163.94244517476932
