dates,nzd0518-0000,nzd0518-0001,nzd0518-0002,nzd0518-0003,nzd0518-0004,nzd0518-0005,nzd0518-0006,nzd0518-0007,nzd0518-0008,nzd0518-0009,nzd0518-0010,nzd0518-0011,nzd0518-0012,nzd0518-0013,nzd0518-0014,nzd0518-0015,nzd0518-0016,nzd0518-0017,nzd0518-0018,nzd0518-0019,nzd0518-0020,nzd0518-0021,nzd0518-0022,nzd0518-0023,nzd0518-0024,nzd0518-0025,nzd0518-0026,nzd0518-0027,nzd0518-0028,nzd0518-0029,nzd0518-0030,nzd0518-0031,nzd0518-0032,nzd0518-0033,nzd0518-0034,nzd0518-0035,nzd0518-0036,nzd0518-0037,nzd0518-0038,nzd0518-0039,nzd0518-0040,nzd0518-0041,nzd0518-0042,nzd0518-0043,nzd0518-0044,nzd0518-0045,nzd0518-0046,nzd0518-0047,nzd0518-0048,nzd0518-0049,nzd0518-0050,nzd0518-0051,nzd0518-0052,nzd0518-0053,nzd0518-0054,nzd0518-0055,nzd0518-0056,nzd0518-0057,nzd0518-0058,nzd0518-0059,nzd0518-0060,nzd0518-0061,nzd0518-0062,nzd0518-0063,nzd0518-0064,nzd0518-0065,nzd0518-0066,nzd0518-0067,nzd0518-0068,nzd0518-0069,nzd0518-0070,nzd0518-0071,nzd0518-0072,nzd0518-0073,nzd0518-0074,nzd0518-0075,nzd0518-0076,nzd0518-0077,nzd0518-0078,nzd0518-0079,nzd0518-0080,nzd0518-0081,nzd0518-0082,nzd0518-0083,nzd0518-0084,nzd0518-0085,nzd0518-0086,nzd0518-0087,nzd0518-0088,nzd0518-0089,nzd0518-0090,nzd0518-0091,nzd0518-0092,nzd0518-0093,nzd0518-0094,nzd0518-0095,nzd0518-0096,nzd0518-0097,nzd0518-0098,nzd0518-0099,nzd0518-0100,nzd0518-0101,nzd0518-0102,nzd0518-0103,nzd0518-0104,nzd0518-0105,nzd0518-0106,nzd0518-0107,nzd0518-0108,nzd0518-0109,nzd0518-0110,nzd0518-0111,nzd0518-0112,nzd0518-0113,nzd0518-0114,nzd0518-0115,nzd0518-0116,nzd0518-0117,nzd0518-0118,nzd0518-0119,nzd0518-0120,nzd0518-0121,nzd0518-0122,nzd0518-0123,nzd0518-0124,nzd0518-0125,nzd0518-0126,nzd0518-0127,nzd0518-0128,nzd0518-0129,nzd0518-0130,nzd0518-0131,nzd0518-0132,nzd0518-0133,nzd0518-0134,nzd0518-0135,nzd0518-0136,nzd0518-0137,nzd0518-0138,nzd0518-0139,nzd0518-0140,nzd0518-0141,nzd0518-0142,nzd0518-0143,nzd0518-0144,nzd0518-0145,nzd0518-0146,nzd0518-0147,nzd0518-0148,nzd0518-0149,nzd0518-0150,nzd0518-0151,nzd0518-0152,nzd0518-0153,nzd0518-0154,nzd0518-0155,nzd0518-0156,nzd0518-0157,nzd0518-0158,nzd0518-0159,nzd0518-0160,nzd0518-0161,nzd0518-0162,nzd0518-0163,nzd0518-0164,nzd0518-0165,nzd0518-0166,nzd0518-0167,nzd0518-0168,nzd0518-0169,nzd0518-0170,nzd0518-0171,nzd0518-0172,nzd0518-0173,nzd0518-0174,nzd0518-0175,nzd0518-0176,nzd0518-0177,nzd0518-0178,nzd0518-0179,nzd0518-0180,nzd0518-0181,nzd0518-0182,nzd0518-0183,nzd0518-0184,satname
1999-09-16 22:25:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.12,372.71,402.52,L7
1999-12-30 22:19:45+00:00,357.07,352.01,352.53,352.35,360.12,357.54,354.99,351.76,352.38,,355.92,352.52,359.25,373.43,368.70,388.41,,,368.95,,,386.81,381.21,383.21,383.56,395.07,401.62,409.37,403.75,404.01,,,385.64,387.13,,,382.92,383.00,381.81,376.50,373.74,370.64,368.01,371.39,371.63,370.56,370.07,,367.85,362.04,362.99,356.29,353.09,347.43,346.11,343.19,343.97,344.27,345.82,343.11,342.48,338.69,345.76,348.36,345.94,343.79,342.82,342.26,344.49,349.09,347.28,348.16,348.31,352.41,347.28,342.34,345.57,352.02,352.76,356.46,357.66,371.33,369.85,367.87,365.22,366.89,360.07,362.70,361.06,358.95,,,,,,,,,,,,349.52,354.18,371.56,379.42,382.70,384.50,383.10,,,,,,,,,,,,,,384.29,389.30,,,,,,,,,388.19,,372.75,,,,,,,,,,,,,,361.61,371.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.37,366.88,398.96,L7
2000-04-20 22:19:15+00:00,352.60,350.67,353.75,351.06,356.77,354.56,354.51,353.19,353.64,,355.92,352.52,359.25,373.43,368.70,388.41,,,368.95,,,386.81,381.21,383.21,383.56,387.95,393.89,399.55,399.43,398.00,,,387.46,387.32,,,377.12,377.27,377.33,374.26,372.00,370.64,367.06,368.15,371.49,369.79,368.39,,366.00,362.70,360.96,353.35,351.12,347.62,346.57,344.57,344.63,344.81,343.86,340.92,343.45,341.87,342.88,344.63,344.07,343.38,343.16,342.36,343.45,347.83,346.50,348.79,348.74,349.14,344.02,343.14,345.15,350.69,350.35,351.27,355.50,366.94,367.61,366.39,362.66,365.39,361.02,359.90,355.87,346.04,300.03,306.36,300.27,301.76,294.85,292.01,277.00,287.30,280.69,,,350.42,357.69,370.69,379.42,380.88,385.24,380.88,,,,,,,,,,,,,,387.36,389.12,,285.48,280.16,,,283.18,279.25,,382.89,,366.57,261.85,254.66,249.50,241.04,238.70,232.90,240.41,250.26,249.64,253.59,252.95,254.92,270.12,352.10,360.53,291.87,300.55,290.48,287.53,295.93,281.21,,297.76,290.02,287.39,284.79,295.33,287.74,283.13,281.46,282.31,282.26,278.94,295.94,290.32,282.72,297.41,271.19,274.46,270.07,,267.90,247.74,244.87,,,,230.47,304.07,306.68,383.60,L7
2000-05-22 22:18:57+00:00,344.50,344.83,347.94,347.18,349.32,349.58,349.79,353.19,353.64,,355.92,352.52,359.25,373.43,368.70,388.41,,,368.95,,,386.81,367.07,370.66,372.37,380.24,393.89,399.55,399.43,398.00,,268.48,387.46,387.32,,245.49,377.12,363.42,377.33,374.26,365.63,370.64,367.06,368.15,365.96,361.75,359.99,238.03,358.68,356.66,354.97,345.53,343.26,337.37,338.26,335.13,336.06,337.51,343.86,340.92,343.45,341.87,342.88,344.63,344.07,343.38,343.16,342.36,343.45,347.83,346.50,348.79,348.74,349.14,344.02,343.14,345.15,350.69,350.35,351.27,355.50,366.94,367.61,366.39,362.66,365.39,361.02,359.90,355.87,321.18,294.18,292.27,291.45,290.66,286.21,280.57,269.48,275.34,268.74,257.03,278.04,344.74,340.32,363.66,379.42,374.77,377.56,380.88,249.96,250.09,257.35,258.57,267.22,258.54,258.62,264.32,262.78,273.13,281.18,278.53,268.95,387.36,389.12,255.19,270.62,261.94,244.79,,267.15,263.56,222.11,382.89,,366.57,246.67,242.43,237.31,221.06,223.53,220.92,224.41,238.43,237.31,246.73,239.35,244.01,260.91,352.10,360.53,283.01,289.05,281.75,279.14,288.44,269.44,242.46,283.99,281.40,273.50,273.56,280.47,276.17,271.97,273.23,270.33,273.89,266.08,284.37,280.53,266.76,287.43,260.37,265.15,256.35,209.13,251.80,238.44,231.75,220.67,210.29,210.54,214.36,275.69,281.56,383.60,L7
2000-06-07 22:18:48+00:00,344.50,344.83,347.94,347.18,349.32,349.58,349.79,353.19,353.64,,355.92,352.52,359.25,373.43,368.70,388.41,,,368.95,,,386.81,366.33,367.49,370.47,377.91,393.89,399.55,399.43,398.00,,265.14,387.46,387.32,,244.92,377.12,356.10,377.33,374.26,366.57,370.64,367.06,368.15,360.59,361.75,359.99,239.68,358.68,356.66,354.97,345.53,343.26,337.37,338.26,335.13,339.56,332.70,343.86,340.92,343.45,341.87,338.90,343.16,342.72,339.45,342.55,340.80,341.95,343.32,347.50,349.30,347.97,349.14,344.02,343.14,345.15,345.74,350.35,351.27,355.50,366.94,365.53,368.90,362.66,365.39,361.02,359.90,355.87,321.18,292.19,287.93,287.58,290.66,286.21,280.57,269.48,275.34,268.74,257.03,278.04,344.74,340.32,363.66,379.42,374.77,377.56,380.88,249.96,250.09,257.35,258.57,267.22,258.54,258.62,264.32,262.78,273.13,281.18,278.53,268.95,387.36,389.12,255.19,270.62,261.94,244.79,,267.15,263.56,222.11,382.89,,366.57,246.67,242.43,237.31,221.06,223.53,220.92,224.41,238.43,237.31,246.73,222.96,239.38,257.15,352.10,360.53,282.49,290.09,284.89,287.61,292.08,270.24,248.24,283.50,278.26,268.06,274.60,277.19,275.42,270.87,271.43,266.41,273.34,266.89,279.50,277.26,265.45,287.90,260.37,264.68,252.98,222.43,247.70,239.06,228.42,220.43,205.88,205.44,211.24,264.02,268.12,383.60,L7
2000-06-30 22:24:48+00:00,338.21,341.24,345.65,344.59,343.93,345.60,347.20,354.61,354.91,,,,,,,,,,,,,,358.89,359.62,363.93,372.19,386.17,389.73,395.10,391.98,,265.14,389.28,387.51,,244.92,371.33,347.13,372.85,372.03,364.18,,366.11,364.92,356.91,357.34,354.95,239.68,354.09,353.97,350.96,340.15,338.34,332.34,334.33,331.11,338.09,328.84,341.90,338.72,344.41,345.04,335.47,340.56,341.11,337.28,342.42,340.07,340.69,340.44,347.61,349.87,347.80,345.88,340.77,343.94,344.74,342.60,347.93,346.08,353.33,362.55,363.37,369.42,360.10,363.89,361.98,357.11,350.67,302.30,292.19,287.93,287.58,290.66,286.21,280.57,269.48,275.34,268.74,257.03,278.04,342.35,333.39,359.71,,370.80,374.09,378.65,249.96,250.09,257.35,258.57,267.22,258.54,258.62,264.32,262.78,273.13,281.18,278.53,268.95,390.43,388.94,255.19,270.62,261.94,244.79,,267.15,263.56,222.11,377.59,,360.40,246.67,242.43,237.31,221.06,223.53,220.92,224.41,238.43,237.31,246.73,222.96,239.38,257.15,342.58,349.90,282.49,290.09,284.89,287.61,292.08,270.24,248.24,283.50,278.26,268.06,274.60,277.19,275.42,270.87,271.43,266.41,273.34,266.89,285.27,279.53,267.60,290.92,265.15,269.08,258.61,236.03,254.89,243.84,234.85,232.03,220.36,225.00,219.90,233.16,248.66,371.80,L7
2000-08-01 22:24:18+00:00,338.21,341.24,345.65,344.59,343.93,345.60,347.20,354.61,354.91,,,,,,,,,,,,,,358.89,359.62,363.93,372.19,386.17,389.73,395.10,391.98,,265.14,389.28,387.51,,244.92,371.33,347.13,372.85,372.03,364.18,,366.11,364.92,356.91,357.34,354.95,239.68,354.09,353.97,350.96,340.15,338.34,332.34,334.33,331.11,338.09,328.84,341.90,338.72,344.41,345.04,335.47,340.56,341.11,337.28,342.42,340.07,340.69,340.44,347.61,349.87,347.80,345.88,340.77,343.94,344.74,342.60,347.93,346.08,353.33,362.55,363.37,369.42,360.10,363.89,361.98,357.11,350.67,302.30,292.19,287.93,287.58,290.66,286.21,280.57,269.48,275.34,268.74,257.03,278.04,342.35,333.39,359.71,,370.80,374.09,378.65,249.96,250.09,257.35,258.57,267.22,258.54,258.62,264.32,262.78,273.13,281.18,278.53,268.95,390.43,388.94,255.19,270.62,261.94,244.79,,267.15,263.56,222.11,377.59,,360.40,246.67,242.43,237.31,225.66,223.53,220.57,227.79,237.25,238.91,248.42,229.30,241.09,259.52,342.58,349.90,284.00,292.54,282.89,287.29,292.00,270.43,251.23,283.41,278.04,269.00,275.31,277.57,276.96,271.28,271.51,267.49,275.33,267.42,286.35,280.99,267.55,289.92,265.03,269.52,259.31,236.99,256.61,242.91,235.92,232.15,222.42,226.53,220.40,235.11,250.64,371.80,L7
2000-08-10 22:18:02+00:00,339.87,341.53,345.18,345.10,346.08,345.69,346.53,351.83,356.68,355.25,354.13,364.42,358.20,356.82,370.00,358.65,,,347.05,,,388.67,368.58,367.25,367.17,373.52,381.36,386.21,388.06,385.15,,265.14,389.28,387.51,,244.92,368.37,352.40,368.13,363.75,363.16,,362.13,360.80,356.18,356.59,355.29,239.68,353.70,352.16,350.94,341.66,339.85,333.37,336.11,330.77,333.58,326.79,337.49,336.07,337.52,337.30,333.85,337.25,337.34,333.56,336.20,334.11,334.07,335.50,338.03,340.95,335.58,332.93,329.33,343.94,344.74,330.39,347.93,330.15,353.33,344.36,363.37,356.18,348.49,363.89,361.98,357.11,350.67,302.08,296.48,293.56,293.04,294.82,290.69,284.85,278.37,281.21,276.52,274.44,290.23,332.34,336.76,359.27,,365.74,368.83,364.89,266.90,266.29,273.80,272.06,278.17,271.66,272.05,274.50,277.52,286.02,288.81,287.17,279.06,390.43,388.94,269.05,273.74,264.69,254.04,,270.47,265.53,240.01,377.59,,360.40,250.37,243.38,237.57,229.49,224.47,225.63,226.72,242.15,240.57,247.27,233.61,248.17,263.43,342.58,349.90,284.00,292.54,282.89,287.29,292.00,270.43,251.23,283.41,278.04,269.00,275.31,277.57,276.96,271.28,271.51,267.49,275.33,267.42,286.35,280.99,267.55,289.92,265.03,269.52,259.31,236.99,256.61,242.91,235.92,232.15,222.42,226.53,220.40,235.11,250.64,371.80,L7
2000-09-02 22:23:58+00:00,339.87,341.53,345.18,345.10,346.08,345.69,346.53,351.83,356.68,355.25,354.13,364.42,358.20,356.82,370.00,358.65,,,347.05,,,388.67,368.58,367.25,367.17,373.52,381.36,386.21,388.06,385.15,,265.14,389.28,387.51,,244.92,368.37,352.40,368.13,363.75,363.16,,362.13,360.80,356.18,356.59,355.29,239.68,353.70,352.16,350.94,341.66,339.85,333.37,336.11,330.77,333.58,326.79,337.49,336.07,337.52,337.30,333.85,337.25,337.34,333.56,336.20,334.11,334.07,335.50,338.03,340.95,335.58,332.93,329.33,343.94,344.74,330.39,347.93,330.15,353.33,344.36,363.37,356.18,348.49,363.89,361.98,357.11,350.67,302.08,296.48,293.56,293.04,294.82,290.69,284.85,278.37,281.21,276.52,274.44,290.23,332.34,336.76,359.27,,365.74,368.83,364.89,266.90,266.29,273.80,272.06,278.17,271.66,272.05,274.50,277.52,286.02,288.81,287.17,279.06,390.43,388.94,269.05,273.74,264.69,254.04,,270.47,265.53,240.01,377.59,,360.40,250.37,243.38,237.57,229.49,224.47,225.63,226.72,242.15,240.57,247.27,233.61,248.17,263.43,342.58,349.90,284.00,292.54,282.89,287.29,292.00,270.43,251.23,283.41,278.04,269.00,280.54,281.36,281.37,274.46,275.81,272.28,280.13,273.17,289.42,284.00,271.30,292.39,267.45,272.47,262.55,242.28,258.75,244.97,237.20,234.69,222.42,226.53,220.40,235.11,250.64,371.80,L7
2000-09-27 22:17:24+00:00,340.79,341.94,344.28,344.66,346.77,345.39,347.00,350.18,355.19,354.72,355.95,364.26,362.48,358.01,368.01,355.46,195.95,209.81,347.05,282.01,,377.67,375.50,376.25,372.66,376.58,386.45,389.33,390.65,387.38,389.29,304.64,384.13,381.68,372.30,287.00,370.15,356.49,368.66,364.66,363.11,361.27,362.81,362.37,358.12,359.40,357.71,282.40,356.51,355.06,353.38,345.63,343.62,337.21,339.20,332.26,332.96,327.56,339.28,338.41,341.44,337.99,336.43,339.69,339.77,335.88,338.06,336.96,335.81,335.50,338.03,342.03,336.37,335.91,334.52,345.97,343.94,339.80,353.55,340.85,358.82,353.88,363.97,355.65,352.45,365.04,360.00,354.59,350.92,309.29,301.10,299.19,297.82,300.81,290.69,284.85,283.53,286.94,282.88,289.55,305.41,332.05,339.05,362.61,375.03,367.89,369.97,370.20,299.22,295.90,304.32,306.02,308.64,305.55,305.06,307.21,310.96,286.02,288.81,287.17,279.06,382.69,384.33,269.05,273.74,264.69,254.04,374.76,270.47,265.53,240.01,375.75,369.51,364.53,250.37,243.38,237.57,229.49,224.47,225.63,226.72,242.15,240.57,247.27,233.61,248.17,263.43,358.36,358.19,284.00,292.54,282.89,287.29,292.00,270.43,263.70,289.26,283.72,276.61,285.30,286.09,285.89,279.03,280.41,277.55,285.29,278.59,293.29,287.34,274.97,294.94,270.14,274.16,266.43,249.04,258.75,244.97,237.20,234.69,222.42,226.53,220.40,235.11,250.64,371.80,L7
