dates,satname,nzd0518-0000,nzd0518-0001,nzd0518-0002,nzd0518-0003,nzd0518-0004,nzd0518-0005,nzd0518-0006,nzd0518-0007,nzd0518-0008,nzd0518-0009,nzd0518-0010,nzd0518-0011,nzd0518-0012,nzd0518-0013,nzd0518-0014,nzd0518-0015,nzd0518-0016,nzd0518-0017,nzd0518-0018,nzd0518-0019,nzd0518-0020,nzd0518-0021,nzd0518-0022,nzd0518-0023,nzd0518-0024,nzd0518-0025,nzd0518-0026,nzd0518-0027,nzd0518-0028,nzd0518-0029,nzd0518-0030,nzd0518-0031,nzd0518-0032,nzd0518-0033,nzd0518-0034,nzd0518-0035,nzd0518-0036,nzd0518-0037,nzd0518-0038,nzd0518-0039,nzd0518-0040,nzd0518-0041,nzd0518-0042,nzd0518-0043,nzd0518-0044,nzd0518-0045,nzd0518-0046,nzd0518-0047,nzd0518-0048,nzd0518-0049,nzd0518-0050,nzd0518-0051,nzd0518-0052,nzd0518-0053,nzd0518-0054,nzd0518-0055,nzd0518-0056,nzd0518-0057,nzd0518-0058,nzd0518-0059,nzd0518-0060,nzd0518-0061,nzd0518-0062,nzd0518-0063,nzd0518-0064,nzd0518-0065,nzd0518-0066,nzd0518-0067,nzd0518-0068,nzd0518-0069,nzd0518-0070,nzd0518-0071,nzd0518-0072,nzd0518-0073,nzd0518-0074,nzd0518-0075,nzd0518-0076,nzd0518-0077,nzd0518-0078,nzd0518-0079,nzd0518-0080,nzd0518-0081,nzd0518-0082,nzd0518-0083,nzd0518-0084,nzd0518-0085,nzd0518-0086,nzd0518-0087,nzd0518-0088,nzd0518-0089,nzd0518-0090,nzd0518-0091,nzd0518-0092,nzd0518-0093,nzd0518-0094,nzd0518-0095,nzd0518-0096,nzd0518-0097,nzd0518-0098,nzd0518-0099,nzd0518-0100,nzd0518-0101,nzd0518-0102,nzd0518-0103,nzd0518-0104,nzd0518-0105,nzd0518-0106,nzd0518-0107,nzd0518-0108,nzd0518-0109,nzd0518-0110,nzd0518-0111,nzd0518-0112,nzd0518-0113,nzd0518-0114,nzd0518-0115,nzd0518-0116,nzd0518-0117,nzd0518-0118,nzd0518-0119,nzd0518-0120,nzd0518-0121,nzd0518-0122,nzd0518-0123,nzd0518-0124,nzd0518-0125,nzd0518-0126,nzd0518-0127,nzd0518-0128,nzd0518-0129,nzd0518-0130,nzd0518-0131,nzd0518-0132,nzd0518-0133,nzd0518-0134,nzd0518-0135,nzd0518-0136,nzd0518-0137,nzd0518-0138,nzd0518-0139,nzd0518-0140,nzd0518-0141,nzd0518-0142,nzd0518-0143,nzd0518-0144,nzd0518-0145,nzd0518-0146,nzd0518-0147,nzd0518-0148,nzd0518-0149,nzd0518-0150,nzd0518-0151,nzd0518-0152,nzd0518-0153,nzd0518-0154,nzd0518-0155,nzd0518-0156,nzd0518-0157,nzd0518-0158,nzd0518-0159,nzd0518-0160,nzd0518-0161,nzd0518-0162,nzd0518-0163,nzd0518-0164,nzd0518-0165,nzd0518-0166,nzd0518-0167,nzd0518-0168,nzd0518-0169,nzd0518-0170,nzd0518-0171,nzd0518-0172,nzd0518-0173,nzd0518-0174,nzd0518-0175,nzd0518-0176,nzd0518-0177,nzd0518-0178,nzd0518-0179,nzd0518-0180,nzd0518-0181,nzd0518-0182,nzd0518-0183,nzd0518-0184
1999-09-16 22:25:58+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.31,297.09,291.41,295.78,298.18,295.16,308.76,310.35,286.97,313.04,282.26,286.99,290.18,281.93,279.57,279.83,,,,,,382.34,384.93,430.02
1999-12-30 22:19:45+00:00,L7,357.22,352.16,352.68,352.50,360.38,357.69,355.14,351.91,352.81,350.10,356.42,353.27,359.92,374.03,369.45,388.84,421.17,219.32,369.55,379.64,393.74,387.41,381.67,383.71,384.02,395.53,402.05,409.63,404.05,404.31,398.75,393.64,385.94,387.36,386.23,384.76,383.27,383.46,382.19,376.77,373.98,370.86,368.16,371.71,371.92,370.88,370.40,365.86,368.31,362.44,363.45,356.79,353.64,348.03,346.71,343.57,344.32,344.52,346.32,343.71,343.15,339.07,346.31,349.03,346.61,344.39,343.49,343.01,345.24,349.76,347.88,348.83,348.81,352.87,347.95,343.20,346.24,352.88,353.51,357.21,358.33,372.08,370.60,368.62,365.89,367.64,360.93,363.56,361.81,359.62,355.16,351.17,350.39,346.67,339.33,345.54,345.56,336.14,340.56,338.14,346.64,350.52,354.93,372.31,380.09,383.05,385.05,383.85,383.88,381.52,383.54,383.86,387.66,394.29,390.60,391.03,385.97,387.17,389.36,388.95,386.68,384.66,389.73,387.59,393.20,391.98,396.97,393.74,390.81,392.89,389.56,388.59,381.73,373.21,364.58,368.93,361.45,364.79,353.93,350.58,342.53,341.31,346.24,347.29,352.81,356.00,360.70,362.16,371.71,376.58,372.95,375.40,369.14,365.73,362.66,362.09,363.35,358.33,360.94,353.50,352.08,344.32,345.44,345.68,350.14,361.61,357.24,361.77,357.51,364.23,356.79,355.34,351.75,351.32,353.84,347.13,343.94,342.45,352.58,351.61,361.52,357.63,357.28,361.72,396.90
2000-04-20 22:19:15+00:00,L7,349.17,350.39,356.02,350.83,355.26,352.63,355.09,355.66,357.91,277.09,,,,,,,,,,,,,,,,384.07,389.17,391.56,397.20,394.08,,,391.38,389.13,,,373.80,374.78,375.47,373.94,371.94,,367.16,367.13,373.34,371.23,369.05,,367.38,366.16,362.16,353.91,352.96,352.00,351.23,348.59,347.76,347.11,345.40,342.92,349.08,347.66,343.81,345.58,346.88,347.16,348.17,347.71,347.66,351.25,349.93,354.08,352.67,349.11,345.44,349.94,349.41,355.36,353.18,351.33,358.00,367.80,370.62,370.17,364.77,369.14,367.98,363.11,355.92,337.81,303.53,310.18,304.09,305.26,297.85,295.01,280.50,290.80,285.36,,,358.33,366.44,375.08,,381.54,389.79,383.90,,,,,,,,,,,,,,393.05,391.94,,288.10,282.07,,,285.65,281.58,,380.39,,363.63,264.65,256.57,250.90,243.04,240.15,235.52,241.46,251.76,252.11,255.92,256.45,258.42,271.80,346.40,353.72,294.20,302.46,293.48,289.53,296.98,282.83,308.56,298.81,291.37,288.89,286.24,296.38,288.79,284.18,282.51,283.36,283.31,280.14,296.99,291.72,283.92,298.46,272.24,275.51,271.90,257.56,270.00,249.09,247.49,248.09,239.94,240.53,233.97,256.20,256.98,382.30
2000-04-27 22:25:27+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.68,106.71,77.25,,,,
2000-05-22 22:18:57+00:00,L7,331.45,336.29,339.48,342.56,339.90,342.77,343.50,,,,,,,,,,,,,,,,362.62,368.61,370.87,374.51,,,,,277.07,276.88,264.12,,,249.20,253.67,345.39,,,357.93,,,,360.91,352.29,350.17,245.44,353.73,352.97,352.67,340.40,338.99,329.47,334.24,324.12,326.34,328.14,190.02,,,,,,,,,,,,,,,,,,,,,,,274.06,274.56,328.68,,,270.98,269.20,270.77,285.46,298.83,289.63,294.09,290.07,286.56,278.14,272.46,273.87,270.79,269.63,296.04,354.36,321.35,365.33,,369.95,373.65,262.09,262.56,262.69,268.80,267.57,276.22,267.54,267.02,274.01,271.18,280.54,288.18,285.53,275.58,266.41,256.17,261.82,263.65,249.44,252.20,246.46,258.54,254.87,231.80,225.73,,248.69,239.88,235.92,229.32,207.09,212.71,216.80,211.56,231.09,232.39,246.87,236.25,243.60,256.74,239.10,282.86,281.15,283.27,282.02,276.75,284.09,262.51,245.61,273.37,276.85,264.10,266.66,268.76,267.75,263.95,268.15,261.50,268.68,256.82,275.94,274.94,254.40,280.60,252.69,259.00,248.10,215.43,242.00,233.21,226.49,230.36,220.79,220.23,208.74,232.92,245.32,233.92
2000-06-07 22:18:48+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,379.47,376.97,381.30,385.52,,,,,,274.47,269.17,271.40,250.59,249.94,257.09,348.77,,,376.99,,,,353.53,245.26,245.99,252.51,240.80,242.18,244.31,231.90,228.06,223.73,224.75,218.94,361.22,326.20,193.72,184.94,194.90,195.43,348.21,361.31,361.12,350.61,362.45,361.43,362.71,355.40,368.48,371.43,362.26,217.02,224.66,235.24,234.34,362.97,,,,284.84,385.13,397.67,,278.05,,,,,304.04,296.52,297.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.00,245.96,257.22,244.61,287.69,292.02,300.82,304.74,313.60,304.13,279.15,258.77,287.26,278.09,263.99,283.24,275.38,278.67,273.43,272.57,263.32,276.99,273.95,274.51,277.04,268.26,293.60,,268.48,254.51,245.23,249.00,246.42,233.64,234.80,217.31,214.97,220.85,250.15,248.92,232.79
2000-06-30 22:24:48+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.01,278.88,267.66,294.36,269.11,276.67,265.77,252.02,265.28,250.96,240.17,238.02,230.64,246.89,227.18,258.95,258.32,253.76
2000-08-01 22:24:18+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.47,,221.99,235.39,236.12,244.12,253.70,251.15,249.06,268.01,282.64,301.12,290.41,301.42,279.34,287.94,292.61,272.31,258.06,283.99,278.48,273.03,278.59,279.55,282.41,273.38,272.60,271.58,282.14,269.99,291.51,287.98,268.32,286.79,265.53,272.14,263.59,241.57,265.15,240.28,242.28,235.12,231.43,233.75,225.25,244.74,262.31,241.99
2000-08-10 22:18:02+00:00,L7,339.98,338.91,341.05,342.91,344.81,342.67,342.01,345.85,349.31,342.45,343.46,348.42,343.98,344.02,354.00,349.51,347.45,345.32,334.25,194.52,324.55,375.87,378.11,371.82,363.79,367.67,367.41,377.11,374.63,371.92,,,,,,,357.87,358.34,355.42,349.65,355.00,,354.95,349.94,347.89,348.35,348.88,,343.07,340.01,341.07,333.99,331.22,322.64,326.85,322.11,312.51,315.32,322.40,320.62,316.41,321.55,318.98,316.41,315.57,313.31,309.54,306.18,304.83,311.42,306.08,308.89,300.46,310.13,303.68,218.75,227.18,287.70,,298.22,,310.16,277.40,313.71,322.65,,270.58,284.07,271.79,287.41,298.67,298.82,297.78,292.45,290.51,284.25,285.47,282.29,277.85,279.05,284.12,291.01,327.50,342.39,,348.09,346.69,335.13,271.04,269.69,278.60,276.42,279.98,275.64,276.95,274.84,283.74,291.39,289.32,288.70,282.43,268.58,277.51,276.17,271.96,264.38,255.76,,269.57,262.36,248.06,235.21,237.47,254.84,249.25,239.46,233.83,234.89,221.94,232.82,220.31,252.26,238.03,236.70,240.18,265.79,273.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-02 22:23:58+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.60,300.99,303.48,291.62,297.49,295.88,303.79,301.26,309.20,304.98,295.11,309.19,281.57,291.65,286.45,272.37,278.40,260.99,254.72,258.55,,,,390.85,404.82,462.88
