dates,nzd0518-0000,nzd0518-0001,nzd0518-0002,nzd0518-0003,nzd0518-0004,nzd0518-0005,nzd0518-0006,nzd0518-0007,nzd0518-0008,nzd0518-0009,nzd0518-0010,nzd0518-0011,nzd0518-0012,nzd0518-0013,nzd0518-0014,nzd0518-0015,nzd0518-0016,nzd0518-0017,nzd0518-0018,nzd0518-0019,nzd0518-0020,nzd0518-0021,nzd0518-0022,nzd0518-0023,nzd0518-0024,nzd0518-0025,nzd0518-0026,nzd0518-0027,nzd0518-0028,nzd0518-0029,nzd0518-0030,nzd0518-0031,nzd0518-0032,nzd0518-0033,nzd0518-0034,nzd0518-0035,nzd0518-0036,nzd0518-0037,nzd0518-0038,nzd0518-0039,nzd0518-0040,nzd0518-0041,nzd0518-0042,nzd0518-0043,nzd0518-0044,nzd0518-0045,nzd0518-0046,nzd0518-0047,nzd0518-0048,nzd0518-0049,nzd0518-0050,nzd0518-0051,nzd0518-0052,nzd0518-0053,nzd0518-0054,nzd0518-0055,nzd0518-0056,nzd0518-0057,nzd0518-0058,nzd0518-0059,nzd0518-0060,nzd0518-0061,nzd0518-0062,nzd0518-0063,nzd0518-0064,nzd0518-0065,nzd0518-0066,nzd0518-0067,nzd0518-0068,nzd0518-0069,nzd0518-0070,nzd0518-0071,nzd0518-0072,nzd0518-0073,nzd0518-0074,nzd0518-0075,nzd0518-0076,nzd0518-0077,nzd0518-0078,nzd0518-0079,nzd0518-0080,nzd0518-0081,nzd0518-0082,nzd0518-0083,nzd0518-0084,nzd0518-0085,nzd0518-0086,nzd0518-0087,nzd0518-0088,nzd0518-0089,nzd0518-0090,nzd0518-0091,nzd0518-0092,nzd0518-0093,nzd0518-0094,nzd0518-0095,nzd0518-0096,nzd0518-0097,nzd0518-0098,nzd0518-0099,nzd0518-0100,nzd0518-0101,nzd0518-0102,nzd0518-0103,nzd0518-0104,nzd0518-0105,nzd0518-0106,nzd0518-0107,nzd0518-0108,nzd0518-0109,nzd0518-0110,nzd0518-0111,nzd0518-0112,nzd0518-0113,nzd0518-0114,nzd0518-0115,nzd0518-0116,nzd0518-0117,nzd0518-0118,nzd0518-0119,nzd0518-0120,nzd0518-0121,nzd0518-0122,nzd0518-0123,nzd0518-0124,nzd0518-0125,nzd0518-0126,nzd0518-0127,nzd0518-0128,nzd0518-0129,nzd0518-0130,nzd0518-0131,nzd0518-0132,nzd0518-0133,nzd0518-0134,nzd0518-0135,nzd0518-0136,nzd0518-0137,nzd0518-0138,nzd0518-0139,nzd0518-0140,nzd0518-0141,nzd0518-0142,nzd0518-0143,nzd0518-0144,nzd0518-0145,nzd0518-0146,nzd0518-0147,nzd0518-0148,nzd0518-0149,nzd0518-0150,nzd0518-0151,nzd0518-0152,nzd0518-0153,nzd0518-0154,nzd0518-0155,nzd0518-0156,nzd0518-0157,nzd0518-0158,nzd0518-0159,nzd0518-0160,nzd0518-0161,nzd0518-0162,nzd0518-0163,nzd0518-0164,nzd0518-0165,nzd0518-0166,nzd0518-0167,nzd0518-0168,nzd0518-0169,nzd0518-0170,nzd0518-0171,nzd0518-0172,nzd0518-0173,nzd0518-0174,nzd0518-0175,nzd0518-0176,nzd0518-0177,nzd0518-0178,nzd0518-0179,nzd0518-0180,nzd0518-0181,nzd0518-0182,nzd0518-0183,nzd0518-0184,satname
1999-09-16 22:25:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.12,372.71,402.52,L7
1999-12-30 22:19:45+00:00,357.07,352.01,352.53,352.35,360.12,357.54,354.99,351.76,352.38,,355.92,352.52,359.25,373.43,368.70,388.41,,,368.95,,,386.81,381.21,383.21,383.56,395.07,401.62,409.37,403.75,404.01,,,385.64,387.13,,,382.92,383.00,381.81,376.50,373.74,370.64,368.01,371.39,371.63,370.56,370.07,,367.85,362.04,362.99,356.29,353.09,347.43,346.11,343.19,343.97,344.27,345.82,343.11,342.48,338.69,345.76,348.36,345.94,343.79,342.82,342.26,344.49,349.09,347.28,348.16,348.31,352.41,347.28,342.34,345.57,352.02,352.76,356.46,357.66,371.33,369.85,367.87,365.22,366.89,360.07,362.70,361.06,358.95,,,,,,,,,,,,349.52,354.18,371.56,379.42,382.70,384.50,383.10,,,,,,,,,,,,,,384.29,389.30,,,,,,,,,388.19,,372.75,,,,,,,,,,,,,,361.61,371.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.61,361.05,395.40,L7
2000-04-20 22:19:15+00:00,348.12,349.34,354.97,349.78,353.43,351.58,354.04,354.61,354.91,,,,,,,,,,,,,,,,,380.84,386.17,389.73,395.10,391.98,,,389.28,387.51,,,371.33,371.55,372.85,372.03,370.26,,366.11,364.92,371.34,369.02,366.72,,364.15,363.36,358.93,350.41,349.14,347.80,347.03,345.96,345.29,345.36,341.90,338.72,344.41,345.04,339.99,340.91,342.21,342.96,343.50,342.46,342.41,346.58,345.73,349.41,349.17,345.88,340.77,343.94,344.74,349.36,347.93,346.08,353.33,362.55,365.37,364.92,360.10,363.89,361.98,357.11,350.67,333.14,300.03,306.36,300.27,301.76,294.85,292.01,277.00,287.30,280.69,,,351.33,361.19,369.83,,379.07,385.97,378.65,,,,,,,,,,,,,,390.43,388.94,,285.48,280.16,,,283.18,279.25,,377.59,,360.40,261.85,254.66,249.50,241.04,238.70,232.90,240.41,250.26,249.64,253.59,252.95,254.92,270.12,342.58,349.90,291.87,300.55,290.48,287.53,295.93,281.21,,297.76,290.02,287.39,284.79,295.33,287.74,283.13,281.46,282.31,282.26,278.94,295.94,290.32,282.72,297.41,271.19,274.46,270.07,,267.90,247.74,244.87,,,,230.47,251.53,252.31,371.80,L7
2000-05-22 22:18:57+00:00,328.30,333.14,336.33,339.41,334.42,339.62,340.35,,,,,,,,,,,,,,,,352.93,358.11,361.18,364.82,,,,,,268.48,,,,245.49,,335.70,,,352.89,,,,354.91,345.66,343.17,238.03,344.04,344.57,342.98,329.90,327.54,316.87,321.64,316.25,318.93,322.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.46,288.33,278.18,282.64,279.57,277.56,269.14,261.96,263.37,256.79,257.03,278.04,333.36,305.60,349.58,,362.54,362.20,,249.96,250.09,257.35,258.57,267.22,258.54,258.62,264.32,262.78,273.13,281.18,278.53,268.95,,,255.19,255.77,243.71,244.79,,251.13,247.87,222.11,,,,231.48,230.19,225.12,201.09,208.37,208.93,208.41,226.59,224.98,239.87,225.75,233.10,251.70,,,274.15,277.54,273.02,270.75,280.94,257.66,242.46,270.22,272.79,259.60,262.32,265.61,264.60,260.80,265.00,258.35,265.53,253.22,272.79,270.74,250.80,277.45,249.54,255.85,242.62,209.13,235.70,229.15,218.62,220.67,210.29,210.54,198.24,218.92,231.32,,L7
2000-06-07 22:18:48+00:00,,,,,,,,,,,,,,,,,,,,,,,364.85,361.14,366.68,370.90,,,,,,261.80,,,,244.35,,334.15,,,369.39,,,,344.48,,,241.33,,,,,,,,,350.04,318.28,,,,,330.94,340.20,340.01,331.61,341.34,337.68,338.96,334.29,349.48,350.32,346.43,,,,,335.83,,,,,361.38,373.92,,,,,,,288.21,279.25,279.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.17,230.13,249.62,,,281.46,292.18,291.17,304.55,299.38,271.84,254.02,282.51,271.96,257.20,276.69,270.63,273.92,268.68,267.82,258.57,272.24,268.52,269.76,270.71,262.83,288.85,,263.73,246.25,235.73,239.50,240.29,221.76,220.18,201.48,200.35,205.02,229.04,227.81,,L7
2000-06-30 22:24:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.61,286.35,274.06,299.96,274.71,282.27,275.51,263.22,276.48,258.19,254.17,255.25,249.31,264.12,245.85,,283.21,,L7
2000-08-01 22:24:18+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.85,,219.87,234.54,234.91,242.12,251.81,248.32,246.23,266.65,,,288.52,299.87,276.91,286.32,291.76,271.00,257.21,283.14,277.38,271.82,277.42,278.70,281.56,272.53,271.75,270.73,281.29,269.02,290.66,286.85,267.35,285.94,264.68,271.29,262.11,239.87,263.45,239.18,240.16,232.50,228.60,231.13,222.42,240.96,258.53,,L7
2000-08-10 22:18:02+00:00,343.18,342.11,344.25,346.11,350.38,345.87,345.21,349.05,358.45,355.25,354.13,364.42,358.20,356.82,370.00,358.65,,,347.05,,,388.67,387.96,382.49,373.64,377.52,376.55,382.68,381.03,378.32,,,,,,,365.40,368.19,363.42,355.47,360.12,,358.15,356.68,353.99,355.09,355.99,,352.92,348.54,350.92,344.66,342.86,335.44,339.65,330.11,320.04,320.65,333.07,333.42,330.63,329.55,330.62,330.63,329.79,326.11,323.76,322.18,320.83,325.64,318.88,323.11,311.13,319.98,317.90,,,305.99,,314.22,,326.16,,329.71,336.87,,,,,301.63,309.34,310.46,309.42,303.12,299.65,293.39,296.14,292.96,292.07,291.85,302.41,312.34,343.50,358.39,,355.62,358.33,351.13,283.84,282.49,290.24,285.56,289.12,284.78,285.48,284.69,292.27,298.92,296.43,295.81,289.17,,,282.91,279.96,270.20,263.29,,277.10,269.47,257.91,,,,257.78,245.28,238.10,240.99,226.35,240.82,223.51,256.83,245.56,243.81,250.85,276.46,279.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-02 22:23:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.46,296.54,299.03,287.17,293.04,291.43,299.34,296.17,304.75,299.05,290.02,304.74,277.12,287.20,278.71,263.47,269.50,255.25,243.59,244.86,,,,,,,L7
2000-09-27 22:17:24+00:00,343.56,343.17,341.56,343.33,348.84,344.49,348.42,346.89,352.20,354.18,357.77,364.10,366.76,359.20,366.03,352.27,195.95,209.81,,282.01,,366.67,396.24,403.24,389.15,388.83,396.62,395.57,395.82,391.83,389.29,383.64,378.99,375.85,372.30,371.15,373.73,372.85,369.71,366.48,362.87,361.27,364.16,365.52,365.90,367.82,364.95,367.85,364.92,363.78,360.69,357.57,354.93,348.72,348.50,336.71,330.50,330.63,342.87,343.09,349.27,339.38,344.16,347.02,347.07,342.86,343.62,345.51,341.03,,,345.29,338.75,341.86,344.90,348.00,343.15,368.03,359.16,362.24,364.32,372.94,365.16,354.07,360.37,366.20,358.01,352.07,351.17,330.95,319.57,321.69,316.95,318.80,,,299.01,304.11,301.95,319.77,335.78,331.17,345.92,372.62,375.03,374.35,373.37,380.82,363.85,355.11,365.38,373.94,369.59,373.33,371.09,372.61,377.82,,,,,374.96,379.72,,,,,374.76,,,,373.91,369.51,368.67,,,,,,,,,,,,,,374.14,366.49,,,,,,,301.11,312.65,306.45,307.04,309.09,309.75,308.51,301.87,303.38,303.93,311.09,305.65,316.51,307.36,296.99,310.22,283.61,284.34,289.71,282.80,,,,,,,,,,,L7
