dates,satname,nzd0160-0000,nzd0160-0001,nzd0160-0002,nzd0160-0003,nzd0160-0004,nzd0160-0005,nzd0160-0006,nzd0160-0007
1999-07-18 21:58:49+00:00,L7,,,,,,,,
1999-10-22 21:58:52+00:00,L7,385.06,387.92,391.76,395.30,380.74,389.88,378.42,382.58
1999-12-09 21:58:57+00:00,L7,385.38,390.41,382.01,381.36,383.11,372.59,384.37,367.09
2000-02-27 21:58:16+00:00,L7,383.37,381.90,389.94,379.95,374.76,382.16,373.96,380.88
2000-03-14 21:58:35+00:00,L7,383.99,389.57,394.52,387.36,385.92,381.98,389.23,383.12
2000-03-30 21:58:33+00:00,L7,392.16,391.46,397.09,394.48,392.29,383.94,387.27,383.08
2000-05-01 21:57:54+00:00,L7,394.36,394.24,394.02,395.46,393.03,393.28,390.18,385.34
2000-08-05 21:57:08+00:00,L7,394.16,393.84,399.20,379.88,376.24,374.47,366.30,362.36
2000-09-06 21:56:46+00:00,L7,370.49,374.79,374.13,374.63,365.16,363.92,,
2001-01-12 21:56:30+00:00,L7,,,,,,,367.46,368.82
2001-06-05 21:55:40+00:00,L7,390.98,391.88,398.81,396.20,391.59,382.64,388.34,375.17
2001-06-21 21:55:05+00:00,L7,390.28,395.88,401.99,398.95,392.31,393.81,389.71,383.80
2001-09-09 21:54:36+00:00,L7,395.91,393.52,400.24,397.86,394.07,391.81,391.01,384.52
2001-09-25 21:54:28+00:00,L7,389.99,388.36,396.98,386.07,380.12,382.18,370.21,373.73
2001-10-11 21:54:09+00:00,L7,385.38,388.07,396.68,387.40,377.39,384.67,372.25,379.42
2002-02-16 21:54:54+00:00,L7,382.48,378.93,396.90,380.92,380.52,383.22,381.00,385.03
2002-03-20 21:54:48+00:00,L7,,,,,,,366.42,
2002-04-05 21:54:49+00:00,L7,383.80,,,511.28,,,535.75,507.60
2002-08-27 21:53:36+00:00,L7,382.87,388.88,395.60,381.58,387.71,372.57,384.83,374.61
2002-10-14 21:53:43+00:00,L7,368.32,383.88,384.23,384.76,385.28,382.15,391.56,389.76
2002-10-30 21:53:49+00:00,L7,379.27,370.28,391.74,382.23,390.72,391.43,391.49,393.96
2002-12-01 21:54:16+00:00,L7,389.35,387.40,393.61,394.69,393.60,392.99,396.48,392.10
2003-01-02 21:54:22+00:00,L7,367.00,365.17,375.39,374.69,372.88,373.03,380.97,377.79
2003-01-18 21:54:06+00:00,L7,387.03,389.85,379.61,392.91,380.10,391.44,390.16,384.79
2003-04-24 21:54:46+00:00,L7,387.13,391.38,394.99,395.29,384.80,372.75,,
2003-05-10 21:54:46+00:00,L7,395.63,392.88,398.92,395.38,392.18,386.69,384.27,381.61
2003-05-26 21:54:43+00:00,L7,397.05,396.68,399.99,395.62,386.28,391.49,387.66,382.34
2003-07-21 21:42:33+00:00,L5,386.07,391.48,393.52,394.59,387.64,389.67,393.19,389.44
2003-08-06 21:42:51+00:00,L5,401.01,397.11,403.53,401.00,394.98,396.51,392.64,383.04
2003-08-30 21:53:59+00:00,L7,386.42,388.76,389.28,389.77,376.25,376.43,378.35,368.74
2003-09-07 21:43:24+00:00,L5,388.81,388.53,397.73,390.03,386.99,383.07,383.63,387.52
2003-09-23 21:43:39+00:00,L5,393.64,400.29,402.71,398.15,394.12,393.51,393.39,389.01
2003-10-17 21:54:15+00:00,L7,385.17,389.42,397.50,388.96,392.48,392.59,392.34,387.87
2003-10-25 21:44:04+00:00,L5,385.53,384.39,389.97,392.38,383.31,392.03,389.35,386.17
2003-11-02 21:54:02+00:00,L7,362.07,364.36,374.23,373.36,372.95,369.47,373.59,372.08
2003-11-18 21:54:39+00:00,L7,379.39,375.67,381.93,389.49,379.69,389.90,383.25,385.86
2003-12-04 21:54:19+00:00,L7,,,,396.59,393.32,394.19,394.01,391.29
2004-01-05 21:54:57+00:00,L7,381.11,389.25,399.89,398.33,394.83,396.34,400.29,396.86
2004-01-21 21:55:02+00:00,L7,,359.14,367.55,368.42,365.73,364.58,369.03,361.09
2004-02-06 21:54:44+00:00,L7,380.92,383.38,388.83,385.84,386.18,388.67,391.13,386.17
2004-02-14 21:44:33+00:00,L5,386.25,382.14,392.63,385.76,382.51,380.19,384.04,385.52
2004-03-01 21:45:02+00:00,L5,382.11,382.19,392.51,386.19,386.34,386.32,389.71,387.98
2004-03-25 21:55:18+00:00,L7,,,,371.26,371.37,370.71,374.84,363.64
2004-04-02 21:44:54+00:00,L5,390.51,387.31,397.58,393.29,396.19,401.52,397.04,394.38
2004-04-18 21:45:25+00:00,L5,375.16,372.29,384.41,381.12,385.82,384.14,389.35,385.56
2004-05-04 21:46:16+00:00,L5,390.02,391.86,393.51,397.20,389.62,392.49,389.76,386.85
2004-05-20 21:46:20+00:00,L5,379.71,385.64,388.04,379.90,388.35,383.33,384.98,381.39
2004-05-28 21:54:47+00:00,L7,,,,380.95,387.49,389.02,386.75,374.61
2004-06-05 21:47:12+00:00,L5,,,,372.00,373.94,378.20,373.13,368.33
2004-07-23 21:48:09+00:00,L5,391.26,392.02,402.98,398.56,393.12,397.05,395.97,390.74
2004-08-16 21:54:26+00:00,L7,370.43,366.11,372.82,375.19,368.79,376.32,373.10,378.94
2004-09-25 21:49:43+00:00,L5,387.19,388.65,393.75,395.18,393.27,394.66,399.42,395.57
2004-11-04 21:54:55+00:00,L7,374.31,380.61,378.25,388.40,382.75,389.73,391.51,386.71
2005-01-15 21:52:09+00:00,L5,377.96,373.13,374.18,382.30,376.11,384.11,380.34,383.98
2005-02-08 21:55:11+00:00,L7,365.23,363.64,372.76,368.92,367.52,369.14,372.82,363.73
2005-02-24 21:55:17+00:00,L7,380.75,369.25,381.62,375.22,372.50,,,
2005-04-21 21:52:46+00:00,L5,398.51,394.53,401.85,396.15,394.55,394.51,394.32,387.86
2005-04-29 21:55:12+00:00,L7,,,,,393.08,381.23,390.65,384.48
2005-05-23 21:53:24+00:00,L5,398.58,394.35,398.77,390.49,391.55,389.02,390.63,383.18
2005-05-31 21:55:11+00:00,L7,,,,,,,,
2005-06-08 21:53:09+00:00,L5,392.55,396.13,401.37,399.14,391.98,397.57,397.59,394.75
2005-07-26 21:53:54+00:00,L5,384.84,388.58,391.69,378.86,373.96,373.92,382.48,370.90
2005-08-03 21:55:25+00:00,L7,395.94,414.74,411.09,,,,,
