,dates,chi0378-0000,chi0378-0001,chi0378-0002,chi0378-0003,chi0378-0004,chi0378-0005,chi0378-0006,chi0378-0007,chi0378-0008,chi0378-0009,chi0378-0010,chi0378-0011,chi0378-0012,chi0378-0013,chi0378-0014,chi0378-0015,chi0378-0016,chi0378-0017,chi0378-0018,chi0378-0019,chi0378-0020,chi0378-0021,chi0378-0022,chi0378-0023,chi0378-0024,chi0378-0025,chi0378-0026,chi0378-0027,chi0378-0028,chi0378-0029,chi0378-0030,chi0378-0031,chi0378-0032,chi0378-0033,chi0378-0034,chi0378-0035,chi0378-0036,chi0378-0037,chi0378-0038,chi0378-0039,chi0378-0040,chi0378-0041,chi0378-0042,chi0378-0043,chi0378-0044,chi0378-0045,chi0378-0046,chi0378-0047,chi0378-0048,chi0378-0049,chi0378-0050,chi0378-0051,chi0378-0052,chi0378-0053,chi0378-0054,chi0378-0055,chi0378-0056,chi0378-0057,chi0378-0058,chi0378-0059,chi0378-0060,chi0378-0061,chi0378-0062,chi0378-0063,chi0378-0064,chi0378-0065,chi0378-0066,chi0378-0067,chi0378-0068,chi0378-0069,chi0378-0070,chi0378-0071,chi0378-0072,chi0378-0073,chi0378-0074,chi0378-0075,chi0378-0076,chi0378-0077,chi0378-0078,chi0378-0079,chi0378-0080,chi0378-0081,chi0378-0082,chi0378-0083,chi0378-0084,chi0378-0085,chi0378-0086,chi0378-0087,chi0378-0088,chi0378-0089,chi0378-0090,chi0378-0091,chi0378-0092,chi0378-0093,chi0378-0094,chi0378-0095,chi0378-0096,chi0378-0097,chi0378-0098,chi0378-0099,chi0378-0100,chi0378-0101,chi0378-0102,chi0378-0103,chi0378-0104,chi0378-0105,chi0378-0106,chi0378-0107,chi0378-0108,chi0378-0109,chi0378-0110,chi0378-0111,chi0378-0112
0,1986-02-04 14:07:35+00:00,167.217971804531,168.67051270782392,178.02143865830487,191.2882798503744,196.0919494558597,183.8302374697164,159.25529898883042,167.76151731817774,182.13717774989738,199.12711251158,207.0382897194728,201.23117100930335,208.52257993277328,187.42455652768766,179.5913969914639,174.9734626899196,136.26476848078448,96.76089932827634,105.85675121770814,139.28830655565312,149.90557699063663,169.9939168119163,169.353374926291,176.0805749816759,,,,,260.63575613186373,257.2359462105198,255.96947576318513,252.5394297002586,254.05077450566645,249.79529540591068,258.97048771102726,249.9883176057593,251.10796907350775,262.4123551112138,289.5182469966242,266.5120578123528,254.14315721275523,261.29301925965933,249.31910928274579,239.49757835863772,250.6797247580586,260.0489082579565,240.38754514132063,234.35363032097754,252.3538271599713,251.8366022767119,246.01583818757285,242.38297068719106,196.7243574573997,207.98290101314723,,217.1655347260607,,238.95237175503794,264.7183381569618,,215.35776810352422,219.6745243136493,235.20758758639613,241.2621516655651,243.25265635191099,242.14500616965046,248.98160664413666,239.87679449686414,219.80838004091154,,202.16388399501608,213.75912340493048,248.52177684806782,278.6478637480924,279.95858615825796,252.02466958892748,228.28716927778007,,222.74554031223258,222.36174983797565,215.3324110117905,210.00737184272933,213.73577067896989,221.17395224573644,224.36964497324524,231.29807882892578,250.6592773885393,,,269.35169417015373,247.88606380309125,267.8682145428342,297.89188002709733,241.2539086544025,214.0974076478627,226.36020080936012,233.42294928320027,263.03004405453606,245.4567096977856,205.20798435844856,201.2884510959813,210.85299143694104,231.72989560562866,246.0224999767498,248.80609091733214,245.55096282330513,252.05599648075352,253.04682048319046,239.97588542430597,216.3043240870067,219.6804644505471,,212.87610895190363
1,1986-08-15 14:02:17+00:00,164.38458288189796,165.00818799686337,179.5358363164923,187.30439470524425,194.8423467120753,184.1904281933472,171.62710495755698,178.51508499889584,189.8154906059121,201.94971428146076,199.66211410667344,198.64286067866962,199.7870931178166,181.2232470202548,159.8578769753235,153.79955723260966,109.0622364194544,80.19000251740127,91.78560165954117,110.27615564807262,136.66183698234138,149.88808745740315,151.1078039897762,146.25962531500912,,,,,247.55025912136392,236.43224622067902,251.29361520807154,246.91777715852263,246.8024818056884,240.39990208637036,246.88186431659997,236.76318891325118,227.74976975899438,239.62383917884745,263.3521061803677,242.874467179328,233.64437412630005,252.52731696222105,240.2667217278085,223.56606483354383,232.21281448393538,246.8585256783247,228.12844711037698,213.8183505133015,228.90068866526767,239.39898740952884,238.40563286739504,234.82272675539775,185.62306951832986,181.53191328957868,195.43357856779625,186.35815236902212,177.98902738675744,214.39591440069194,248.2596209928795,158.44381022417883,182.9358725225817,218.19834165646952,228.22324834899882,235.17777139855176,227.65112979412737,228.78440708045065,234.52577207595056,234.47780225486872,236.05105983999084,107.30389794556748,176.90000469827328,,,275.6436152194116,245.2435946744901,229.3863018681044,204.10757183757335,204.60461349404534,202.7609298845543,199.43864415438696,196.07495249914888,197.50465180017545,205.5450658002959,213.1994106963844,230.0825276311303,220.7508204505157,225.8609649893421,172.1527276994545,240.3121909647319,237.25004479520882,235.47184374558313,238.91291695200186,313.95670240205135,278.3382360530239,188.09847304032135,226.01622754839926,235.09211480806746,258.1867109233891,,203.11376739324615,192.56605320081974,194.06115018911163,202.86438888372967,227.24135708487643,239.07506786794096,223.91202416360377,233.54515535534728,250.09253705385484,226.16699158967643,187.9752402490891,204.2623849735737,167.02031477653716,202.9949835075617
2,1986-11-03 13:59:34+00:00,163.23958839107743,171.15323384220113,184.73921282977705,191.80732143647273,192.19035067951688,188.05901942835308,169.119712569328,181.0017567512532,182.60687911243247,193.60520363515698,195.81822816583417,206.77156162682198,214.45489465053018,204.3390422637102,164.77625747624992,172.24913377793754,142.00843405696196,114.79229777954696,111.57005496806339,121.60157155169843,138.98502013551823,157.13480179205655,138.5123668715841,141.25378933571682,,,173.2047467208309,184.9363758138885,238.47884215348085,236.46476949894827,256.90104297035657,248.47318292568903,248.46681646799865,241.36418305826447,238.8796131483628,242.35057465128114,230.68108926256716,240.70217148172648,261.6590852532612,245.1460559625832,246.91031801025602,247.91328920039717,246.21637085784144,235.10821640631943,239.0831172404177,250.5607855076198,228.14254409002868,223.20622993170807,222.28938414876092,241.57007681511757,239.79840414990682,235.95282750513817,193.44828406764566,188.36476478453187,197.4777207293231,193.60356112651786,178.75392028314653,213.38529344135503,239.27921689603,150.59348135785697,171.91513101323508,206.1022604692339,221.45230575465033,220.0317312209331,217.49517171399336,205.3768888318326,206.49260254327487,213.34398162262323,219.7490457915365,107.10099757613452,229.80016356481508,,,284.1592967604156,268.1563467590032,259.99284420640424,234.2056865710702,237.1388214524641,234.0011889321966,214.2740024082467,202.277940611095,192.42353710240351,207.93180008216623,223.7737293710861,218.516802358037,224.96750629891255,234.15698797771506,210.13442485075902,245.3755785275596,236.80506474549506,240.24332533579542,223.74474817988843,317.93018486559964,258.62682357634145,204.42385463171286,227.97476912586689,224.50716491132562,256.9726510686368,250.80718284329842,211.53076453196323,200.44385307364686,204.91653095709486,207.43155122837314,228.58370673954295,229.7531098893277,228.59583694729005,240.22245834544225,253.17728185616633,236.71774524230509,195.5063802797484,205.7737326469637,174.78059401548686,197.97325342697266
3,1986-12-14 13:53:13+00:00,,,,,,,,,,,,,,,209.2764254472075,180.8051893225227,155.98962242972516,139.9796828562956,145.01102873177672,166.7263958300332,182.96013885980977,175.8544414574768,188.11131255318003,187.18316715252638,191.09030037020807,193.52824673694698,204.62418989909136,221.26716373286433,221.23083835966344,227.89686360316006,249.2945613271973,244.4153020198158,253.01652806911656,256.665970774642,262.59598318449974,251.81267968091828,243.07421380310285,265.5350418975141,258.1511090370967,257.7611220911244,247.09034473512645,258.35465144439473,254.97796376051278,237.4576018258422,246.55327925349462,260.4865033477324,242.56771020132763,236.060013387588,248.14943706842715,246.55133869370334,243.11233046614674,248.0827567790253,192.50928981017833,202.0232378431243,224.3257529148021,210.96482931656342,202.93338362800387,224.0387868236564,246.86212742468436,177.83092256710037,175.77348889596587,209.68210444051505,227.09225985253198,219.4661216853736,211.3030149700836,200.03855318806612,205.93770393266104,218.50484578608751,230.6612654963618,,238.06341641833228,238.3005041476222,262.43371187241115,280.7115137673879,285.0734487970439,269.7502508531035,245.67035682089912,242.37172467120394,242.37805910538202,238.77266759560138,238.90457215945383,229.7688700390473,240.3942305821557,242.0287564367286,243.8849427554082,233.59360811952064,238.75932977490643,259.7388263910458,,256.35966473895655,252.51423295611647,253.34421253262295,302.4818432755623,232.81374482576769,204.2780492825574,216.91702667833675,224.6714685479911,250.127024801187,243.42131445897843,200.31596992194093,194.72739944129438,209.02051294959998,226.32382237554498,234.0933127467256,245.73409566571783,239.11668849625673,234.68978870340368,251.7217825109081,228.66064504026195,202.32370931908508,216.22655884643487,194.7368306434944,208.42969736968678
4,1986-12-21 13:59:37+00:00,151.50606603165684,158.98421761152426,177.23765377438926,185.39502704723293,186.66168154547367,179.26479332403363,163.66288676491948,164.42525977634224,173.95029135864425,192.61583384222368,191.91290714460487,207.59453153035196,212.22273852558888,191.62155868810294,192.42973464199056,164.25880041160957,123.16470211440156,82.77309939791856,129.20170628767065,142.1100375688197,147.51948141718358,163.65267954724737,164.6073681895024,165.0873148638996,178.07627731288875,186.65209593196653,203.4508982096496,202.5408140990825,228.52191588310578,231.11610569652106,244.90443960637907,240.9061313894886,241.03719227750375,245.171473819497,240.10434285300667,251.8946984455853,246.4934403890542,253.62537528262047,276.38609437940596,258.43438561338843,251.02657561703668,247.7433504407554,244.81594893956697,238.31952459358064,245.58131136574488,262.6581625989833,244.32890884793034,239.47169040386072,240.99431350338205,245.81648329981223,248.10404301595,237.8703812361414,183.16112873820245,197.0621858737944,207.26678496189905,194.2725504590453,192.50641009108676,212.4872332579213,240.6311164606234,157.39496089141136,155.38505360147153,195.31658463479815,212.6388559688988,219.73594023678072,203.13691123297983,193.9352064057974,194.32030531122047,205.61473746930986,204.99610221225106,111.88881529155564,207.08035193782598,209.73841237681046,241.93284180302547,269.3439452753338,272.67121606961024,247.84771864610363,230.2308873103193,228.70646538463183,227.23259554264635,218.34737983721013,212.8588150912272,212.75653137287443,229.38452151777685,239.3422315891566,247.29415874287167,245.862280153654,266.2702134907528,277.8535401135901,253.79434722106473,256.0426162384873,243.72627878768353,,305.3245682741452,209.83359430574038,202.35409289924766,204.641023583109,230.4526174308232,246.2125338079484,224.67663366733126,200.15165946904196,193.39309665759345,210.20297496575023,220.89436365207055,225.177293623565,234.46904293831292,242.13915439879975,231.2577851209936,249.84003020434793,231.30399900516764,199.71985993698,210.2077868671121,194.2973711878254,202.43090058705965
5,1986-12-30 13:53:43+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.37691429946406,127.39689235705956,222.28423372440756,223.62255854795458,253.57877166878467,281.77994146884856,282.19476067386853,267.9914149016099,252.48891773088224,249.02516003713953,249.43912952162506,237.83831670411558,236.8209228526468,231.59426579235327,229.248340782919,231.4863712218351,239.37242865064707,243.59249093805343,260.78951744077006,280.2555467081853,285.88470260347907,265.974177209009,267.03658976212415,254.77589109458472,296.20933341017167,264.4319139164112,201.3229908052247,218.39032703601325,235.28346074541636,266.4051254666546,247.11184915468905,212.404499120126,207.54947578506523,218.7962895601275,228.10420153278034,240.3342412756778,244.1858376738286,243.88284581260112,239.78035541931382,261.1739582344277,242.29225042511652,215.72114388745288,221.29018181305238,205.73499480932594,208.01719280584086
6,1987-01-06 14:00:06+00:00,139.72474668884112,155.23409830204432,163.44964681817228,177.15716090296112,179.7287158562754,171.6228188939554,161.50099894107288,161.280325057293,176.62539980907098,192.87661147223452,193.56469776136166,197.37256626157725,199.8429661203971,177.33672913443837,184.8819136737761,165.1060666613728,,,109.3147680319588,146.84225691457772,130.20751847955762,156.39103524830142,137.15533728079401,145.11502322220812,156.8151500843901,169.54585267567168,176.94326675874757,219.86857621003352,225.04823299929186,225.04380374680153,236.24203500036305,232.89965541106267,235.4484600359617,235.768514397572,244.65970328739138,241.06900778748698,232.69030975406494,245.0326794618226,258.94643273978727,253.02409125946855,245.79317590796657,250.77734962514694,245.37699814546272,233.01147202790406,246.33211832464752,258.8109985857338,235.16703447020151,224.11030220709918,236.1117544741737,238.04205879194006,242.38077425623788,230.11231846632586,183.76730438840883,195.13298950895066,207.404372216039,202.53496785617372,196.1734696756284,218.2231222108301,241.35979332418253,167.00638839353485,153.40732706698327,193.25525177510463,217.86750223499365,216.75149373846972,203.66987417713165,193.70563044463356,180.3544066703344,195.75758164774794,196.88924374080446,115.36415661567774,187.76177160450948,202.94001869777887,240.55835746783828,266.41793493063824,250.90029753399614,242.6553880744412,233.47792990200807,224.822777122482,228.00588279912412,205.83978843250338,205.41208652997724,210.59444189594575,213.8014166648747,235.54231356610123,242.14726048512048,248.27631168117878,255.56460225962965,275.33642751480687,246.09072725484097,246.3312074793762,232.14393990506156,222.3382429046901,298.0591391569831,198.88795122044783,194.78297922777833,,224.00918933598757,246.73011987977014,226.86909624785991,197.14060782414924,193.42584453738587,193.7927467703908,207.34860071568392,226.03124011318457,228.76722549845167,228.46022425932725,221.48521981643208,240.93349895793187,225.66783165723456,199.53919229057132,206.83792582574426,186.82012566478645,198.82199313334218
7,1987-02-07 14:01:09+00:00,150.11496093821435,167.83243126960613,178.31619245989017,185.91179118865412,183.83075122983223,177.34442825924208,166.97970135307713,173.1575405982273,183.96511826186557,210.34163727259337,200.81975520060809,205.52045533186288,207.01194248318356,196.6944340212283,185.21576012745368,165.39887115933246,137.1058455625721,112.0121678358469,142.31495880524423,176.57680185322462,175.86861905456112,,203.6751785564912,210.4509231988108,,,,,,,264.08198770092974,263.43553882954654,256.8546000842178,257.1722577491199,250.06013705150067,246.62197270285947,245.01373223915718,268.61509119620047,277.1323600009918,260.68363173633907,254.92526588448624,266.3840520987767,255.40406241423642,243.78869214997144,253.6417508327319,262.6807866682235,248.81596905345933,239.0695293786126,254.4486240504181,254.64140052290333,247.39627147628917,,193.6970574958791,205.46908741598705,223.60775454574826,210.88743832240888,214.54726108905507,232.55965853092735,257.1762270444434,188.97952014844458,,208.55265308586505,225.21171979831345,225.3398102992989,217.90629939684803,193.54344317065608,189.90196492310048,205.68444652668015,203.7452707224314,122.28149853688438,201.48197221516884,213.5367757877438,251.77357240546317,273.83575786340174,276.77284595493984,262.7248241569961,240.17946762470183,245.46162179666044,248.90735526672765,246.85644611759864,,249.6440395861904,254.77698842260136,271.7881821178174,272.3487356783639,273.51518750077827,271.7592444022151,296.2946421897427,,275.329424105275,276.1320788960187,,306.24941053572275,246.64586179810956,212.45519817876604,233.20232762297925,234.6838437897736,263.9120891139182,254.51651267190056,219.94408455081995,217.69415212111002,226.8159434154347,242.55435545546086,251.64852255411455,252.53392740631705,250.98706892890277,252.8944805634157,262.294297303671,245.16379363872332,219.32489595352084,221.1102550465084,214.85145867159932,221.60993605191305
8,1988-08-04 14:10:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.95216548161793,212.11461537637112,192.687492067231,207.09200266061993
9,1989-06-04 14:08:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
