dates,nzd0452-0000,nzd0452-0001,nzd0452-0002,nzd0452-0003,nzd0452-0004,nzd0452-0005,nzd0452-0006,nzd0452-0007,nzd0452-0008,nzd0452-0009,nzd0452-0010,nzd0452-0011,nzd0452-0012,nzd0452-0013,nzd0452-0014,nzd0452-0015,nzd0452-0016,nzd0452-0017,nzd0452-0018,nzd0452-0019,nzd0452-0020,nzd0452-0021,nzd0452-0022,nzd0452-0023,nzd0452-0024,nzd0452-0025,nzd0452-0026,nzd0452-0027,nzd0452-0028,nzd0452-0029,nzd0452-0030,nzd0452-0031,nzd0452-0032,nzd0452-0033,nzd0452-0034,nzd0452-0035,nzd0452-0036,nzd0452-0037,nzd0452-0038,nzd0452-0039,nzd0452-0040,nzd0452-0041,nzd0452-0042,nzd0452-0043,nzd0452-0044,nzd0452-0045,nzd0452-0046,nzd0452-0047,nzd0452-0048,nzd0452-0049,nzd0452-0050,nzd0452-0051,nzd0452-0052,nzd0452-0053,nzd0452-0054,nzd0452-0055,nzd0452-0056,nzd0452-0057,nzd0452-0058,nzd0452-0059,nzd0452-0060,nzd0452-0061,nzd0452-0062,nzd0452-0063,nzd0452-0064,nzd0452-0065,nzd0452-0066,nzd0452-0067,nzd0452-0068,nzd0452-0069,nzd0452-0070,nzd0452-0071,nzd0452-0072,nzd0452-0073,nzd0452-0074,nzd0452-0075,nzd0452-0076,nzd0452-0077,nzd0452-0078,nzd0452-0079,nzd0452-0080,nzd0452-0081,nzd0452-0082,nzd0452-0083,nzd0452-0084,nzd0452-0085,nzd0452-0086,nzd0452-0087,nzd0452-0088,nzd0452-0089,nzd0452-0090,nzd0452-0091,nzd0452-0092,nzd0452-0093,nzd0452-0094,nzd0452-0095,nzd0452-0096,nzd0452-0097,nzd0452-0098,nzd0452-0099,nzd0452-0100,nzd0452-0101,nzd0452-0102,nzd0452-0103,nzd0452-0104,nzd0452-0105,nzd0452-0106,nzd0452-0107,nzd0452-0108,nzd0452-0109,nzd0452-0110,nzd0452-0111,nzd0452-0112,nzd0452-0113,nzd0452-0114,nzd0452-0115,nzd0452-0116,nzd0452-0117,nzd0452-0118,nzd0452-0119,nzd0452-0120,nzd0452-0121,nzd0452-0122,nzd0452-0123,nzd0452-0124,nzd0452-0125,nzd0452-0126,nzd0452-0127,nzd0452-0128,nzd0452-0129,nzd0452-0130,nzd0452-0131,nzd0452-0132,nzd0452-0133,nzd0452-0134,nzd0452-0135,nzd0452-0136,nzd0452-0137,nzd0452-0138,nzd0452-0139,nzd0452-0140,nzd0452-0141,nzd0452-0142,nzd0452-0143,nzd0452-0144,nzd0452-0145,nzd0452-0146,nzd0452-0147,nzd0452-0148,nzd0452-0149,nzd0452-0150,nzd0452-0151,nzd0452-0152,nzd0452-0153,satname
1999-11-12 22:19:27+00:00,154.88,177.15,207.15,237.87,273.68,308.89,342.43,375.52,376.86,384.89,382.87,379.30,383.64,384.88,387.72,398.60,400.08,406.27,394.42,393.84,385.64,385.43,380.92,378.05,379.87,383.34,376.37,380.37,385.87,387.92,394.79,396.61,396.05,396.94,398.23,400.03,402.75,403.68,399.86,398.52,397.91,399.02,393.85,386.88,386.57,383.40,382.77,376.51,376.96,378.90,378.25,373.00,373.03,374.11,374.81,372.99,366.54,366.19,366.07,370.31,372.62,371.04,380.19,382.12,381.74,386.27,391.52,389.42,392.99,393.11,392.35,399.50,392.38,397.73,401.36,396.95,404.14,403.73,398.16,401.00,397.58,392.61,396.01,389.59,388.35,389.35,389.06,388.11,386.87,389.85,389.33,383.62,378.54,376.59,373.18,366.25,369.10,361.12,355.70,351.37,353.65,351.94,346.16,344.63,343.37,345.11,341.68,347.17,347.92,347.57,350.96,352.17,356.23,350.51,344.02,331.54,320.91,294.97,,319.34,337.30,333.65,361.45,361.16,354.80,351.54,355.97,357.68,358.09,372.16,375.25,375.97,375.45,382.43,387.81,391.36,395.60,399.52,395.27,395.45,396.77,397.85,395.75,395.73,392.17,395.03,398.46,395.53,396.95,399.05,404.12,401.42,411.06,421.08,L7
1999-11-28 22:18:56+00:00,148.24,168.14,196.11,232.28,263.50,299.85,334.64,369.22,372.60,378.41,377.46,373.70,377.26,380.67,381.62,393.17,396.14,399.01,390.17,384.09,380.19,380.26,374.37,374.25,375.58,373.79,371.22,374.72,380.89,383.80,387.87,389.89,393.77,394.02,394.78,395.89,394.68,394.40,393.09,393.12,393.99,392.40,386.93,382.50,382.12,376.98,378.07,371.88,372.22,373.16,369.47,366.56,367.30,365.81,363.48,362.71,357.35,358.49,356.65,356.94,360.74,362.90,367.55,370.65,373.92,374.82,378.02,377.24,380.28,380.64,379.04,384.45,382.73,383.89,388.67,389.88,394.39,393.50,389.81,390.05,388.42,385.57,387.55,381.82,379.25,378.50,379.56,378.98,378.13,378.03,378.29,374.80,369.34,366.67,361.66,355.64,357.13,351.57,347.35,344.89,345.47,345.40,340.90,339.78,337.40,339.06,339.13,339.79,339.57,339.49,341.30,342.21,346.23,336.31,330.06,318.64,309.32,283.85,,314.49,335.00,321.41,351.72,351.87,350.39,341.61,345.56,348.46,352.25,363.10,362.13,364.64,362.18,369.45,377.54,377.34,379.06,389.08,386.61,384.20,387.26,388.58,383.74,385.70,381.25,383.85,390.07,390.60,391.28,392.26,397.83,397.50,404.94,418.49,L7
1999-12-14 22:19:31+00:00,148.24,168.14,196.11,232.28,263.50,299.85,334.64,369.22,372.60,380.24,378.86,375.50,379.48,381.19,382.10,394.37,397.95,401.93,390.70,384.06,380.96,381.58,373.30,374.63,376.25,373.05,370.76,374.74,380.67,384.17,386.41,391.36,393.22,394.40,395.43,396.97,396.71,395.20,394.24,392.93,394.18,393.03,385.88,383.86,383.83,380.11,380.02,373.55,373.08,374.00,371.35,367.62,367.85,366.86,365.39,362.50,357.01,357.71,356.67,357.62,360.41,363.58,369.37,371.13,374.07,376.45,377.22,378.16,382.34,381.11,380.82,386.78,384.02,386.65,389.89,391.57,395.45,393.27,391.30,391.63,387.70,385.16,386.83,381.10,379.29,379.59,378.92,378.69,379.46,380.80,379.66,375.84,371.00,368.37,364.20,356.59,357.10,352.22,348.64,345.09,346.18,345.81,343.90,342.79,340.10,341.71,342.47,342.94,340.00,339.99,340.23,340.09,343.58,333.24,328.89,320.43,312.53,300.40,318.56,314.49,335.00,321.41,351.72,351.87,353.13,341.75,344.32,348.16,352.79,365.40,362.94,364.73,362.28,369.23,378.53,379.69,379.74,389.64,388.11,384.95,388.14,389.24,384.74,385.91,380.22,381.57,389.58,390.17,392.28,393.83,398.88,400.44,408.68,424.16,L7
2000-02-16 22:18:52+00:00,148.24,168.14,196.11,236.62,268.95,306.65,342.15,374.06,376.43,383.25,381.72,378.27,384.36,383.93,383.99,394.43,398.38,400.42,392.25,383.43,381.20,380.95,373.80,374.92,376.88,372.88,371.49,375.08,380.29,384.42,385.51,390.20,393.17,394.95,395.33,397.30,395.36,395.13,393.87,392.53,394.18,393.03,385.88,383.86,383.83,380.11,380.02,373.55,373.08,374.00,371.35,367.62,367.85,367.18,364.31,361.89,358.40,358.70,357.48,356.69,360.63,365.05,368.76,371.60,374.58,378.28,378.44,379.75,382.71,382.52,383.78,386.89,385.56,388.26,390.65,393.13,395.37,394.61,392.54,391.10,388.21,385.40,385.86,381.08,379.70,380.32,378.93,378.78,379.88,379.50,379.36,376.93,372.21,368.49,364.25,356.60,356.63,353.22,349.26,345.44,345.55,345.39,344.83,341.84,338.92,339.81,340.40,341.20,338.72,339.44,339.22,338.32,339.16,333.24,328.89,320.43,312.53,300.40,318.56,314.49,335.00,321.41,351.72,351.87,353.13,341.75,344.32,348.16,352.79,365.40,362.94,364.73,362.28,369.23,378.53,379.69,379.74,388.01,386.37,383.99,385.91,385.85,382.60,383.69,380.37,381.53,386.24,386.67,389.52,393.50,400.57,403.55,411.87,424.16,L7
2000-06-07 22:18:24+00:00,150.75,174.84,209.09,247.40,276.86,313.94,358.45,387.15,386.72,390.53,390.70,388.02,395.10,395.24,396.86,405.87,409.57,411.78,403.56,396.20,391.03,390.10,381.28,384.05,385.33,381.24,379.62,383.13,385.55,389.88,390.65,397.59,401.33,403.87,405.21,406.22,401.19,400.41,401.04,401.14,402.81,401.36,394.45,397.30,396.42,395.36,390.15,385.84,386.13,381.98,380.13,377.94,378.19,373.77,370.22,367.46,365.52,364.94,363.32,362.18,367.23,372.99,375.05,378.40,381.75,383.95,382.78,387.17,387.62,389.34,392.75,394.08,393.21,397.11,395.95,397.33,398.26,400.07,399.56,396.11,388.00,385.23,388.91,386.14,386.48,385.63,384.56,384.71,389.17,385.92,387.17,386.36,382.26,370.32,366.83,364.49,361.71,359.52,355.01,352.54,350.43,349.22,351.52,347.70,344.48,344.89,346.18,342.60,337.88,339.38,337.13,334.42,332.09,327.08,326.56,324.00,318.94,333.52,318.56,,,,,,358.60,342.03,341.86,347.57,353.86,370.02,364.57,345.98,345.63,359.68,373.23,381.02,379.71,390.52,389.70,387.13,390.48,391.59,389.51,390.54,386.36,385.90,390.48,391.93,396.01,402.75,410.76,417.97,426.73,442.65,L7
2000-12-16 22:16:35+00:00,100.88,116.11,152.33,189.64,217.30,269.49,303.04,,353.66,359.40,364.61,368.49,367.28,375.64,382.62,395.66,402.63,408.11,398.87,397.68,392.56,387.77,384.97,392.08,383.93,383.87,389.12,385.62,378.32,382.53,382.31,386.20,389.68,390.45,390.79,391.36,387.84,378.48,380.63,383.30,380.80,373.43,374.96,373.07,373.21,362.57,367.24,365.13,361.54,356.21,357.34,356.44,356.69,354.23,351.82,353.06,349.54,343.02,339.75,338.62,342.57,346.03,350.84,355.83,358.97,355.80,359.66,361.44,364.13,366.95,370.34,366.97,368.88,366.86,368.45,372.32,373.87,376.36,372.24,370.58,374.22,379.76,374.38,377.37,380.16,380.38,384.09,384.93,382.64,385.44,384.41,379.52,373.78,365.69,359.20,353.98,348.19,343.80,345.08,341.40,341.21,342.42,336.74,334.76,336.08,332.51,334.94,334.67,332.60,331.22,334.94,331.73,342.72,333.76,340.71,351.88,356.88,357.29,358.55,347.87,348.59,346.99,347.91,334.84,386.33,,362.61,,427.65,370.59,306.87,305.99,299.73,309.09,323.67,324.76,329.74,349.80,355.35,354.18,362.36,365.51,372.99,376.25,374.18,374.11,383.59,392.70,401.36,404.12,408.42,413.85,423.46,420.54,L7
2001-01-01 22:16:33+00:00,99.00,119.67,152.45,189.72,219.47,273.02,307.44,349.38,355.44,358.88,364.02,368.19,369.53,378.07,382.30,395.92,401.79,409.37,402.03,398.84,395.78,391.75,387.64,392.52,384.63,383.84,386.63,381.80,379.12,384.57,382.39,385.42,387.25,388.51,390.64,388.81,384.85,379.56,379.89,381.64,378.71,371.31,372.69,373.91,371.60,361.91,364.93,361.95,360.73,357.13,358.01,355.77,356.07,354.90,353.50,351.97,350.34,344.44,340.60,338.80,343.46,344.81,349.46,356.98,356.04,355.98,359.51,358.63,362.04,364.42,365.60,367.36,365.64,365.21,369.78,368.66,371.00,375.17,370.60,370.09,372.00,374.96,372.50,378.24,378.70,381.29,384.67,382.29,384.54,385.53,386.88,381.62,373.36,368.18,361.44,358.11,351.48,347.78,345.48,342.58,343.54,342.50,340.78,338.02,336.34,336.29,337.69,335.45,334.74,336.85,338.00,335.61,344.38,337.97,343.73,350.81,354.69,355.97,356.90,349.35,349.20,350.62,349.04,343.24,390.26,,362.61,392.27,413.58,370.38,317.54,309.96,300.69,309.30,323.57,322.79,324.75,344.41,348.90,351.35,357.78,363.19,371.69,375.77,372.18,376.13,386.53,394.63,400.40,402.84,409.58,415.15,423.44,423.40,L7
2001-01-17 22:17:03+00:00,96.59,122.66,154.75,190.67,218.75,264.45,308.58,344.99,351.59,356.81,360.39,364.66,368.38,378.53,382.01,395.61,400.88,409.42,400.34,398.65,395.09,391.81,387.06,388.95,383.27,383.17,383.14,379.03,377.45,382.01,380.38,383.40,386.62,387.74,388.80,386.63,382.15,378.74,378.92,378.15,375.84,370.61,369.49,369.66,367.80,361.04,363.24,360.22,358.74,355.75,356.89,354.78,355.15,353.26,350.62,350.14,348.41,342.29,339.17,337.66,340.88,342.76,346.92,353.68,353.74,355.51,357.02,356.47,359.89,362.34,362.38,364.63,363.31,361.83,365.95,365.61,368.99,371.54,367.93,368.40,370.34,372.11,370.31,375.87,377.23,378.11,381.24,379.16,381.26,382.81,382.97,379.24,371.78,364.27,357.99,355.58,347.57,344.70,343.36,339.53,340.60,338.65,336.01,336.31,333.60,334.28,335.39,333.10,332.88,333.19,334.74,332.91,341.40,337.07,342.12,347.72,350.03,351.84,352.82,346.87,344.88,347.35,350.65,347.33,381.50,381.09,352.85,385.45,406.48,376.21,318.99,311.43,302.83,310.08,321.58,317.29,318.24,337.54,342.95,345.72,354.15,359.12,367.42,372.27,370.16,373.33,383.10,389.33,393.58,398.36,403.86,410.11,418.18,419.35,L7
2001-01-26 22:10:54+00:00,96.59,122.66,154.75,190.67,218.75,264.45,308.58,344.99,351.59,356.81,360.39,364.66,368.38,378.53,382.01,395.61,400.88,409.42,400.34,398.65,395.09,391.81,387.06,388.95,383.27,383.17,383.14,379.03,377.45,382.01,380.38,383.40,386.62,387.74,388.80,386.63,382.15,378.74,378.92,378.15,375.84,370.61,369.49,369.66,367.80,361.04,363.24,360.22,358.74,355.75,356.89,354.78,355.15,353.26,350.62,350.14,348.41,342.29,339.17,337.66,340.88,342.76,346.92,353.68,353.74,355.51,357.02,356.47,359.89,362.34,362.38,364.63,363.31,361.83,365.95,365.61,368.99,371.54,367.93,368.40,370.34,372.11,370.31,375.87,377.23,378.11,381.24,379.16,381.26,382.81,382.97,379.24,371.78,364.27,357.99,355.58,347.57,344.70,343.36,339.53,340.60,338.65,336.01,336.31,333.60,334.28,335.39,333.10,332.88,333.19,334.74,332.91,341.40,337.07,342.12,347.72,350.03,351.84,352.82,346.87,344.88,347.35,350.65,347.33,381.50,381.09,352.85,385.45,406.48,376.21,318.99,311.43,302.83,310.08,321.58,317.29,318.24,337.54,342.95,345.72,354.15,359.12,367.42,372.27,370.16,373.33,383.10,389.33,393.58,398.74,403.52,413.82,421.54,424.88,L7
2001-04-07 22:16:37+00:00,99.26,134.03,165.34,197.35,227.87,264.45,314.56,350.57,357.90,360.86,363.25,369.07,372.36,381.58,385.06,397.52,402.89,410.69,401.90,400.91,397.64,393.92,392.21,392.82,387.12,387.57,387.03,381.91,381.20,385.18,385.40,387.22,388.79,390.41,390.45,387.91,384.24,383.15,382.33,382.50,379.95,374.29,374.21,374.07,371.88,364.54,366.12,365.14,363.03,359.80,359.89,358.95,358.79,358.65,354.96,354.38,353.06,347.88,342.54,341.60,345.18,346.63,349.76,356.04,355.85,358.82,360.70,360.21,364.36,366.82,367.00,369.51,368.93,367.38,371.33,370.33,373.87,376.21,372.21,372.65,374.44,376.25,375.07,379.19,381.03,382.60,384.93,383.11,384.51,386.55,388.02,381.94,375.19,368.59,362.00,358.31,351.07,349.98,347.88,345.50,344.95,342.87,341.29,341.26,339.78,339.75,339.10,336.76,337.97,338.85,339.61,338.12,344.83,344.25,345.60,350.53,352.24,353.32,353.73,352.94,352.26,352.58,349.64,347.54,374.00,365.79,352.85,373.77,404.07,383.75,318.99,311.43,302.83,322.14,327.71,317.29,325.05,336.64,341.88,344.79,352.56,358.27,366.38,371.07,373.30,378.01,384.56,389.06,394.12,398.87,403.70,414.81,421.50,425.58,L7
