dates,satname,nzd0452-0000,nzd0452-0001,nzd0452-0002,nzd0452-0003,nzd0452-0004,nzd0452-0005,nzd0452-0006,nzd0452-0007,nzd0452-0008,nzd0452-0009,nzd0452-0010,nzd0452-0011,nzd0452-0012,nzd0452-0013,nzd0452-0014,nzd0452-0015,nzd0452-0016,nzd0452-0017,nzd0452-0018,nzd0452-0019,nzd0452-0020,nzd0452-0021,nzd0452-0022,nzd0452-0023,nzd0452-0024,nzd0452-0025,nzd0452-0026,nzd0452-0027,nzd0452-0028,nzd0452-0029,nzd0452-0030,nzd0452-0031,nzd0452-0032,nzd0452-0033,nzd0452-0034,nzd0452-0035,nzd0452-0036,nzd0452-0037,nzd0452-0038,nzd0452-0039,nzd0452-0040,nzd0452-0041,nzd0452-0042,nzd0452-0043,nzd0452-0044,nzd0452-0045,nzd0452-0046,nzd0452-0047,nzd0452-0048,nzd0452-0049,nzd0452-0050,nzd0452-0051,nzd0452-0052,nzd0452-0053,nzd0452-0054,nzd0452-0055,nzd0452-0056,nzd0452-0057,nzd0452-0058,nzd0452-0059,nzd0452-0060,nzd0452-0061,nzd0452-0062,nzd0452-0063,nzd0452-0064,nzd0452-0065,nzd0452-0066,nzd0452-0067,nzd0452-0068,nzd0452-0069,nzd0452-0070,nzd0452-0071,nzd0452-0072,nzd0452-0073,nzd0452-0074,nzd0452-0075,nzd0452-0076,nzd0452-0077,nzd0452-0078,nzd0452-0079,nzd0452-0080,nzd0452-0081,nzd0452-0082,nzd0452-0083,nzd0452-0084,nzd0452-0085,nzd0452-0086,nzd0452-0087,nzd0452-0088,nzd0452-0089,nzd0452-0090,nzd0452-0091,nzd0452-0092,nzd0452-0093,nzd0452-0094,nzd0452-0095,nzd0452-0096,nzd0452-0097,nzd0452-0098,nzd0452-0099,nzd0452-0100,nzd0452-0101,nzd0452-0102,nzd0452-0103,nzd0452-0104,nzd0452-0105,nzd0452-0106,nzd0452-0107,nzd0452-0108,nzd0452-0109,nzd0452-0110,nzd0452-0111,nzd0452-0112,nzd0452-0113,nzd0452-0114,nzd0452-0115,nzd0452-0116,nzd0452-0117,nzd0452-0118,nzd0452-0119,nzd0452-0120,nzd0452-0121,nzd0452-0122,nzd0452-0123,nzd0452-0124,nzd0452-0125,nzd0452-0126,nzd0452-0127,nzd0452-0128,nzd0452-0129,nzd0452-0130,nzd0452-0131,nzd0452-0132,nzd0452-0133,nzd0452-0134,nzd0452-0135,nzd0452-0136,nzd0452-0137,nzd0452-0138,nzd0452-0139,nzd0452-0140,nzd0452-0141,nzd0452-0142,nzd0452-0143,nzd0452-0144,nzd0452-0145,nzd0452-0146,nzd0452-0147,nzd0452-0148,nzd0452-0149,nzd0452-0150,nzd0452-0151,nzd0452-0152,nzd0452-0153
1999-11-12 22:19:27+00:00,L7,158.26,183.90,213.90,241.73,279.68,314.89,346.93,378.90,380.04,387.34,385.57,381.75,386.64,387.04,389.88,400.53,402.01,407.69,395.96,395.19,386.99,386.78,383.00,379.40,381.22,384.69,377.72,381.72,387.22,389.34,396.14,397.96,397.40,398.29,399.58,401.57,404.29,405.93,401.21,399.90,399.37,400.37,395.65,388.42,388.21,385.14,384.36,378.96,378.96,381.15,380.11,375.16,374.62,375.97,376.50,374.99,368.54,368.44,367.87,371.73,374.36,372.84,381.83,383.66,383.54,388.62,393.97,391.77,395.34,395.36,394.92,401.43,394.73,399.81,403.52,399.03,406.49,405.73,400.09,402.80,399.44,394.20,397.81,391.45,389.85,391.15,390.75,389.57,388.22,391.27,390.87,385.36,380.23,378.28,374.82,368.11,370.90,363.57,357.95,354.07,355.39,353.29,347.70,346.56,345.53,346.46,343.03,348.52,349.78,350.41,353.96,354.87,357.69,353.89,345.76,332.89,322.26,296.32,294.94,323.84,342.70,338.56,362.80,363.86,356.54,353.00,359.57,359.61,359.78,375.00,381.25,381.37,383.16,388.43,391.67,396.76,401.60,400.87,396.62,397.53,398.12,399.20,397.49,397.08,396.03,399.53,400.71,396.88,398.30,400.40,405.81,402.77,412.41,423.24
1999-11-28 22:18:56+00:00,L7,152.10,180.14,206.07,238.69,271.98,309.47,340.85,373.41,378.22,379.58,380.44,375.74,380.22,383.18,382.24,393.73,398.20,396.18,390.72,378.54,378.95,379.29,374.28,374.66,375.49,368.45,370.26,373.26,380.12,384.10,385.15,387.37,395.70,395.30,395.54,396.55,391.40,392.12,390.52,392.02,394.60,389.99,385.60,382.91,382.77,375.97,378.32,374.90,373.69,374.42,366.48,366.84,366.51,363.31,357.40,358.65,354.37,357.79,352.84,347.99,354.27,360.36,360.00,363.99,371.70,370.67,372.17,372.35,374.87,375.17,373.73,375.40,380.37,376.51,382.70,389.26,391.94,389.48,387.46,384.70,385.05,383.47,384.69,379.85,374.81,373.25,375.32,374.38,373.59,370.63,372.05,371.39,365.38,362.00,355.24,350.83,350.77,349.67,346.00,346.81,342.71,343.07,340.45,340.94,338.15,337.21,340.79,336.61,337.01,340.25,340.97,340.65,340.77,332.62,321.52,309.94,301.93,276.92,125.75,323.63,349.49,324.44,346.18,350.97,351.40,336.22,346.34,345.23,351.66,362.87,367.68,370.11,372.91,375.14,379.27,380.11,381.20,382.84,382.15,379.42,381.95,383.50,377.15,379.86,382.34,386.66,388.69,389.86,389.82,389.67,396.79,397.78,403.01,422.62
1999-12-14 22:19:31+00:00,L7,,,,,,,,,,389.70,388.07,384.91,391.02,387.35,388.19,401.36,406.13,411.14,395.41,387.20,385.69,387.43,376.07,378.57,380.79,374.77,373.05,378.00,383.43,388.27,386.68,397.49,395.31,398.37,399.91,402.78,404.43,402.14,399.74,395.85,398.03,397.48,388.07,390.26,391.11,390.52,387.68,382.70,379.54,381.02,379.52,374.87,372.70,373.36,373.21,366.82,361.08,361.47,360.98,362.36,363.90,369.22,376.88,375.74,378.64,385.27,381.43,385.57,392.04,387.37,390.48,396.02,392.17,397.09,397.46,399.89,403.14,397.55,398.86,399.05,390.68,388.09,389.65,384.05,382.95,386.05,381.63,381.58,385.33,389.70,386.07,382.07,378.32,375.78,373.15,362.90,361.31,359.32,356.55,351.88,351.74,349.81,353.55,353.37,350.61,350.20,352.33,352.45,345.28,347.72,345.19,342.26,341.73,335.08,330.69,327.20,322.14,336.72,321.76,517.05,526.86,526.74,508.90,470.51,362.73,345.49,350.39,352.14,357.86,376.76,378.79,377.72,380.77,383.01,389.66,397.21,395.30,393.95,394.30,391.35,393.11,393.76,390.86,389.55,387.29,387.70,393.91,392.52,397.48,400.16,404.98,409.52,419.38,440.61
2000-02-16 22:18:52+00:00,L7,,,,234.16,262.52,302.94,344.16,374.00,374.92,385.19,382.50,379.51,390.33,385.89,383.42,389.04,394.11,391.76,392.45,377.63,378.01,375.14,369.32,371.91,374.89,368.46,369.78,372.19,375.25,381.07,378.91,382.84,389.10,392.68,391.14,393.85,386.85,388.40,388.84,387.34,,,,,,,,,,,,,,362.75,356.19,354.30,356.81,355.18,354.69,349.78,356.24,364.24,362.22,368.53,370.91,377.01,374.99,377.77,377.01,380.26,385.24,381.65,383.40,387.08,386.70,391.82,388.34,392.84,390.69,384.31,384.34,381.54,377.77,375.65,376.60,377.32,374.09,374.84,377.22,371.49,373.98,375.15,370.97,363.97,359.66,351.24,350.03,349.15,344.61,338.70,338.60,340.26,343.16,333.41,329.16,330.21,330.29,332.06,329.50,329.57,327.52,325.19,321.69,,,,,,,,,,,,,,,,,,,,,,,,113.41,379.23,377.24,375.12,375.32,371.77,371.14,373.11,369.68,368.39,369.71,372.28,377.32,388.62,400.77,408.96,417.52,
2000-06-07 22:18:24+00:00,L7,162.38,198.09,232.34,262.78,294.53,328.28,375.24,402.19,400.28,403.87,409.42,406.83,412.71,418.81,425.29,432.85,434.10,436.59,427.33,427.71,413.35,411.68,404.53,405.61,404.25,404.43,399.99,403.16,401.91,404.46,410.32,416.38,423.53,424.52,428.52,426.53,416.79,417.26,418.48,424.29,416.08,413.09,411.30,413.31,411.24,410.32,401.86,403.24,404.36,396.01,391.57,393.57,392.91,390.63,386.19,387.11,384.53,384.76,379.57,378.54,386.66,390.79,390.85,395.43,400.98,396.46,399.09,405.05,400.68,406.97,410.06,410.21,410.94,413.22,410.02,406.35,410.17,415.66,414.77,410.23,,,404.57,404.16,404.28,398.79,402.89,401.98,408.92,400.71,405.96,406.97,402.43,,,384.76,379.07,377.26,370.44,374.95,366.05,361.54,362.36,361.97,359.98,358.22,359.88,,,,,,,,,,,,,,,,,,,,,,,,,345.63,355.36,371.24,379.23,396.24,399.01,402.34,401.51,400.99,406.96,413.18,411.64,412.90,413.41,414.77,414.40,414.94,417.19,423.42,431.48,439.37,447.23,457.25
2000-12-16 22:16:35+00:00,L7,112.00,138.36,174.58,202.35,237.08,289.27,317.87,,364.13,367.49,373.51,376.58,377.17,382.76,389.74,402.02,408.99,412.79,403.96,402.13,397.01,392.22,391.82,396.53,388.38,388.32,393.57,390.07,382.77,387.21,386.76,390.65,394.13,394.90,395.24,396.45,392.93,385.90,385.08,387.86,385.61,377.88,380.89,378.16,378.60,368.31,372.48,373.22,368.13,363.63,363.48,363.56,361.93,360.37,357.38,359.65,356.13,350.44,345.68,343.30,348.31,351.96,356.23,360.92,364.90,363.54,367.75,369.18,371.87,374.37,378.82,373.33,376.62,373.71,375.57,379.17,381.61,382.95,378.60,376.51,380.36,385.00,380.31,383.51,385.10,386.31,389.65,389.74,387.09,390.12,389.50,385.26,379.34,371.25,364.59,360.12,354.12,351.89,352.50,350.30,346.95,346.87,341.83,341.12,343.20,336.96,339.39,339.12,338.74,340.59,344.83,340.63,347.53,344.89,346.45,356.33,361.33,361.74,363.00,362.70,366.39,363.17,352.36,343.74,392.07,400.69,374.48,475.19,433.21,379.96,326.65,323.79,325.16,328.87,336.38,342.56,349.52,354.25,359.80,361.03,366.81,369.96,378.73,380.70,386.89,388.94,391.01,397.15,405.81,408.57,413.98,418.30,427.91,427.66
2001-01-01 22:16:33+00:00,L7,104.87,138.73,168.07,198.66,235.42,290.33,322.17,357.13,364.50,363.99,369.64,373.52,378.68,385.47,386.94,400.61,405.39,413.89,408.74,403.10,402.11,398.84,395.08,396.06,388.44,386.90,387.25,381.07,383.02,389.87,385.58,387.75,387.92,389.67,393.59,389.80,385.39,385.80,382.25,383.17,379.97,372.29,374.54,378.30,373.75,365.25,366.26,364.42,364.51,363.22,362.96,360.07,359.10,359.86,359.07,355.46,355.73,351.04,345.58,342.24,348.35,347.72,351.85,361.67,357.24,361.55,365.00,361.21,365.35,367.06,366.76,372.18,367.79,368.32,376.07,369.78,373.53,378.57,373.38,373.73,374.05,373.81,374.76,383.38,380.68,386.34,389.12,383.00,389.55,388.88,392.89,387.73,376.81,374.54,367.45,366.52,358.90,357.41,351.05,349.96,349.87,345.69,348.37,345.72,341.56,343.18,343.54,339.32,341.15,349.00,347.96,345.68,349.40,349.92,350.75,352.84,355.61,357.74,358.36,361.15,362.21,365.52,353.27,357.83,398.19,441.04,468.30,396.70,403.40,376.70,341.99,326.33,319.36,323.29,332.33,333.23,333.55,342.12,345.55,353.29,356.30,363.97,374.40,378.40,379.03,388.48,394.64,399.66,402.54,404.66,414.60,419.56,426.52,431.23
2001-01-17 22:17:03+00:00,L7,96.28,137.64,168.34,197.70,225.30,255.30,316.87,345.10,348.15,355.96,356.73,360.87,370.08,382.32,384.32,397.57,401.61,411.42,399.01,400.06,395.49,393.71,388.68,383.60,382.34,383.65,377.95,375.31,375.90,378.77,378.15,381.16,387.17,387.99,386.92,384.34,378.81,380.11,378.77,373.02,372.06,371.00,365.49,363.20,362.38,361.62,361.98,360.02,357.43,355.98,357.12,355.66,355.44,352.45,347.10,349.17,347.23,340.97,338.71,337.27,338.04,341.07,344.00,349.15,351.54,357.70,355.31,355.27,358.70,361.19,359.36,361.73,361.79,357.86,361.18,362.28,368.08,366.96,365.17,367.42,369.52,368.52,368.33,373.62,376.30,374.14,376.64,374.84,376.50,379.26,377.20,376.78,370.88,358.70,353.25,353.00,342.14,341.79,342.12,337.03,337.05,332.75,328.52,335.45,331.01,332.06,332.58,330.22,331.66,329.66,332.22,331.11,337.38,339.78,341.22,343.35,342.51,345.39,346.45,347.92,343.45,347.37,355.68,359.11,366.29,383.04,347.88,381.21,394.52,391.67,329.90,321.58,317.41,319.63,322.75,313.47,313.21,325.59,332.84,337.24,348.68,352.79,361.18,367.06,371.27,373.73,379.23,380.53,381.74,391.19,394.69,401.81,409.46,414.11
2001-01-26 22:10:54+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.32,401.81,424.41,431.08,440.58
2001-04-07 22:16:37+00:00,L7,92.88,139.37,168.39,200.96,229.69,286.78,313.34,347.36,363.31,362.53,360.31,371.87,371.52,381.52,385.02,395.03,400.72,408.44,400.00,401.95,399.57,394.50,398.78,398.68,392.94,395.00,392.96,384.78,386.72,388.64,394.70,392.93,389.55,392.67,389.66,385.18,383.96,386.81,386.82,389.65,386.06,379.60,380.71,380.76,377.16,367.63,367.99,369.44,367.38,362.39,360.97,362.27,362.95,366.89,360.78,358.58,358.46,355.08,344.97,347.35,350.64,350.55,351.32,356.56,354.50,358.77,361.29,361.43,367.78,370.66,369.94,375.94,375.76,375.18,378.26,375.64,378.50,381.67,376.84,377.75,378.80,381.91,381.69,381.22,386.02,388.40,388.79,388.76,388.51,391.70,396.61,382.62,378.21,374.35,367.08,358.57,353.93,355.37,351.86,351.90,350.59,349.77,350.58,347.89,349.11,350.41,344.49,341.97,345.29,343.73,341.44,342.26,348.88,351.41,348.62,353.20,353.10,352.01,350.72,351.99,351.40,347.34,340.84,336.67,344.10,344.27,128.20,342.20,389.66,394.25,393.74,363.11,337.28,332.76,329.66,324.06,319.92,328.21,332.94,333.14,342.05,349.95,355.84,361.74,366.29,372.88,379.36,382.50,389.99,393.64,397.21,413.02,415.56,419.21
