dates,nzd0465-0000,nzd0465-0001,nzd0465-0002,nzd0465-0003,nzd0465-0004,nzd0465-0005,nzd0465-0006,nzd0465-0007,nzd0465-0008,nzd0465-0009,nzd0465-0010,nzd0465-0011,nzd0465-0012,nzd0465-0013,nzd0465-0014,nzd0465-0015,nzd0465-0016,nzd0465-0017,nzd0465-0018,nzd0465-0019,nzd0465-0020,nzd0465-0021,satname
1999-08-08 22:19:28+00:00,343.32,334.77,329.28,329.17,338.96,356.30,366.66,371.90,366.98,368.78,371.60,,,,,,,,,,,,L7
1999-08-24 22:19:29+00:00,352.46,345.24,338.68,333.70,344.66,360.50,371.63,371.25,367.47,370.35,359.72,354.94,347.59,354.00,351.57,331.66,,342.79,,,350.01,332.30,L7
1999-09-25 22:19:33+00:00,340.59,331.14,322.98,328.27,334.12,352.55,364.66,365.88,362.21,353.94,344.09,344.82,349.96,343.16,337.45,336.33,341.25,346.11,350.34,340.91,331.85,329.65,L7
1999-11-12 22:19:27+00:00,353.40,339.61,339.92,339.90,359.94,365.33,368.87,364.87,360.29,361.18,354.67,339.39,331.18,332.35,350.83,357.53,347.94,341.04,362.29,353.70,353.13,348.25,L7
1999-11-19 22:25:35+00:00,351.24,342.22,330.97,334.87,349.91,355.95,355.01,353.47,354.92,354.53,341.08,332.08,337.89,342.57,348.94,345.19,342.29,340.25,351.89,357.12,336.58,343.20,L7
1999-12-05 22:25:37+00:00,335.02,312.74,320.94,331.54,342.86,361.02,360.66,357.03,358.76,348.89,329.66,325.81,337.70,345.04,362.70,349.35,346.75,349.98,353.39,353.99,346.65,341.68,L7
1999-12-30 22:19:21+00:00,352.99,342.43,341.90,344.91,356.65,375.00,393.93,396.93,383.26,352.79,333.04,330.24,336.42,371.89,381.25,362.44,357.11,360.17,359.21,372.53,368.69,368.48,L7
2000-01-31 22:19:21+00:00,351.26,340.88,336.24,339.60,354.69,367.85,384.63,387.59,377.63,347.39,327.20,333.55,375.96,382.90,381.24,358.83,334.86,333.65,360.65,369.33,363.88,364.25,L7
2000-02-16 22:19:16+00:00,355.12,342.51,335.82,340.98,354.79,372.28,383.15,383.25,371.16,354.31,333.39,349.70,364.81,375.79,372.56,345.84,338.88,344.22,358.12,352.67,365.08,376.41,L7
2000-04-04 22:19:00+00:00,,,,,,,,,,,,,,,,,,,,,357.31,,L7
