,dates,mex0071-0000,mex0071-0001,mex0071-0002,mex0071-0003
0,1985-09-30 16:17:33+00:00,198.13400479957565,194.8853091132345,193.84602765057994,186.7558754906279
1,1986-01-20 16:15:42+00:00,212.6552464821755,211.78400885444398,209.07140203927554,207.4167142305334
2,1986-03-25 16:14:19+00:00,211.28034169236622,202.0166156276234,204.2661411875703,194.73273813018687
3,1986-04-10 16:13:58+00:00,204.8230205347596,206.87408880112423,200.57690712024612,195.04101553828698
4,1987-05-31 16:12:40+00:00,191.8635009847598,189.7491953965041,193.8772486445622,188.9598638390623
5,1987-07-18 16:13:40+00:00,186.00902228589086,192.8010047716076,185.6673911242636,189.5352467473294
6,1987-08-03 16:14:08+00:00,177.09056736767508,165.64054275971665,172.82257654717225,170.80201118368672
7,1987-08-19 16:14:36+00:00,185.9034734396588,180.16796835841947,177.6563084661869,174.1115791536843
8,1987-09-20 16:15:25+00:00,193.96423734434222,191.295656708215,192.33072229601032,187.04471635342247
9,1992-09-01 16:10:44+00:00,,182.31280760769474,183.0895760474676,181.10093990940067
10,1993-01-07 16:09:59+00:00,200.13960991086583,196.89009179826184,199.35079303364284,194.8809693138869
11,1993-02-08 16:10:21+00:00,194.36670834088756,190.7173492091996,191.7985367028291,190.22658635575053
12,1993-02-24 16:10:24+00:00,209.90017349012345,194.4200285638167,197.44103962731637,187.21676124183955
13,1993-03-12 16:10:37+00:00,196.14126629810508,193.03803816262223,189.96901608568072,178.26968496320234
14,1993-03-28 16:10:38+00:00,182.17420866341863,179.25846903307166,180.59362065777287,182.6285375944261
15,1993-04-29 16:10:52+00:00,177.87065281394456,172.848259199124,172.5241309245693,165.9620497255463
16,1993-05-15 16:10:55+00:00,178.8132191957364,174.14850484863547,175.4061910615101,172.43167382132012
17,1993-05-31 16:10:59+00:00,175.0078725164123,172.9692760181875,171.72986576573967,167.11152874529907
18,1993-09-04 16:10:48+00:00,183.79500070002922,182.55575905399468,179.57159563616273,178.16191372832236
19,1993-10-06 16:10:41+00:00,186.66177046198757,178.2326341659169,184.55904874113867,176.2589025851712
20,1993-10-22 16:10:35+00:00,184.37856463926923,188.66363083079784,186.2320254405456,182.353182867855
21,1993-11-07 16:10:28+00:00,190.38623764950185,192.72213398996186,187.57016999743203,187.01836221956165
22,1993-11-23 16:10:21+00:00,189.57870027907722,191.96571057962927,181.73839631946643,179.14818258167702
23,1993-12-09 16:10:17+00:00,202.93715401294824,194.1099850748221,191.1463855143963,188.45129481373164
24,1993-12-25 16:10:08+00:00,215.59156625287156,200.5569624313386,197.56756645092187,191.47480375056466
25,1994-01-10 16:09:54+00:00,201.39227914763845,195.4462982089637,192.54487244498546,184.4327014557176
26,1994-02-11 16:09:32+00:00,198.77712291513103,201.26282206730383,193.68885536221083,188.35227594684602
27,1994-02-27 16:09:17+00:00,198.00779326377932,192.29958406945326,197.92678662031696,193.47274751536216
28,1994-03-15 16:09:03+00:00,190.2536328285673,195.79407708811388,188.32173818327973,183.51412931759995
29,1994-03-31 16:08:47+00:00,195.09296480418064,194.21340542303923,188.84090949148953,186.61973947757141
30,1994-04-16 16:08:29+00:00,190.9438085327879,193.32085149599385,183.0745362295003,181.27225935227924
31,1994-05-02 16:08:11+00:00,188.54564074389907,189.57882273975238,186.34829138489602,179.46640415468747
32,1994-06-19 16:07:16+00:00,164.471656821482,175.47852962313823,175.4551335358158,176.724902182175
33,1994-07-21 16:06:25+00:00,172.1839546265138,176.3785065445646,176.6361318546569,173.80991508201262
34,1994-08-06 16:05:58+00:00,180.14979145542048,174.09894183834157,176.26827730557633,177.9385854962939
35,1994-10-25 16:03:45+00:00,188.09231782622197,184.666108153145,176.54942427556077,177.7642754749309
36,1994-11-26 16:02:39+00:00,193.04369439505876,196.50350941407277,191.9407382170568,186.5865760144587
37,1994-12-12 16:02:10+00:00,194.17391260249912,193.79236775047372,195.27782801184017,190.43623990395812
