dates,nzd0371-0000,nzd0371-0001,nzd0371-0002,nzd0371-0003,nzd0371-0004,nzd0371-0005,nzd0371-0006,nzd0371-0007,nzd0371-0008,nzd0371-0009,nzd0371-0010,nzd0371-0011,nzd0371-0012,nzd0371-0013,nzd0371-0014,nzd0371-0015,nzd0371-0016,nzd0371-0017,nzd0371-0018,nzd0371-0019,nzd0371-0020,nzd0371-0021,nzd0371-0022,nzd0371-0023,nzd0371-0024,nzd0371-0025,nzd0371-0026,nzd0371-0027,nzd0371-0028,nzd0371-0029,nzd0371-0030,nzd0371-0031,nzd0371-0032,nzd0371-0033,nzd0371-0034,nzd0371-0035,nzd0371-0036,nzd0371-0037,nzd0371-0038,nzd0371-0039,nzd0371-0040,nzd0371-0041,nzd0371-0042,nzd0371-0043,nzd0371-0044,nzd0371-0045,nzd0371-0046,nzd0371-0047,nzd0371-0048,nzd0371-0049,nzd0371-0050,nzd0371-0051,satname
1999-08-26 22:06:20+00:00,,,433.45,416.41,416.74,410.36,391.97,,371.01,374.47,373.12,364.58,373.02,382.44,377.52,,380.41,389.70,393.90,385.03,384.22,381.12,378.85,386.62,390.24,392.33,401.73,400.98,390.54,386.73,373.62,382.34,373.67,378.95,379.92,382.05,380.20,380.78,390.16,387.88,381.10,374.20,369.65,360.79,364.73,369.34,375.79,369.81,382.78,365.17,371.58,475.11,L7
1999-10-13 22:06:24+00:00,,,396.16,384.08,393.60,392.00,383.91,364.18,356.00,351.58,350.95,348.78,345.93,342.85,350.61,344.88,358.03,364.26,368.63,370.68,371.43,374.05,367.77,363.95,371.40,374.52,374.93,379.05,375.32,371.20,367.94,363.30,361.73,365.22,367.05,367.98,374.39,374.84,375.79,376.20,365.97,370.60,366.84,367.06,365.87,358.39,358.09,362.79,368.24,360.36,348.48,440.76,L7
1999-11-21 22:12:24+00:00,,,,423.84,428.04,429.26,407.05,393.76,386.35,382.91,382.52,379.85,378.94,384.35,380.12,378.64,385.12,393.15,398.96,396.29,393.99,397.17,397.23,398.64,400.88,400.75,405.15,409.20,395.77,395.92,390.58,393.34,388.72,390.57,391.22,393.02,390.17,396.32,400.01,394.23,385.29,385.16,382.82,382.97,381.60,386.95,386.62,389.37,402.63,390.57,395.90,,L7
2000-01-17 22:06:11+00:00,,418.50,403.25,397.04,416.17,422.11,410.55,395.73,384.60,381.19,378.03,372.41,369.62,372.20,368.39,362.98,360.68,370.08,379.90,388.43,394.34,401.07,404.06,400.93,394.86,390.09,392.60,399.43,396.27,397.95,390.77,390.32,382.08,383.40,386.80,390.05,385.41,390.38,397.43,396.30,396.47,379.79,378.84,384.21,383.94,390.87,384.14,381.82,387.89,379.91,377.89,,L7
2000-02-25 22:12:13+00:00,,449.75,,433.27,,431.30,424.50,418.36,414.54,415.54,409.79,413.70,399.88,394.32,375.00,369.55,366.46,380.69,378.64,392.48,410.30,423.47,436.20,430.24,412.73,405.68,386.19,414.37,,414.26,398.21,401.00,,395.47,395.51,395.13,392.35,405.26,413.54,428.56,431.14,,395.45,378.94,389.56,397.23,406.00,421.25,417.04,398.40,392.13,436.14,L7
2000-03-12 22:12:09+00:00,,,396.11,452.36,,428.98,412.23,394.17,386.98,381.78,376.50,378.23,378.86,370.60,371.68,369.20,366.99,369.24,370.79,379.73,388.26,389.22,404.43,420.29,414.32,413.35,404.44,399.27,400.97,393.14,395.43,394.87,384.00,389.37,388.38,386.70,387.13,390.74,397.89,418.19,424.56,,405.39,402.86,385.81,368.32,364.48,370.88,379.46,378.40,395.90,456.14,L7
2000-03-21 22:06:01+00:00,425.10,401.68,400.20,,,404.14,,,,,,,,,,,,352.84,356.48,,,,,,,,379.79,370.37,,372.51,,372.67,368.67,,,,,,,,,,,,,364.79,367.95,365.15,382.73,,376.73,423.07,L7
2000-05-15 22:11:42+00:00,439.37,408.40,395.41,,,407.30,,,,,,,,,,,,363.80,373.11,,,,,,,,389.48,375.44,,387.49,,383.40,367.98,,,,,,,,,,,,,379.07,379.62,372.62,381.12,,361.25,,L7
2000-05-24 22:05:22+00:00,,,,,,,,,380.64,374.98,366.29,361.90,358.87,350.36,350.43,355.03,363.99,366.89,371.72,379.34,384.91,385.22,385.69,385.39,379.07,379.00,370.64,373.70,377.34,380.85,387.23,386.21,370.47,368.54,367.46,370.79,373.32,378.76,374.20,370.83,376.63,374.60,372.77,372.88,375.09,380.62,377.61,370.43,375.89,367.60,355.55,435.41,L7
2000-08-03 22:10:43+00:00,,,,,,,,402.80,387.63,384.31,375.25,373.83,374.96,379.79,,,,,,,,,,,,,,,,,,370.73,366.95,389.42,402.93,409.08,391.37,372.53,367.59,374.68,401.79,412.66,391.35,373.84,376.59,379.11,372.83,385.90,386.58,385.68,385.99,460.62,L7
2000-08-19 22:10:38+00:00,,396.48,402.10,397.12,407.65,412.98,410.91,394.27,383.72,379.65,377.11,373.24,375.77,374.15,375.11,379.11,380.08,378.38,377.21,362.20,366.75,381.20,390.77,397.27,401.65,403.50,396.63,395.43,394.59,389.24,389.70,382.96,381.96,392.23,387.32,379.11,359.50,357.99,367.41,386.76,390.08,390.51,378.06,369.10,371.42,373.66,380.14,379.74,390.66,379.99,367.19,464.44,L7
2000-09-04 22:10:22+00:00,,,419.79,433.62,397.05,397.89,396.85,385.62,375.01,368.53,369.11,374.52,376.36,372.85,376.50,378.77,377.85,372.30,365.95,370.39,374.03,378.32,391.83,399.44,415.65,421.64,396.13,388.41,394.85,379.00,402.56,393.76,377.92,387.34,383.52,370.65,369.25,360.17,382.82,395.29,409.09,388.76,363.35,358.14,371.71,375.70,368.36,375.01,371.93,373.34,375.93,454.94,L7
2000-09-13 22:04:02+00:00,433.15,400.89,388.05,,,387.81,,,,,,,,,,,,352.68,356.98,,,,,,,,366.34,371.60,,368.44,,381.51,365.85,,,,,,,,,,,,,340.20,346.31,345.99,358.95,,347.90,,L7
2000-09-20 22:10:03+00:00,,,427.21,,,,,,,,,,,,,392.42,,396.10,,,,,,,,,,,,,,,,,,,,,,,,,375.89,,,,,,,,,451.26,L7
2000-11-07 22:09:53+00:00,412.12,414.90,414.59,399.45,404.12,402.47,390.45,373.46,370.15,364.13,356.53,358.97,359.75,357.33,353.08,358.84,360.56,363.57,376.06,377.39,383.48,381.37,378.34,380.11,381.83,384.17,390.28,391.68,393.13,393.77,390.83,383.99,381.39,379.29,379.39,383.07,394.19,389.46,382.16,367.49,365.50,365.59,365.73,369.72,366.49,364.79,360.75,366.62,374.84,360.06,357.99,474.56,L7
2000-12-18 22:03:49+00:00,374.15,430.30,,400.29,396.53,409.46,418.25,401.04,382.92,371.99,370.71,374.46,370.34,367.09,370.64,369.59,369.53,370.31,377.60,392.52,388.84,387.20,394.09,401.51,398.31,396.06,386.69,388.49,392.75,399.44,413.06,435.48,394.53,390.53,377.39,376.47,397.04,406.48,400.19,389.31,376.24,368.51,373.48,376.48,369.36,369.19,372.97,375.96,376.11,374.53,372.27,477.05,L7
2001-01-10 22:10:03+00:00,,446.84,427.83,400.27,409.69,413.83,402.89,393.50,390.47,391.17,387.27,377.78,373.19,376.03,370.29,366.54,368.53,380.17,383.93,383.12,384.21,385.96,389.17,396.08,396.31,403.33,399.62,406.26,402.37,401.99,396.39,398.63,392.83,395.04,397.79,397.16,392.41,394.29,403.36,402.32,396.08,387.32,376.27,370.69,370.80,382.80,381.10,385.03,397.08,383.85,384.69,494.78,L7
2001-02-20 22:03:48+00:00,,445.91,428.69,410.02,424.48,429.33,419.09,404.11,395.53,395.08,392.95,383.73,383.79,387.58,388.00,390.39,388.91,395.60,393.25,383.41,384.67,389.71,395.68,402.81,409.50,411.29,415.83,413.43,405.05,405.21,396.84,408.24,399.42,398.62,405.31,408.44,403.05,397.25,403.90,404.35,398.70,391.99,388.80,380.44,379.47,385.10,387.31,388.32,399.32,386.93,389.95,494.11,L7
2001-03-08 22:03:44+00:00,,444.73,422.65,397.47,406.58,409.90,397.68,393.29,385.84,381.78,382.44,373.57,372.46,378.67,375.41,373.16,371.43,379.97,382.48,373.69,373.14,379.16,385.13,388.37,386.86,389.78,394.97,398.85,390.87,395.10,381.96,388.28,372.88,372.70,371.32,382.26,376.78,377.85,378.35,380.30,370.40,371.82,372.57,365.28,367.88,373.82,374.84,372.20,391.35,373.96,379.77,480.74,L7
2001-03-15 22:09:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.40,,401.39,387.89,389.97,400.27,400.49,399.80,398.24,391.90,389.67,389.15,395.43,385.00,371.14,363.32,371.14,370.08,377.93,386.74,385.80,383.73,458.99,L7
2001-06-28 22:02:45+00:00,,,,366.31,391.89,381.48,388.82,368.68,369.23,,,,,,,,,,,,,,,,,,,376.29,379.34,383.98,381.12,370.37,362.70,368.40,361.23,371.05,377.79,378.67,381.84,383.64,393.17,375.06,369.12,360.74,359.26,352.05,349.72,348.55,356.19,348.70,,,L7
2001-07-05 22:08:57+00:00,,434.88,421.07,394.15,399.30,399.00,388.89,380.01,376.47,377.03,384.68,378.50,381.63,390.16,380.74,382.40,371.58,368.64,375.38,367.10,370.06,359.41,367.79,382.43,389.90,382.81,386.11,390.92,387.07,388.84,384.64,387.66,375.59,378.48,372.88,383.84,381.10,383.38,386.97,387.83,391.38,391.39,387.71,382.57,376.76,375.45,377.30,373.77,387.04,367.32,368.83,466.70,L7
2001-07-14 22:02:45+00:00,,,,,,,382.74,378.34,373.55,372.96,375.29,383.14,387.06,385.06,391.12,384.34,377.48,373.27,373.08,377.90,373.45,372.87,377.06,383.83,385.43,393.14,392.33,390.36,383.34,381.69,384.31,387.72,382.43,384.96,384.42,379.19,381.34,389.13,382.30,376.15,384.59,384.49,386.14,385.46,379.06,371.89,363.96,360.52,364.48,358.96,362.36,438.18,L7
2001-08-15 22:02:14+00:00,409.97,405.02,399.60,385.93,393.89,393.56,385.03,370.81,367.19,374.11,371.94,364.09,366.38,364.17,358.87,363.59,364.83,369.88,370.95,371.69,372.71,366.81,368.40,369.07,374.84,379.36,384.92,381.98,378.17,384.49,377.86,377.79,371.51,375.07,378.06,376.75,375.32,376.14,375.68,380.51,377.19,378.39,371.30,369.25,363.22,366.70,360.65,365.61,376.42,361.78,364.89,457.53,L7
2001-08-31 22:02:05+00:00,,425.05,403.24,381.00,402.02,405.08,390.69,375.70,374.93,376.88,371.82,365.42,368.12,375.12,367.43,367.03,366.02,373.73,372.22,370.34,370.93,368.83,374.05,379.19,380.55,384.88,387.62,385.77,383.61,383.27,377.33,375.45,367.48,370.52,369.05,370.55,371.94,371.48,379.48,381.74,380.27,378.44,372.24,363.44,358.72,361.43,367.52,368.27,384.15,364.35,362.04,471.33,L7
2001-09-23 22:08:02+00:00,,,416.43,,,426.20,,,,,,,,,,,,394.00,384.16,,,,,,,,402.99,407.09,,402.11,,390.71,391.28,,,,,,,,,,,,,369.05,366.93,379.42,382.85,,373.81,453.92,L7
2001-10-02 22:01:40+00:00,,445.67,429.41,409.90,422.69,429.61,416.38,404.82,399.90,391.72,388.93,383.60,383.82,388.53,387.33,388.80,390.15,394.06,397.85,397.87,392.80,398.95,401.49,399.63,397.66,398.04,407.19,411.94,406.21,401.42,405.18,404.02,395.85,391.96,389.93,392.61,391.10,392.04,399.51,403.27,403.17,396.81,392.70,387.68,384.19,381.94,383.20,383.03,397.88,383.36,384.28,492.48,L7
2001-11-03 22:01:46+00:00,425.92,414.61,409.24,396.38,401.94,399.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-21 22:02:05+00:00,391.46,449.03,,415.64,438.79,447.44,443.96,432.92,408.97,399.40,394.20,405.28,415.00,425.74,434.34,434.44,426.69,419.73,420.22,425.56,420.35,417.75,425.59,424.69,428.24,433.74,417.76,406.34,413.42,414.99,432.41,433.35,396.46,390.04,391.89,415.74,428.84,426.11,414.57,409.62,427.28,421.07,409.34,397.83,379.00,378.35,392.47,402.12,418.45,411.70,400.33,479.87,L7
2002-02-14 22:08:29+00:00,,439.40,425.52,411.66,417.24,421.20,408.26,397.40,388.18,392.04,391.57,395.39,396.15,404.30,399.48,398.45,396.40,398.64,398.46,403.39,409.24,411.36,411.26,407.67,409.75,405.97,407.55,404.57,406.39,404.38,402.88,398.03,391.26,384.69,390.95,397.98,395.96,396.74,395.51,399.35,396.60,393.30,392.34,387.62,382.36,385.98,383.68,378.65,384.08,377.41,381.74,479.80,L7
2002-03-11 22:02:19+00:00,,436.81,423.03,404.36,412.03,419.22,399.83,386.35,383.45,386.07,388.41,386.33,393.44,396.12,389.19,392.09,399.49,398.09,403.11,410.14,401.38,403.45,408.94,406.96,408.63,405.54,405.10,403.48,394.95,393.06,388.71,389.55,383.87,384.03,381.89,388.39,386.59,385.09,382.00,391.23,393.58,389.91,378.35,374.80,369.15,379.55,379.54,382.08,386.18,372.91,373.08,472.50,L7
2002-06-15 22:01:55+00:00,,,393.69,,,427.35,,,,,,,,,,,,358.46,372.68,,,363.61,,,,,354.61,378.08,,374.30,,381.17,344.22,,,,355.59,392.42,,,,392.16,396.18,374.54,365.00,382.10,,,400.61,368.60,,,L7
2002-07-17 22:01:44+00:00,354.64,476.36,,,372.56,376.11,376.21,373.35,370.92,366.32,348.62,361.87,364.70,359.98,363.63,377.98,387.89,387.29,398.54,400.68,411.49,403.41,399.29,396.78,378.62,374.32,358.35,357.23,364.70,361.38,361.46,363.56,366.19,373.33,368.24,370.95,385.20,,,385.30,,,392.58,,,,,,,,,,L7
2002-10-05 22:01:07+00:00,,457.72,430.30,408.45,415.14,413.97,397.78,384.38,378.64,374.68,375.92,372.17,366.85,,,,352.14,359.49,390.81,390.93,393.31,390.66,397.18,399.47,393.57,391.28,394.77,392.22,377.12,380.80,375.47,384.38,369.88,377.40,373.63,380.74,380.02,382.75,387.45,387.62,386.56,376.71,375.85,378.55,373.56,371.84,368.34,366.64,379.96,362.26,369.22,482.85,L7
2002-11-13 22:07:30+00:00,384.08,403.69,406.65,396.39,400.26,399.62,392.52,379.02,369.43,364.18,367.43,366.73,368.36,367.36,370.43,378.99,380.24,378.32,381.37,387.04,387.13,396.36,396.00,393.96,389.06,388.44,384.54,388.34,392.63,391.33,393.99,389.07,381.83,383.96,378.78,380.48,382.52,389.39,383.49,377.27,364.92,362.02,370.54,379.11,373.48,364.84,359.99,366.60,376.85,369.29,364.09,468.87,L7
2002-11-29 22:07:49+00:00,376.92,411.41,420.65,407.52,396.80,394.43,390.19,379.18,368.51,363.17,359.29,362.09,366.67,365.04,365.04,369.47,374.64,375.20,376.80,376.18,373.89,381.39,386.43,386.35,389.67,394.99,383.56,385.89,388.23,383.66,384.50,379.04,374.23,369.42,376.85,377.72,383.57,380.84,375.71,376.13,371.51,359.85,365.01,376.72,379.43,364.24,358.20,362.00,368.25,368.99,361.60,469.02,L7
2003-02-01 22:08:09+00:00,,436.92,417.64,398.86,405.12,409.40,397.48,388.91,385.17,386.15,386.48,377.20,371.14,380.07,373.47,372.46,371.34,381.49,380.88,378.25,378.59,387.84,384.60,387.97,392.47,390.78,391.70,379.75,370.28,371.74,376.73,377.30,365.69,362.70,366.72,382.23,385.59,387.29,395.91,389.72,384.77,378.29,375.15,371.91,371.94,376.70,372.57,371.00,387.64,374.51,382.28,490.92,L7
2003-02-26 22:02:04+00:00,414.82,416.66,414.00,409.16,414.32,414.64,398.27,388.82,379.96,379.62,379.00,382.40,385.71,387.95,384.57,386.27,386.76,396.52,395.70,392.82,388.09,384.19,384.70,390.27,394.69,391.13,391.14,391.60,380.09,376.90,373.64,367.43,371.88,376.94,385.40,373.64,368.72,373.04,388.21,390.84,389.34,382.74,375.34,372.43,373.38,367.87,369.63,379.12,382.35,376.65,379.15,478.73,L7
2003-03-05 22:08:19+00:00,444.81,434.61,431.87,417.63,418.03,421.29,408.70,393.50,392.15,391.92,392.87,388.31,388.83,395.08,393.99,398.11,397.67,402.70,399.40,399.17,388.11,394.84,391.23,401.70,407.98,413.77,408.52,404.95,404.64,403.96,397.39,389.20,372.44,379.13,400.18,405.78,401.65,405.67,401.04,413.16,403.28,403.34,397.15,387.66,379.90,378.04,380.12,384.61,400.44,394.71,393.21,481.28,L7
2003-03-21 22:08:15+00:00,,,,,,,,,,,,384.75,394.76,,,,,,390.63,397.64,392.91,395.54,395.75,399.03,412.16,409.14,,,,388.03,,,,,,,413.71,408.71,404.31,414.77,423.59,406.32,394.19,,,,361.68,385.52,387.15,,,463.95,L7
