dates,satname,nzd0371-0000,nzd0371-0001,nzd0371-0002,nzd0371-0003,nzd0371-0004,nzd0371-0005,nzd0371-0006,nzd0371-0007,nzd0371-0008,nzd0371-0009,nzd0371-0010,nzd0371-0011,nzd0371-0012,nzd0371-0013,nzd0371-0014,nzd0371-0015,nzd0371-0016,nzd0371-0017,nzd0371-0018,nzd0371-0019,nzd0371-0020,nzd0371-0021,nzd0371-0022,nzd0371-0023,nzd0371-0024,nzd0371-0025,nzd0371-0026,nzd0371-0027,nzd0371-0028,nzd0371-0029,nzd0371-0030,nzd0371-0031,nzd0371-0032,nzd0371-0033,nzd0371-0034,nzd0371-0035,nzd0371-0036,nzd0371-0037,nzd0371-0038,nzd0371-0039,nzd0371-0040,nzd0371-0041,nzd0371-0042,nzd0371-0043,nzd0371-0044,nzd0371-0045,nzd0371-0046,nzd0371-0047,nzd0371-0048,nzd0371-0049,nzd0371-0050,nzd0371-0051
1999-08-17 22:12:26+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:06:20+00:00,L7,341.23,360.01,366.45,362.81,363.14,356.76,347.30,,326.34,329.80,328.45,326.29,334.73,337.77,339.23,347.13,342.12,345.03,349.23,346.74,345.93,342.83,340.56,348.33,351.95,354.04,357.06,356.31,352.25,348.44,340.12,344.05,343.89,349.17,350.14,348.55,350.42,347.28,351.87,349.59,342.81,340.70,336.15,327.29,331.23,331.05,337.50,336.31,344.49,331.67,333.29,448.31
1999-10-13 22:06:24+00:00,L7,395.99,401.92,404.66,390.88,400.40,398.80,389.58,369.85,361.67,357.25,356.62,353.64,350.79,348.52,355.47,349.74,362.89,369.93,374.30,375.54,376.29,378.91,372.63,368.81,376.26,379.38,380.60,384.72,380.18,376.06,372.19,368.16,365.51,369.00,370.83,372.23,378.17,379.09,380.65,381.06,370.83,374.85,371.09,371.31,370.12,363.25,362.95,367.04,373.10,364.61,353.34,444.16
1999-11-21 22:12:24+00:00,L7,364.93,375.32,378.76,367.84,372.04,373.26,360.38,347.09,339.68,336.24,335.85,339.85,338.94,337.68,340.12,338.64,345.12,346.48,352.29,356.29,353.99,357.17,357.23,358.64,360.88,360.75,358.48,362.53,355.77,355.92,355.58,353.34,357.61,359.46,360.11,358.02,359.06,361.32,360.01,354.23,345.29,350.16,347.82,347.97,346.60,346.95,346.62,354.37,362.63,355.57,355.90,469.49
2000-01-17 22:06:11+00:00,L7,394.88,391.17,382.75,380.64,399.77,405.71,396.88,382.06,370.93,367.52,364.36,360.70,357.91,358.53,356.68,351.27,348.97,356.41,366.23,376.72,382.63,389.36,392.35,389.22,383.15,378.38,378.93,385.76,384.56,386.24,380.52,378.61,372.97,374.29,377.69,379.80,376.30,380.13,385.72,384.59,384.76,369.54,368.59,373.96,373.69,379.16,372.43,371.57,376.18,369.66,366.18,488.37
2000-02-25 22:12:13+00:00,L7,478.43,506.42,615.87,467.27,,465.30,452.83,446.69,442.87,443.87,438.12,437.99,424.17,422.65,399.29,393.84,390.75,409.02,406.97,416.77,434.59,447.76,460.49,454.53,437.02,429.97,414.52,442.70,471.92,438.55,419.46,425.29,459.83,414.36,414.40,416.38,411.24,426.51,437.83,452.85,455.43,444.40,416.70,400.19,410.81,421.52,430.29,442.50,441.33,419.65,416.42,453.14
2000-03-12 22:12:09+00:00,L7,451.98,624.19,447.11,493.16,,469.78,446.23,428.17,420.98,415.78,410.50,407.37,408.00,404.60,400.82,398.34,396.13,403.24,404.79,408.87,417.40,418.36,433.57,449.43,443.46,442.49,438.44,433.27,430.11,422.28,420.93,424.01,406.67,412.04,411.05,412.20,409.80,416.24,427.03,447.33,453.70,449.87,430.89,428.36,411.31,397.46,393.62,396.38,408.60,403.90,425.04,476.54
2000-03-21 22:06:01+00:00,L7,343.10,347.01,359.20,,,371.34,,,,,,,,,,,,325.51,329.15,,,,,,,,352.46,343.04,,349.08,,349.24,350.45,,,,,,,,,,,,,341.36,344.52,344.65,359.30,,353.30,406.67
2000-05-15 22:11:42+00:00,L7,324.37,331.73,337.91,,,361.30,,,,,,,,,,,,325.47,334.78,,,,,,,,351.15,337.11,,354.63,,350.54,342.42,,,,,,,,,,,,,346.21,346.76,343.87,348.26,,328.39,328.80
2000-05-24 22:05:22+00:00,L7,,,,,,,,,402.64,396.98,388.29,380.76,377.73,372.36,369.29,373.89,382.85,388.89,393.72,398.20,403.77,404.08,404.55,404.25,397.93,397.86,392.64,395.70,396.20,399.71,403.73,405.07,385.14,383.21,382.13,387.29,387.99,395.26,393.06,389.69,395.49,391.10,389.27,389.38,391.59,399.48,396.47,386.93,394.75,384.10,374.41,448.61
