dates,nzd0371-0000,nzd0371-0001,nzd0371-0002,nzd0371-0003,nzd0371-0004,nzd0371-0005,nzd0371-0006,nzd0371-0007,nzd0371-0008,nzd0371-0009,nzd0371-0010,nzd0371-0011,nzd0371-0012,nzd0371-0013,nzd0371-0014,nzd0371-0015,nzd0371-0016,nzd0371-0017,nzd0371-0018,nzd0371-0019,nzd0371-0020,nzd0371-0021,nzd0371-0022,nzd0371-0023,nzd0371-0024,nzd0371-0025,nzd0371-0026,nzd0371-0027,nzd0371-0028,nzd0371-0029,nzd0371-0030,nzd0371-0031,nzd0371-0032,nzd0371-0033,nzd0371-0034,nzd0371-0035,nzd0371-0036,nzd0371-0037,nzd0371-0038,nzd0371-0039,nzd0371-0040,nzd0371-0041,nzd0371-0042,nzd0371-0043,nzd0371-0044,nzd0371-0045,nzd0371-0046,nzd0371-0047,nzd0371-0048,nzd0371-0049,nzd0371-0050,nzd0371-0051,satname
1999-08-26 22:06:20+00:00,,,433.45,416.41,416.74,410.36,391.97,,371.01,374.47,373.12,364.58,373.02,382.44,377.52,,380.41,389.70,393.90,385.03,384.22,381.12,378.85,386.62,390.24,392.33,401.73,400.98,390.54,386.73,373.62,382.34,373.67,378.95,379.92,382.05,380.20,380.78,390.16,387.88,381.10,374.20,369.65,360.79,364.73,369.34,375.79,369.81,382.78,365.17,371.58,475.11,L7
1999-10-13 22:06:24+00:00,,,414.81,400.25,405.17,401.18,387.94,364.18,363.50,363.02,362.03,356.68,359.48,362.64,364.06,344.88,369.22,376.98,381.26,377.86,377.83,377.59,373.31,375.28,380.82,383.42,388.33,390.01,382.93,378.97,370.78,372.82,367.70,372.09,373.49,375.01,377.29,377.81,382.98,382.04,373.54,372.40,368.25,363.93,365.30,363.87,366.94,366.30,375.51,362.76,360.03,457.94,L7
1999-11-21 22:12:24+00:00,,,414.81,408.11,412.79,410.54,394.31,378.97,371.12,369.65,368.86,364.40,365.96,369.88,369.42,361.76,374.52,382.37,387.16,384.00,383.21,384.11,381.28,383.07,387.51,389.20,393.94,396.41,387.21,384.62,377.38,379.66,374.71,378.25,379.40,381.02,381.59,383.98,388.65,386.10,377.45,376.65,373.10,370.27,370.73,371.56,373.50,373.99,384.55,372.03,371.99,457.94,L7
2000-01-17 22:06:11+00:00,,418.50,410.95,405.34,413.64,413.43,398.37,384.56,374.49,372.54,371.15,366.40,366.88,370.46,369.16,362.17,371.06,379.30,385.35,385.11,386.00,388.35,386.98,387.53,389.35,389.42,393.60,397.17,389.48,387.95,380.73,382.32,376.55,379.53,381.25,383.27,382.54,385.58,390.85,388.65,382.21,377.44,374.54,373.76,374.04,376.39,376.16,375.95,385.38,374.00,373.46,457.94,L7
2000-02-25 22:12:13+00:00,,434.12,399.71,409.56,412.60,418.67,406.50,393.01,385.37,382.81,380.32,378.69,373.59,373.43,368.53,364.01,367.57,377.04,381.53,386.97,392.51,398.94,401.31,398.44,394.97,392.76,389.72,400.51,389.12,394.83,386.88,386.99,377.51,383.66,385.14,386.55,385.58,391.70,396.69,398.82,394.72,378.52,380.99,378.30,380.24,383.36,383.71,388.81,393.95,382.31,378.60,438.45,L7
2000-03-12 22:12:09+00:00,,434.12,398.51,418.12,412.60,420.73,407.65,393.24,385.69,382.60,379.56,378.59,374.65,372.86,369.16,365.05,367.46,375.48,379.38,385.52,391.66,397.00,401.94,402.81,398.84,396.88,392.66,400.26,392.08,394.49,388.59,388.57,379.13,384.81,385.79,386.58,385.89,391.51,396.93,402.70,400.69,378.52,385.87,383.21,381.36,380.35,379.87,385.22,391.05,381.53,382.06,444.35,L7
2000-03-21 22:06:01+00:00,425.10,423.31,398.93,418.12,412.60,417.96,407.65,393.24,385.69,382.60,379.56,378.59,374.65,372.86,369.16,365.05,367.46,371.71,375.57,385.52,391.66,397.00,401.94,402.81,398.84,396.88,390.52,395.28,392.08,390.83,388.59,385.92,377.04,384.81,385.79,386.58,385.89,391.51,396.93,402.70,400.69,378.52,385.87,383.21,381.36,377.76,377.88,381.88,389.66,381.53,381.17,439.03,L7
2000-05-15 22:11:42+00:00,432.24,419.58,398.74,426.63,422.11,420.52,413.58,400.50,393.12,390.36,386.71,386.05,381.82,380.37,373.80,370.09,369.81,371.63,376.31,389.23,396.72,402.73,410.48,412.53,405.70,402.47,392.94,394.68,397.67,393.55,393.75,389.27,378.29,389.70,390.48,391.23,388.77,395.68,402.22,409.32,409.37,382.48,390.62,387.25,385.23,381.20,381.47,383.52,391.81,386.82,383.30,438.45,L7
2000-05-24 22:05:22+00:00,432.24,419.58,398.74,427.56,416.17,418.77,415.76,402.75,391.69,388.37,382.65,381.56,376.81,371.87,366.38,364.19,364.53,367.26,371.77,385.00,394.45,399.75,407.60,409.21,400.25,397.03,387.19,388.76,391.53,391.03,392.91,388.08,374.64,384.19,384.54,385.67,384.55,391.29,395.76,403.47,407.20,377.20,388.11,384.72,383.60,380.15,379.97,380.36,387.36,381.08,376.57,437.69,L7
2000-08-03 22:10:43+00:00,432.24,419.94,397.24,442.82,,417.93,418.37,405.11,392.45,389.15,381.96,381.91,378.14,373.77,365.70,364.59,365.81,366.69,370.15,383.85,394.49,399.30,408.77,411.97,402.04,399.34,386.11,386.63,389.15,389.65,393.62,384.81,371.61,385.70,388.57,390.42,386.04,386.82,388.30,398.06,408.53,393.63,391.24,382.13,381.76,378.19,378.08,381.04,387.14,382.52,377.93,442.28,L7
