dates,sar0091-0000,sar0091-0001,sar0091-0002,sar0091-0003,sar0091-0004,sar0091-0005,sar0091-0006,sar0091-0007,satname
1984-04-29 09:27:29+00:00,239.87,238.01,224.42,217.5,654.73,218.57,213.02,212.64,L5
1984-05-06 09:33:51+00:00,248.73,243.32,232.75,240.29,648.51,225.55,240.52,235.18,L5
1984-05-31 09:28:23+00:00,,,,226.84,665.51,227.79,233.9,255.52,L5
1984-06-07 09:34:42+00:00,247.95,250.39,232.63,,,,,,L5
1984-07-18 09:29:10+00:00,245.18,255.31,238.61,240.92,648.55,237.72,241.74,233.32,L5
1984-08-19 09:30:15+00:00,245.9,250.88,239.06,239.86,647.32,232.24,241.02,232.51,L5
1984-08-26 09:36:33+00:00,240.36,244.37,236.96,234.86,650.98,228.57,236.74,233.02,L5
1984-09-04 09:30:25+00:00,246.35,253.55,239.57,242.05,651.43,232.95,245.49,234.85,L5
1984-09-11 09:36:38+00:00,241.02,243.7,233.73,237.29,653.87,228.84,240.09,234.92,L5
1984-09-27 09:36:39+00:00,250.4,254.45,237.77,238.98,647.14,238.09,242.81,237.64,L5
1984-12-09 09:30:22+00:00,256.47,265.96,254.4,259.18,647.39,248.93,252.18,244.25,L5
1985-03-15 09:30:46+00:00,,,,,628.34,230.77,251.13,241.24,L5
1985-03-31 09:30:43+00:00,250.86,251.63,242.99,243.79,651.89,234.11,248.43,237.11,L5
1985-04-16 09:30:39+00:00,253.96,255.58,242.37,239.63,,,,,L5
1985-06-03 09:30:28+00:00,239.88,241.87,228.96,229.08,650.88,230.6,235.64,230.72,L5
1985-06-26 09:36:35+00:00,248.75,244.73,237.85,240.27,653.67,233.64,234.84,230.31,L5
1985-07-05 09:30:21+00:00,247.07,243.78,229.66,232.16,634.99,239.87,246.48,235.31,L5
1985-07-28 09:36:22+00:00,248.74,249.94,238.12,241.29,646.7,235.82,237.9,235.18,L5
1985-08-13 09:36:12+00:00,236.72,242.73,228.34,228.85,671.97,221.96,221.35,226.45,L5
1985-08-22 09:29:56+00:00,255.56,260.65,243.18,241.68,650.71,230.62,239.85,233.43,L5
1985-08-29 09:36:02+00:00,247.52,255.66,239.39,236.19,649.76,232.07,234.77,229.24,L5
1985-09-23 09:29:32+00:00,252.02,253.45,242.96,242.74,639.44,245.27,252.02,237.79,L5
1985-11-10 09:28:57+00:00,255.67,257.93,242.12,242.21,639.17,239.28,249.63,243.85,L5
1985-12-03 09:34:43+00:00,245.07,251.1,240.03,242.43,650.01,236.71,240.84,234.73,L5
1986-01-04 09:34:08+00:00,250.57,244.34,235.64,239.98,649.81,228.49,245.21,237.15,L5
1986-01-13 09:27:46+00:00,248.31,243.78,238.08,240.69,651.92,232.44,241.69,238.58,L5
1986-03-18 09:26:22+00:00,251.9,256.53,241.03,243.35,636.96,248.9,268.95,237.55,L5
1986-04-10 09:32:04+00:00,246.19,,,,650.68,,,,L5
1986-05-12 09:31:17+00:00,264.25,255.35,239.29,241.83,647.11,238.97,240.41,237.95,L5
1986-05-21 09:24:51+00:00,254.58,252.16,233.22,238.44,648.8,236.01,241.04,227.55,L5
1986-06-29 09:29:50+00:00,245.28,250.2,230.54,228.25,666.95,226.57,228.08,226.91,L5
1986-07-08 09:23:21+00:00,245.7,251.68,235.02,235.87,645.16,239.45,239.59,231.76,L5
1986-07-15 09:29:17+00:00,253.56,248.57,238.8,234.66,652.48,231.04,229.53,227.46,L5
1986-07-24 09:22:47+00:00,251.63,248.96,235.55,237.08,647.82,237.82,240.4,231.04,L5
1986-07-31 09:28:43+00:00,244.23,243.26,230.47,229.08,666.84,234.02,225.48,222.91,L5
1986-08-09 09:22:13+00:00,251.08,259.62,238.44,242.74,649.46,244.07,248.05,231.79,L5
1986-08-25 09:21:37+00:00,254.84,253.4,242.99,240.38,639.53,242.48,242.71,236.22,L5
1986-09-01 09:27:32+00:00,249.86,243.48,232.21,221.15,673.96,224.58,237.14,230.9,L5
1986-09-10 09:21:03+00:00,254.88,256.05,244.61,242.4,650.54,243.11,252.03,240.45,L5
1986-09-17 09:27:01+00:00,243.47,238.35,225.87,226.54,654.04,230.8,228.78,230.06,L5
1986-09-26 09:20:33+00:00,249.46,249.29,238.24,241.33,647.14,237.71,243.48,236.12,L5
1986-10-28 09:19:29+00:00,253.99,258.6,244.5,241.49,647.21,239.4,246.86,236.6,L5
1986-11-04 09:25:25+00:00,,,,,678.94,,,,L5
1986-12-22 09:25:33+00:00,240.39,242.65,239.02,240.45,651.32,233.64,240.61,236.56,L5
1986-12-31 09:19:38+00:00,248.0,244.34,235.15,237.22,648.57,235.11,249.39,238.34,L5
1987-01-07 09:26:01+00:00,240.77,250.64,238.97,240.85,646.68,236.44,245.42,230.04,L5
1987-02-01 09:20:35+00:00,246.56,249.25,236.31,242.2,643.86,233.64,241.93,237.31,L5
1987-03-28 09:28:52+00:00,252.35,254.45,232.86,232.96,652.77,229.24,239.15,233.17,L5
1987-04-06 09:23:00+00:00,252.49,258.42,245.07,243.32,640.56,242.53,252.76,238.59,L5
1987-05-08 09:23:59+00:00,254.37,263.45,244.07,242.5,632.07,242.63,252.73,234.67,L5
1987-05-24 09:24:24+00:00,246.3,247.86,233.23,233.55,648.76,230.86,237.85,229.19,L5
1987-06-16 09:31:07+00:00,249.5,253.23,235.03,238.63,648.93,237.43,239.05,230.96,L5
1987-06-25 09:25:08+00:00,246.1,249.56,237.88,238.73,648.18,239.93,241.8,234.01,L5
1987-07-02 09:31:27+00:00,253.54,250.92,233.21,236.9,650.44,232.15,237.85,230.61,L5
1987-07-11 09:25:27+00:00,247.49,253.69,239.76,239.16,646.07,240.41,240.99,233.97,L5
1987-07-18 09:31:44+00:00,251.41,248.09,236.99,238.09,648.77,235.71,240.36,238.96,L5
1987-07-27 09:25:49+00:00,259.94,263.19,246.88,240.1,647.17,239.85,250.14,236.9,L5
1987-08-03 09:32:13+00:00,,,211.34,232.88,649.69,230.59,237.18,231.55,L5
1987-08-19 09:32:41+00:00,248.37,252.53,238.05,237.08,651.23,235.44,243.24,234.68,L5
1987-09-04 09:33:07+00:00,235.37,235.26,225.9,227.76,670.2,225.29,223.17,222.96,L5
1987-09-13 09:27:09+00:00,248.07,253.75,237.89,240.48,648.23,239.04,244.9,233.76,L5
1987-09-20 09:33:30+00:00,244.44,250.25,236.5,232.13,652.02,231.06,240.68,235.46,L5
1987-10-31 09:28:04+00:00,260.47,260.34,244.49,244.22,639.98,252.43,255.0,244.67,L5
1987-11-07 09:34:26+00:00,249.51,252.07,238.71,238.76,650.87,230.87,249.05,235.12,L5
1987-11-16 09:28:26+00:00,245.91,248.85,240.09,242.15,647.66,237.04,243.49,237.85,L5
1987-12-02 09:28:42+00:00,242.49,248.78,238.61,243.95,647.26,235.77,248.03,239.52,L5
1987-12-25 09:35:13+00:00,246.04,245.03,236.73,239.66,649.99,239.32,250.25,244.79,L5
1988-01-10 09:35:29+00:00,241.97,244.95,242.28,240.54,653.41,241.79,240.92,237.19,L5
1988-02-11 09:36:05+00:00,250.27,257.21,245.83,242.88,650.04,228.76,236.74,237.65,L5
1988-04-15 09:36:38+00:00,243.09,249.94,234.71,237.77,651.22,233.7,240.81,233.56,L5
1988-04-24 09:30:31+00:00,252.47,247.73,239.96,237.93,680.42,238.95,242.4,236.14,L5
1988-05-01 09:36:45+00:00,245.55,251.13,238.49,244.32,644.02,237.86,247.22,233.01,L5
1988-05-17 09:36:55+00:00,240.75,248.14,236.04,241.1,649.8,228.65,232.84,230.21,L5
1988-05-26 09:30:48+00:00,238.69,246.3,234.37,235.79,633.63,226.81,244.04,235.34,L5
1988-06-02 09:37:02+00:00,241.08,248.1,231.8,235.86,651.88,226.55,238.01,230.25,L5
1988-07-04 09:37:12+00:00,236.23,232.25,224.42,220.62,670.69,221.55,224.35,221.75,L5
1988-07-13 09:31:03+00:00,245.41,252.13,234.36,237.35,649.2,236.06,240.05,230.21,L5
1988-07-29 09:31:06+00:00,249.57,250.98,238.1,242.25,649.18,238.67,253.55,233.38,L5
1988-08-05 09:37:16+00:00,249.62,246.16,234.88,239.84,648.11,233.39,240.38,229.45,L5
1988-08-14 09:31:04+00:00,234.5,236.23,227.03,225.64,651.18,226.54,227.3,221.86,L5
1988-08-21 09:37:17+00:00,253.1,257.33,241.78,243.41,646.68,238.84,246.35,237.04,L5
1988-09-22 09:37:13+00:00,243.05,245.96,240.36,239.49,649.79,232.05,240.55,235.75,L5
1988-10-08 09:37:09+00:00,258.08,258.87,244.33,246.7,653.85,242.81,253.62,227.12,L5
1988-10-24 09:37:05+00:00,248.65,246.87,238.57,240.2,650.54,235.23,243.65,238.39,L5
1988-11-18 09:30:56+00:00,260.74,268.88,260.32,259.49,637.45,259.21,254.07,238.5,L5
1988-12-04 09:30:53+00:00,241.47,249.26,243.76,246.61,637.31,238.02,248.29,236.37,L5
1988-12-11 09:36:57+00:00,249.71,253.66,243.49,246.6,650.63,241.99,252.72,239.66,L5
1988-12-27 09:36:51+00:00,249.58,251.78,242.75,242.13,652.27,237.5,240.32,240.23,L5
1989-01-05 09:30:40+00:00,251.81,257.02,247.06,251.62,638.08,244.71,256.44,243.07,L5
1989-01-12 09:36:44+00:00,236.96,249.15,233.33,237.3,646.23,231.29,244.12,236.25,L5
1989-02-06 09:30:23+00:00,,,,,652.53,232.86,234.83,236.12,L5
1989-03-26 09:29:17+00:00,250.91,254.31,244.78,244.95,645.84,244.76,253.61,243.19,L5
1989-04-02 09:35:35+00:00,246.94,256.39,241.63,245.45,647.18,243.3,248.67,233.51,L5
1989-05-20 09:34:56+00:00,243.83,244.66,230.32,238.58,666.61,231.73,232.99,234.3,L5
1989-06-14 09:28:10+00:00,240.24,241.37,227.05,231.24,633.43,226.78,231.8,229.06,L5
1989-06-21 09:34:19+00:00,248.9,252.63,240.35,242.63,648.7,233.37,239.84,234.37,L5
1989-06-30 09:28:02+00:00,249.09,255.3,243.41,244.47,652.63,241.31,253.22,229.48,L5
1989-07-16 09:27:43+00:00,252.64,258.52,243.98,245.52,629.63,245.97,259.04,235.14,L5
1989-07-23 09:33:45+00:00,234.17,242.84,229.07,230.95,651.93,223.14,229.2,225.2,L5
1989-08-01 09:27:23+00:00,251.66,257.3,245.38,230.31,650.35,227.91,228.77,231.28,L5
1989-08-24 09:33:03+00:00,257.6,258.09,243.38,246.15,649.1,244.72,241.45,239.5,L5
1989-09-25 09:32:16+00:00,248.32,256.78,241.58,243.61,647.54,240.2,248.53,232.97,L5
1989-10-04 09:26:00+00:00,256.45,261.49,230.39,229.45,666.67,228.48,233.49,233.92,L5
1989-10-11 09:31:53+00:00,254.64,262.57,231.28,234.95,649.06,232.99,239.83,236.29,L5
1989-10-20 09:25:15+00:00,,249.41,235.48,232.24,646.32,232.11,242.37,234.77,L5
1989-10-27 09:31:15+00:00,240.93,251.94,235.35,237.84,652.61,234.56,241.46,230.0,L5
1989-11-12 09:30:54+00:00,247.72,259.77,247.0,249.88,649.32,236.96,249.24,243.79,L5
1989-11-28 09:30:28+00:00,217.63,222.68,215.05,223.7,671.48,241.53,253.97,233.82,L5
1989-12-07 09:24:00+00:00,233.17,238.91,232.42,232.76,653.19,230.88,249.92,232.54,L5
1989-12-23 09:23:34+00:00,252.04,258.06,249.59,247.89,651.19,247.79,245.62,241.89,L5
