dates,nzd0184-0000,nzd0184-0001,nzd0184-0002,nzd0184-0003,nzd0184-0004,nzd0184-0005,nzd0184-0006,nzd0184-0007,nzd0184-0008,nzd0184-0009,nzd0184-0010,nzd0184-0011,nzd0184-0012,nzd0184-0013,nzd0184-0014,nzd0184-0015,nzd0184-0016,nzd0184-0017,nzd0184-0018,nzd0184-0019,nzd0184-0020,nzd0184-0021,nzd0184-0022,nzd0184-0023,nzd0184-0024,nzd0184-0025,nzd0184-0026,nzd0184-0027,nzd0184-0028,nzd0184-0029,nzd0184-0030,nzd0184-0031,nzd0184-0032,nzd0184-0033,satname
1999-07-18 21:58:49+00:00,,,,,,,,,178.18,183.65,,,,,,,226.75,246.90,,,,,,,,,282.12,265.51,255.12,,,255.35,250.02,,L7
1999-08-26 22:05:08+00:00,299.21,244.41,231.74,228.59,227.29,,389.97,393.90,193.61,203.57,231.18,225.60,,,239.10,232.60,235.03,248.00,269.55,276.70,292.96,289.18,298.55,292.91,283.64,289.53,284.08,279.86,275.10,287.06,285.99,271.93,264.29,,L7
1999-09-27 22:05:12+00:00,304.35,241.19,227.56,222.66,227.18,,390.36,392.98,197.91,211.78,230.31,227.99,,,236.57,229.58,237.36,249.11,268.01,274.84,292.54,290.74,297.89,292.42,279.81,283.52,282.26,282.45,278.22,284.41,286.46,274.02,264.38,275.58,L7
1999-11-14 22:05:06+00:00,325.98,255.40,237.52,229.60,231.90,378.69,384.30,391.94,201.92,215.58,242.24,227.99,,258.94,242.51,236.63,239.95,249.87,264.20,275.46,290.96,294.75,298.72,296.09,291.46,296.82,293.18,291.49,288.82,296.04,297.12,285.40,276.43,286.87,L7
1999-12-25 21:58:52+00:00,325.98,253.62,237.52,229.60,231.90,378.69,385.68,387.06,201.92,215.58,242.24,229.20,221.84,245.45,240.41,236.49,240.45,249.23,262.34,272.02,286.41,292.25,297.48,295.77,289.12,294.29,292.11,291.44,289.21,292.44,294.67,285.56,276.96,283.67,L7
2000-01-01 22:05:01+00:00,331.69,255.14,239.92,231.68,231.81,380.51,382.12,386.43,203.07,216.03,241.57,232.70,233.66,242.05,238.94,236.56,240.51,248.52,259.10,269.93,283.69,293.03,297.37,296.38,293.06,297.07,294.91,293.58,291.70,296.03,297.24,290.31,283.15,289.15,L7
2000-05-24 22:04:10+00:00,365.79,260.34,236.86,221.45,212.98,382.34,377.67,380.25,202.13,215.92,237.20,236.66,230.79,232.76,235.64,242.58,249.57,253.97,260.11,270.59,280.01,290.46,295.34,296.82,295.45,297.44,298.37,297.79,297.46,296.01,297.42,300.11,296.59,291.44,L7
2000-08-12 22:03:18+00:00,343.15,271.54,222.56,201.28,187.65,,379.99,384.11,197.53,216.24,232.53,228.19,225.05,231.06,238.34,230.03,265.42,260.38,264.94,276.07,287.61,275.16,282.04,276.40,274.12,289.63,291.94,291.47,298.96,,,287.08,285.78,,L7
2000-08-21 21:57:02+00:00,343.15,271.54,222.56,201.28,187.38,,382.78,383.78,203.67,221.33,235.04,229.14,231.00,227.32,234.97,230.03,265.42,260.38,264.94,276.07,287.61,292.40,294.23,291.44,289.72,293.05,296.47,305.56,311.77,314.21,305.19,295.60,299.61,332.94,L7
2000-10-15 22:02:20+00:00,335.85,258.46,224.37,206.87,193.80,372.27,384.50,385.19,205.21,224.53,236.88,229.50,223.77,220.45,234.61,226.58,255.13,260.31,266.84,274.68,288.39,288.35,292.78,288.76,284.41,290.21,289.14,296.70,302.32,297.96,295.94,295.42,296.86,316.44,L7
