dates,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0003,nzd0300-0004,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0017,nzd0300-0018,nzd0300-0019,nzd0300-0020,nzd0300-0021,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0041,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0049,nzd0300-0050,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0055,nzd0300-0056,nzd0300-0057,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0064,satname
2000-01-26 21:59:38+00:00,303.40,300.90,296.51,,342.86,,,341.09,,,,,,,,,,,333.64,,,,,,338.32,,,323.16,,,,,293.51,292.42,286.89,273.62,286.33,286.41,320.45,,,323.13,,308.81,312.45,314.49,317.09,,286.11,301.35,328.13,330.03,,324.60,300.94,,304.68,317.31,313.25,322.27,332.90,329.22,306.95,318.72,336.81,L7
2000-03-14 21:59:23+00:00,303.96,303.08,299.26,306.37,336.84,,,341.09,,,,,,,,,239.75,,321.66,,,,,,338.32,247.65,274.31,303.76,272.70,269.79,,285.52,290.94,287.03,278.56,276.44,283.52,288.20,308.86,,,308.27,,293.94,302.91,308.24,310.50,,278.07,297.99,318.46,315.00,279.71,305.66,300.94,271.09,298.42,309.62,310.56,319.69,328.23,323.00,303.76,318.50,332.38,L7
2000-03-30 21:59:21+00:00,303.96,303.08,299.26,303.82,328.21,309.89,298.13,321.88,296.70,299.44,286.39,284.21,277.61,261.89,,,239.75,245.53,300.56,269.23,265.71,260.32,277.79,293.11,318.66,265.13,276.61,297.30,277.78,270.30,265.40,284.51,285.93,285.55,276.72,275.83,283.52,286.81,308.86,242.86,238.11,283.00,266.92,274.66,285.16,284.34,292.97,260.13,266.58,289.16,306.03,306.18,283.47,295.42,288.37,261.41,286.93,298.19,296.81,313.91,314.69,314.94,303.76,318.50,326.89,L7
2000-07-04 21:58:26+00:00,303.16,302.37,297.97,301.78,317.85,307.33,288.48,313.81,293.26,295.94,280.48,280.87,273.33,256.49,215.13,238.77,238.31,248.97,286.13,257.50,256.57,257.68,268.47,293.11,309.18,266.52,275.91,294.16,274.14,267.94,257.26,281.41,285.93,285.55,276.72,275.83,283.52,286.81,308.86,244.76,240.38,268.86,253.81,264.49,273.42,269.48,278.55,247.25,260.30,281.12,299.40,301.01,281.45,286.79,275.38,253.71,274.26,286.93,285.87,313.91,306.76,303.14,286.82,318.50,326.89,L7
2000-08-05 21:57:56+00:00,300.76,300.71,296.75,298.49,301.84,306.39,285.16,298.49,292.89,292.98,279.76,277.94,269.92,252.83,214.01,229.86,236.39,242.46,264.32,252.77,250.72,254.58,261.16,284.52,289.68,267.07,272.93,279.44,273.31,264.01,253.56,277.89,282.13,282.11,271.64,276.94,280.72,287.01,297.26,239.54,233.55,242.52,245.08,243.38,252.58,247.20,254.79,240.96,248.39,267.38,287.60,287.70,279.30,274.79,260.60,253.71,264.12,276.80,268.07,309.73,290.77,284.84,266.17,318.29,321.94,L7
2000-11-25 21:57:10+00:00,306.80,308.38,301.04,299.93,290.23,306.98,286.92,302.50,295.68,294.55,281.47,283.11,274.31,262.39,214.01,248.96,248.66,255.07,253.34,257.27,260.28,266.26,271.39,293.96,291.63,277.61,277.64,279.64,277.83,269.83,262.45,277.91,286.78,279.01,285.58,289.45,284.58,287.20,288.30,253.42,245.81,238.89,244.60,243.14,243.03,234.74,241.52,241.86,246.97,261.58,285.11,284.00,281.42,274.66,258.39,259.34,260.96,274.50,263.33,307.76,282.03,273.66,259.66,291.50,310.25,L7
2000-12-11 21:57:12+00:00,312.79,311.30,306.36,301.86,293.17,308.23,290.90,304.83,298.06,296.23,284.19,285.75,279.19,267.45,214.01,257.54,255.75,262.40,259.54,264.64,269.43,274.14,281.37,300.79,295.36,283.71,281.83,282.67,283.22,274.91,270.16,281.98,288.25,279.14,286.01,287.21,284.78,286.54,287.70,260.90,252.96,247.88,251.57,250.01,248.30,240.65,248.03,247.38,250.48,265.94,288.28,286.35,284.88,277.03,262.75,264.41,260.96,274.50,263.33,307.76,282.03,273.66,259.66,291.50,310.25,L7
2001-01-12 21:57:18+00:00,320.35,319.87,314.23,306.69,297.52,312.06,298.52,308.38,302.12,300.21,290.13,291.37,286.35,278.98,212.89,269.31,267.82,269.53,268.39,272.96,278.52,283.55,292.30,301.87,298.77,290.93,286.30,283.58,289.99,281.02,279.35,283.94,284.39,277.56,281.55,285.76,285.72,288.74,290.87,271.26,263.12,259.34,255.72,255.96,252.08,248.17,254.18,252.64,254.40,271.62,291.87,286.52,288.83,283.94,271.34,282.54,286.49,292.45,275.95,302.81,286.47,283.93,270.88,291.75,307.21,L7
2001-02-13 21:57:15+00:00,336.96,338.11,331.29,323.12,313.28,321.91,309.73,312.79,305.46,304.60,294.07,297.80,294.10,290.13,,285.44,279.57,282.90,275.73,282.84,291.69,295.27,307.55,310.51,305.10,298.33,298.78,297.19,304.37,297.58,295.03,293.25,286.72,283.60,282.35,286.04,285.98,287.87,288.82,289.68,282.53,272.63,265.09,264.12,262.60,260.45,266.51,260.74,259.45,281.28,300.17,294.37,296.26,290.34,285.88,289.91,290.44,291.95,298.69,308.51,307.50,309.95,288.57,292.83,311.04,L7
2001-06-05 21:56:28+00:00,335.10,333.30,330.98,320.61,316.00,320.08,306.04,307.91,302.55,300.25,292.68,293.46,286.66,280.03,228.50,272.44,272.81,282.68,270.63,273.65,281.16,285.10,298.35,300.05,300.39,293.86,296.87,297.33,303.51,291.40,286.12,289.92,286.70,285.13,281.27,271.95,286.45,277.48,279.93,282.67,276.49,264.27,261.30,259.00,257.10,252.73,260.54,252.86,252.99,272.18,292.62,295.92,288.00,284.76,283.49,282.36,277.97,278.24,300.60,308.88,299.47,316.32,273.39,274.76,311.44,L7
