dates,satname,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0003,nzd0300-0004,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0017,nzd0300-0018,nzd0300-0019,nzd0300-0020,nzd0300-0021,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0041,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0049,nzd0300-0050,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0055,nzd0300-0056,nzd0300-0057,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0064
2000-01-26 21:59:38+00:00,L7,308.90,305.48,301.29,,352.03,,349.79,343.84,343.88,,,344.39,338.98,344.80,330.96,334.27,343.41,345.91,337.71,336.68,383.05,362.18,342.16,340.41,341.65,346.17,345.79,328.16,336.45,324.52,318.10,331.55,302.68,300.28,300.64,287.37,298.55,298.63,332.67,320.84,337.21,334.13,327.64,321.03,322.45,323.66,329.31,324.70,294.57,308.68,335.01,335.82,331.96,329.60,306.44,321.49,314.68,328.31,327.00,337.98,343.90,338.39,311.18,323.30,343.28
2000-03-14 21:59:23+00:00,L7,308.02,308.19,305.05,310.26,336.65,,,,,,,,,,186.37,,244.12,,312.27,,,,,232.06,,251.54,278.20,287.54,277.08,274.16,,288.11,294.21,286.64,278.98,288.02,288.50,297.77,305.04,,,300.42,,286.85,299.73,307.82,311.70,,275.41,299.30,313.16,303.64,283.83,289.90,,276.92,298.52,308.94,316.62,327.11,330.56,322.62,303.26,321.21,332.07
2000-03-30 21:59:21+00:00,L7,,,,300.72,310.12,309.30,297.88,302.42,296.45,299.19,286.13,283.81,277.19,261.27,313.80,,,244.70,257.98,268.81,265.00,259.87,277.12,292.52,298.71,282.06,278.35,283.93,282.24,270.19,264.63,283.14,275.06,281.87,271.79,273.35,,282.92,,241.75,236.86,231.46,265.81,235.00,248.75,235.70,256.79,259.22,242.82,270.84,280.55,288.01,286.64,274.48,275.30,250.90,263.03,274.31,268.05,300.91,286.60,297.98,,,315.33
2000-07-04 21:58:26+00:00,L7,298.36,298.27,292.61,294.13,281.43,301.01,277.23,296.06,288.23,290.85,272.92,274.97,266.37,247.09,210.21,234.77,232.86,247.09,240.50,243.10,242.86,252.12,254.88,,288.27,265.73,270.96,281.84,262.85,259.21,244.21,272.84,,189.84,202.13,208.93,212.91,218.04,220.98,239.56,234.66,220.04,233.58,226.84,232.39,219.58,228.18,228.56,236.53,252.74,275.52,282.14,273.64,258.00,246.21,232.98,230.45,246.75,245.04,,276.58,262.41,250.48,244.41,257.14
2000-08-05 21:57:56+00:00,L7,301.99,300.76,297.90,295.04,288.50,311.33,281.43,298.05,295.03,289.94,281.29,276.73,267.93,252.77,221.81,228.19,239.80,239.11,250.67,248.14,247.32,253.65,254.28,282.76,283.33,275.16,270.42,269.56,278.06,259.48,255.06,271.63,193.54,202.30,203.39,215.76,226.70,224.42,234.01,241.98,234.37,229.37,240.52,237.27,239.64,235.04,234.95,238.93,247.43,254.08,288.16,282.89,279.69,281.88,262.39,,,,256.59,,280.53,265.70,249.47,246.42,258.30
2000-11-25 21:57:10+00:00,L7,311.66,319.11,305.31,301.28,286.77,298.73,297.91,309.18,299.59,298.66,285.89,290.91,281.63,276.82,272.14,273.41,262.82,265.01,262.63,273.56,278.68,285.38,293.81,299.03,298.21,282.60,282.21,279.87,282.07,280.29,275.15,283.04,268.45,263.30,258.08,261.95,260.14,262.76,263.86,260.05,247.40,250.46,241.05,246.64,241.80,235.61,242.78,242.83,244.04,266.70,281.14,278.14,281.04,276.47,258.17,262.04,265.65,273.85,267.37,276.33,272.18,278.87,272.56,282.33,297.31
2000-12-11 21:57:12+00:00,L7,318.45,309.81,311.59,293.99,281.47,297.48,296.69,305.68,299.04,295.13,286.02,283.84,283.59,267.27,267.53,267.91,261.62,263.91,269.03,276.49,279.29,286.61,294.90,299.99,299.07,288.34,280.71,280.58,284.02,274.78,274.38,285.07,269.23,261.71,255.69,254.22,257.65,258.55,259.77,256.03,243.65,250.23,245.13,243.30,241.73,237.88,240.21,241.57,242.07,262.65,282.41,280.44,280.79,272.94,263.53,254.06,,,,,,,,,
2001-01-12 21:57:18+00:00,L7,329.38,333.19,324.80,314.34,300.20,317.28,308.12,310.67,304.89,307.17,297.12,298.08,295.67,294.18,297.78,282.87,282.15,276.95,276.50,277.04,280.38,290.45,299.66,302.27,302.44,295.49,289.73,286.24,290.93,284.65,282.18,281.29,272.66,270.95,266.63,276.85,282.28,287.81,291.87,282.78,277.29,267.51,251.98,252.43,248.97,250.98,254.55,251.06,253.44,276.50,290.90,283.66,290.37,286.40,281.36,288.68,282.96,284.25,284.88,291.01,291.49,294.55,284.75,290.00,301.34
2001-02-13 21:57:15+00:00,L7,368.25,373.58,365.98,360.53,351.17,350.50,326.14,,,,,,,,,,,,,,,,,,,,320.13,323.79,335.32,325.48,317.49,308.69,303.05,309.72,298.73,300.87,299.20,297.70,295.13,315.19,311.53,282.12,,269.46,281.35,283.82,283.83,270.94,267.33,292.48,321.11,314.08,309.19,307.28,320.34,321.36,308.53,302.14,324.32,335.90,343.22,343.42,302.41,299.67,325.30
2001-06-05 21:56:28+00:00,L7,303.72,299.45,303.64,290.69,269.98,290.82,282.91,294.28,290.61,285.35,281.45,277.49,258.88,245.89,210.81,233.79,241.92,,246.96,245.58,246.39,254.42,265.55,267.07,283.79,268.64,274.01,279.99,278.03,254.95,238.77,269.36,,188.17,200.85,204.35,214.70,220.10,227.17,230.89,221.97,216.03,228.57,225.02,218.90,203.89,217.79,210.40,217.42,229.62,250.33,,247.43,253.72,248.13,231.00,227.32,231.74,227.14,,247.11,240.69,226.61,227.70,240.19
