dates,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0003,nzd0300-0004,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0017,nzd0300-0018,nzd0300-0019,nzd0300-0020,nzd0300-0021,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0041,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0049,nzd0300-0050,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0055,nzd0300-0056,nzd0300-0057,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0064,satname
2000-01-26 21:59:38+00:00,303.40,300.90,296.51,,342.86,,,341.09,,,,,,,,,,,333.64,,,,,,338.32,,,323.16,,,,,293.51,292.42,286.89,273.62,286.33,286.41,320.45,,,323.13,,308.81,312.45,314.49,317.09,,286.11,301.35,328.13,330.03,,324.60,300.94,,304.68,317.31,313.25,322.27,332.90,329.22,306.95,318.72,336.81,L7
2000-03-14 21:59:23+00:00,304.52,305.27,302.01,306.37,330.82,,,,,,,,,,,,239.75,,309.68,,,,,,,247.65,274.31,284.36,272.70,269.79,,285.52,288.38,281.64,270.23,279.27,280.72,289.99,297.26,,,293.42,,279.07,293.37,301.99,303.92,,270.03,294.63,308.79,299.96,279.71,286.72,,271.09,292.16,301.94,307.87,317.11,323.56,316.79,300.57,318.29,327.95,L7
2000-03-30 21:59:21+00:00,,,,301.28,310.95,309.89,298.13,302.67,296.70,299.44,286.39,284.21,277.61,261.89,,,,245.53,258.35,269.23,265.71,260.32,277.79,293.11,299.01,282.62,278.91,284.38,282.87,270.81,265.40,283.51,275.89,282.58,273.04,274.60,,284.03,,242.86,238.11,232.46,266.92,236.11,249.66,236.53,257.90,260.13,243.59,271.51,281.18,288.54,287.23,274.93,275.80,251.73,263.94,275.31,269.30,302.34,287.60,298.81,,,315.92,L7
2000-07-04 21:58:26+00:00,301.56,300.94,295.39,297.69,286.76,304.77,278.83,297.66,289.83,292.45,274.56,277.53,269.04,251.09,215.13,238.77,236.86,252.42,242.87,245.77,247.43,255.03,259.15,,290.21,269.29,274.52,284.75,266.85,263.21,249.13,275.21,,,,,,,,246.67,242.66,226.44,240.69,233.95,238.21,224.91,235.29,234.38,241.45,257.01,279.52,285.51,277.40,260.91,249.41,238.31,236.27,253.15,253.04,,282.98,267.74,252.94,,,L7
2000-08-05 21:57:56+00:00,296.19,295.93,292.86,288.60,278.83,304.51,278.53,295.15,292.13,287.04,278.32,272.09,263.10,245.52,212.89,220.94,232.55,229.44,246.37,243.31,239.03,248.38,246.55,275.94,279.81,268.72,263.98,264.29,270.81,252.23,246.14,267.33,,,,,,,,229.09,219.87,217.77,227.63,224.38,229.09,225.37,222.06,228.38,238.51,246.35,280.91,276.78,272.87,276.61,256.59,,,,242.09,,268.93,256.03,245.01,,,L7
2000-11-25 21:57:10+00:00,322.66,328.28,314.88,313.50,305.10,311.67,303.41,314.68,305.09,304.16,291.53,299.71,290.80,290.57,,287.16,276.57,283.34,270.78,282.73,294.39,295.38,308.48,311.97,304.88,294.82,294.43,289.87,295.82,294.04,292.07,291.19,286.78,279.01,285.58,289.45,284.58,287.20,288.30,284.49,274.90,272.46,265.49,271.08,261.80,253.94,267.22,262.83,260.96,281.37,294.89,289.72,293.98,286.47,269.17,280.37,285.65,295.85,294.87,307.76,294.18,297.20,281.02,291.50,310.25,L7
2000-12-11 21:57:12+00:00,330.75,320.06,322.29,307.66,301.97,311.95,302.84,311.83,305.19,301.28,292.33,293.68,293.84,282.64,,283.29,277.00,284.41,278.14,286.74,296.86,297.79,311.30,314.46,306.52,302.01,294.38,291.76,299.39,290.15,293.30,294.18,289.73,279.28,286.44,284.97,284.98,285.88,287.10,283.36,274.40,274.83,272.46,270.63,264.09,258.38,267.54,263.93,260.99,279.05,297.79,293.39,295.26,284.12,275.83,274.56,,,,,,,,,,L7
2001-01-12 21:57:18+00:00,331.78,335.19,326.89,317.01,304.20,320.10,309.32,311.87,306.09,308.37,298.35,300.00,297.67,297.18,,285.87,285.15,280.95,278.28,279.04,283.81,292.63,302.86,305.09,303.89,298.16,292.40,288.42,293.93,287.65,285.87,283.07,276.66,274.38,272.63,282.85,287.61,293.14,297.20,288.11,283.29,272.31,257.31,257.76,253.33,254.98,259.88,255.42,257.13,279.70,293.90,286.19,293.19,288.58,283.76,292.68,287.32,289.05,290.88,297.87,296.29,298.55,286.60,292.00,304.16,L7
2001-02-13 21:57:15+00:00,362.65,368.91,361.11,354.31,341.84,343.91,323.34,,,,,,,,,,,,,,,,,,,,313.91,318.70,328.32,318.48,308.87,304.54,293.72,301.72,284.73,286.87,286.76,285.26,282.69,302.75,297.53,270.92,,257.02,271.17,274.49,271.39,260.76,258.71,285.01,314.11,308.19,302.60,302.19,314.74,312.03,298.35,290.94,310.32,319.90,332.02,334.09,298.10,295.00,318.71,L7
2001-06-05 21:56:28+00:00,315.22,309.03,313.64,303.47,,304.35,288.66,300.03,296.36,291.10,287.35,286.69,268.46,260.26,228.50,248.16,256.29,,255.48,255.16,262.82,264.87,280.88,280.60,290.76,281.42,286.79,290.44,292.40,269.32,256.46,277.88,,,,233.10,,245.66,252.73,256.45,250.72,239.03,254.13,250.58,239.81,223.06,243.35,231.31,235.11,244.95,264.70,,260.96,264.17,259.63,250.17,248.23,254.74,,,270.11,,235.46,237.28,,L7
2001-07-07 21:56:12+00:00,305.43,298.47,300.22,297.36,,310.16,281.14,301.16,297.33,289.81,279.44,278.64,267.23,251.72,218.35,244.88,246.32,259.17,244.03,247.48,257.69,258.87,259.98,275.74,285.57,280.05,276.24,286.96,271.46,,245.23,275.02,,,,226.65,,241.37,239.19,251.86,254.96,237.74,252.67,246.21,252.83,238.64,242.44,242.13,245.87,260.11,284.73,285.52,285.34,275.26,270.29,263.18,254.83,266.11,,306.46,286.03,,251.43,247.07,,L7
2001-09-09 21:55:24+00:00,,,,,359.44,368.99,361.65,,,,,,,,,,238.97,,,,,,270.85,284.20,293.80,271.72,269.97,287.10,272.49,264.07,253.47,280.11,,277.66,266.97,258.38,,223.19,214.71,231.35,223.48,218.57,233.33,222.10,238.91,,,,,,,,282.74,268.24,273.03,242.60,251.52,,,307.53,,,253.79,254.55,,L7
2001-09-25 21:55:16+00:00,301.34,305.05,,,,363.07,348.19,,302.32,302.58,284.80,309.53,,,312.43,312.00,298.69,304.16,,,,309.52,280.78,303.29,295.24,279.50,279.12,290.28,282.00,269.79,,285.23,289.49,287.70,276.24,275.76,270.83,283.24,289.50,,235.46,240.13,,248.57,252.85,,,242.97,248.65,288.05,313.75,302.39,278.97,285.27,271.37,261.46,,,331.71,314.66,316.84,317.14,,281.37,,L7
2002-02-16 21:55:42+00:00,329.85,317.61,318.90,337.18,329.69,336.26,333.63,319.53,326.30,,311.92,317.34,325.63,327.69,315.39,301.32,296.57,294.20,299.08,305.41,308.51,311.24,302.82,323.42,302.13,325.45,325.07,299.70,306.95,,298.29,286.09,284.47,283.04,276.53,291.52,286.27,283.89,288.14,,266.10,272.26,284.57,278.03,254.34,266.54,281.95,269.42,274.33,282.93,301.57,298.13,301.88,278.28,282.94,288.60,307.38,302.24,311.58,319.02,309.85,313.38,296.50,304.70,316.52,L7
2002-03-04 21:55:45+00:00,,298.89,,,353.19,357.11,361.09,345.25,,327.78,335.86,,338.37,330.06,315.47,304.61,313.81,310.24,303.35,310.01,306.78,299.55,318.59,317.25,301.34,340.45,,,,,,284.55,284.53,278.83,267.70,265.46,263.44,291.18,,255.88,,,,,,280.96,282.31,,,,,286.19,293.79,269.51,277.61,288.69,289.75,267.37,,304.98,319.16,325.43,272.55,285.51,,L7
2002-10-14 21:54:31+00:00,,279.01,283.01,270.82,,283.76,300.62,325.12,286.11,291.99,304.56,330.49,323.57,313.95,316.39,303.82,293.99,293.03,305.01,329.42,326.81,324.00,319.22,328.54,310.88,314.35,316.82,327.39,,274.91,275.81,294.17,292.96,304.17,301.37,309.74,313.80,306.68,310.82,310.05,276.87,276.55,274.56,273.97,256.39,287.97,298.96,268.33,281.12,307.23,317.02,295.76,303.14,289.61,284.30,320.11,315.01,,,294.11,302.32,306.43,290.49,301.38,328.57,L7
2002-10-23 21:48:27+00:00,325.31,312.59,321.25,307.44,304.26,307.95,303.14,309.44,302.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-11-24 21:48:50+00:00,332.00,329.14,332.93,327.01,293.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-01-02 21:55:10+00:00,337.62,340.97,332.01,316.01,305.98,319.89,310.55,322.77,312.43,311.43,302.36,301.46,293.11,298.97,298.99,294.47,287.01,293.67,286.23,294.26,307.21,307.49,320.14,331.62,320.98,317.05,311.15,302.14,311.46,302.11,303.10,296.85,293.51,286.75,289.81,300.71,295.80,296.55,296.65,289.11,283.48,279.18,277.24,284.64,272.79,273.05,281.61,274.93,279.52,293.76,308.04,298.74,307.05,296.20,283.74,287.24,287.27,298.22,299.64,315.63,306.93,309.09,294.77,305.79,326.51,L7
2003-03-07 21:55:34+00:00,309.47,306.05,309.03,296.85,330.48,335.06,311.07,315.00,298.09,300.98,287.80,283.86,281.02,262.71,295.23,296.18,290.76,278.18,262.91,286.20,280.94,281.73,300.59,312.69,304.23,,276.69,288.90,282.33,277.10,,294.99,294.36,292.20,291.18,292.87,307.23,301.60,303.20,294.56,303.37,292.16,272.64,,253.19,284.25,285.75,269.23,279.29,285.95,298.18,288.22,287.00,280.19,280.23,260.13,264.99,281.20,,326.93,325.97,320.14,303.81,320.26,331.65,L7
2003-04-08 21:55:35+00:00,,,,,,,,,,,284.22,278.51,274.34,259.00,,,240.96,256.33,255.11,246.83,243.43,248.24,,316.10,311.74,279.50,275.75,280.83,279.12,268.05,269.50,282.38,290.79,288.75,288.03,293.43,302.11,285.68,295.78,,,,233.46,,214.69,,,,,248.12,290.80,281.85,278.04,270.41,256.34,251.89,253.49,246.92,,314.72,,,,,,L7
2003-07-29 21:55:17+00:00,312.36,306.76,308.90,300.19,302.66,311.52,284.39,301.25,301.16,294.36,286.62,283.95,276.69,262.48,,,253.75,257.97,260.53,255.63,265.65,263.32,268.14,,291.47,284.95,282.41,282.42,282.61,264.75,263.94,279.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-07-30 21:37:21+00:00,309.81,309.08,304.00,294.80,302.20,311.02,285.25,298.39,294.63,290.78,287.42,279.78,267.36,261.11,,,250.41,254.64,251.49,249.54,254.83,256.28,261.67,277.35,282.11,280.46,272.70,283.06,271.85,265.18,262.50,273.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-10-17 21:55:03+00:00,,,,,348.31,355.73,357.98,346.73,346.73,342.30,338.49,326.76,,318.24,309.09,303.07,296.65,291.49,297.41,302.70,305.32,312.66,322.28,342.25,,,329.26,307.96,314.84,,298.16,286.06,284.38,287.46,291.27,278.69,278.03,287.16,311.48,340.08,323.06,299.70,308.10,309.14,,302.07,290.40,269.87,,305.68,315.88,322.29,323.51,316.85,324.09,333.69,337.66,334.83,318.01,313.90,295.76,307.20,297.20,303.37,323.70,L7
2003-10-26 21:49:02+00:00,,,,,,,,,,,,,284.15,282.32,297.73,292.00,280.23,283.91,279.54,276.67,285.81,290.60,298.80,306.21,306.67,,290.75,286.11,294.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-11-18 21:55:27+00:00,353.69,,,,321.92,335.68,335.65,345.57,344.65,332.86,323.46,327.82,325.62,303.50,304.07,310.07,302.47,298.62,305.57,302.54,300.40,309.65,321.66,332.92,,,,313.64,316.34,,309.27,283.34,282.26,282.40,275.02,293.23,315.64,312.89,322.08,314.24,297.03,308.92,290.71,290.76,,301.00,293.15,281.35,293.89,300.10,321.94,309.10,308.00,313.09,309.01,317.47,317.43,312.49,319.26,327.90,336.90,333.07,310.35,321.15,329.17,L7
2004-02-23 21:39:37+00:00,,,,,,,317.34,312.55,311.48,300.52,300.58,290.25,287.45,279.04,276.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-03-01 21:45:50+00:00,314.52,308.33,310.67,308.01,291.50,316.15,322.66,313.45,313.01,300.13,297.72,294.67,281.11,275.25,274.90,269.70,257.57,262.39,269.18,266.45,270.85,274.04,294.16,309.99,297.09,286.09,282.93,291.00,289.63,279.49,277.03,280.53,271.39,271.37,274.53,276.71,284.36,288.36,287.35,290.32,270.22,280.03,264.92,262.45,253.42,260.04,262.58,251.11,251.97,270.18,291.16,284.21,290.63,281.89,285.94,290.94,319.75,328.59,329.14,320.44,306.82,284.84,284.29,292.10,310.58,L5
2004-03-09 21:56:03+00:00,310.90,314.79,305.74,310.37,310.97,315.61,304.39,305.82,301.28,298.29,287.73,292.90,279.20,273.61,,274.61,256.92,270.72,265.05,262.50,276.24,280.70,289.43,304.84,299.63,288.18,284.12,289.42,289.96,278.44,275.01,289.56,277.61,276.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.59,,,L7
