dates,satname,nzd0213-0000,nzd0213-0001,nzd0213-0002,nzd0213-0003,nzd0213-0004,nzd0213-0005,nzd0213-0006,nzd0213-0007,nzd0213-0008,nzd0213-0009,nzd0213-0010,nzd0213-0011,nzd0213-0012,nzd0213-0013,nzd0213-0014,nzd0213-0015,nzd0213-0016,nzd0213-0017,nzd0213-0018,nzd0213-0019,nzd0213-0020,nzd0213-0021,nzd0213-0022,nzd0213-0023,nzd0213-0024,nzd0213-0025,nzd0213-0026,nzd0213-0027,nzd0213-0028,nzd0213-0029,nzd0213-0030,nzd0213-0031,nzd0213-0032,nzd0213-0033,nzd0213-0034,nzd0213-0035,nzd0213-0036,nzd0213-0037,nzd0213-0038,nzd0213-0039,nzd0213-0040,nzd0213-0041,nzd0213-0042,nzd0213-0043,nzd0213-0044,nzd0213-0045,nzd0213-0046,nzd0213-0047,nzd0213-0048,nzd0213-0049,nzd0213-0050
1999-09-22 21:46:36+00:00,L7,389.35,370.38,358.26,350.68,356.70,360.68,359.72,360.38,356.55,366.90,361.27,364.71,364.04,364.55,363.09,362.43,359.68,363.31,362.21,360.75,360.50,362.93,367.92,372.89,376.60,382.13,388.37,396.31,420.54,417.13,408.39,405.41,413.17,414.92,415.00,419.74,421.60,421.45,412.79,406.34,405.84,404.40,408.91,411.28,415.34,421.98,417.32,433.67,411.99,397.34,408.63
2000-02-04 21:52:37+00:00,L7,380.74,360.78,356.46,345.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-16 21:46:15+00:00,L7,395.44,375.09,359.54,358.09,358.08,361.06,365.73,366.30,365.26,368.93,364.67,365.61,363.76,364.82,359.59,360.30,363.36,363.70,361.79,363.17,362.94,366.08,370.87,379.72,382.88,390.12,394.20,401.02,410.99,408.91,410.09,407.93,405.89,407.87,406.95,407.60,409.25,408.86,411.05,401.74,398.43,398.43,399.70,403.96,407.07,412.31,416.34,429.74,411.73,401.34,405.51
2000-05-03 21:45:55+00:00,L7,385.69,363.24,358.08,353.67,356.31,356.00,360.64,368.24,355.50,367.87,359.61,357.46,356.63,354.27,355.80,351.69,353.82,356.70,353.07,354.09,358.36,357.21,361.49,372.07,,,,,,,,,,,,,,,399.95,396.62,390.39,388.78,391.54,396.69,402.41,404.62,406.48,421.70,409.85,393.33,405.25
2000-05-26 21:51:48+00:00,L7,388.02,374.64,361.25,355.84,354.96,360.42,364.00,369.11,358.81,370.14,363.43,376.17,361.14,358.95,360.73,362.43,365.10,365.54,364.92,366.55,366.62,372.66,375.07,378.75,383.17,386.25,391.41,392.80,,,,,,,,,,,,,,,,,,,,,,,
2000-07-06 21:45:15+00:00,L7,377.54,358.79,345.65,349.67,339.97,339.19,347.80,339.64,,,345.23,343.67,344.32,342.11,342.13,342.36,346.54,346.21,346.62,345.33,352.16,354.04,358.99,364.93,367.50,366.89,376.99,388.37,404.07,378.84,351.04,396.62,418.78,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45+00:00,L7,403.10,382.97,368.22,365.65,362.57,363.88,366.16,366.43,357.29,369.57,365.85,367.02,363.02,356.46,356.06,358.15,362.62,363.89,361.96,362.41,358.82,362.90,,,,,,,,,,,,,,,,,,,,,,396.91,405.86,412.39,410.01,423.01,411.00,396.16,406.18
2000-08-14 21:50:56+00:00,L7,396.59,381.72,373.80,367.24,366.00,364.47,369.73,372.15,368.18,379.40,369.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-24 21:44:07+00:00,L7,405.87,383.24,362.72,361.65,364.69,369.45,374.10,373.71,369.60,378.51,367.50,370.80,364.19,362.45,361.04,362.88,364.53,367.60,366.65,369.17,372.03,375.61,380.88,386.14,395.74,401.78,404.19,,,,,,,,,,,,,,,,,,,,,430.97,408.64,391.49,403.82
2001-01-14 21:44:09+00:00,L7,380.16,357.86,346.45,342.27,347.47,348.30,356.91,360.22,353.01,362.81,354.49,356.38,352.88,357.10,353.42,351.13,353.54,353.98,358.04,360.28,362.97,371.06,376.05,383.13,383.26,388.16,393.32,393.48,392.22,318.70,381.30,380.52,379.55,384.93,382.92,376.88,380.41,377.41,381.10,377.88,375.56,375.05,383.10,387.14,390.75,397.54,400.68,411.29,395.55,390.22,401.93
2001-04-04 21:43:43+00:00,L7,404.65,382.43,370.58,362.10,360.22,361.49,364.13,371.29,372.21,380.13,374.07,375.53,367.45,365.08,365.95,364.09,364.74,367.81,368.23,373.21,379.23,377.97,384.55,,,,,,,,,,,,,,391.36,388.56,388.78,387.45,382.60,384.11,389.56,394.73,401.93,408.93,410.02,430.81,412.67,397.98,409.29
2001-04-20 21:43:46+00:00,L7,390.29,375.43,363.54,361.92,359.39,363.31,363.03,372.43,364.39,377.32,369.45,364.56,362.56,362.71,362.20,364.59,363.38,366.08,365.56,371.58,370.04,374.64,376.89,382.23,385.71,388.83,403.22,405.11,388.83,382.11,380.28,377.36,372.17,378.11,377.47,377.10,379.44,377.69,377.08,379.17,378.03,377.01,387.88,391.42,393.03,404.51,404.02,420.42,408.40,393.01,403.00
2001-05-22 21:43:30+00:00,L7,393.26,372.04,351.46,350.67,348.39,345.84,352.05,357.84,,,356.91,359.95,352.59,,273.56,281.85,330.21,,,,347.23,,,,,,,,,,,,,,,,,,,357.08,359.21,355.20,361.27,366.18,368.32,383.75,383.37,395.37,389.73,371.90,372.42
