,dates,jap0010-0000,jap0010-0001,jap0010-0002,jap0010-0003,jap0010-0004,jap0010-0005,jap0010-0006,jap0010-0007,jap0010-0008,jap0010-0009,jap0010-0010,jap0010-0011,jap0010-0012,jap0010-0013,jap0010-0014,jap0010-0015,jap0010-0016,jap0010-0017,jap0010-0018,jap0010-0019
0,1984-09-28 00:25:00+00:00,107.31025383625295,98.78903951102372,88.73251109208378,76.3295255504063,90.49350246531918,88.585629539313,91.23052630481925,96.2398341502977,104.01173538430717,105.85318396978661,116.0339482648481,110.8197365389131,120.44396976600979,,125.26269506858193,119.90295776223925,127.93624477338352,130.74858333830878,136.87517164143105,145.5624898664206
1,1986-05-13 00:19:38+00:00,,86.50602409321607,89.05015043825397,,,,,103.7511606021053,105.42255763289322,,110.28139465782779,,123.62194488111282,,108.27138144267522,119.56297463929184,140.87814900387087,138.88827265397984,142.63974386003312,146.26649056914803
2,1986-06-23 00:12:13+00:00,100.58827200462369,90.08784481337213,91.15940452106841,96.23892411772452,106.95294927908338,112.89097435959258,112.03734316655823,121.38372750101398,132.96576406175566,140.89976238207188,146.62953279503606,126.36072517237596,125.4950633370627,124.6319504436575,113.35635067850836,131.81239962029156,137.45039220160692,141.68335000217172,152.04704188208973,162.56278845095932
3,1986-08-01 00:17:04+00:00,94.34002638977954,89.98896198874466,93.5454845447531,97.50271400941477,99.44541043673735,105.11162885579947,114.10271839684422,127.85055793920402,132.21716214914846,134.29585568172712,137.84110797142512,149.910234574399,150.26576360935158,141.92389763189868,120.12761914395756,138.35289301143408,140.41608750537833,142.35808839924266,160.7870224945628,171.65508329665082
4,1986-10-04 00:14:51+00:00,88.18208447440179,83.14989375483299,85.55929004625202,83.37574341824771,90.37833229247398,94.08925834813128,98.05755185481371,100.59716763482662,104.46862285802817,105.3411202073429,106.81497698645916,111.55854117941405,112.84034646228858,,101.28808199284398,129.6551923151957,129.03581047768427,129.1160976360771,135.56925587711126,137.69207101568307
5,1986-10-20 00:14:19+00:00,86.41030878710751,81.1698562595652,84.05249959362979,86.04823725117095,,,93.81472142686653,101.98725361266256,100.58577458196027,111.16769977786296,113.7789535973774,123.07529039916983,126.36331457146365,103.92542893509588,117.37452773787598,133.97420324214846,139.50418780368074,135.88548784644797,137.80307917683365,146.06870834351497
6,1987-11-24 00:23:08+00:00,,105.32216367259636,102.72634019789828,,,,,,114.7527446562637,,,,,,,,,,,
7,1988-09-07 00:25:41+00:00,102.97006461416011,117.68890827831572,134.8530617739918,,,,,,154.22554672534602,149.15329817598993,139.03508484281426,139.7809875327203,145.0460801386224,,,158.3522310422555,156.34963780754248,152.96383838881962,145.06190762719478,151.7185171997968
8,1988-11-19 00:19:18+00:00,,,,,,,,,,,,,,,,77.41855919348464,,,,
9,1989-07-01 00:16:24+00:00,79.53139916849861,,,78.66432920235968,85.82691566043945,91.58339821432295,95.29093516124759,107.26089857342421,111.2715661347183,107.3894029266699,108.65368141450925,109.38105804906232,113.60263937578318,104.84414994145531,101.01126995760588,112.07659254672775,120.97981084201115,125.45301481193042,127.58663637945068,143.94469853487493
10,1989-08-02 00:15:44+00:00,127.1892359745983,122.2490094716361,121.31329381921917,123.39004892689195,123.26205690967083,130.52438934733775,132.41723990560436,136.44827847809432,134.85453033318566,123.9503853147369,122.78027840315764,123.85512235144643,134.6544837557045,123.44928522292437,124.25762010595336,129.23448355103724,137.84073310542885,145.2621200839714,154.33455910913233,150.63441415184522
11,1989-08-09 00:21:45+00:00,110.41513075881174,,,,,,,,,,,,,,,,,108.31660715262014,120.37627885826093,125.48681785392529
12,1989-08-25 00:21:24+00:00,128.53742057767988,122.99778563130761,121.75180267877654,119.91245649379772,124.05340055870357,118.51669836149588,118.97261027433437,125.97750622387751,122.28756553045406,127.64560077166082,122.05778960398756,122.15939200105483,122.28322779509594,117.40648549112458,118.82660715655113,124.14734504237862,125.77203555031474,123.01069675143869,127.56245766298225,133.79168885628695
13,1989-09-19 00:14:29+00:00,126.26255569141097,124.66048424109988,120.80762680722503,128.09131109905525,131.06065236036022,126.10442530911108,131.08515776238545,134.32712897258835,131.73433253014332,122.44137203051409,121.73998143197778,121.69454912815085,126.43563083234645,114.9759119766941,115.98543992200332,118.20951554082207,115.05160834893302,118.4975691881282,127.10381720607467,135.07506651371045
14,1989-10-05 00:14:20+00:00,122.32976550924616,115.73084002673274,111.79009310185084,115.50339135080489,118.82232219731539,118.65070023491809,123.24134293128853,131.62841275412438,126.60670087298307,122.43557442719158,124.81881744539169,122.48159335988078,128.2388991482521,118.11524148569261,118.63931693148751,124.18766931960164,123.2900736783765,125.74250509265391,127.16206964054983,136.04700324623076
15,1989-11-29 00:18:49+00:00,94.85284387076172,90.88464424962402,91.40132143472019,95.55945939310617,102.68868832192581,111.59158858935396,123.91228198479389,125.7185004522646,119.19524797695459,111.18824312394113,108.27655885900361,113.61565204651995,118.65738195917845,108.99580350624964,97.77834439900037,104.3825619202751,106.06239859865465,108.46360011347872,112.11204501689426,125.70206462609968
16,1990-01-16 00:17:21+00:00,,66.27907398231923,,,,,,,,,,,,,,,,,,
17,1990-01-25 00:10:52+00:00,,,,,,,,,,,,,,,,,,,,
18,1990-05-24 00:15:04+00:00,102.72282880649198,96.53057099825128,101.44556229239052,115.21542872640296,127.72041605620814,128.35719334424988,138.9440860335245,146.33317298071893,151.5216909862665,151.72533889624708,135.5597478970522,131.05159190450922,128.23243018228686,120.90543566820858,126.46882986435207,140.49761217953798,150.81526689475487,153.83595676381475,156.3329064085451,158.170872310577
19,1990-07-27 00:14:57+00:00,100.98509065314111,97.2416844312832,100.87731194776501,111.87898628107949,118.02328955486338,125.57930020712692,128.96354226496294,134.77868934795777,135.13428880956826,139.93500097287097,142.3217774708966,142.38328744865856,138.39623921755822,144.38058656260657,143.2910847714344,145.6592630019857,146.40765338766175,151.63280382972465,159.02314305393926,156.22455332541358
20,1990-08-21 00:08:39+00:00,121.54624060157198,126.08053297738311,129.05303059884227,127.64613293073467,128.02766599755054,130.46280131913824,126.60654961378654,127.55316441719337,121.5311707590697,124.51134660707612,125.37901372420231,122.90521585401171,123.56609960477843,126.35713189571089,125.69769197411145,136.37452232852533,146.12407124439056,147.98365627738193,154.2761065483453,160.7299303542261
21,1991-05-20 00:11:13+00:00,91.07028596207641,85.80877486121366,88.5959860422511,97.62767914918604,100.91314434024278,108.04914896542161,115.84770264884233,128.68094329722814,126.1597328663358,122.4278444247563,120.91875698660004,115.87509369145982,114.40937999170973,113.43433715774842,121.36983869132351,130.23648061440582,142.24241523986012,150.38229080555035,160.66542187061742,157.52752776225162
22,1992-05-13 00:18:36+00:00,102.23230333588404,95.74859984371257,94.8284571354614,93.4672179385516,109.15264143874259,113.58105964789792,114.05246154080837,118.09349518745259,115.69660772517312,115.82500643914454,124.01911631011042,123.45226939451636,124.59514197469318,126.700250557327,134.28868391058776,133.14381864168044,140.8623434494358,145.33035404810897,149.18760708612177,145.2042777008538
23,1992-06-30 00:18:05+00:00,109.76140411850406,113.31298981585778,119.46961919636178,119.51695756809313,124.87581220118753,125.46746321463371,133.07362423508658,135.1749324140801,137.67254774897017,142.78373873491137,143.5098420168361,145.29893924030378,155.821916302327,152.903709058606,162.15853742456517,173.24100160436063,176.8900914880581,180.75891538007005,184.88900582049087,174.2785116726216
24,1992-07-16 00:17:53+00:00,,,,,,,,,,,,,,,,,,,,
25,1992-08-10 00:11:23+00:00,90.52870400290442,88.40777035617592,90.8019933669296,101.59529087853196,107.05014544894608,112.33719590152532,116.62598103450708,116.51213061526269,117.71274457834518,114.00304171549476,113.41747225162084,116.92093085592442,120.5282362214384,90.13165250772431,128.7141422959155,138.31826984971678,154.45663428014632,152.8032847278959,165.40468422293122,167.65357221490683
