dates,satname,nzd0346-0000,nzd0346-0001,nzd0346-0002,nzd0346-0003,nzd0346-0004,nzd0346-0005,nzd0346-0006,nzd0346-0007,nzd0346-0008,nzd0346-0009,nzd0346-0010,nzd0346-0011
1999-08-12 21:53:56+00:00,L7,357.96,344.38,350.17,348.59,352.75,350.99,340.94,338.22,337.91,342.92,356.13,373.38
1999-08-28 21:53:59+00:00,L7,351.73,348.59,340.88,344.27,339.55,344.93,334.79,336.89,335.48,330.14,343.06,352.25
1999-09-29 21:54:04+00:00,L7,344.62,338.42,331.99,338.02,335.44,337.59,330.50,323.16,320.30,318.04,319.58,317.42
1999-12-11 21:47:48+00:00,L7,350.16,341.98,338.46,339.26,335.33,337.64,332.19,334.05,337.71,329.18,356.12,328.92
2000-01-19 21:53:49+00:00,L7,368.55,359.91,352.35,353.05,354.50,356.97,351.63,347.65,352.90,344.17,357.96,372.17
2000-05-10 21:53:10+00:00,L7,353.95,343.96,338.41,340.15,340.63,351.10,338.88,338.50,337.26,333.41,337.21,351.19
2000-05-26 21:53:00+00:00,L7,357.81,344.91,348.71,349.00,350.00,350.72,344.54,343.13,344.89,334.53,342.09,338.47
2000-07-13 21:52:31+00:00,L7,349.59,339.23,341.81,348.81,352.09,366.17,365.94,346.55,353.77,346.11,352.98,358.69
2000-07-29 21:52:14+00:00,L7,351.42,343.63,339.95,345.83,350.38,367.98,368.84,360.61,363.04,357.61,363.25,374.15
2000-08-14 21:52:08+00:00,L7,342.49,336.95,329.68,329.60,331.56,342.68,341.57,344.07,344.86,334.79,340.35,353.36
2000-10-26 21:45:10+00:00,L7,,,,,,,,,,,349.73,383.37
2000-11-18 21:51:22+00:00,L7,323.94,313.66,314.31,312.41,315.44,311.40,308.91,304.65,306.37,308.36,307.37,303.19
2000-12-04 21:51:22+00:00,L7,351.33,338.54,337.86,341.66,339.47,341.27,340.71,340.64,342.14,327.83,323.15,334.15
2001-01-05 21:51:28+00:00,L7,356.45,346.50,338.14,345.67,351.42,355.20,354.85,352.20,358.84,352.55,343.47,352.69
2001-04-27 21:51:07+00:00,L7,333.96,326.51,324.25,322.59,326.77,334.44,328.77,335.95,334.98,332.58,330.92,329.54
2001-05-13 21:50:57+00:00,L7,331.44,326.49,326.41,324.53,330.98,342.07,338.73,338.07,337.63,333.58,336.42,331.84
2001-06-14 21:50:38+00:00,L7,348.64,340.32,334.50,336.95,333.50,342.86,341.68,344.13,349.45,339.36,333.18,319.77
2001-09-18 21:49:29+00:00,L7,351.17,342.77,340.41,345.59,336.29,339.52,340.29,339.46,337.97,328.25,340.16,342.21
2001-10-04 21:49:17+00:00,L7,348.30,341.71,342.22,341.84,337.01,337.28,339.05,334.49,330.95,321.56,333.20,331.27
2002-01-17 21:43:40+00:00,L7,,,,,,593.30,,,337.15,312.55,,252.46
2002-03-06 21:43:47+00:00,L7,,,,,328.65,328.86,332.19,,,270.48,337.66,330.28
2002-05-09 21:43:40+00:00,L7,355.14,344.69,340.45,340.91,338.06,338.65,337.59,322.69,327.10,329.04,337.51,328.85
2002-07-19 21:49:21+00:00,L7,349.72,345.79,336.34,340.16,336.51,340.44,338.19,322.86,329.41,327.56,338.32,345.84
2002-08-20 21:49:10+00:00,L7,355.95,350.20,338.72,341.54,338.98,347.48,351.06,328.43,329.15,325.69,342.12,363.06
2002-09-05 21:48:38+00:00,L7,,,,,,,,,,,,
2002-10-16 21:42:36+00:00,L7,349.86,343.83,339.93,341.57,327.37,321.70,323.22,315.59,314.74,316.98,338.63,351.61
2002-10-23 21:48:27+00:00,L7,354.53,351.94,351.95,350.57,341.10,341.24,338.87,337.01,336.29,330.43,338.25,330.94
2002-12-26 21:49:23+00:00,L7,327.43,323.47,317.75,320.64,320.83,323.07,319.07,315.46,312.61,306.10,304.17,300.83
2003-01-27 21:49:33+00:00,L7,343.70,335.96,331.60,329.94,330.83,336.05,334.03,327.31,338.59,332.29,323.76,325.98
