dates,nzd0346-0000,nzd0346-0001,nzd0346-0002,nzd0346-0003,nzd0346-0004,nzd0346-0005,nzd0346-0006,nzd0346-0007,nzd0346-0008,nzd0346-0009,nzd0346-0010,nzd0346-0011,satname
1999-08-12 21:53:56+00:00,355.60,341.78,347.91,344.88,349.69,348.63,337.69,333.49,333.91,339.21,351.40,365.95,L7
1999-08-28 21:53:59+00:00,353.17,344.63,343.92,343.79,343.98,346.28,335.56,334.19,333.85,333.89,346.23,357.53,L7
1999-09-29 21:54:04+00:00,352.47,344.93,342.00,345.25,343.91,345.53,336.83,334.82,332.97,331.99,341.65,350.92,L7
1999-12-11 21:47:48+00:00,352.91,345.32,342.09,345.36,343.09,344.58,337.07,336.67,335.89,332.89,347.31,348.64,L7
2000-01-19 21:53:49+00:00,354.60,346.66,342.77,344.64,343.51,345.62,338.01,335.99,336.86,332.89,346.57,348.83,L7
2000-05-10 21:53:10+00:00,357.89,348.98,343.39,344.68,343.92,348.90,341.35,340.73,343.19,336.11,351.10,351.81,L7
2000-05-26 21:53:00+00:00,358.30,348.44,345.13,346.44,346.00,349.79,342.75,342.19,344.34,336.39,349.71,349.83,L7
2000-07-13 21:52:31+00:00,355.88,345.25,343.80,345.25,347.25,354.65,348.06,340.77,344.51,337.05,344.38,350.13,L7
2000-07-29 21:52:14+00:00,351.56,341.13,340.65,343.38,346.16,357.36,352.30,343.92,346.97,340.34,345.61,350.48,L7
2000-08-14 21:52:08+00:00,348.96,339.44,337.71,339.39,342.23,353.64,349.08,342.39,345.22,338.00,342.99,348.60,L7
2000-10-26 21:45:10+00:00,348.96,339.44,337.71,339.39,342.23,353.64,349.08,342.39,345.22,338.00,342.24,351.44,L7
2000-11-18 21:51:22+00:00,343.38,333.84,333.29,334.50,337.73,346.12,343.66,336.45,339.75,333.65,337.96,344.54,L7
2000-12-04 21:51:22+00:00,342.35,332.86,331.38,333.46,335.98,344.50,343.27,336.50,339.67,332.74,335.26,344.53,L7
2001-01-05 21:51:28+00:00,344.43,334.83,332.25,335.07,338.20,346.01,344.82,338.57,342.40,335.61,335.96,344.96,L7
2001-04-27 21:51:07+00:00,344.44,334.63,331.53,335.33,337.19,338.60,337.46,339.40,340.70,335.08,332.27,339.39,L7
2001-05-13 21:50:57+00:00,342.66,333.90,331.29,334.46,337.00,340.11,338.84,340.77,341.47,336.07,334.74,340.45,L7
2001-06-14 21:50:38+00:00,344.64,337.18,332.76,335.62,338.28,345.66,343.79,346.63,348.65,342.70,340.04,339.82,L7
2001-09-18 21:49:29+00:00,343.10,336.00,333.11,335.24,334.21,341.51,339.84,342.99,343.05,336.26,338.76,336.48,L7
2001-10-04 21:49:17+00:00,344.21,337.22,335.00,336.67,334.86,340.74,339.78,341.44,340.75,333.44,337.79,335.67,L7
2002-01-17 21:43:40+00:00,348.64,341.04,340.27,342.00,335.24,337.31,338.17,334.80,337.10,322.41,334.50,333.31,L7
2002-03-06 21:43:47+00:00,348.64,341.04,340.27,342.00,333.83,335.10,337.01,334.80,337.10,322.41,336.77,334.20,L7
2002-05-09 21:43:40+00:00,350.05,339.09,335.58,332.91,331.24,332.12,332.64,312.51,332.27,320.94,334.31,324.42,L7
2002-07-19 21:49:21+00:00,348.93,341.39,335.04,335.04,332.17,334.26,333.61,315.77,322.33,322.80,334.38,329.56,L7
2002-08-20 21:49:10+00:00,349.48,342.36,334.56,334.39,332.14,336.22,336.13,316.42,321.58,320.95,333.63,333.72,L7
2002-10-16 21:42:36+00:00,348.87,341.95,335.23,335.08,330.32,333.27,332.30,314.80,318.68,318.85,331.55,335.41,L7
2002-10-23 21:48:27+00:00,350.24,344.21,338.80,338.55,332.78,335.10,333.94,319.71,322.60,321.54,333.36,335.26,L7
2002-12-26 21:49:23+00:00,346.93,342.43,336.40,338.01,332.23,334.22,333.31,322.74,323.49,320.47,331.17,336.68,L7
2003-01-27 21:49:33+00:00,345.77,340.50,335.49,336.02,331.14,333.38,332.53,323.70,325.38,321.47,328.33,332.82,L7
2003-03-16 21:49:46+00:00,343.68,337.44,332.92,333.04,329.90,334.33,333.75,327.61,330.14,327.90,331.79,332.39,L7
2003-05-03 21:49:49+00:00,340.99,333.78,327.01,325.39,327.88,336.01,335.49,330.91,335.80,332.96,331.14,327.27,L7
2003-05-19 21:49:43+00:00,341.23,334.06,328.42,325.61,326.13,334.38,334.46,329.65,335.17,329.79,329.14,325.00,L7
2003-07-23 21:31:26+00:00,345.15,336.17,330.66,326.46,325.92,334.52,333.87,328.90,336.49,331.28,331.84,328.06,L5
2003-07-30 21:37:45+00:00,345.44,336.21,330.07,326.57,324.90,332.93,331.38,327.91,335.10,329.94,334.22,330.03,L5
2003-08-08 21:31:43+00:00,345.29,335.69,330.41,328.72,325.81,333.21,330.86,325.72,333.43,328.26,333.94,332.81,L5
