dates,nzd0030-0000,nzd0030-0001,nzd0030-0002,nzd0030-0003,nzd0030-0004,nzd0030-0005,nzd0030-0006,nzd0030-0007,nzd0030-0008,nzd0030-0009,nzd0030-0010,nzd0030-0011,nzd0030-0012,nzd0030-0013,nzd0030-0014,nzd0030-0015,nzd0030-0016,nzd0030-0017,nzd0030-0018,nzd0030-0019,nzd0030-0020,nzd0030-0021,nzd0030-0022,nzd0030-0023,nzd0030-0024,nzd0030-0025,nzd0030-0026,nzd0030-0027,nzd0030-0028,nzd0030-0029,nzd0030-0030,nzd0030-0031,nzd0030-0032,nzd0030-0033,nzd0030-0034,nzd0030-0035,nzd0030-0036,nzd0030-0037,nzd0030-0038,nzd0030-0039,nzd0030-0040,nzd0030-0041,nzd0030-0042,nzd0030-0043,nzd0030-0044,nzd0030-0045,nzd0030-0046,nzd0030-0047,nzd0030-0048,nzd0030-0049,nzd0030-0050,nzd0030-0051,nzd0030-0052,nzd0030-0053,nzd0030-0054,nzd0030-0055,nzd0030-0056,nzd0030-0057,nzd0030-0058,nzd0030-0059,nzd0030-0060,nzd0030-0061,nzd0030-0062,nzd0030-0063,nzd0030-0064,nzd0030-0065,nzd0030-0066,nzd0030-0067,nzd0030-0068,nzd0030-0069,nzd0030-0070,nzd0030-0071,nzd0030-0072,nzd0030-0073,nzd0030-0074,nzd0030-0075,nzd0030-0076,nzd0030-0077,nzd0030-0078,nzd0030-0079,nzd0030-0080,nzd0030-0081,nzd0030-0082,nzd0030-0083,nzd0030-0084,nzd0030-0085,nzd0030-0086,nzd0030-0087,nzd0030-0088,nzd0030-0089,nzd0030-0090,nzd0030-0091,nzd0030-0092,nzd0030-0093,nzd0030-0094,nzd0030-0095,satname
2000-02-09 22:10:19+00:00,405.48,399.85,400.51,403.49,401.65,410.55,416.42,406.79,401.27,398.01,407.66,410.64,413.18,413.41,414.14,423.87,418.30,411.68,425.30,421.35,422.06,425.03,439.62,436.71,436.85,436.24,420.72,418.08,427.46,419.94,427.18,430.12,429.54,436.49,436.24,431.86,433.95,447.83,440.25,440.61,446.85,438.58,441.44,436.24,440.01,432.49,430.77,419.50,414.23,421.87,404.55,409.34,415.06,422.68,414.64,413.51,414.93,420.03,415.15,412.63,428.55,423.69,421.66,416.50,417.39,429.84,442.03,434.34,438.35,434.43,439.25,434.24,426.59,437.01,443.48,435.02,428.86,440.94,426.85,416.04,438.08,427.38,421.56,427.24,423.29,424.86,424.69,423.70,420.77,433.78,429.18,428.25,436.57,420.40,396.37,,L7
2000-04-29 22:09:53+00:00,413.36,406.26,406.88,404.38,400.30,411.32,413.53,408.89,405.13,404.44,409.49,413.80,413.21,413.38,415.26,421.55,417.06,417.20,426.97,423.96,428.40,427.24,438.88,431.60,430.45,431.96,423.08,423.32,431.47,416.95,428.91,429.90,423.66,432.61,437.16,435.62,437.02,448.36,439.51,434.69,448.69,447.92,449.13,445.84,444.48,441.22,438.99,431.32,425.56,427.36,413.47,417.22,422.77,427.50,424.01,421.47,422.39,427.12,417.29,414.65,431.75,423.46,422.82,415.75,408.98,434.91,440.31,429.06,446.92,449.11,445.75,449.38,422.69,445.98,444.17,423.10,426.53,433.90,429.06,413.49,428.06,424.40,422.04,424.12,426.18,427.61,425.26,426.73,430.53,435.42,427.39,429.66,430.67,432.47,410.01,437.28,L7
2000-05-15 22:09:42+00:00,413.36,406.26,406.88,404.38,400.30,411.32,413.53,408.89,405.13,404.44,409.49,413.80,413.21,413.38,415.26,421.55,417.06,417.20,426.97,423.96,429.60,427.24,438.88,431.60,430.45,431.96,423.08,424.09,429.42,416.86,427.14,432.07,423.85,434.48,438.72,436.20,436.90,445.91,438.15,431.04,445.17,443.83,444.34,442.06,442.91,440.31,439.19,431.96,427.51,429.46,417.25,417.94,421.65,424.74,422.40,420.69,422.22,424.35,415.00,415.54,428.33,421.23,420.17,415.13,406.59,431.96,437.60,423.27,446.19,445.89,445.62,448.12,425.61,444.73,441.43,419.36,422.99,428.23,423.64,410.12,420.93,423.41,422.74,424.19,425.53,424.78,424.46,424.20,426.75,431.79,424.90,426.15,426.45,430.50,409.02,425.75,L7
2000-08-03 22:08:44+00:00,408.87,407.06,406.10,404.80,402.50,410.93,414.64,408.85,407.22,407.36,411.11,412.32,412.84,413.45,414.80,418.02,415.57,418.02,426.97,423.96,429.60,427.24,438.88,431.60,430.45,431.96,423.08,424.09,428.78,419.54,427.30,432.88,426.42,434.93,439.51,436.78,436.31,443.63,435.92,429.15,445.71,442.35,440.75,436.14,440.77,437.65,436.69,431.35,427.96,429.05,419.22,418.32,423.78,427.17,423.94,418.75,422.22,413.38,413.73,415.83,423.56,419.46,419.17,413.90,404.00,429.48,433.64,422.06,442.53,443.39,444.62,447.40,426.08,440.85,437.07,419.36,420.12,423.13,420.84,410.37,419.80,422.62,422.95,425.56,425.53,424.78,424.46,421.20,421.76,426.53,423.36,423.23,421.93,426.94,410.15,420.57,L7
2000-09-20 22:08:03+00:00,408.94,404.62,400.79,400.34,398.36,405.49,410.52,409.28,406.39,404.23,409.27,410.57,409.45,409.53,412.19,414.46,414.07,420.28,416.49,414.75,428.10,425.25,428.32,422.10,417.93,421.77,413.38,423.07,425.63,413.98,421.99,430.99,426.34,434.44,438.79,435.96,435.67,440.60,430.95,424.71,441.13,440.20,436.70,433.96,436.46,435.01,433.35,429.46,432.23,432.29,425.43,421.04,425.11,426.08,421.87,412.26,413.81,408.85,409.76,413.23,418.96,415.21,416.07,411.30,399.39,424.88,428.20,416.33,438.16,441.92,441.18,445.79,419.77,436.50,430.06,411.62,421.38,422.80,421.96,413.26,418.42,423.83,424.43,425.02,425.51,426.00,423.79,420.78,422.67,423.46,418.23,419.96,419.14,428.45,416.76,421.50,L7
2000-10-22 22:07:50+00:00,405.17,402.25,399.77,398.31,398.19,402.12,404.88,404.73,402.65,401.40,408.28,411.00,410.47,408.95,410.50,412.77,412.08,416.38,412.27,412.39,424.76,424.73,425.81,415.48,415.29,419.86,411.93,418.97,421.27,409.03,417.94,427.43,424.49,431.63,435.66,432.22,433.15,437.77,427.14,421.29,436.77,435.50,434.23,432.34,434.61,434.31,432.93,429.35,431.72,431.62,425.70,420.79,424.88,422.25,418.99,406.25,406.51,405.08,407.20,411.18,417.34,411.06,411.58,409.12,399.08,420.98,424.75,414.39,435.09,440.75,440.15,444.94,417.10,432.82,428.22,408.40,420.00,421.09,421.00,413.79,418.85,423.78,425.56,426.13,424.92,424.16,422.19,421.11,423.26,422.02,418.14,421.99,418.75,427.47,416.53,420.56,L7
2001-01-26 22:08:07+00:00,403.62,401.28,397.83,398.93,399.19,399.70,405.81,404.25,402.11,398.52,405.43,408.98,411.53,412.24,409.86,415.96,413.94,414.71,413.12,414.58,420.03,423.22,418.84,413.01,416.74,422.19,408.97,410.51,415.86,406.40,413.45,420.93,424.08,433.24,435.16,430.04,428.41,433.48,422.18,420.15,433.06,431.01,429.92,428.31,432.62,431.45,429.97,426.35,429.04,429.13,424.69,418.86,422.94,419.98,414.50,398.06,396.69,394.84,402.43,407.36,413.57,407.94,409.41,408.22,400.53,412.85,419.33,412.41,424.02,429.50,432.63,436.65,413.26,424.16,421.81,407.44,417.65,419.90,418.95,416.37,422.50,424.55,426.62,428.66,422.73,421.19,419.17,417.68,416.12,416.30,416.17,417.40,415.58,422.60,413.36,414.31,L7
2001-04-16 22:07:42+00:00,399.98,398.87,395.50,396.13,393.63,389.68,395.49,396.87,394.81,391.62,393.06,405.19,407.87,409.95,404.98,418.16,414.60,414.89,419.95,421.94,420.86,421.26,413.12,401.75,411.32,421.53,410.53,409.01,412.42,399.99,410.63,416.26,411.94,426.33,423.64,418.48,419.66,427.81,419.52,415.08,433.09,431.80,435.67,435.18,434.18,436.57,437.25,431.65,424.49,419.08,414.78,411.87,414.44,409.51,411.28,400.14,402.74,401.44,401.01,402.50,417.73,407.30,405.96,408.89,397.45,414.35,418.45,403.64,416.56,424.82,428.53,434.25,407.53,423.70,421.63,397.28,405.95,413.79,413.36,410.24,411.78,417.57,420.30,421.15,416.81,413.74,414.11,414.75,415.43,413.73,415.11,418.35,403.64,419.13,404.15,406.44,L7
2001-06-03 22:07:16+00:00,403.42,400.62,395.61,400.44,395.49,393.72,402.35,400.24,397.63,390.66,391.62,404.00,408.31,411.89,405.16,418.50,417.04,418.75,423.94,425.86,424.30,418.89,410.34,401.51,415.35,424.70,411.02,409.42,417.18,405.57,414.77,417.50,412.87,431.25,426.55,419.45,419.18,425.85,418.41,410.29,434.77,435.09,439.37,439.43,439.79,437.93,438.00,432.37,424.19,416.03,407.35,409.20,412.24,413.49,412.55,408.66,411.01,408.28,404.15,405.28,421.15,413.73,412.13,413.15,397.25,418.81,422.20,402.14,413.41,419.19,424.78,430.61,408.09,426.50,422.01,396.54,401.68,409.93,402.49,397.44,403.43,412.55,414.99,417.69,416.15,413.26,414.32,412.63,411.43,411.34,415.24,411.02,396.70,416.82,397.00,401.65,L7
2001-12-12 22:06:14+00:00,390.10,390.77,381.72,384.37,385.61,380.36,394.52,399.36,397.89,393.71,394.56,392.49,387.91,394.11,382.26,390.53,,,,,,,,,,,,,,,,411.19,406.46,413.56,408.19,402.79,401.27,411.03,407.08,392.97,408.84,424.56,424.48,420.36,424.01,417.34,417.01,411.15,406.05,398.38,393.48,398.43,399.95,400.43,399.82,390.27,393.69,395.57,393.69,396.53,403.23,413.83,411.82,409.45,392.27,385.98,403.75,397.80,417.32,421.43,421.72,418.71,399.49,396.95,411.14,391.08,402.93,404.56,406.47,388.25,400.24,400.49,400.22,402.85,402.56,399.36,399.39,395.90,390.85,389.48,395.88,394.30,392.83,396.81,390.48,392.28,L7
