,dates,mex0406-0000,mex0406-0001,mex0406-0002,mex0406-0003,mex0406-0004,mex0406-0005,mex0406-0006,mex0406-0007,mex0406-0008,mex0406-0009
0,1986-03-15 17:14:19+00:00,188.83676795577168,197.41259095141527,198.4018706095103,201.9161391341437,194.10590208742647,186.42601154028486,178.93615328192132,175.22224820052315,188.24675881448508,203.20266836872736
1,1986-03-31 17:14:00+00:00,186.56847031372885,197.4007841211358,197.9752510949088,199.68734020263088,189.88484002564525,195.5892719940429,184.14452028669882,182.37543445798266,201.0196851778619,220.83670785772443
2,1990-04-11 17:08:26+00:00,180.4572137809681,191.3682673308506,207.54624642188557,211.25164716853953,201.43645053883458,205.11910750569797,196.00010829419867,192.3860775940061,201.9776045680967,204.23471592471228
3,1990-05-13 17:08:31+00:00,198.6082806821679,198.10211744467344,200.88936451811915,210.72253670429157,205.29541690986062,207.6893871177708,199.63210231709954,195.3808057492603,197.8573873260798,208.94463859001937
4,1992-09-07 17:10:28+00:00,,,159.24223960958548,178.268144595622,181.56725611890963,194.53743575702597,193.66888474342267,203.6518393028785,219.16461287169162,233.92571429833356
5,1993-01-13 17:09:51+00:00,194.04758172486777,192.13886472948712,193.00435090733689,195.6435461715762,198.01868921643947,199.17526956530668,194.2223795026345,190.82292887278624,196.90858739873897,200.70422773621684
6,1993-01-29 17:10:02+00:00,209.62897940017984,200.6921700299117,203.5353918560463,196.69450943782056,204.17281196538644,211.71849752637328,195.88499335340745,190.57247762233,194.4305399948906,205.9189924049363
7,1993-03-02 17:10:19+00:00,185.93306113368038,188.1493670948981,195.2081921813255,197.71272152481103,194.82449700077834,194.84806585226994,190.60851459374933,184.0853530412462,189.421849041675,206.4122791381854
8,1993-03-18 17:10:26+00:00,183.41582479148354,185.77182735834037,195.63513267929383,201.29422136444447,195.7662737064287,194.55873157775932,188.04314955473842,183.30596285692138,187.38338118338882,202.93557624905816
9,1993-04-03 17:10:29+00:00,176.77942968093944,171.28328980742194,184.83123146192972,190.50797630564588,184.73000108096065,191.88085315046825,192.03179358839694,186.06442375222994,198.46071853270806,203.973979077539
10,1993-04-19 17:10:38+00:00,181.49154494764116,179.86461899922895,190.39599766663758,193.32403297523854,196.4266686918926,196.61190626757013,188.23419435523562,193.03847221982002,197.88512514504797,206.355478224857
11,1993-05-05 17:10:42+00:00,182.00313714486958,185.11377952526163,191.99587595623598,194.72738337800337,195.2397946909,197.32776891137004,190.8290955131341,192.54715841260813,197.9840784091198,204.07358441106098
12,1993-06-06 17:10:48+00:00,178.0271846274567,173.52854784000618,185.55848258866877,189.09798425750884,197.01772211641753,194.4048249032297,189.35744501990536,193.47291292167301,198.589457096036,208.42358891273062
13,1993-06-22 17:10:43+00:00,171.73232090993355,176.330775580717,184.50181808223164,196.37560527838534,202.54317335368117,201.86569728493978,195.4067849418816,192.6911823289071,202.81633354528137,222.0534342297935
14,1993-07-24 17:10:39+00:00,153.12206661544366,153.3204286265732,166.66586326999882,183.94230328562833,195.7812579154433,202.55808405217468,202.25164972319996,209.0849101381388,222.79590304096408,237.95242150389262
15,1993-08-09 17:10:39+00:00,156.48373687121764,164.88625273944115,173.02981080874997,189.8120504149946,205.49144041417796,211.13007941293526,210.33784718962067,221.58340019768832,237.22998631845405,252.0735742495671
16,1993-09-26 17:10:32+00:00,150.70794764235404,139.25380982452796,153.72708422824815,162.1001613561428,168.6087441620458,180.85428924724042,185.62106504129423,194.87424451835165,216.54759557565805,234.09460739398804
17,1993-10-12 17:10:28+00:00,127.27889332128218,114.72082720820276,129.96882639956914,150.02502238908133,158.53886901338618,166.7325824938094,167.42033907027192,178.88151766443474,199.15756186017308,211.35923714017255
18,1993-11-29 17:10:09+00:00,147.9436841798832,142.2231985375426,153.38820209569772,161.91759729854274,184.48291219226374,193.21502389359466,196.5396146643201,203.29573610347845,222.4104255239884,252.23460315334813
19,1993-12-15 17:10:03+00:00,,127.50902429821997,145.13414170782787,161.90047496824792,173.08940795756914,181.10713467598853,182.5732941645761,187.54281882730612,200.80995433423485,202.82256871046104
20,1994-02-01 17:09:27+00:00,208.4856640792665,202.94232310585357,204.27813298141442,208.44816020837,199.80740031615392,203.3256139426315,198.08362715204618,189.010258147062,196.35956784551038,205.01332565240972
21,1994-03-21 17:08:46+00:00,186.46952614010473,189.6029563028544,197.15980642682163,205.06623451935616,194.70811724790664,195.00389038380365,192.97742682103055,188.9380551387425,201.0485423381605,216.7445146757423
22,1994-04-06 17:08:29+00:00,185.54674917509686,190.76037556204255,202.9422162793745,205.6700587927623,193.5911835242431,193.43370238719078,191.22133454194338,187.5589805405471,192.71529342675677,207.96796860249208
23,1994-04-22 17:08:11+00:00,177.22526048340472,179.1407148359055,193.07237729860535,201.5852319464515,197.3299469679183,197.9485906757338,193.15584995334635,191.06562561977975,196.97368595939548,216.2668594043296
24,1994-05-24 17:07:36+00:00,179.5964377082624,190.03708278671365,197.5513739886184,201.58168255919088,201.81163988749984,202.2713891429042,196.08600657851778,195.18519793983307,198.66072491475114,212.21608441927182
25,1994-06-25 17:06:56+00:00,158.78342105955622,159.3670279267306,182.23255402270206,191.47575649127901,199.71528908378468,202.91771623138823,204.5380135105934,200.4586737363722,204.70721686036828,218.40711657247257
