dates,nzd0341-0000,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0007,nzd0341-0008,nzd0341-0009,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0017,nzd0341-0018,nzd0341-0019,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0034,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043,nzd0341-0044,satname
1999-08-21 21:47:44+00:00,,,,,,,,,,,,,,,359.33,336.54,318.44,317.74,305.54,306.60,313.16,301.12,311.57,315.27,321.51,325.09,329.52,331.34,332.23,339.72,342.30,336.62,337.84,317.03,308.49,303.52,,,,,,,,,,L7
1999-08-28 21:53:59+00:00,353.64,357.08,353.66,372.94,361.12,333.53,343.34,336.36,351.46,350.11,368.19,381.57,388.17,378.70,357.29,334.44,318.31,315.44,306.00,309.74,310.02,304.41,315.44,317.44,323.42,326.82,326.69,331.88,333.21,343.40,342.91,335.90,333.60,311.88,309.11,306.39,313.98,321.74,333.00,337.46,341.59,341.16,347.27,347.90,337.62,L7
1999-09-22 21:47:48+00:00,350.39,360.42,353.78,376.49,364.90,333.95,352.75,347.44,365.92,359.48,369.93,376.10,395.64,378.77,356.95,335.80,317.67,315.29,306.54,310.34,313.52,320.53,319.93,315.89,320.60,325.37,329.41,338.35,343.15,352.71,350.23,340.91,334.05,314.21,309.48,304.61,311.88,318.21,330.82,337.89,344.26,349.41,353.25,346.27,337.73,L7
1999-09-29 21:54:04+00:00,349.59,358.44,354.82,375.16,362.93,331.45,349.05,341.78,360.91,357.82,368.26,380.35,396.92,378.88,356.25,336.33,317.94,313.41,307.18,310.97,315.90,322.48,321.00,313.78,317.15,321.44,326.98,338.26,343.10,352.55,348.03,340.67,332.57,314.82,308.87,305.78,310.65,317.50,330.31,337.39,341.77,348.02,350.87,345.39,339.42,L7
1999-10-24 21:47:44+00:00,351.31,361.28,354.47,375.16,362.85,329.56,349.05,345.64,364.35,356.20,367.56,379.83,392.94,377.03,353.74,334.69,317.55,312.99,309.89,319.95,321.97,322.70,317.84,313.43,317.42,323.75,329.23,340.15,345.64,354.03,347.65,340.69,332.35,315.91,310.64,305.60,309.81,317.76,328.46,341.74,344.04,348.43,348.72,344.39,341.09,L7
1999-12-11 21:47:48+00:00,351.93,361.48,356.22,373.70,361.74,328.05,347.13,343.23,361.78,356.63,368.13,380.71,393.55,377.21,353.82,335.28,320.28,316.23,312.98,321.15,322.78,322.70,316.86,313.95,319.73,325.64,330.98,341.28,346.17,354.01,346.51,339.58,330.26,315.06,309.65,306.50,312.58,320.23,330.35,340.94,342.44,347.03,348.97,345.83,342.13,L7
2000-01-19 21:53:25+00:00,352.08,360.27,355.13,373.41,362.40,327.32,347.13,346.53,363.77,358.75,366.54,378.08,388.67,375.20,353.80,335.21,322.14,317.96,315.70,323.64,326.33,322.70,316.86,319.22,322.60,325.79,332.30,343.77,347.19,354.15,345.41,337.32,329.48,314.61,309.38,307.65,312.68,319.60,329.62,339.58,342.76,346.58,347.86,344.85,342.86,L7
2000-05-19 21:46:55+00:00,353.73,361.50,357.80,372.80,359.42,322.47,340.97,346.18,354.24,363.54,366.62,377.35,387.49,376.47,357.00,340.28,337.07,331.83,332.45,331.38,334.00,323.63,317.20,330.97,331.86,330.69,341.05,351.20,351.15,351.97,339.87,334.16,327.70,315.27,308.27,310.90,312.53,318.49,328.72,339.17,345.07,347.97,347.84,348.28,347.75,L7
2000-05-26 21:53:00+00:00,353.97,363.23,359.08,374.59,360.75,324.17,345.91,348.60,355.24,366.03,371.23,382.78,393.94,381.41,360.07,344.90,339.27,334.44,333.25,332.95,335.94,327.21,321.19,331.45,332.99,332.95,341.77,351.69,350.50,348.80,340.01,335.23,330.76,319.41,312.55,311.91,313.99,318.88,330.53,341.28,348.18,350.57,349.50,349.96,349.70,L7
2000-07-13 21:52:07+00:00,353.81,360.19,354.79,376.82,361.91,326.67,349.45,351.89,358.07,363.97,367.32,379.46,388.43,379.17,360.90,345.88,336.60,329.30,326.51,327.18,331.55,324.46,320.46,329.92,328.31,328.35,337.38,346.99,346.35,344.62,338.81,333.02,330.44,319.64,311.76,307.86,310.47,317.33,330.42,343.80,349.09,347.48,346.00,348.92,349.66,L7
