dates,satname,nzd0341-0000,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0007,nzd0341-0008,nzd0341-0009,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0017,nzd0341-0018,nzd0341-0019,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0034,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043,nzd0341-0044
1999-08-21 21:47:44+00:00,L7,,,,,,,,,,,,,,,363.04,340.25,321.33,320.34,307.90,308.60,315.52,303.29,313.43,317.13,323.68,327.26,332.12,333.94,335.48,342.61,344.66,338.79,340.44,320.74,311.38,306.77,,,,,,,,,
1999-08-28 21:53:59+00:00,L7,355.31,359.08,355.88,374.94,363.12,335.20,345.84,338.36,353.96,352.97,371.05,384.90,392.17,382.03,358.12,335.19,320.41,315.14,308.27,314.42,308.70,309.38,320.75,321.04,327.00,330.23,325.85,334.43,336.69,349.30,345.35,336.85,331.36,309.60,311.95,311.76,316.20,324.24,335.86,339.96,343.59,343.38,349.49,349.72,339.29
1999-09-22 21:47:48+00:00,L7,355.14,373.36,364.57,389.64,378.28,342.37,374.17,368.11,392.39,382.55,385.37,386.62,422.31,394.85,369.96,352.24,327.04,324.60,316.37,318.92,329.24,360.77,335.76,319.65,322.96,330.47,344.46,360.87,375.03,381.99,373.58,358.93,344.56,332.57,320.90,313.04,320.44,326.68,342.36,350.32,356.53,368.33,369.91,353.38,345.84
1999-09-29 21:54:04+00:00,L7,335.98,340.09,340.91,358.11,344.60,314.46,323.65,316.08,332.87,333.93,344.36,364.87,370.67,355.10,333.57,317.34,302.75,293.37,295.99,301.79,309.97,316.31,313.93,297.15,294.81,297.63,305.29,323.62,324.93,336.07,328.37,327.96,313.73,296.09,291.04,291.31,292.21,298.09,308.70,318.38,322.38,329.24,330.10,330.53,330.80
1999-10-24 21:47:44+00:00,L7,366.96,382.39,367.41,387.75,375.21,334.39,,369.82,390.43,369.37,383.48,399.27,406.20,392.46,361.72,346.12,330.02,323.89,332.21,365.56,357.67,334.08,314.21,321.05,329.01,343.51,350.85,360.28,371.59,373.96,357.55,351.27,344.06,338.26,331.69,320.60,321.28,334.27,340.93,370.55,363.47,363.65,356.25,352.86,356.61
1999-12-11 21:47:48+00:00,L7,346.95,353.26,353.24,358.88,348.28,314.52,330.13,324.57,340.23,345.49,357.52,369.24,378.02,362.93,341.37,325.39,323.90,323.43,320.26,320.22,318.64,315.20,305.49,310.13,323.78,327.61,330.72,337.96,337.53,343.93,332.66,326.51,310.79,297.98,294.74,299.80,313.65,318.87,325.06,326.50,327.04,331.46,339.97,343.38,338.77
2000-01-19 21:53:25+00:00,L7,365.97,370.02,367.20,387.75,381.52,336.81,,378.83,393.51,391.89,381.19,391.25,395.83,391.50,376.23,357.34,350.89,344.16,346.37,350.70,362.02,384.16,379.81,362.09,353.00,339.86,356.00,374.51,373.07,372.55,353.17,336.94,340.63,334.42,325.31,334.27,330.74,336.22,348.50,352.50,360.13,361.85,359.90,354.31,359.68
2000-04-17 21:47:08+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:55+00:00,L7,355.61,370.02,362.73,380.57,357.26,323.42,343.05,343.95,339.99,365.80,373.72,386.21,406.22,389.63,365.96,350.69,346.20,336.71,338.71,330.00,329.34,326.23,323.91,326.98,326.13,331.94,345.24,349.94,353.86,349.21,341.77,346.38,340.49,325.98,314.54,309.64,302.99,311.38,325.18,349.51,356.83,360.39,353.42,355.16,352.13
2000-05-26 21:53:00+00:00,L7,351.51,364.62,358.73,376.15,360.95,326.12,351.05,352.06,353.46,368.06,379.61,392.75,405.69,389.91,363.86,353.34,341.65,338.48,332.19,334.72,338.30,331.19,326.47,330.17,333.23,336.58,340.13,349.37,343.78,335.07,337.00,335.25,336.13,326.41,321.17,310.17,314.15,315.28,330.51,342.87,353.71,354.13,350.25,351.52,352.39
