dates,nzd0341-0000,nzd0341-0001,nzd0341-0002,nzd0341-0003,nzd0341-0004,nzd0341-0005,nzd0341-0006,nzd0341-0007,nzd0341-0008,nzd0341-0009,nzd0341-0010,nzd0341-0011,nzd0341-0012,nzd0341-0013,nzd0341-0014,nzd0341-0015,nzd0341-0016,nzd0341-0017,nzd0341-0018,nzd0341-0019,nzd0341-0020,nzd0341-0021,nzd0341-0022,nzd0341-0023,nzd0341-0024,nzd0341-0025,nzd0341-0026,nzd0341-0027,nzd0341-0028,nzd0341-0029,nzd0341-0030,nzd0341-0031,nzd0341-0032,nzd0341-0033,nzd0341-0034,nzd0341-0035,nzd0341-0036,nzd0341-0037,nzd0341-0038,nzd0341-0039,nzd0341-0040,nzd0341-0041,nzd0341-0042,nzd0341-0043,nzd0341-0044,satname
1999-08-21 21:47:44+00:00,,,,,,,,,,,,,,,359.33,336.54,318.44,317.74,305.54,306.60,313.16,301.12,311.57,315.27,321.51,325.09,329.52,331.34,332.23,339.72,342.30,336.62,337.84,317.03,308.49,303.52,,,,,,,,,,L7
1999-08-28 21:53:59+00:00,353.64,357.08,353.66,372.94,361.12,333.53,343.34,336.36,351.46,350.11,368.19,381.57,388.17,378.70,355.26,332.33,318.19,313.14,306.45,312.88,306.88,307.71,319.32,319.61,325.33,328.56,323.85,332.43,334.19,347.08,343.53,335.18,329.36,306.74,309.73,309.26,313.98,321.74,333.00,337.46,341.59,341.16,347.27,347.90,337.62,L7
1999-09-22 21:47:48+00:00,347.14,363.76,353.90,380.04,368.68,334.37,362.17,358.51,380.39,368.84,371.66,370.62,403.11,378.85,356.25,338.53,316.37,315.00,307.64,311.54,320.51,352.77,328.90,312.79,314.96,322.47,334.86,351.27,363.03,371.32,364.85,350.93,334.96,318.86,310.23,301.04,309.77,314.68,328.65,338.32,346.93,357.66,359.24,344.65,337.84,L7
1999-09-29 21:54:04+00:00,347.98,354.49,356.91,372.51,359.00,326.46,341.65,330.48,350.87,354.50,364.93,388.87,399.47,379.10,354.14,337.91,318.75,307.77,309.08,312.87,323.06,328.31,324.22,307.44,306.81,309.63,319.69,338.02,342.93,352.07,341.46,339.96,328.13,316.66,307.04,309.31,308.21,316.09,329.27,336.38,336.78,345.24,346.10,343.62,342.80,L7
1999-10-24 21:47:44+00:00,356.46,369.79,353.41,375.15,362.61,323.89,,357.22,374.68,351.37,365.48,378.27,381.00,371.46,343.72,328.12,316.02,311.29,320.76,355.87,346.22,323.58,305.21,312.05,318.51,333.01,338.25,347.68,355.84,359.96,346.10,340.77,331.46,320.26,317.69,304.85,307.28,318.52,322.93,354.80,350.87,349.65,342.25,341.41,346.11,L7
1999-12-11 21:47:48+00:00,354.45,362.26,363.24,367.88,357.28,322.02,341.38,333.57,351.48,358.35,370.38,384.24,396.02,377.93,354.23,338.25,333.90,332.43,328.44,327.14,326.82,322.70,311.92,316.56,331.28,335.11,339.72,346.96,348.78,353.93,340.84,334.01,319.79,310.84,304.74,311.05,323.65,330.12,337.92,337.75,336.04,341.46,349.97,351.56,346.27,L7
2000-01-19 21:53:25+00:00,352.80,354.22,349.64,371.95,365.72,323.64,,363.03,373.76,369.32,358.62,364.92,364.23,365.17,353.66,334.77,333.33,328.36,332.01,338.55,347.66,,,350.80,339.83,326.69,340.20,358.71,353.32,354.99,338.81,323.77,324.83,311.85,307.75,314.52,313.18,316.47,325.93,332.75,344.33,344.29,342.34,339.95,346.51,L7
2000-05-19 21:46:55+00:00,353.94,368.02,360.51,378.57,355.26,321.75,340.55,341.95,337.49,362.94,370.86,382.88,402.22,386.30,363.10,347.83,343.98,334.71,336.89,328.46,327.52,324.56,322.48,325.55,324.46,330.27,343.24,347.94,351.36,346.99,339.95,344.71,338.49,323.12,312.32,307.14,300.77,308.88,322.32,347.01,354.83,358.17,351.20,353.34,350.46,L7
2000-05-26 21:53:00+00:00,354.68,368.42,362.95,379.95,364.75,329.29,355.80,355.86,358.21,373.49,385.04,399.08,413.29,396.24,369.29,358.77,345.87,342.28,335.64,337.64,341.75,334.36,329.18,332.88,336.40,339.75,343.93,353.17,348.53,339.29,340.45,338.42,339.93,331.84,325.39,314.92,318.37,320.03,335.94,347.62,357.51,358.35,354.47,354.97,355.56,L7
2000-07-13 21:52:07+00:00,,350.11,346.07,,,331.99,351.99,346.73,362.84,350.12,354.76,370.95,373.96,368.96,357.57,342.15,323.21,311.86,301.52,304.08,309.27,314.45,309.71,310.44,312.54,316.69,322.17,328.13,332.21,337.22,336.05,325.17,318.51,311.75,301.60,294.85,309.55,323.96,337.50,347.83,339.67,329.09,335.97,347.41,346.13,L7
2000-07-29 21:51:50+00:00,338.93,362.96,347.61,368.88,361.15,335.51,350.58,346.99,345.45,341.79,362.79,381.29,378.14,376.63,365.56,347.48,336.15,315.25,301.60,296.43,307.87,321.29,330.53,319.72,312.50,315.81,318.94,324.28,341.02,337.77,330.19,340.71,351.79,312.29,302.03,299.59,306.35,360.59,365.68,357.63,347.79,328.93,331.12,354.64,379.16,L7
2000-08-14 21:52:08+00:00,340.96,351.72,345.94,359.86,360.29,324.65,334.65,342.28,346.44,339.08,347.18,361.03,367.51,357.98,349.39,335.36,322.57,315.10,304.62,303.65,305.41,309.14,309.52,316.00,322.62,331.17,328.25,327.01,329.07,337.02,337.31,333.67,313.89,304.95,302.91,306.00,318.86,342.57,342.92,355.60,348.58,328.95,335.55,349.54,353.75,L7
2000-09-15 21:51:13+00:00,344.36,351.76,350.24,361.72,354.31,328.21,334.22,341.42,347.23,335.13,321.31,359.74,378.30,362.79,348.55,340.44,321.10,306.36,304.51,307.63,306.19,305.74,300.94,314.13,324.66,329.16,331.36,339.55,349.68,348.37,326.80,325.13,313.20,292.86,297.69,301.62,316.36,337.94,344.49,342.00,336.77,338.88,344.98,346.22,339.10,L7
2000-10-26 21:45:10+00:00,341.99,359.67,351.41,373.51,354.62,324.73,,348.00,361.36,358.90,367.54,363.75,364.86,355.96,342.54,324.59,318.79,322.24,324.55,321.55,318.35,310.15,320.60,327.17,351.45,351.77,326.89,326.21,332.21,355.23,352.38,344.40,314.09,308.69,301.02,315.48,321.68,322.80,338.42,355.09,358.14,351.08,349.09,349.38,345.68,L7
2000-12-04 21:51:22+00:00,350.40,365.35,363.70,380.74,356.27,322.69,344.16,352.37,360.02,354.33,345.68,375.22,392.95,374.20,357.02,349.56,337.16,331.22,328.25,319.39,319.47,332.08,346.89,347.60,343.71,337.57,343.17,350.91,365.79,354.80,353.23,345.68,336.25,330.95,319.64,319.74,325.36,336.79,343.58,353.52,355.02,358.04,352.69,349.91,340.43,L7
2001-01-05 21:51:28+00:00,354.91,357.22,360.71,380.79,369.26,325.61,363.74,365.99,375.18,369.52,372.45,378.98,387.21,383.48,372.19,339.18,339.33,332.40,337.61,342.41,341.37,334.90,346.26,347.48,344.12,334.55,349.20,361.09,367.65,371.21,358.48,351.99,342.77,334.27,333.77,325.85,338.11,355.78,366.72,364.78,356.87,360.55,360.02,365.07,362.54,L7
2001-04-27 21:51:07+00:00,,,,,,,,,,,,,,,,,,,,,,320.82,323.69,325.51,328.74,331.50,336.42,336.34,347.83,350.01,338.73,328.06,321.76,310.44,298.76,307.07,315.82,321.46,335.34,,,,,,,L7
2001-05-13 21:50:33+00:00,339.14,344.16,341.81,361.97,356.13,338.78,343.71,344.48,351.70,352.47,354.21,362.72,364.76,359.73,349.93,328.46,313.48,308.80,310.03,308.22,311.95,313.92,311.94,313.26,318.70,323.86,327.64,332.99,340.85,345.21,333.88,323.65,313.01,304.12,302.34,305.27,312.91,315.21,332.11,341.71,336.48,338.75,343.77,338.13,340.38,L7
2001-05-22 21:44:42+00:00,343.65,351.01,344.63,360.93,364.33,324.83,334.01,348.00,345.40,344.72,351.62,359.83,360.53,355.97,334.97,308.07,307.62,313.43,316.43,322.04,320.90,316.43,319.21,319.22,322.91,324.27,322.39,327.73,338.41,346.08,335.05,324.34,319.95,310.24,307.87,314.98,319.84,321.24,327.54,335.20,339.59,334.60,337.19,343.96,348.50,L7
2001-05-29 21:50:49+00:00,,,,,,,,,,,,352.75,,,,,,,,,,,309.77,301.25,307.34,316.09,313.51,321.75,334.34,333.69,323.18,303.19,302.15,294.72,291.33,290.06,289.54,314.11,326.59,,,,,,,L7
2001-06-14 21:50:14+00:00,365.50,363.85,360.10,374.56,365.53,333.93,347.62,353.01,362.86,363.51,373.64,383.18,392.10,378.66,356.37,333.10,325.84,328.53,334.46,337.90,338.21,333.37,331.17,331.94,331.12,338.83,340.07,343.96,350.47,357.93,351.57,346.77,331.69,322.32,318.42,325.10,320.80,333.53,344.11,351.95,355.16,352.61,357.15,357.88,361.74,L7
2001-07-25 21:44:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.79,348.06,334.14,322.08,323.22,301.05,302.55,310.60,303.46,318.13,314.71,337.48,340.94,342.28,341.07,335.31,336.96,L7
2001-09-18 21:49:29+00:00,343.79,355.01,349.76,367.14,357.25,330.72,348.25,349.49,363.08,359.04,362.85,373.10,371.60,378.89,351.77,329.75,318.28,317.55,327.06,312.98,309.95,306.08,317.11,325.23,336.01,338.96,337.15,337.99,336.86,340.79,339.48,337.40,317.37,302.25,306.55,301.48,310.67,312.11,324.69,340.25,348.19,336.47,334.42,339.02,338.32,L7
2002-03-06 21:43:47+00:00,347.99,348.05,349.94,367.95,352.15,322.49,334.44,330.40,338.38,343.98,359.26,366.10,368.19,341.71,324.38,318.59,310.65,313.03,308.63,294.69,314.96,318.03,314.45,312.82,317.56,333.42,334.14,339.54,344.82,349.14,342.86,328.86,,,,,,,,,,,,,,L7
