,dates,nzd0198-0000,nzd0198-0001,nzd0198-0002,nzd0198-0003,nzd0198-0004,nzd0198-0005,nzd0198-0006,nzd0198-0007,nzd0198-0008,nzd0198-0009,nzd0198-0010,nzd0198-0011,nzd0198-0012,nzd0198-0013,nzd0198-0014,nzd0198-0015,nzd0198-0016,nzd0198-0017
0,1999-09-29 21:52:52+00:00,169.32473371386655,166.87921978110847,162.96249332618746,168.76034762257146,167.53878384031643,170.27217380282144,176.44855767513965,179.79405469357994,166.707998483369,173.5014562981903,162.8341353006643,164.9896433942433,170.81011593009936,166.36473355405087,170.5598107237091,161.00502959254175,162.52221028062218,165.53313815555876
1,1999-10-15 21:52:49+00:00,171.0190025215955,166.50115422666968,162.70762171836037,160.75722202901565,162.51919572758868,166.32304441129165,169.3013375232713,171.56516281751146,165.0258079517882,160.02121171965922,154.809646561321,151.99687630768938,164.1015427205147,169.19945022578153,159.46995297966447,153.69383766120595,159.4984268020595,161.8694768843865
2,1999-12-02 21:52:40+00:00,190.75430103231375,182.20608680112534,177.82272178477825,175.79563853723465,180.67502947811062,183.1051291333448,191.3467603093663,188.17508614091346,,,,,,185.77810230388855,178.85555594634877,180.4970683284303,176.95479656829184,180.3283276708633
3,2000-01-19 21:52:37+00:00,182.18886344846888,169.63760128216705,167.51980899951178,173.29949644118022,177.71364232237954,177.06126033949218,181.51344569185875,182.81149874390897,173.01624343259365,179.9808825636698,176.04467391823061,173.1433765229377,178.1743605043314,180.73474585052435,180.8217332852939,173.52286748329416,,
4,2000-02-04 21:52:37+00:00,186.61438336684273,180.17511000419853,178.40908785920774,182.09609466963104,185.85011746873045,186.89143299816197,190.77390943244635,195.21952954361996,185.24169327499408,191.1505782523568,185.1565281089513,182.18058755270692,184.22880992583282,189.39486135884644,186.10476214992025,179.15502519015953,183.59408178463033,188.94363988224447
5,2000-02-20 21:52:29+00:00,166.8848597969174,151.13866630604997,158.1082682427067,163.07874238979417,167.95112414481824,170.5831989201295,172.7800283939475,174.52348093419977,169.77177959948148,166.25499385800606,164.312126830657,162.46849061534107,172.1940211246684,176.1528436954872,173.2643180171574,170.8347111372994,164.77129376057042,169.3783053029983
6,2000-03-14 21:58:35+00:00,186.69280148964575,180.96244275911087,180.3343475876914,179.85323607257868,186.80943131011603,188.37896245855015,192.68830081598176,197.19564675636295,189.68312179046433,192.10846457771166,186.61599794623382,185.74406391962012,188.10616220410986,191.6433303859903,189.1435881113327,177.1502636690813,173.56435160071476,180.17002227616035
7,2000-03-30 21:58:33+00:00,187.65996363573083,177.53493561136787,173.09924074020472,172.32733492187975,173.62780720583663,176.37729885992502,179.0174499802635,186.48754449997708,180.04670722566908,181.20337747343746,178.21124657095498,179.81905933992618,183.55472842775575,189.27871082433353,187.40330836640047,179.66055715633897,175.52521221869026,175.44281874138846
8,2000-05-01 21:58:18+00:00,203.38877094260494,192.1032495338306,176.86920980224738,183.32151568114818,183.40446142870115,190.40178924121076,191.147688042516,192.1978097389256,187.94744663530915,190.20666265425473,184.16932737178846,185.53807262305358,189.8735033044669,191.12854326097136,181.66375609103852,172.6708326458398,172.0603576650612,176.96428975458892
9,2000-05-17 21:58:07+00:00,170.26471122294828,172.20776717213033,166.36492703173784,169.54749654136037,171.11255060346366,173.96809019840012,178.69501637376317,181.52009682917924,176.0849852719058,176.27638065116997,171.32519356807512,171.10381496398585,173.34027250231944,174.66541794986517,172.2918412895571,165.93202419716107,162.0492723096624,166.48209625826854
