dates,nzd0086-0000,nzd0086-0001,nzd0086-0002,nzd0086-0003,nzd0086-0004,nzd0086-0005,nzd0086-0006,nzd0086-0007,nzd0086-0008,nzd0086-0009,nzd0086-0010,nzd0086-0011,nzd0086-0012,nzd0086-0013,nzd0086-0014,nzd0086-0015,nzd0086-0016,nzd0086-0017,nzd0086-0018,nzd0086-0019,nzd0086-0020,satname
1999-09-27 22:04:48+00:00,,,,257.97,275.52,282.72,281.60,273.45,270.85,279.35,288.58,283.88,270.93,264.75,265.62,253.42,253.73,261.23,258.72,271.76,282.50,L7
1999-11-14 22:04:42+00:00,,,,250.41,270.66,280.44,284.40,276.59,274.74,279.19,286.46,282.60,271.90,266.40,265.72,256.38,257.20,262.59,262.38,272.35,279.49,L7
2000-01-01 22:04:37+00:00,,,,256.32,280.61,290.19,293.13,285.46,280.83,283.48,291.49,288.71,277.79,270.66,268.15,260.22,261.43,265.34,262.38,272.35,279.49,L7
2000-02-18 22:04:29+00:00,,,,247.68,272.80,284.57,290.60,282.82,279.43,281.97,289.19,285.13,275.03,269.00,266.22,258.80,259.91,264.92,263.01,272.49,279.86,L7
2000-07-11 22:03:17+00:00,245.51,,,213.22,234.10,252.56,268.07,265.72,265.94,267.87,274.06,263.05,257.63,252.71,247.26,244.29,245.52,251.93,257.04,262.81,265.20,L7
2000-10-15 22:01:56+00:00,245.51,,,223.26,233.29,250.89,262.00,263.81,263.99,266.28,275.54,265.25,253.09,250.10,244.87,242.87,244.31,248.51,253.16,260.85,262.71,L7
2001-01-03 22:02:12+00:00,256.84,214.64,,221.55,231.54,252.89,264.46,265.84,269.43,272.26,278.85,271.82,257.30,253.73,248.91,245.96,244.89,251.09,252.39,259.92,264.61,L7
2001-06-12 22:01:24+00:00,268.17,214.64,,220.32,229.19,256.49,266.17,264.05,269.08,273.38,276.37,269.81,251.06,243.90,256.98,252.15,246.05,256.24,250.87,258.06,268.41,L7
2001-08-15 22:00:38+00:00,299.11,179.96,197.94,222.51,230.33,261.67,265.68,264.30,271.89,272.49,266.19,255.75,246.36,238.66,244.87,243.21,244.05,251.47,273.78,266.00,266.34,L7
2001-10-02 22:00:04+00:00,299.11,179.96,193.78,219.41,235.32,260.32,265.64,264.97,269.17,270.79,271.53,260.83,251.89,243.86,249.23,245.88,246.04,249.81,262.24,263.00,267.45,L7
