dates,satname,nzd0086-0000,nzd0086-0001,nzd0086-0002,nzd0086-0003,nzd0086-0004,nzd0086-0005,nzd0086-0006,nzd0086-0007,nzd0086-0008,nzd0086-0009,nzd0086-0010,nzd0086-0011,nzd0086-0012,nzd0086-0013,nzd0086-0014,nzd0086-0015,nzd0086-0016,nzd0086-0017,nzd0086-0018,nzd0086-0019,nzd0086-0020
1999-09-27 22:04:48+00:00,L7,,,167.15,220.37,244.19,255.86,260.71,257.78,255.18,262.26,267.69,262.99,255.26,249.08,248.53,237.75,240.30,246.77,246.97,256.09,265.41
1999-11-14 22:04:42+00:00,L7,,,,226.85,252.47,266.72,278.32,273.06,271.96,271.76,275.45,272.43,266.21,261.38,258.55,252.68,254.96,257.79,261.03,266.27,269.21
2000-01-01 22:04:37+00:00,L7,325.06,315.95,,290.15,318.85,325.40,322.79,312.38,302.18,302.07,313.77,313.16,298.73,288.36,283.02,277.07,277.74,279.32,,,
2000-02-18 22:04:29+00:00,L7,,91.69,177.56,220.95,248.69,267.16,282.59,274.55,274.88,277.08,281.85,273.94,266.43,263.69,260.07,254.21,255.08,263.35,264.02,272.44,280.23
2000-07-11 22:03:17+00:00,L7,249.41,235.56,,235.89,244.83,259.68,270.44,269.56,269.67,272.47,283.16,269.04,261.51,254.41,248.28,247.04,246.80,252.20,259.57,265.84,263.99
2000-10-15 22:01:56+00:00,L7,,,182.18,206.64,218.41,239.26,251.34,256.40,256.63,258.27,265.70,259.22,242.99,244.12,239.64,237.02,240.39,243.28,245.49,254.19,259.61
2001-01-03 22:02:12+00:00,L7,269.07,232.64,,225.33,234.06,262.02,273.37,272.89,283.33,287.50,289.47,288.98,268.72,263.99,260.25,255.15,248.62,259.01,253.12,261.06,271.68
2001-05-11 22:01:45+00:00,L7,,,,,,498.00,492.89,476.79,334.18,366.65,371.05,372.68,,,,,,,,,
2001-06-12 22:01:24+00:00,L7,,,,217.71,226.33,252.66,260.30,256.21,255.83,260.35,264.59,251.98,234.40,224.81,,92.63,81.65,,,,
2001-08-15 22:00:38+00:00,L7,303.51,267.96,256.61,,319.21,292.39,287.95,285.07,300.63,298.44,284.69,276.41,270.98,265.17,260.87,257.88,256.62,265.01,284.78,280.67,282.34
2001-10-02 22:00:04+00:00,L7,,,172.29,205.90,231.65,250.20,259.79,261.97,259.38,262.66,276.41,265.21,258.62,249.95,248.86,244.22,244.31,244.16,247.44,255.67,263.83
2001-12-05 22:00:18+00:00,L7,,,,210.37,229.65,244.15,249.57,253.98,252.30,259.75,265.16,260.06,254.94,245.97,244.60,237.10,240.76,,,,
2001-12-21 22:00:29+00:00,L7,,,,223.73,240.48,250.54,255.01,259.29,261.15,266.32,270.19,262.65,257.33,252.53,245.16,245.57,,,,,
