dates,satname,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,nzd0295-0082,nzd0295-0083,nzd0295-0084,nzd0295-0085,nzd0295-0086,nzd0295-0087,nzd0295-0088,nzd0295-0089,nzd0295-0090,nzd0295-0091,nzd0295-0092,nzd0295-0093,nzd0295-0094,nzd0295-0095,nzd0295-0096,nzd0295-0097,nzd0295-0098,nzd0295-0099,nzd0295-0100,nzd0295-0101,nzd0295-0102,nzd0295-0103,nzd0295-0104,nzd0295-0105,nzd0295-0106,nzd0295-0107,nzd0295-0108,nzd0295-0109,nzd0295-0110,nzd0295-0111,nzd0295-0112,nzd0295-0113,nzd0295-0114
1999-08-05 21:47:23+00:00,L7,506.62,646.21,,,340.73,330.87,316.04,322.49,324.64,328.93,332.60,337.71,344.35,345.14,352.68,345.79,340.95,,,345.29,350.24,349.79,354.80,358.59,356.59,342.05,340.41,,259.99,,318.20,339.33,342.17,335.74,336.62,337.99,350.83,362.41,366.58,363.72,360.17,353.27,363.34,369.26,376.57,377.93,375.75,369.54,358.04,382.89,381.55,377.43,361.16,361.06,365.50,365.98,366.56,367.79,364.98,356.22,347.15,344.41,336.50,325.69,339.94,329.21,335.48,334.14,322.73,329.89,321.01,333.50,329.88,315.63,311.97,307.59,299.44,292.28,311.51,310.43,312.91,320.71,321.90,317.74,309.94,304.18,310.45,321.87,319.04,326.38,332.15,330.72,323.55,323.08,310.76,303.76,337.47,333.92,338.82,343.85,355.13,360.82,345.19,340.49,335.63,329.13,327.69,319.68,315.31,311.01,313.66,320.16,314.73,302.84,314.07
1999-08-12 21:53:08+00:00,L7,373.52,381.14,374.49,360.87,348.53,345.06,344.53,345.92,349.64,353.32,362.43,363.57,367.72,374.82,381.77,377.66,379.26,375.85,372.30,373.32,375.80,376.24,379.55,379.46,379.26,383.34,391.10,395.40,388.57,385.48,380.48,381.12,376.18,367.64,372.82,377.26,377.64,386.13,377.24,372.16,374.24,374.95,383.69,401.80,405.28,400.39,397.17,392.05,393.83,401.28,408.14,397.70,385.21,380.34,383.88,384.80,384.15,390.71,391.03,371.60,357.67,355.39,360.16,374.00,375.56,376.01,363.85,346.30,351.45,354.01,357.32,359.34,347.69,338.11,335.48,333.27,327.77,335.72,335.98,339.30,337.02,343.22,338.55,334.32,331.87,340.20,338.42,345.74,348.81,352.95,355.51,352.80,346.03,337.73,337.49,352.69,362.58,364.60,374.00,379.61,389.09,385.74,372.57,367.57,357.97,359.03,354.46,354.62,343.37,324.63,331.48,344.03,330.13,325.73,328.65
1999-08-21 21:47:20+00:00,L7,378.01,382.31,369.20,363.63,358.24,349.04,340.54,343.05,345.69,351.86,356.23,364.12,370.04,377.15,380.99,380.56,380.69,378.02,374.88,375.85,370.28,373.13,377.23,377.60,385.66,388.18,389.72,393.42,394.62,387.24,385.67,381.35,377.64,369.47,374.41,374.12,379.23,378.59,374.70,377.11,375.60,380.38,397.40,399.44,404.75,401.04,391.65,390.03,387.99,403.56,398.50,393.76,381.15,376.95,385.33,386.81,389.84,393.85,391.61,373.55,356.65,360.59,364.51,362.86,371.68,374.46,367.01,348.37,349.55,352.84,352.04,361.27,355.22,342.04,340.19,335.57,328.37,326.64,334.12,342.14,337.81,342.88,340.81,341.00,337.62,334.35,340.32,343.92,346.91,343.91,351.35,349.91,344.61,345.17,348.24,356.16,363.03,364.35,373.44,381.81,382.59,385.28,371.42,360.14,357.65,361.05,362.71,360.15,343.77,334.59,335.07,344.43,327.71,317.71,328.76
1999-09-22 21:47:24+00:00,L7,379.02,393.33,378.45,372.43,372.01,355.77,360.96,361.37,356.73,362.34,361.75,369.97,371.90,381.27,387.52,389.48,383.65,378.25,383.91,377.65,380.47,380.72,383.64,386.47,385.07,396.76,395.09,395.08,392.52,378.48,381.75,403.67,393.87,390.73,384.71,387.29,384.62,382.97,383.54,394.47,405.15,401.88,403.21,407.43,399.17,396.76,399.57,411.12,403.31,402.38,399.68,402.64,394.52,390.31,386.25,387.55,388.97,388.55,376.94,376.99,369.52,377.46,384.98,381.35,374.89,372.80,377.24,361.12,361.27,359.65,349.42,364.76,372.57,364.34,351.79,327.10,328.28,351.56,364.65,361.80,355.96,358.60,364.31,350.90,350.02,352.66,364.64,356.42,348.86,351.55,354.05,353.33,351.87,353.12,352.87,368.43,374.77,403.10,397.65,400.73,390.13,395.76,404.84,415.61,385.09,376.87,360.84,356.23,347.61,338.88,329.13,364.44,,330.98,328.74
1999-09-29 21:53:40+00:00,L7,350.13,358.69,352.70,345.40,343.26,336.37,323.14,326.70,325.73,327.83,331.90,337.39,343.51,347.96,355.21,349.92,353.17,349.64,350.78,350.93,351.39,354.50,353.51,357.98,362.11,360.46,361.80,371.47,361.47,359.84,360.97,363.72,363.58,354.36,354.91,349.89,351.28,343.71,353.69,358.60,363.34,369.67,367.34,375.32,374.10,374.15,374.74,371.36,360.94,373.74,373.37,368.53,361.40,362.09,362.94,366.44,366.65,364.04,362.06,356.55,348.97,349.42,344.83,338.49,341.23,332.08,334.71,329.37,320.43,323.31,318.36,333.68,333.19,328.25,311.62,303.79,306.19,307.48,317.41,317.72,318.34,324.59,324.34,316.56,314.10,315.75,316.93,321.00,316.80,314.84,320.95,323.79,321.27,323.25,318.99,309.56,338.41,346.74,349.75,350.17,353.25,355.53,357.13,344.44,337.35,329.65,326.91,319.55,310.75,305.63,300.23,316.98,310.81,296.85,302.92
1999-10-24 21:47:20+00:00,L7,386.36,398.09,392.25,393.25,392.81,389.83,387.40,382.05,384.95,389.07,396.54,394.22,403.17,406.86,411.89,416.87,412.42,396.87,401.02,394.70,399.75,390.29,397.00,398.85,404.26,409.21,412.85,418.16,410.51,403.68,398.58,395.77,392.16,386.25,383.52,386.95,387.56,387.21,402.36,421.89,424.50,418.87,416.93,409.56,410.06,410.34,408.90,425.01,423.98,417.48,408.03,408.13,413.29,400.33,399.78,408.09,404.68,400.29,402.22,399.76,400.47,397.50,389.81,384.64,384.75,386.23,382.95,372.47,380.35,381.99,384.77,386.58,396.49,393.02,372.71,360.26,355.75,362.85,363.59,364.02,367.18,366.59,373.22,369.31,364.45,370.17,370.04,361.15,355.28,353.48,353.65,355.10,369.46,388.90,412.53,413.77,418.54,418.07,429.60,435.68,435.49,440.38,428.57,409.68,389.40,373.66,368.70,361.96,356.20,344.48,331.97,368.31,349.62,329.80,331.14
1999-10-31 21:53:08+00:00,L7,361.86,372.26,370.90,358.86,357.02,354.94,367.07,370.95,373.97,370.93,374.53,369.95,368.50,370.30,377.07,374.73,369.36,366.19,366.09,365.10,363.69,368.87,375.93,382.08,384.24,396.06,397.29,404.59,392.12,380.66,373.89,369.05,366.64,363.50,364.35,369.27,366.21,366.12,373.13,377.97,388.79,393.67,389.67,390.52,393.14,393.23,395.13,394.65,384.19,391.14,388.82,388.40,382.78,378.10,380.46,380.20,379.17,379.37,374.51,374.32,366.14,365.15,360.62,356.38,352.86,352.97,352.76,348.39,346.93,350.55,345.09,350.57,347.84,344.41,337.84,332.32,333.23,331.31,331.34,333.35,341.22,345.07,340.21,336.26,336.55,337.80,334.88,335.73,328.41,326.14,329.33,330.68,342.91,348.42,348.10,352.18,364.18,366.21,371.02,377.68,384.32,388.71,378.29,365.41,352.50,343.33,335.97,327.90,326.14,309.56,316.21,326.04,317.76,298.80,313.50
1999-11-16 21:53:32+00:00,L7,381.02,384.79,377.44,370.03,364.65,361.98,364.73,369.46,368.09,372.10,374.70,376.30,385.96,389.17,396.88,397.52,392.87,383.75,380.86,378.82,376.18,374.98,373.70,380.12,387.36,390.09,395.55,402.93,401.17,392.05,387.84,387.09,382.17,381.49,378.33,377.75,377.23,382.73,386.82,385.44,389.52,386.61,388.40,393.06,398.22,410.41,409.19,405.78,387.48,390.13,389.46,385.17,381.01,379.11,380.05,389.16,385.63,390.88,387.89,384.23,379.89,376.81,365.24,360.78,360.07,369.31,365.07,361.11,353.16,363.87,370.00,372.26,372.10,359.85,358.63,339.12,336.97,341.68,337.07,345.71,353.32,356.80,361.91,364.31,358.27,352.59,353.82,352.14,343.89,336.68,335.21,344.13,349.74,358.93,362.67,368.61,370.25,380.47,387.24,409.63,413.66,406.66,400.82,380.87,364.77,360.78,354.32,348.94,341.54,336.59,331.47,349.71,322.27,320.50,318.11
2000-01-19 21:53:25+00:00,L7,383.53,397.12,400.80,390.24,383.58,376.52,384.44,381.16,362.76,369.22,382.55,385.42,383.52,381.17,383.63,386.33,384.84,385.97,376.62,376.65,379.85,377.64,382.66,384.53,392.84,415.84,412.58,410.76,399.21,401.66,396.22,380.53,382.67,394.90,405.25,409.49,403.34,401.80,394.32,397.53,384.57,386.31,400.74,411.94,413.56,406.52,412.76,414.18,418.10,413.11,411.89,394.75,393.75,403.83,393.82,392.50,398.63,395.28,399.40,394.47,394.76,410.00,406.07,394.75,398.95,393.50,391.18,385.44,380.29,379.86,369.60,373.46,371.03,359.67,351.91,355.12,355.99,352.24,358.09,353.47,356.60,355.50,364.54,357.22,357.08,356.82,366.85,373.29,376.36,386.00,383.58,408.57,407.74,411.80,416.98,424.47,430.08,444.69,445.09,447.74,442.59,438.70,435.85,407.73,395.19,379.69,369.47,356.58,340.06,337.69,330.95,367.75,,329.19,330.15
2000-02-20 21:52:53+00:00,L7,371.16,379.65,386.35,373.92,365.25,360.51,358.35,348.71,358.32,360.69,358.59,361.20,363.25,374.58,381.01,378.50,372.45,373.37,373.71,378.50,369.80,369.60,374.31,376.83,380.53,381.04,385.86,392.41,382.93,380.17,371.68,372.64,370.44,367.44,371.41,376.51,389.62,389.66,386.78,369.33,365.37,386.37,395.60,398.62,396.92,396.62,398.57,396.29,392.60,392.23,385.59,381.22,376.36,379.32,379.49,384.86,384.36,386.76,385.40,377.97,374.44,375.30,372.19,372.84,374.24,376.55,357.43,355.23,368.04,369.41,368.70,368.56,357.07,353.16,347.64,340.90,343.74,345.50,348.23,340.39,346.18,348.64,344.21,336.60,336.61,341.04,345.82,343.25,350.22,352.01,360.19,358.46,366.16,367.51,370.11,382.05,382.90,382.97,386.41,395.29,396.74,408.96,405.64,393.50,366.38,344.03,338.14,329.16,329.19,319.53,326.87,344.12,331.65,324.99,328.74
