dates,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,nzd0295-0082,nzd0295-0083,nzd0295-0084,nzd0295-0085,nzd0295-0086,nzd0295-0087,nzd0295-0088,nzd0295-0089,nzd0295-0090,nzd0295-0091,nzd0295-0092,nzd0295-0093,nzd0295-0094,nzd0295-0095,nzd0295-0096,nzd0295-0097,nzd0295-0098,nzd0295-0099,nzd0295-0100,nzd0295-0101,nzd0295-0102,nzd0295-0103,nzd0295-0104,nzd0295-0105,nzd0295-0106,nzd0295-0107,nzd0295-0108,nzd0295-0109,nzd0295-0110,nzd0295-0111,nzd0295-0112,nzd0295-0113,nzd0295-0114,satname
1999-08-05 21:47:23+00:00,,,,,345.17,335.31,320.48,327.49,329.08,332.93,337.04,342.71,348.35,349.58,357.12,350.79,344.95,,,349.29,354.68,354.79,359.24,363.59,361.03,347.05,,,,,,343.33,346.17,340.18,341.62,343.70,355.83,366.85,371.02,367.72,364.17,357.71,367.34,373.26,381.01,381.93,380.19,374.54,364.71,387.89,385.99,381.43,366.16,366.06,370.50,370.42,371.00,372.23,369.98,360.66,351.59,349.41,341.50,331.40,345.65,334.92,340.48,339.14,328.44,335.60,326.72,338.50,334.88,320.07,316.41,312.59,304.44,297.28,315.95,315.43,317.91,325.71,326.90,322.74,315.65,310.85,317.12,328.54,325.71,333.05,338.82,336.43,329.26,329.75,317.43,311.76,344.14,339.63,344.53,350.52,360.84,368.82,355.19,348.49,343.63,337.13,337.69,329.68,323.31,319.01,320.33,325.87,321.40,307.84,317.71,L7
1999-08-12 21:53:08+00:00,370.85,377.71,371.49,358.20,345.86,342.39,341.86,342.92,346.97,350.92,359.76,360.57,365.32,372.15,379.10,374.66,376.86,373.45,369.63,370.92,373.13,373.24,376.88,376.46,376.59,380.34,388.43,392.73,385.14,382.81,377.81,378.72,373.78,364.97,369.82,373.83,374.64,383.46,374.57,369.76,371.84,372.28,381.29,399.40,402.61,397.99,394.50,389.05,389.83,398.28,405.47,395.30,382.21,377.34,380.88,382.13,381.48,388.04,388.03,368.93,355.00,352.39,357.16,370.57,372.13,372.58,360.85,343.30,348.02,350.58,353.89,356.34,344.69,335.44,332.81,330.27,324.77,332.72,333.31,336.30,334.02,340.22,335.55,331.32,328.44,336.20,334.42,341.74,344.81,348.95,351.51,349.37,342.60,333.73,333.49,347.89,358.58,361.17,370.57,375.61,385.66,380.94,366.57,362.77,353.17,354.23,348.46,348.62,338.57,319.83,327.48,340.60,326.13,322.73,326.47,L7
1999-08-21 21:47:20+00:00,373.34,376.31,363.95,358.96,353.57,344.37,335.87,337.80,341.02,347.66,351.56,358.87,365.84,372.48,376.32,375.31,376.49,373.82,370.21,371.65,365.61,367.88,372.56,372.35,380.99,382.93,385.05,388.75,388.62,382.57,381.00,377.15,373.44,364.80,369.16,368.12,373.98,373.92,370.03,372.91,371.40,375.71,393.20,395.24,400.08,396.84,386.98,384.78,380.99,398.31,393.83,389.56,375.90,371.70,380.08,382.14,385.17,389.18,386.36,368.88,351.98,355.34,359.26,356.86,365.68,368.46,361.76,343.12,343.55,346.84,346.04,356.02,349.97,337.37,335.52,330.32,323.12,321.39,329.45,336.89,332.56,337.63,335.56,335.75,331.62,327.35,333.32,336.92,339.91,336.91,344.35,343.91,338.61,338.17,341.24,347.76,356.03,358.35,367.44,374.81,376.59,376.88,360.92,351.74,349.25,352.65,352.21,349.65,335.37,326.19,328.07,338.43,320.71,312.46,324.94,L7
1999-09-22 21:47:24+00:00,367.69,378.76,365.70,361.10,360.68,344.44,349.63,348.62,345.40,352.14,350.42,357.22,361.70,369.94,376.19,376.73,373.45,368.05,372.58,367.45,369.14,367.97,372.31,373.72,373.74,384.01,383.76,383.75,377.95,367.15,370.42,393.47,383.67,379.40,371.96,372.72,371.87,371.64,372.21,384.27,394.95,390.55,393.01,397.23,387.84,386.56,388.24,398.37,386.31,389.63,388.35,392.44,381.77,377.56,373.50,376.22,377.64,377.22,364.19,365.66,358.19,364.71,372.23,366.78,360.32,358.23,364.49,348.37,346.70,345.08,334.85,352.01,359.82,353.01,340.46,314.35,315.53,338.81,353.32,349.05,343.21,345.85,351.56,338.15,335.45,335.66,347.64,339.42,331.86,334.55,337.05,338.76,337.30,336.12,335.87,348.03,357.77,388.53,383.08,383.73,375.56,375.36,379.34,395.21,364.69,356.47,335.34,330.73,327.21,318.48,312.13,349.87,,318.23,319.47,L7
1999-09-29 21:53:40+00:00,367.46,380.98,372.20,362.73,360.59,353.70,340.47,346.20,343.06,343.43,349.23,356.89,359.11,365.29,372.54,369.42,368.77,365.24,368.11,366.53,368.72,374.00,370.84,377.48,379.44,379.96,379.13,388.80,383.76,377.17,378.30,379.32,379.18,371.69,374.41,372.18,370.78,361.04,371.02,374.20,378.94,387.00,382.94,390.92,391.43,389.75,392.07,390.86,386.94,393.24,390.70,384.13,380.90,381.59,382.44,383.77,383.98,381.37,381.56,373.88,366.30,368.92,364.33,360.78,363.52,354.37,354.21,348.87,342.72,345.60,340.65,353.18,352.69,345.58,328.95,323.29,325.69,326.98,334.74,337.22,337.84,344.09,343.84,336.06,336.39,341.75,342.93,347.00,342.80,340.84,346.95,346.08,343.56,349.25,344.99,340.76,364.41,369.03,372.04,376.17,375.54,386.73,396.13,375.64,368.55,360.85,365.91,358.55,341.95,336.83,326.23,339.27,336.81,316.35,317.10,L7
1999-10-24 21:47:20+00:00,374.14,382.38,378.50,381.03,380.59,377.61,375.18,368.30,372.73,378.07,384.32,380.47,392.17,394.64,399.67,403.12,401.42,385.87,388.80,383.70,387.53,376.54,384.78,385.10,392.04,395.46,400.63,405.94,394.80,391.46,386.36,384.77,381.16,374.03,369.77,371.24,373.81,374.99,390.14,410.89,413.50,406.65,405.93,398.56,397.84,399.34,396.68,411.26,405.65,403.73,395.81,397.13,399.54,386.58,386.03,395.87,392.46,388.07,388.47,387.54,388.25,383.75,376.06,368.93,369.04,370.52,369.20,358.72,364.64,366.28,369.06,372.83,382.74,380.80,360.49,346.51,342.00,349.10,351.37,350.27,353.43,352.84,359.47,355.56,348.74,351.84,351.71,342.82,336.95,335.15,335.32,339.39,353.75,370.57,394.20,391.77,400.21,402.36,413.89,417.35,419.78,418.38,401.07,387.68,367.40,351.66,341.20,334.46,334.20,322.48,313.64,352.60,331.29,316.05,321.14,L7
1999-10-31 21:53:08+00:00,374.08,387.97,384.65,371.08,369.24,367.16,379.29,384.70,386.19,381.93,386.75,383.70,379.50,382.52,389.29,388.48,380.36,377.19,378.31,376.10,375.91,382.62,388.15,395.83,396.46,409.81,409.51,416.81,407.83,392.88,386.11,380.05,377.64,375.72,378.10,384.98,379.96,378.34,385.35,388.97,399.79,405.89,400.67,401.52,405.36,404.23,407.35,408.40,402.52,404.89,401.04,399.40,396.53,391.85,394.21,392.42,391.39,391.59,388.26,386.54,378.36,378.90,374.37,372.09,368.57,368.68,366.51,362.14,362.64,366.26,360.80,364.32,361.59,356.63,350.06,346.07,346.98,345.06,343.56,347.10,354.97,358.82,353.96,350.01,352.26,356.13,353.21,354.06,346.74,344.47,347.66,346.39,358.62,366.75,366.43,374.18,382.51,381.92,386.73,396.01,400.03,410.71,405.79,387.41,374.50,365.33,363.47,355.40,348.14,331.56,334.54,341.75,336.09,312.55,323.50,L7
1999-11-16 21:53:32+00:00,388.80,394.79,386.19,377.81,372.43,369.76,372.51,378.21,375.87,379.10,382.48,385.05,392.96,396.95,404.66,406.27,399.87,390.75,388.64,385.82,383.96,383.73,381.48,388.87,395.14,398.84,403.33,410.71,411.17,399.83,395.62,394.09,389.17,389.27,387.08,387.75,385.98,390.51,394.60,392.44,396.52,394.39,395.40,400.06,406.00,417.41,416.97,414.53,399.15,398.88,397.24,392.17,389.76,387.86,388.80,396.94,393.41,398.66,396.64,392.01,387.67,385.56,373.99,370.78,370.07,379.31,373.82,369.86,363.16,373.87,380.00,381.01,380.85,367.63,366.41,347.87,345.72,350.43,344.85,354.46,362.07,365.55,370.66,373.06,368.27,364.26,365.49,363.81,355.56,348.35,346.88,354.13,359.74,370.60,374.34,382.61,381.92,390.47,397.24,421.30,423.66,420.66,418.32,394.87,378.77,374.78,371.82,366.44,355.54,350.59,343.14,359.71,333.94,329.25,324.47,L7
2000-01-19 21:53:25+00:00,366.86,375.69,382.05,373.57,366.91,359.85,367.77,362.41,346.09,354.22,365.88,366.67,368.52,364.50,366.96,367.58,369.84,370.97,359.95,361.65,363.18,358.89,365.99,365.78,376.17,397.09,395.91,394.09,377.78,384.99,379.55,365.53,367.67,378.23,386.50,388.06,384.59,385.13,377.65,382.53,369.57,369.64,385.74,396.94,396.89,391.52,396.09,395.43,393.10,394.36,395.22,379.75,375.00,385.08,375.07,375.83,381.96,378.61,380.65,377.80,378.09,391.25,387.32,373.32,377.52,372.07,372.43,366.69,358.86,358.43,348.17,354.71,352.28,343.00,335.24,336.37,337.24,333.49,341.42,334.72,337.85,336.75,345.79,338.47,335.65,331.82,341.85,348.29,351.36,361.00,358.58,387.14,386.31,386.80,391.98,394.47,405.08,423.26,423.66,422.74,421.16,408.70,398.35,377.73,365.19,349.69,331.97,319.08,310.06,307.69,305.95,346.32,,310.44,316.51,L7
2000-02-20 21:52:53+00:00,370.94,379.36,386.10,373.70,365.03,360.29,358.13,348.46,358.10,360.49,358.37,360.95,363.05,374.36,380.79,378.25,372.25,373.17,373.49,378.30,369.58,369.35,374.09,376.58,380.31,380.79,385.64,392.19,382.64,379.95,371.46,372.44,370.24,367.22,371.16,376.22,389.37,389.44,386.56,369.13,365.17,386.15,395.40,398.42,396.70,396.42,398.35,396.04,392.27,391.98,385.37,381.02,376.11,379.07,379.24,384.64,384.14,386.54,385.15,377.75,374.22,375.05,371.94,372.55,373.95,376.26,357.18,354.98,367.75,369.12,368.41,368.31,356.82,352.94,347.42,340.65,343.49,345.25,348.01,340.14,345.93,348.39,343.96,336.35,336.32,340.71,345.49,342.92,349.89,351.68,359.86,358.17,365.87,367.18,369.78,381.65,382.57,382.68,386.12,394.96,396.45,408.56,405.14,393.10,365.98,343.63,337.64,328.66,328.79,319.13,326.54,343.83,331.32,324.74,328.56,L7
