dates,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,nzd0295-0082,nzd0295-0083,nzd0295-0084,nzd0295-0085,nzd0295-0086,nzd0295-0087,nzd0295-0088,nzd0295-0089,nzd0295-0090,nzd0295-0091,nzd0295-0092,nzd0295-0093,nzd0295-0094,nzd0295-0095,nzd0295-0096,nzd0295-0097,nzd0295-0098,nzd0295-0099,nzd0295-0100,nzd0295-0101,nzd0295-0102,nzd0295-0103,nzd0295-0104,nzd0295-0105,nzd0295-0106,nzd0295-0107,nzd0295-0108,nzd0295-0109,nzd0295-0110,nzd0295-0111,nzd0295-0112,nzd0295-0113,nzd0295-0114,satname
1999-08-05 21:47:23+00:00,,,,,344.06,333.73,319.12,326.13,327.72,332.26,335.93,341.35,347.43,348.47,355.54,349.43,344.28,,,348.62,353.88,353.43,358.13,362.23,360.23,345.69,,,,,,342.97,345.50,339.07,340.26,341.99,354.83,366.41,370.58,367.05,363.81,356.91,366.67,372.59,379.90,381.01,379.08,373.98,363.04,386.89,384.88,380.76,365.16,365.06,368.83,369.31,369.89,371.43,368.98,359.86,350.79,347.74,340.14,,343.58,333.65,339.12,337.47,327.17,334.33,325.45,337.50,333.52,319.27,315.97,311.59,303.44,297.28,315.51,314.07,316.91,324.71,325.90,321.74,314.38,309.18,315.45,326.31,323.48,330.82,336.59,335.16,327.99,328.08,316.47,309.47,342.47,338.92,343.82,349.56,360.84,366.53,350.90,346.20,340.63,334.13,332.69,324.68,320.31,316.01,318.66,326.83,319.73,306.48,317.40,L7
1999-08-12 21:53:08+00:00,371.12,378.74,372.64,359.02,345.29,338.54,330.90,334.94,337.75,341.79,348.18,351.37,356.65,360.64,367.80,362.46,360.77,374.00,370.45,359.97,363.75,363.75,367.84,369.75,368.65,363.43,388.92,393.00,386.17,383.08,378.30,360.96,359.84,352.36,355.45,358.43,365.03,375.07,372.71,368.61,367.94,364.84,374.18,386.19,391.59,389.77,387.12,381.68,376.94,392.88,395.51,388.23,373.99,371.50,375.36,376.06,376.02,379.98,378.81,364.64,353.14,350.56,349.06,371.60,358.48,353.50,350.39,340.88,337.98,342.83,340.05,347.22,339.51,327.60,324.52,321.23,314.40,315.00,324.54,325.60,325.76,332.76,331.02,326.83,321.79,323.19,325.44,334.69,334.81,340.55,344.71,342.64,335.68,331.40,325.26,329.37,351.02,350.26,357.41,362.87,373.25,374.42,360.02,355.17,347.80,345.08,342.07,338.15,330.34,318.82,323.57,333.43,323.43,315.01,322.02,L7
1999-08-21 21:47:20+00:00,372.47,378.43,369.31,359.71,348.44,341.04,333.04,336.37,339.32,343.98,349.70,354.35,360.04,364.98,371.20,367.22,366.24,374.39,371.05,364.10,364.65,365.60,369.80,371.10,373.05,370.40,387.41,391.11,388.30,383.06,380.08,366.48,364.61,356.89,360.50,362.26,368.37,374.84,371.97,370.27,369.22,368.75,380.75,389.44,394.81,392.45,387.47,382.91,378.87,395.04,395.34,388.91,374.97,371.92,377.51,378.47,379.46,383.33,381.67,366.34,353.04,352.74,352.94,365.13,361.61,358.93,354.66,342.21,340.28,344.61,342.49,350.50,343.48,331.14,328.35,324.61,317.66,317.13,326.34,329.84,328.38,334.74,332.89,330.15,325.51,325.16,328.65,336.21,337.29,340.11,345.37,343.51,337.10,334.24,330.92,336.30,353.28,353.21,361.00,367.18,374.36,376.04,361.82,354.83,349.33,348.65,347.20,343.73,333.07,322.33,325.65,334.76,323.11,314.64,323.10,L7
1999-09-22 21:47:24+00:00,371.25,379.99,369.74,361.33,352.21,342.90,338.06,340.30,341.71,346.44,350.59,355.94,361.04,366.93,373.46,370.47,368.47,373.06,372.72,365.36,366.29,367.06,371.14,372.62,373.74,374.68,386.88,389.03,386.30,378.13,377.54,373.46,369.80,363.23,364.23,365.97,369.88,374.32,372.31,374.20,375.88,374.71,384.24,391.81,393.77,391.57,388.37,387.13,381.79,394.33,394.30,390.21,377.31,373.97,377.57,378.62,379.71,382.32,377.94,366.68,354.84,356.79,358.63,367.14,362.61,359.56,357.99,344.81,342.69,345.54,341.39,351.52,348.43,337.12,331.66,322.68,317.76,322.55,333.37,335.51,332.73,338.15,338.19,332.79,328.81,328.85,334.46,338.43,337.35,340.14,344.71,343.13,337.96,335.77,332.77,340.69,355.46,362.49,366.98,371.93,374.66,377.33,368.93,366.38,355.08,352.52,347.42,343.67,333.51,323.28,323.34,337.93,323.11,316.41,322.39,L7
1999-09-29 21:53:40+00:00,369.87,378.57,368.48,360.35,353.02,343.82,337.47,340.42,340.92,345.32,349.45,355.06,359.93,365.73,372.03,369.19,368.01,370.21,370.24,365.07,366.15,367.39,370.21,372.53,374.25,374.67,384.15,388.54,384.00,377.46,376.94,374.35,371.15,364.05,365.20,365.87,369.28,371.32,371.71,373.68,376.21,376.54,383.46,391.12,392.44,390.48,388.24,387.44,381.52,393.33,392.71,388.48,377.25,374.71,377.25,378.78,379.70,381.50,377.88,367.49,356.50,357.92,358.71,363.88,361.17,357.53,356.17,344.33,341.71,344.56,340.25,351.07,348.22,338.18,330.77,322.02,318.57,323.44,333.29,334.79,332.97,338.56,338.54,332.66,329.33,330.13,334.85,338.41,336.70,338.55,343.42,342.73,338.09,337.17,334.47,338.92,355.95,363.24,367.43,372.03,374.84,377.43,371.03,366.45,355.44,351.85,347.22,342.75,332.86,323.65,322.61,338.94,324.91,315.33,321.09,L7
1999-10-24 21:47:20+00:00,370.97,380.27,371.54,365.24,358.12,350.18,344.38,345.69,346.85,351.08,355.77,359.92,365.73,371.06,377.37,375.47,373.88,373.85,374.70,368.48,370.08,369.54,373.15,375.25,377.58,378.76,387.89,392.27,387.10,380.50,379.27,376.25,373.13,366.22,366.59,367.55,370.49,372.14,374.98,380.19,382.59,381.93,387.51,392.66,393.85,392.38,390.16,391.67,386.31,395.52,393.74,390.22,381.42,377.15,379.47,382.14,382.33,382.96,380.11,371.20,362.16,362.99,362.22,365.83,363.43,360.28,358.96,347.49,346.11,348.76,345.63,355.15,354.60,345.66,335.93,326.56,322.93,327.71,336.51,337.99,336.84,341.40,342.49,336.94,333.15,334.51,338.43,340.16,337.76,339.00,343.09,342.76,341.28,343.50,344.86,348.78,364.09,370.09,375.50,380.02,382.33,385.30,378.00,371.04,358.81,353.19,348.51,343.66,334.46,324.83,321.88,340.78,327.10,316.08,321.24,L7
1999-10-31 21:53:08+00:00,371.28,380.77,372.84,365.58,359.28,351.98,348.83,350.73,351.93,355.23,359.76,362.78,367.33,372.26,378.45,376.79,374.55,373.98,374.68,369.31,370.60,370.87,374.86,377.65,379.96,382.66,391.13,396.15,389.77,382.36,380.04,376.65,373.51,367.15,367.70,369.37,371.45,372.85,376.29,381.18,384.91,385.03,389.13,393.67,395.06,393.71,392.18,393.84,387.97,396.47,394.35,391.27,383.19,378.85,380.92,383.17,383.19,383.88,380.88,373.08,364.16,364.61,363.42,366.09,363.35,360.98,359.51,348.93,347.97,350.76,347.30,356.07,355.06,346.91,337.77,328.96,325.98,330.19,337.34,338.76,339.03,343.49,343.73,338.41,335.38,336.94,339.88,341.28,338.17,338.91,342.87,342.78,343.26,346.17,347.57,351.51,366.07,371.50,376.83,381.93,384.86,388.03,380.29,372.48,359.87,353.75,348.68,343.37,335.24,324.61,323.04,341.29,327.83,315.04,321.44,L7
1999-11-16 21:53:32+00:00,373.67,382.34,374.27,366.99,360.68,353.86,351.49,353.86,354.62,358.07,362.36,365.27,370.33,375.10,381.38,380.18,377.57,376.15,376.33,371.23,372.09,372.18,375.44,378.76,381.68,384.38,392.67,398.12,392.40,384.75,382.06,378.75,375.32,369.67,369.82,371.29,373.05,374.96,378.48,382.44,386.28,386.03,389.77,394.32,396.18,396.47,395.03,396.30,389.00,396.55,394.46,391.24,383.79,379.76,381.54,384.65,384.23,385.55,382.63,375.27,366.92,366.86,364.44,366.33,363.74,362.99,361.00,351.18,349.59,353.37,351.11,358.97,357.99,349.32,341.25,331.10,328.23,332.72,338.18,340.42,341.69,346.03,346.88,342.52,339.21,339.99,342.72,343.61,339.86,339.60,342.88,343.92,345.04,348.86,350.71,354.89,367.69,373.71,379.22,386.64,389.71,391.61,384.10,374.78,361.58,355.72,350.48,345.16,337.12,327.20,325.18,343.81,328.29,316.51,321.76,L7
2000-01-19 21:53:25+00:00,373.03,382.32,376.14,368.45,361.83,355.19,353.87,355.38,354.24,357.92,363.21,365.99,370.52,374.39,380.44,379.35,376.99,375.93,374.92,370.44,371.44,371.27,374.85,377.88,381.41,386.36,393.45,397.83,391.37,384.99,382.13,377.43,374.75,371.08,372.24,373.87,374.75,376.27,378.58,382.73,384.57,384.54,389.60,394.89,396.72,396.31,395.61,396.44,390.15,396.72,395.01,390.24,383.23,380.77,381.52,384.13,384.44,385.11,382.83,375.88,368.50,370.27,367.55,368.01,366.13,364.53,362.84,353.60,351.15,354.46,351.31,358.91,357.92,348.95,340.77,332.10,329.64,332.81,338.73,340.36,341.68,345.42,347.18,342.49,339.35,339.78,343.32,345.05,342.06,342.90,345.55,349.25,350.15,353.77,355.69,360.24,372.53,379.52,384.46,391.05,393.20,394.46,387.47,376.06,363.23,356.30,350.51,344.35,335.36,326.28,323.74,343.69,328.29,316.41,321.30,L7
2000-02-20 21:52:53+00:00,372.90,383.02,379.53,371.71,368.03,361.99,363.42,362.55,361.20,364.26,368.32,370.27,373.95,378.42,384.46,384.40,380.92,375.98,375.83,374.29,374.08,373.44,376.92,380.62,384.84,392.42,394.07,398.94,391.02,384.82,381.20,381.42,378.46,376.62,377.13,379.19,379.58,378.77,382.55,386.13,388.38,391.55,394.22,397.73,397.55,397.98,399.50,402.18,395.30,396.77,393.50,389.50,385.76,384.33,382.92,386.64,386.54,386.09,383.66,380.25,375.95,378.47,374.46,369.49,369.21,368.62,365.54,358.68,358.19,360.79,357.55,363.87,363.96,357.16,347.05,336.54,336.76,341.30,345.37,344.84,348.00,350.43,352.85,346.91,344.85,346.19,349.93,348.55,345.24,345.37,347.69,352.99,358.01,364.06,368.32,373.58,382.23,391.25,394.75,401.85,401.74,404.39,401.02,387.61,369.60,357.79,350.12,342.40,335.43,326.98,323.33,347.53,332.02,318.37,321.57,L7
