,dates,usa_CA_0269-0000,usa_CA_0269-0001,usa_CA_0269-0002,usa_CA_0269-0003
0,1984-04-14 18:24:49+00:00,203.90000745230978,199.5996181243988,207.61046566238656,210.36493556272254
1,1984-05-25 18:19:21+00:00,197.54900817559204,191.87675687385072,202.76271055861204,201.92471565856403
2,1984-06-10 18:20:05+00:00,188.34538653548486,191.3428260397192,197.50077118822904,196.42557816997825
3,1984-06-26 18:20:19+00:00,199.10303698043202,195.3753093543239,201.70478365165144,207.74746650564538
4,1984-07-28 18:20:39+00:00,208.66013524960428,202.69762632036534,202.85123521051153,204.37601982078905
5,1984-08-04 18:27:04+00:00,217.58090511820396,205.49852743326494,212.56589588273147,209.2931032778801
6,1984-09-21 18:27:45+00:00,189.6874170836115,193.95025058804944,207.4029933167565,208.17950935178183
7,1984-10-23 18:27:40+00:00,207.26734881007675,205.9008562330759,217.59627441386687,226.76696145008412
8,1984-12-19 18:21:59+00:00,162.3927232957047,186.10706911451044,193.1945770598474,201.70666258132363
9,1985-04-01 18:28:00+00:00,192.97883902205274,187.21283990770578,207.73231327086455,206.65855238702125
10,1985-05-03 18:27:48+00:00,197.031137694859,191.46086349398072,198.83092903613425,200.54742688894154
11,1985-05-12 18:21:57+00:00,208.2567698010319,200.13195410051327,214.7035841294601,218.83392046022354
12,1985-06-13 18:21:33+00:00,195.44786993020645,184.88572312057323,202.21701019748045,215.9713401563533
13,1985-06-29 18:21:53+00:00,220.47954271215804,203.30384948260908,216.36788034255613,216.14450885452192
14,1985-08-07 18:27:22+00:00,234.82133638198707,218.51003321053264,239.32016950054287,234.81472786236986
15,1985-10-03 18:20:56+00:00,,214.90776566050562,227.73087026088652,227.4402962820439
16,1985-10-10 18:26:39+00:00,,228.72476279602276,246.2157225087833,244.22422371134485
17,1985-11-11 18:26:13+00:00,,192.18518526684045,,
18,1986-02-08 18:18:18+00:00,,180.56363793379373,,
19,1986-03-12 18:17:35+00:00,,,,
20,1986-03-19 18:23:38+00:00,200.2458877042829,189.6938299607722,203.96023145821584,210.53893826224203
21,1986-04-04 18:23:18+00:00,188.21541516069874,177.97538340721496,195.13407047796036,202.55869280705048
22,1986-04-13 18:17:19+00:00,188.02301036999785,169.624627409597,186.17778855413275,192.0805335332642
23,1986-04-20 18:22:56+00:00,200.8384524369569,204.19253260461568,210.2043670807788,211.8458384367368
24,1986-04-29 18:16:56+00:00,199.2004721371716,189.4215739880602,217.45239404951207,222.17999296901007
25,1986-05-06 18:22:32+00:00,202.25660513526972,191.6643682853669,205.33517078985406,203.37622412810407
26,1986-05-15 18:16:31+00:00,209.99049960205514,204.32862504760536,216.16766990043288,218.07982978904172
27,1986-06-07 18:21:37+00:00,203.04704753052846,192.8177946499064,195.93463468682359,205.91433066551033
28,1986-06-23 18:21:07+00:00,185.64117475833777,192.48009372174457,194.1477797637099,202.21183923245422
29,1986-07-18 18:14:06+00:00,210.35868978594866,208.32178766437715,216.36021229226608,216.5490978484332
30,1986-08-19 18:12:56+00:00,,220.3855268151536,218.4368164939052,221.11708271018466
31,1986-09-11 18:18:18+00:00,209.32187511406423,214.00816786423653,211.76928056621065,214.17146933067528
32,1986-09-20 18:12:14+00:00,,216.1233959412601,220.0921227231011,217.82284956801058
33,1986-09-27 18:17:48+00:00,193.21906554750845,195.22857995396652,199.22548839813373,196.6879499313857
34,1986-10-13 18:17:17+00:00,194.44340063712625,191.31986112949883,201.8539305461097,206.96739344395104
