,dates,chi0239-0000,chi0239-0001,chi0239-0002,chi0239-0003,chi0239-0004,chi0239-0005
0,1984-07-08 14:07:13+00:00,238.68922543698034,223.0932792812926,214.2218546638728,197.41055330103512,,
1,1985-07-27 14:08:05+00:00,218.96765695880555,224.6629168453543,217.65560177804247,223.00150978506582,218.2928770071696,214.23897084130311
2,1986-02-04 14:05:35+00:00,231.94570096793507,240.82075146436125,239.85065031174574,248.48798204848458,231.30479652054464,218.46548910794286
3,1986-07-30 14:00:52+00:00,219.74335612653138,223.9920402478253,217.26680726718405,221.05125300725393,222.3411732122043,216.63796541814202
4,1986-08-15 13:59:53+00:00,222.57874920815874,226.80421734132585,221.3887054327918,230.93851106192247,222.91298486671147,222.64102588096722
5,1986-08-31 13:59:17+00:00,214.7493092322308,217.89380779515244,212.41595379579928,216.34043120557007,212.96904409095612,217.84192378710605
6,1986-09-16 13:58:46+00:00,220.42663235453304,226.54756796224734,217.23786156350002,218.4825665226349,211.23113622550687,201.33505821506998
7,1986-10-18 13:57:44+00:00,215.65297206785397,214.96393375387962,207.94925754671527,204.81589265198045,206.76229836662333,187.0328950332762
8,1986-11-03 13:57:34+00:00,224.86246216639444,229.20636112620485,214.59016436323833,225.40170223816665,224.109211123997,208.81946959997578
9,1987-01-06 13:58:06+00:00,240.88934937256985,235.351680523416,233.76486427363048,243.39404017726395,238.4764809382784,221.09207755552205
10,1987-03-27 14:00:57+00:00,,,232.90925350224506,239.07263465518164,225.55068260549842,213.5898284285032
11,1987-11-06 14:06:32+00:00,209.88140750408826,213.43827269161773,208.45263448532003,212.7166986799445,208.7900422495154,204.39147258366734
12,1988-04-30 14:08:28+00:00,210.1072861755023,221.32603893467012,220.6704178688713,225.35533654658025,207.29726747932983,197.4830819162522
13,1988-06-01 14:08:45+00:00,203.4289061582882,210.13655188223453,208.38671139572392,201.7066989926869,194.2221485510627,182.90038867889632
14,1988-06-17 14:09:14+00:00,178.89653006831333,181.78135147271317,,170.94507303860198,177.66905802289375,
15,1988-08-20 14:09:24+00:00,222.61390242981045,223.0810734914839,211.343819477533,223.34229213206282,220.87363455295292,218.5825673364275
