,dates,usa_CA_0286-0000,usa_CA_0286-0001,usa_CA_0286-0002,usa_CA_0286-0003,usa_CA_0286-0004,usa_CA_0286-0005,usa_CA_0286-0006,usa_CA_0286-0007,usa_CA_0286-0008,usa_CA_0286-0009,usa_CA_0286-0010,usa_CA_0286-0011,usa_CA_0286-0012,usa_CA_0286-0013,usa_CA_0286-0014,usa_CA_0286-0015,usa_CA_0286-0016,usa_CA_0286-0017,usa_CA_0286-0018,usa_CA_0286-0019,usa_CA_0286-0020,usa_CA_0286-0021,usa_CA_0286-0022,usa_CA_0286-0023,usa_CA_0286-0024,usa_CA_0286-0025,usa_CA_0286-0026,usa_CA_0286-0027,usa_CA_0286-0028,usa_CA_0286-0029,usa_CA_0286-0030,usa_CA_0286-0031,usa_CA_0286-0032,usa_CA_0286-0033,usa_CA_0286-0034,usa_CA_0286-0035,usa_CA_0286-0036,usa_CA_0286-0037,usa_CA_0286-0038,usa_CA_0286-0039,usa_CA_0286-0040,usa_CA_0286-0041,usa_CA_0286-0042,usa_CA_0286-0043,usa_CA_0286-0044,usa_CA_0286-0045,usa_CA_0286-0046,usa_CA_0286-0047,usa_CA_0286-0048,usa_CA_0286-0049,usa_CA_0286-0050,usa_CA_0286-0051,usa_CA_0286-0052,usa_CA_0286-0053,usa_CA_0286-0054,usa_CA_0286-0055,usa_CA_0286-0056,usa_CA_0286-0057,usa_CA_0286-0058,usa_CA_0286-0059,usa_CA_0286-0060,usa_CA_0286-0061,usa_CA_0286-0062,usa_CA_0286-0063,usa_CA_0286-0064,usa_CA_0286-0065,usa_CA_0286-0066,usa_CA_0286-0067,usa_CA_0286-0068,usa_CA_0286-0069,usa_CA_0286-0070,usa_CA_0286-0071,usa_CA_0286-0072,usa_CA_0286-0073,usa_CA_0286-0074,usa_CA_0286-0075,usa_CA_0286-0076,usa_CA_0286-0077,usa_CA_0286-0078,usa_CA_0286-0079,usa_CA_0286-0080
0,1984-04-14 18:24:49+00:00,290.7970660599869,266.1488190917053,254.60085717698797,254.07626121123056,256.7155848399093,276.08113232208484,293.32957507618676,296.0932135523471,305.691297405951,325.3707092956262,341.5629017979762,353.4057012053065,351.7409784880266,338.8042774493091,342.10020787619675,336.4615258281034,338.50999291620207,331.56580737815835,331.1977979371415,330.4528343602379,311.9561856090465,331.6057899864912,316.2685093515442,301.35947806921587,276.8790711997243,273.3656689253977,271.4873875713441,259.22983148416836,267.1641272392444,276.3835603175,,296.7446395000448,299.2090257257993,293.47078282231195,275.59677171123855,267.87441996578843,261.84683540111916,262.1447466234778,265.15574296535476,259.6792873355178,253.22879941239822,248.34510968133804,250.05351521561315,247.76698569188568,244.55324650223287,253.51212912879873,247.64322382442828,236.52334540144233,229.17787333670645,225.97984062347973,214.70620417914645,203.30481432165217,204.10605550500568,204.88738446104233,202.42715388762002,221.5093189029484,,,,218.7245712453061,235.93945144524417,234.58372481550703,213.35151367572067,200.40871529533888,216.13536104529032,245.97430245164833,264.217636318743,253.15329617726104,241.98606999964443,233.93937856012496,228.79603758115144,223.9442665850074,214.51686293332253,219.69741246882327,242.27491926159314,287.03056306706674,317.97061216070836,318.85291211188047,288.58116460030396,277.8271821587771,268.6198622102642
1,1984-05-16 18:25:17+00:00,313.1799824908523,295.5228142434402,279.11033442159254,272.759040523817,285.8730997501897,279.94790923536755,278.5376792623579,285.13536296879704,303.6047123459999,323.73287925396716,332.5801883082097,352.41778225681816,366.6127337775758,365.78453717074547,356.2598452557777,360.307864232665,358.933274860995,335.12887110799153,331.6204646384501,325.7049157811502,330.72316142927093,333.4554977977011,316.4179503885071,301.07106177606187,284.8861991309646,283.40356355271143,286.6836158164583,282.18653788947563,295.0628941134564,303.717536593533,315.37220068328656,314.21215209509677,305.80784266690694,300.48227998748047,297.61175318932175,288.1802567667949,274.1145919301422,284.7778155402042,271.6347704994109,261.9921745993817,262.62883954869875,260.82125261464887,247.475819356054,263.97156682028975,257.56830296000163,253.93134911913427,261.48362702733243,249.52770177275457,240.81235151668724,233.99262051811505,231.81640166031087,227.8419960595488,212.44547542078,212.08907797955055,228.49353343855515,229.8790003113139,227.97006332065277,240.4386164033697,229.20541132131504,234.72168889807415,253.56934116589528,249.73496734737193,218.71321861349085,217.7155538946709,225.3050553377168,260.39067446648795,279.42841243401995,276.20250592613684,256.6839355729884,248.32435653748965,253.29918707710826,238.89189655210015,232.05287255063215,247.67232043942306,271.34834738005674,308.8943062780051,319.9156587193981,323.94645760205316,309.188462946174,295.77689710371374,280.8700421778451
2,1984-06-17 18:25:59+00:00,294.47852679397727,287.6931102476673,301.43100571749943,298.6904432778739,287.77672661279126,274.8033180583925,257.58203538213974,260.01980756660186,285.51869147085915,310.2801589433199,336.1464751898335,349.5499385197425,348.4462622683082,339.8739618830551,335.6943258842628,357.35654266045947,340.1503118832893,319.61723158657634,321.52360191542095,341.9096524199149,343.55126006956226,311.2964163032277,288.09006218650825,271.46522906274237,261.58279721740524,261.2915044238601,275.2731675647898,271.9595254542951,268.2438839253421,286.3286442870261,306.069093309292,318.35426561451044,323.69917966289705,294.25736266620765,271.5919031892715,272.57367942651825,275.50377576951973,255.389552610434,252.80436923422087,247.7739775116138,273.4118407028875,250.71026498262512,230.62190640696014,244.89725169392597,237.5995574865445,260.50051347980053,257.2484790673224,227.73051503230056,215.00290427630978,230.7636775365973,227.77884226135097,216.886107232213,221.2073432308614,224.619839179728,202.85274857910662,194.59896724736208,219.54366271827058,216.10049224793082,227.8717554188553,242.85990117504423,254.6025877162782,245.7235490131693,221.65270439852023,233.7905082893895,234.73989780854728,261.60495358497394,279.7218062798926,267.8088549207674,248.01122369024102,231.87578794389606,245.14077303949696,234.75416075237274,245.0548821345377,254.83415676892952,271.60658895600966,312.75038758966303,323.04531230463886,331.38035552365017,302.3965410804449,289.49934977406303,300.31326317614037
3,1984-07-03 18:26:10+00:00,313.0487205671986,322.28833116629716,310.4282354456794,290.0532531384636,269.0489383914055,268.3699936747956,257.83452364931577,274.12555990338024,294.68206066569377,326.4912238812129,332.4944802938302,336.9489298705637,336.205293549014,334.47624579710845,357.77627278224645,344.9678817065522,315.03902037142,312.1053848436217,320.7701973216163,342.5110106915462,346.353131589499,312.8886564513049,285.632003463321,268.54448452753684,259.0668526944744,255.529953699321,276.08588874730725,269.80185669224676,270.6167455279122,270.02055485729124,285.3467737426602,306.6291029469506,322.9139786669445,308.8147741773204,288.15516782431655,278.03831867418955,272.00495151342324,258.37209489497843,253.14825108988182,259.3858433362442,253.9873125897104,236.9993172632411,247.21825424447624,238.0688662270229,250.18405970634907,253.49384585453495,238.2343282795106,231.69372755219638,237.1669495422715,244.4437911747513,238.0638970126522,219.19948124201764,221.51232624192826,211.15019785540474,203.1215208778108,213.20245460170403,207.37799266669774,208.0997003882048,223.99450300883967,255.0641620354694,265.17366667688566,242.46591340564763,239.1736732048714,232.87438477069404,228.44293427354702,277.3521648933354,269.66825931829806,261.470586668209,253.8856529373571,236.04071649349387,231.8544818013196,251.16602338961948,256.0561869220742,267.7631909753688,272.3365567619272,304.1916814070325,323.52790295568525,328.38084660147166,307.951927334598,304.98611398549633,301.6643777827784
4,1984-07-19 18:26:30+00:00,313.6336297666404,297.7696133090248,278.02856651647403,264.93346813758103,261.5534688007243,255.3782010142217,268.2514747632221,285.6861486474309,299.38836543877045,312.4983034388553,319.48500424658084,346.0282775608488,358.6898432409536,353.94801489690855,332.63443747950294,311.84353361527656,314.3911181925456,316.00795408464035,335.2684449047257,350.1024251540978,326.4748343517912,298.5040590976334,261.86928841365574,238.83929722532616,250.16458495510062,,283.23566888062,260.6980397405724,260.8307720826031,273.54293973655103,293.81427034320626,299.61628428051836,289.33161186526263,294.1193583188206,282.26562012535373,257.7106966307994,250.40747542773423,243.976068358343,244.61005095999096,235.53813505069922,231.47200902440497,241.30283671722464,237.93654469954726,253.9537079007938,251.78026387589875,246.6948000805628,245.48008578208078,246.514912312125,232.33149749208397,220.15750214156165,216.06153884538122,224.4513563941054,208.25002897071482,199.535658565221,204.6700112483811,190.79574749838562,177.91640397725908,184.51858781402,243.41238288537227,261.37330995876687,247.4798734914248,237.34473746772483,218.282891924747,223.6052614706453,240.0019045159052,244.95232229032615,264.683907607567,278.96802936576256,262.884562685153,232.55001714119734,226.5989757009001,231.0682458491588,236.06215304331812,242.76988663251737,252.78256366962725,301.63841244708186,316.41580282053883,314.50449116473254,295.8716783778816,298.1731626925287,277.61529773381034
5,1984-09-21 18:27:45+00:00,304.79788172498905,280.26338690939235,270.17614828945,271.7662464026924,263.5977654033482,260.69819931423035,265.7762164417811,277.94365752467075,293.3249650193787,314.5285071375214,335.814867746237,350.97988482896136,344.0809161948748,327.15789647120425,311.82622158476283,303.1281449642056,310.58043951819985,316.3558848212693,319.2030650408044,319.6801705768781,308.0769236637621,289.91896149858314,283.5819766200227,291.78822282901683,275.7837274425174,268.0399709984225,254.71990437379534,246.27521021832243,260.75243664093193,275.2135204314308,292.2559503995699,299.23933615310426,290.56214312662297,285.29862067990393,289.9478887381066,299.30757184524845,268.4009341573064,258.57094612481745,234.80656402572578,230.4731828874191,231.88115622012765,230.8012665463357,242.20562535947926,252.35029579261746,265.35413129856624,236.86634888292522,228.193298445172,213.88971947373085,219.42356701446792,209.76056410464565,214.61317622178854,218.48884683515405,213.6673567045682,209.4448496225113,212.9787726374832,202.66580092255916,199.55692136480238,194.6187067518686,208.01537552414152,234.70818859463319,242.9749335557228,244.91367533636733,248.54507331610827,243.44820650645133,245.49746313746593,244.4841418663966,249.29254725145714,253.44605687172128,255.23241040604054,259.20580130570215,255.31588024611543,239.11610552345925,236.6026789765909,238.67956465931306,246.8736660185194,275.74865378511214,299.35571075496057,305.5289159174977,293.3268320152455,285.65883167876893,261.3923999690311
6,1984-10-23 18:27:40+00:00,302.9679491218998,289.62629984759275,280.24842894724617,277.4701721022828,269.44139541311057,275.676936119959,290.6353157327557,308.19898388706474,317.2876786478413,331.7364834747199,332.60850346384825,333.2528990225483,329.5716163734872,326.08655982024413,320.08034108960067,321.3761384186731,327.86974771068344,311.61456227448326,312.60309237913924,323.821860176545,302.37981261483213,296.734974226033,294.5048649844747,303.989870025795,286.44164893917457,270.2906758490041,259.0693257537823,256.67333103139066,262.2681002863162,283.8687164267853,305.8546540371837,318.3825997891845,311.7076586554321,300.9848227447259,288.8970784362948,288.8051216646667,269.09900330760735,249.99049675223876,251.9153766904547,251.59866390003936,233.91160675050224,232.36435668087756,242.2159587934528,254.29873460380415,264.0765003177637,256.93291117851453,235.34137918010128,219.71594746655148,210.40295139360688,210.75894635221422,218.34737442589883,228.90539343352197,237.37549413919845,235.8646939882929,222.98021178715337,217.2028751127743,211.66113475433434,213.93919970292305,207.4670552953069,207.27490369044233,224.06529304276648,239.21010233678084,238.8231933415985,229.18893191133287,256.9599552439639,275.7511161865488,280.1361495913586,263.20519618213035,244.13239535066378,240.96690152248186,241.32868132036282,235.84799863657582,232.63815675835423,246.36711345646688,261.03626204495663,287.7705234313008,299.0260404484867,310.292563304887,294.5359795516834,276.9490017322209,247.51467035253944
7,1984-12-26 18:27:50+00:00,,,260.40457497171775,239.66533976061345,,279.9917235121453,310.0173943155431,305.98880640547543,298.9578709123314,293.9364904795067,288.4704271115956,,286.6517809829518,302.42242327935224,310.72129598931474,312.3239415335042,305.7477553595737,292.993714541955,274.16931906320866,275.04053931307766,280.9371901949653,283.0763377870111,287.104127793886,292.4845841834808,302.0657782823715,283.6503284892664,276.6376093993857,253.96422572263953,229.32051408443377,263.79111341805464,274.59669524115134,265.63087039538414,276.34007932259055,267.45223157607757,258.16618399395446,251.13817733954687,225.18421375471559,218.92442971126226,218.78950505402722,230.69194125240082,229.04477704021605,186.22614063065143,204.4624723745421,216.91638541913827,216.44831525980646,192.0179770170814,168.95397468561504,,203.06223434530455,196.99516223055713,211.61634435084997,,,,,,,,207.51652850424537,199.945788043787,197.29759932950628,204.04758233717345,206.74710176486903,191.93011927738442,215.37128478333514,236.91364587526476,254.66192322239547,251.99445754766964,243.91601864205123,245.86840651553374,256.36761311258124,247.59432047076953,215.23765847007328,196.41630416975693,,,,,,,229.15897857934803
8,1985-05-03 18:27:48+00:00,312.990138571684,321.3411467227531,313.16828748892215,310.6618445940513,303.2386474833364,293.12937235804037,296.8711259733293,293.26203403297694,288.33995118029264,290.1551308807643,297.7682281836013,306.2169225061329,302.61006458311755,294.44680670455256,304.53976840852437,296.7944996520787,296.1249783499172,286.4525158903216,293.85096962084464,290.5018049628487,277.642948187618,282.30898356903606,289.16131220071816,289.6203173915,283.18880200080474,281.91712708984494,295.78863348281067,283.3897765525231,277.5396368169355,290.3770730711608,307.7904408549364,297.21775034932557,310.3330604861375,297.80426548304564,284.9973967219508,287.09631419996623,275.4612942890707,253.32267897958445,243.01744594729064,252.09698450904554,254.27894021108068,251.31059263677435,251.7803965839254,248.22426138207774,232.02225969018505,208.16823093978257,206.5330585152745,233.83989174169722,253.63816697188236,223.82313713781195,204.76515715258984,210.80805004394804,204.1090679393184,210.95745348122404,230.9487126749314,210.46957287839268,,199.2390070227473,203.8350958427345,207.8897492001551,219.29680055918192,213.98842594060278,227.20776760862313,244.77857305331906,270.3338255785028,264.7904856897931,263.0170115488745,258.845486187019,254.9765627710596,256.98351070290306,258.8319006413396,253.87167648922087,239.5074485815246,243.02735547927654,250.94008332797813,272.1996691471188,305.56192800954653,325.65508185526687,308.98299806944834,294.65478603778706,
9,1985-08-07 18:27:22+00:00,336.89547581953536,336.38537778069815,337.8993376488739,314.4389863078884,298.1404475543504,298.5738691668771,276.2188072079488,289.9543675279283,283.67526599145754,289.2133497837484,289.9188343463373,310.1622241970238,311.8652278472972,316.2702155038811,311.94914404669265,314.8110680948484,317.59528721242236,298.38720088836317,297.83483900065926,289.42585224382617,287.3603375661797,267.4025750289051,281.75942631268083,286.1217390051539,288.7181683733504,277.72563480391943,273.738310941225,274.25636214286163,280.09462669110985,291.95670722288685,305.82180162542136,302.69077244090494,289.28190590481097,277.6722122859837,284.8139146291065,274.9571364657205,266.4428281229232,267.1830513203082,277.5292154395345,283.4975046987742,281.3266231181488,262.1907449920019,247.09415945484645,235.211411753716,229.370053404234,230.86707817538633,231.88020861466205,244.5833787577613,238.01952529406265,245.95980026421194,241.48536088807407,,260.3335256166233,247.86819375247003,224.6573376769064,207.22879945292476,215.8532047459215,231.86805623478975,240.00868434748293,234.4278102010639,249.64694391080525,250.92331480441158,242.75389930902114,249.81448949566084,251.21479402903222,273.90339935730606,281.79932936743137,283.3118748305001,,264.03549540876054,255.9500628230546,252.75162929874966,262.05731381988,273.6216093506002,277.16474338768836,294.94773817962414,315.6269016000347,334.4465808432775,321.9387580817985,311.9747900917695,
