,dates,jap0050-0000,jap0050-0001,jap0050-0002,jap0050-0003,jap0050-0004,jap0050-0005,jap0050-0006,jap0050-0007,jap0050-0008,jap0050-0009,jap0050-0010,jap0050-0011,jap0050-0012,jap0050-0013,jap0050-0014,jap0050-0015,jap0050-0016,jap0050-0017,jap0050-0018,jap0050-0019,jap0050-0020,jap0050-0021,jap0050-0022,jap0050-0023,jap0050-0024,jap0050-0025,jap0050-0026,jap0050-0027,jap0050-0028,jap0050-0029,jap0050-0030,jap0050-0031,jap0050-0032,jap0050-0033,jap0050-0034,jap0050-0035,jap0050-0036,jap0050-0037,jap0050-0038,jap0050-0039,jap0050-0040,jap0050-0041,jap0050-0042,jap0050-0043,jap0050-0044,jap0050-0045,jap0050-0046,jap0050-0047,jap0050-0048,jap0050-0049,jap0050-0050,jap0050-0051,jap0050-0052,jap0050-0053,jap0050-0054,jap0050-0055,jap0050-0056,jap0050-0057,jap0050-0058,jap0050-0059,jap0050-0060,jap0050-0061,jap0050-0062,jap0050-0063,jap0050-0064,jap0050-0065,jap0050-0066,jap0050-0067,jap0050-0068,jap0050-0069,jap0050-0070,jap0050-0071,jap0050-0072,jap0050-0073,jap0050-0074,jap0050-0075,jap0050-0076,jap0050-0077,jap0050-0078,jap0050-0079,jap0050-0080,jap0050-0081,jap0050-0082,jap0050-0083,jap0050-0084,jap0050-0085,jap0050-0086,jap0050-0087,jap0050-0088,jap0050-0089,jap0050-0090,jap0050-0091,jap0050-0092,jap0050-0093,jap0050-0094,jap0050-0095,jap0050-0096,jap0050-0097,jap0050-0098,jap0050-0099,jap0050-0100,jap0050-0101,jap0050-0102,jap0050-0103,jap0050-0104,jap0050-0105,jap0050-0106,jap0050-0107,jap0050-0108,jap0050-0109,jap0050-0110,jap0050-0111,jap0050-0112,jap0050-0113,jap0050-0114,jap0050-0115,jap0050-0116,jap0050-0117
0,1984-10-10 00:50:07+00:00,145.21303624140145,147.70813453888488,155.9463850532844,167.72071577639815,188.18301569665263,186.1723184410452,184.13568292490902,178.22996960448347,,191.02369232082972,189.1655005278791,190.27833117694473,179.8187128139509,178.84370114298616,189.5557025192143,190.26672667415923,186.66653970362123,184.66835920535476,181.18047723931002,180.42870680379542,180.41756947657478,178.80493031278138,179.46102456462023,173.3308244559646,169.0960099477743,170.71349652934362,174.14685250927417,168.53266689056946,169.70230935753284,176.2728338867904,174.68271849818026,182.55998878388752,180.482407409809,178.27794973370374,180.688408899166,174.66039911335022,175.1524108342451,175.37609361397665,169.15686589182096,175.80882772082825,169.9732752130101,170.97055261488288,176.52036616576277,173.578080569475,168.05704558850934,172.0373903896277,171.75348440079318,173.8471245855449,170.88063265058776,169.35307048980948,,169.36172592973156,165.03590668914222,168.38534391298532,167.23836059892102,166.96276590845844,170.275286395385,166.40009980287692,175.52137285321018,164.94032038767452,158.52062190244058,170.69511221304595,166.8958130426416,171.8226484348016,169.219162512578,167.05116141362114,165.9301094731786,,171.57133570380157,,190.02142262456604,176.31261515018622,179.89125415159737,226.8275994020907,198.89427892621953,203.116841824619,,192.58184682290945,183.99060976967408,180.870780237893,184.18823064219623,185.9999853902494,187.801670785848,,188.47649358809832,183.55923046511526,182.11110061569298,181.61427909809407,182.83900809609162,188.39220218742472,180.03126129790442,186.98961281772995,195.88066642692684,195.2278717649547,,175.3772175428026,161.12439017936455,193.2337162303478,193.70051384171592,191.9519153683828,185.8086981216496,179.14443753334442,,179.85949498047796,188.57316176213703,185.12711366725517,190.45485827462102,195.02653826816842,201.91030967776737,206.45304528059776,205.38561974901305,203.49747501419915,199.2678047448893,202.22551972050022,205.65007914408235,201.88471355222237,179.42151702627913,136.3455942577208
1,1985-09-27 00:49:33+00:00,,,,,,,,,201.77108550882448,204.55811187012034,,,,,,,,,,,,195.26804665962268,194.74007729021073,189.36232526630212,190.18750039439823,188.22584198214068,190.0173073186835,189.08356220112572,189.45349653349942,192.03846581585313,188.01853093438478,188.05818847302848,191.98949920552397,194.28845756076,197.23518449415,194.3214840247038,188.36356691671642,,184.85834523393865,211.27252443399306,202.32823048871927,190.3412844439467,194.28278010258367,190.60614716385288,191.7949450424554,190.72218478666804,189.55466569145833,186.1418736877982,191.96866749812514,,222.68193971162026,197.9964895101231,183.1431277536311,189.80926727723914,195.42627408866028,,187.6074063791332,185.95206267446454,186.77806643442173,183.02945929887443,186.49588254415815,183.94317234269857,179.95760397220434,180.92451068164587,180.16655277083888,184.3322194513827,183.09629490067366,182.48033188330396,188.42848801090452,,197.64361195510153,,188.55951349779477,186.1698164861319,185.90244088692455,188.35057158544606,202.11366464157558,198.73118931635736,192.70698527608425,,,,,,,,,,,,,,,,,,,,,,,,,,214.21883808119503,217.65397251857001,222.45555651300597,208.81412929645896,202.6182981768341,206.8946012652011,215.24002491661778,214.9854752522633,212.31816526515777,210.68832977069562,210.36042973889025,211.92175632421478,195.34883004789353,172.5117686015545
2,1985-10-29 00:48:48+00:00,159.84014314258806,165.43864327817477,169.83013591033145,179.7076490830371,191.43990772436376,192.14881585425505,193.15533739324871,191.39052468771428,198.08294933511186,201.21433426798868,203.69212285621848,202.32852492569333,201.97676071437715,204.38540422217966,205.3118803627009,205.94700777967975,207.17385944626471,203.25087243582294,201.74596313489172,199.23587218919263,194.0632007808107,190.3690536044366,198.69759659310836,193.95101732076105,194.315119113938,201.722917952826,198.0000306785922,195.9805667199389,197.74772761673418,196.28475986625747,193.11051663254256,192.5711523033456,194.9894281674164,195.22084224665568,195.34017250269957,193.71904038545577,186.60012757297048,,198.16015913076944,200.75996394093247,202.05740226934623,194.13183082384631,197.1520918794542,192.27015580716701,191.91184488040255,192.4679144943671,193.10339300025817,195.2023182439275,192.27407178095532,195.1120247037778,193.206819330533,190.75712255432293,180.4125410927713,181.86336510760182,185.2012053136176,186.11594109707752,189.63543206575008,,192.25729845032436,193.12777448944087,191.066085609205,190.9698464183304,185.58316723411428,188.13668861019835,191.4509212478137,189.635513674475,187.72673237855787,185.04800463290363,,183.56499631238032,192.50813954143126,,189.25501975036502,189.00474328147513,186.48371065401656,184.65439912805175,182.04602164090448,192.0107765621545,199.31305242530118,203.0619756419396,208.4432450468885,206.3536781199836,204.35681176430677,199.19030942937493,,199.23383192512688,201.39933553435057,201.180699619752,207.29824975059955,203.24403389247547,208.85770893033063,210.36633937775082,209.59828200498865,208.55638983904683,219.1689419154244,213.5955266915904,,204.5322582760255,195.07794585110247,200.33767497561502,197.4022481416636,198.15139794768845,203.73194861392855,200.24895758672923,203.81269764409245,207.55141978834536,216.7790333555591,217.14571261525856,208.74732873387774,216.1751219502468,219.59305308856298,217.96965021331897,220.49102687099005,209.47176413761042,213.67047509573771,217.94756484704016,194.11626640578223,179.79014356739094
3,1986-06-10 00:44:19+00:00,147.67346031235707,155.01809796959466,165.78918411511847,176.94875710639158,189.22763581027374,190.65448606243038,192.83829184472887,192.88791442500795,197.55719978782142,206.69203137446016,206.25115828994242,204.43805325218597,209.2608798877746,206.00338075653198,205.10382252346332,203.94643698336264,201.92798957077798,201.5148928125639,196.11022419282406,,185.53013567793758,186.69141616002142,,194.47832861907577,186.75696145300066,184.93421469741256,187.91960646689787,187.43912214843456,188.4436431864447,189.75558816261756,190.12812626131065,183.45992045796748,182.19445035210956,188.96385407729812,191.05757286964476,188.81939367332933,186.24680723681297,181.36982172796087,184.55903285301596,,191.9213940382007,182.3981156169401,178.2961748044755,175.40588808748979,183.82792963676266,185.354393259638,185.52580109046116,181.47761812850297,181.58810517547582,179.36549867858758,180.80932589307602,178.83043180325092,169.4715470022675,165.00002389975555,163.72114695949242,171.04516762879481,169.2953673701332,173.88042473312947,173.6554406038317,167.86766416459358,172.55387609650026,173.0774700975567,174.9242568453368,172.6054821864837,172.0768635863592,172.64959385091677,170.2785684927526,169.75922116032595,163.79454137666943,166.86032488613833,,174.8430590231786,174.77159586902326,167.30548335718169,173.17025280624742,173.59672292364047,177.56847009319296,189.4156084401475,185.63098073738487,185.55671379490016,198.07621991168526,195.25376813877818,189.3796334005555,189.49876086901148,180.99367596181156,185.6368079530195,188.84592774011006,,197.9231148753754,189.18983198402876,187.92381489470637,194.28961902456498,195.88368621327288,205.17848941243312,206.8265998201268,206.19541378028418,,193.53051846851517,191.71333845070373,188.97945634157898,180.27427033148834,188.33067270854502,187.23324311241132,184.94446278562438,188.3648414404931,189.18245587065934,195.79613580694343,202.9002346710843,197.15930400422747,198.78844102236602,206.38658626351545,206.49289499649674,202.80800384738615,200.96102926626617,198.7444108358831,197.51048763892305,184.18348682667462,
4,1986-06-26 00:43:25+00:00,141.5325802857508,147.40859639523336,155.38731507592317,167.20932394855436,174.0446742802479,178.11409134632655,175.0722921084086,176.57201985962405,182.16462709867827,189.97869545166824,193.59279282697375,193.69410922845128,190.8984980003109,188.0151168850516,188.08050984182748,185.9131905385449,189.5729932432801,183.32592551288758,185.90083606443926,184.65862483962943,179.4128101489823,182.94155338209163,179.5085467155411,174.38947726728378,172.52411783723431,171.3516571536139,176.31849111490843,175.16912248674936,176.94352953558362,174.7585055487494,166.0246613778633,173.66598156684154,169.4869304344345,171.49026451553638,,171.0514049474257,174.05794633114232,171.19920058085998,172.2179003947727,183.47462940009683,177.62022566043444,183.0728111873944,178.14804259364146,174.99587216818205,179.12047655839459,175.34855849712383,167.71141886753583,170.84730641839477,169.81656651299093,170.53881401965364,164.03639461947813,169.5733700058555,170.89316336713551,164.4200471408108,162.34808467991468,166.97426838856867,168.66150841070788,171.22200381107208,173.93285455334757,165.5156492638305,162.92904113325153,160.45856436539768,165.60151796604785,163.39766103986787,161.4532632010696,163.27059455751672,156.0721707623748,161.17989932006162,161.16724677262798,,167.1710122007915,167.02307271674337,163.3974543859582,164.7448227632905,162.72628317483552,167.15057087011607,158.33431732256358,175.79108743118417,175.91625384612357,178.11066777705358,184.83952596433863,181.15366369234673,185.79951018341345,182.18632618710046,178.48532364953937,179.6575331149762,,179.67455962533342,185.9339451266291,189.62166104429318,191.28297256821028,190.9131618625555,187.11002375638105,189.04606987634335,195.18226838767254,190.7646235036324,191.76172308159582,191.85443782515452,188.52380739523636,189.2652549567935,184.11106877803732,183.21399925646898,182.48586765862626,189.19494583023462,186.08231321445942,193.8045453207668,196.71508957326097,189.14646526438563,187.4582241221866,183.6048067382562,196.69857903215885,193.94129390215036,199.9156110108853,196.6343695120208,201.66073455439502,,183.18441042072823,163.7597705090338
5,1988-05-30 00:50:53+00:00,,,,,,,,,,,196.73511993318917,195.98072068845408,199.12663278562357,195.8660625527592,200.13350954353658,205.12540879211267,199.70219634767832,191.24163956359138,197.13893676783297,189.77307780314845,190.18731798977416,189.6043549734068,,192.6520533493949,,187.57949219526023,188.51946030111296,187.09920743695181,185.65456274105657,187.83312209245292,189.3509676334806,191.0261937522036,190.76552271679512,185.83194614701108,188.5855519327977,181.67024848707678,187.64982532791413,,178.69040853713523,,196.91262319753878,187.49599094518067,185.98824304617733,183.90144976183768,183.01139062136116,186.3365640672465,186.16604606056487,186.83545731619014,184.98791976316193,178.3280342168793,177.436905560621,174.70209426436134,176.27932233297943,172.88469217496714,177.32537882804132,,181.91149006745155,187.94107460095708,187.92060750197209,182.1473186157372,177.8176814449419,182.8007225407669,187.93941483409262,185.2847367818624,183.82220966781065,171.57946337038675,174.82241833182061,176.97844413291685,,179.8318045299035,181.7073261014615,178.93146634982756,185.23738877635176,184.58881595917154,180.86892954369813,181.75284858060843,177.88714684549993,192.46330991674677,195.01169931439222,199.9493805975298,199.20401521747792,,194.0650849231926,198.133127335512,195.95831666896447,194.3691029866368,195.3863774416393,198.366837395209,200.13898999120326,197.08929768849902,198.2312611110017,201.71491305379365,203.32295730276854,209.27886924730066,211.58039504226994,203.47745816398933,197.4042061976866,199.7412350097824,195.8939616827816,192.79478234735643,189.57076889541457,186.09824797202754,190.1523164480903,194.38721153207433,195.65672320715373,,191.95503920319763,197.62952853837325,201.34270170071227,205.4884023244867,206.81092185762458,201.53254665077364,203.93735963595736,203.86576774551946,203.99318108119246,197.87643949559893,180.69224207203902,166.60188567723853
6,1988-10-05 00:50:39+00:00,166.85769855448265,171.39161390951318,178.71304821845612,188.74485601935035,200.64962860467844,203.297549278953,202.85640179696486,200.18283208582483,204.81695145381553,205.54202023449506,209.0688032514821,208.6741686517822,205.0561229400146,214.25597434364147,216.40062012850066,203.88000197846532,204.0848725167374,210.16627310699585,212.4647868872808,204.2069261322501,200.52806891109108,202.6653602224216,201.61234775634824,193.91820466535685,198.16360737270452,194.90111568229537,191.65190780059223,194.9225250287041,191.0579913561059,191.37870283451696,199.35884392482902,188.23719419506017,185.9469555931406,196.19835704975947,189.27610631985164,186.97183245842527,195.46386651799625,188.08596032111603,199.72725179755713,,192.35463565977633,190.51449589198245,191.6772789670665,199.338995885023,195.06471496986072,193.77218711851106,200.72834362469294,188.2134478424166,178.4032666870758,183.92374048642154,194.0270071455027,180.85032139867533,190.78629624089228,181.90376406309025,185.2936153873641,,198.36013472107206,186.7107551107589,190.38969345285918,197.96212248507575,194.86593618002624,199.77493709476312,191.03542316771748,179.74436278774164,179.1957909047913,186.1443319594537,193.33459587791836,184.9676484565398,190.33791351413825,181.80462944190737,191.21975451176354,,190.23937974481973,187.716624529135,194.3113044647673,202.731572451821,210.67939743559177,203.5946671324008,191.50211041062587,201.97870634014802,201.42368534220452,209.9770456707507,210.21036829965203,199.88235097924155,209.2900863116414,210.19487584477622,202.42038067158464,208.83093175252918,201.23425872192408,202.7278730695711,208.6610308071027,209.0042159100775,210.30194987505192,211.56147208132842,203.44312423198033,210.44463893509862,206.0510729664222,208.93860675281678,203.69611549970458,201.60074546153248,207.21435728605212,192.38563765884348,201.93501212354286,206.3139721869362,194.16013435045383,209.32061900062052,213.9983567328214,215.8799902351893,206.2788900379326,207.70474137413007,212.21236873933123,210.45664637784643,210.05409138037714,213.8128425732388,212.89627163537503,211.80109154221017,196.14453863078913,181.4876487187468
7,1988-10-21 00:50:33+00:00,162.17210048589448,157.01853320232155,168.31954632862195,177.4708893014382,194.2074945950618,190.29253685906494,194.02945618565218,193.83356089623828,197.7631491362806,200.5541769583587,200.0230432312314,197.81011547475913,196.80678210978203,203.18898559622153,208.9801329760104,205.72027518810322,202.88547042552636,205.975942267871,201.24626810849742,194.9698280523528,185.09749956591943,194.75831389034215,190.2569502604013,189.853777431801,192.37241876720935,193.50277339444906,194.8305138301946,190.20768178667836,188.6467250058453,183.9452467780354,192.21325304437454,190.48911924297855,185.9087322532926,196.06677465369165,189.64586689786975,184.4773625418012,188.367443087417,188.0137947703498,194.82442436416719,197.3732291729029,188.92648237865168,189.25484458255266,192.2809634428585,194.82468135853273,195.3898443151215,190.8016388977886,193.29730439945922,194.12535942078574,189.58648681925033,191.92038909637193,183.75777729315251,178.17585775585633,181.37495602538547,184.15304003721693,,184.29784255936593,188.18585814609963,181.67692015750328,186.92773599772514,191.23267881516037,189.20593463457047,190.81904015222827,185.60577320888854,182.20402284008162,186.43160561580476,187.26319925093858,188.27196467728186,187.00128682617276,181.25921568962053,182.96572735242677,190.71818444432185,,184.99710493780526,184.09778978349092,192.76942551601692,200.42358643040274,197.73406560536813,196.93296173725034,188.10162403286463,200.94646224819806,206.449447186199,207.2776665100737,204.4492355335319,198.9669064894614,,203.8289341366732,205.79083347890554,205.12327914036666,207.76798413017806,201.02384519446298,204.14561278245915,205.80963805393526,204.0322908181082,211.80702477573905,213.1262492749328,213.45994539339105,,199.41078540660752,196.6604903710094,200.4805801722824,197.88266921686093,186.43512787204787,195.2893777754504,197.61880840090112,196.12541289186194,202.72673649599884,206.64669716913616,205.50306021631027,206.0174846598477,208.4980706970992,212.96974848652644,206.74309180753224,203.68184507380585,208.8889677960208,212.67121487010525,207.35295904620742,190.1731890695517,173.38499104043024
8,1988-11-22 00:50:37+00:00,171.78418594122402,170.30130492689128,180.30991176399758,190.96998905665615,199.82904407167217,202.0102047122643,201.1378668891082,201.47782119653917,200.71042981592248,202.46550661097092,204.2926634084404,202.3023668630676,197.28923545295956,206.4269617483359,207.8024731693591,207.92284652773057,207.15857879753398,207.0008693216889,205.3933237642752,201.97812188000603,199.56861306427024,204.97568256727507,205.11226785760903,193.4063332853601,194.03727730123055,195.89207539112752,191.61983046003652,194.86860516875942,189.45560948215595,189.22159994740508,192.19602945368726,192.75205560281717,193.7379617668121,194.79399835422717,197.1715534903415,194.86669129750408,200.3760907760281,196.90314019745426,205.78028514525064,213.10516439952752,198.79041100383688,191.27952576359436,200.50692411092214,204.15262857982486,196.5346692078595,197.36266538722933,198.38403143089278,197.27608853302146,192.51492834169576,193.0776323442088,195.02328289139896,183.85196130469222,193.22585222352905,192.7574147005257,192.5639804278782,,194.00585481619126,184.9742651940853,193.7539610546583,198.9267716325651,189.83913329524526,201.5941907891703,191.9173211639593,186.14426481014343,192.40232811024427,196.5586364667171,196.70360832022206,191.979150748466,191.25911519423516,187.76299556982678,201.39175603557135,195.96839927480804,184.21678570304098,189.10175571886376,197.35407145399313,204.7762795161266,184.4472709955468,205.50673814847892,200.77056352720743,204.8851899376019,207.31391919625352,210.8657077536626,209.76971664242788,210.88917816465988,208.97766060952327,214.57532258786216,209.9301915303972,205.7480628944968,206.99060847171623,205.10180419415315,212.19050643299542,207.9256940211379,207.11342291211145,212.74461097045435,215.63732808858742,221.36839409183156,215.07934705718066,,211.74940598550188,215.33413391530604,212.97739227195103,202.2458630221191,202.4219165696618,202.1616847516796,,,207.99380012115878,216.59395688403814,211.53274271920978,217.58149412734357,219.9438683467924,218.8274177314916,218.39945011400667,219.3390516526403,222.47573969881864,220.34713152149675,200.2397511161786,177.49994280179055
9,1990-03-17 00:40:31+00:00,174.96601935458565,171.1911186013204,184.79772870633792,193.12459390659066,200.0946171678184,202.5843605153591,201.74650585540908,203.36871034131897,206.37764765159017,207.44360827531227,198.6789262080521,199.40671861867088,198.8305243621148,204.96683908783248,205.49340131760127,208.27011295268275,206.94671403716902,199.81030605197384,199.27530151597492,191.0574245123681,199.74241125846135,189.73961692124493,,197.358427586769,195.9101835767273,197.6878306042301,186.0864994116606,188.16297361551128,188.5234427626612,192.47225992054337,188.9300644645741,191.54686027593903,192.5139620219252,193.02279107954257,195.57471442230846,198.94861866561405,197.06175273358343,,198.68896244791742,204.18628231777507,207.85610538401573,203.12787558375788,195.9809305861001,195.71887858818607,191.45631980555555,201.84465873468463,194.74562832301365,196.97155410687742,196.9387001688199,197.48690505670086,199.91352627331912,201.1921116354972,196.0938361401606,,195.7757067471151,197.47036208880783,201.69304007800721,201.47807325154145,190.9758537976751,185.3570060191871,180.15660170361988,186.35662564778465,185.5695009480315,191.6634690576139,191.28504425696028,191.7089605073465,195.7036575474339,194.90771435307312,193.13175242262372,192.3656870868451,195.25507335504838,198.68711579620486,199.89976123136432,198.47224819108723,190.26635603316006,179.2126483550574,166.79782940494573,193.77332831494326,199.70492833559194,206.04518856228592,205.3643360396737,207.7157245384112,207.90713676375333,211.2206366485553,204.87189447006398,211.14264029524304,208.7458635212365,213.56219688404477,215.32749437426605,208.92131738586716,207.8410890647275,211.83516543465956,221.5979372127226,213.78667830243683,220.63171056492524,216.15977412962744,214.0683806211801,214.80890991081768,212.06369391127183,205.02847752082172,209.40053483583722,205.00851487787477,205.91078099270894,208.82568925355076,203.6793302333267,,202.22229552536845,207.49889818572078,206.52713940761632,207.40275965448794,210.8057152201861,205.28094174738405,210.6263335991434,208.58671727072493,208.2202315610018,208.79921215326556,187.46836637716206,172.641457002418
